# Digitized from Fig. 1 of Rana et al. (2020), IEEE BIBE 2020, doi:10.1109/BIBE50027.2020.00020
# 600 dpi rasterization of PDF page 4; colour separation; 0.5 h bins. See digitize_rana2020.py for method and caveats.
# spread_au is the half-height of the marker cloud in the bin (digitization uncertainty); n_px_cols is the number of pixel columns merged into the bin.
curve,time_h,ThT_au,spread_au,n_px_cols
on_pathway,0.3381,0.0144,0.0078,4
on_pathway,0.7513,0.0144,0.006,7
on_pathway,1.2397,0.0144,0.006,6
on_pathway,1.728,0.0168,0.0096,7
on_pathway,2.2539,0.018,0.0108,7
on_pathway,2.7423,0.018,0.0108,6
on_pathway,3.2307,0.0192,0.0108,7
on_pathway,3.7566,0.0204,0.012,7
on_pathway,4.2449,0.0204,0.012,6
on_pathway,4.7333,0.0204,0.012,7
on_pathway,5.2592,0.0204,0.012,7
on_pathway,5.7476,0.0216,0.0132,6
on_pathway,6.2359,0.0204,0.012,7
on_pathway,6.7618,0.0216,0.0132,7
on_pathway,7.2502,0.0216,0.0144,6
on_pathway,7.7385,0.024,0.0156,7
on_pathway,8.2645,0.024,0.0156,7
on_pathway,8.7528,0.0258,0.018,6
on_pathway,9.2412,0.0264,0.018,7
on_pathway,9.7671,0.0264,0.018,7
on_pathway,10.2554,0.0264,0.018,6
on_pathway,10.7438,0.0264,0.018,7
on_pathway,11.2697,0.0264,0.018,7
on_pathway,11.7581,0.0282,0.0192,6
on_pathway,12.2464,0.0288,0.0204,7
on_pathway,12.7724,0.0288,0.0204,7
on_pathway,13.2607,0.0294,0.0204,6
on_pathway,13.7491,0.0276,0.0204,7
on_pathway,14.2374,0.0276,0.0204,6
on_pathway,14.7258,0.0324,0.0204,7
on_pathway,15.2517,0.036,0.0192,7
on_pathway,15.74,0.0372,0.0192,6
on_pathway,16.2284,0.0372,0.0228,7
on_pathway,16.7543,0.0396,0.0192,7
on_pathway,17.2427,0.0348,0.0204,6
on_pathway,17.731,0.0276,0.0204,7
on_pathway,18.2569,0.0204,0.012,7
on_pathway,18.7453,0.0204,0.012,6
on_pathway,19.2337,0.0228,0.0144,7
on_pathway,19.7596,0.0228,0.0144,7
on_pathway,20.2479,0.0216,0.0156,6
on_pathway,20.7363,0.024,0.0156,7
on_pathway,21.2622,0.024,0.0156,7
on_pathway,21.7506,0.0252,0.0168,6
on_pathway,22.2389,0.024,0.0156,7
on_pathway,22.7648,0.0252,0.018,7
on_pathway,23.2532,0.024,0.0162,6
on_pathway,23.7415,0.0264,0.018,7
on_pathway,24.2675,0.0312,0.018,7
on_pathway,24.7558,0.0348,0.0144,6
on_pathway,25.2442,0.0324,0.0168,7
on_pathway,25.7701,0.0324,0.0168,7
on_pathway,26.2585,0.0372,0.018,6
on_pathway,26.7468,0.0384,0.018,7
on_pathway,27.2727,0.0408,0.0168,7
on_pathway,27.7611,0.0414,0.015,6
on_pathway,28.2494,0.0504,0.018,7
on_pathway,28.7378,0.051,0.018,6
on_pathway,29.2261,0.0564,0.0192,7
on_pathway,29.7521,0.0636,0.0204,7
on_pathway,30.2404,0.0732,0.0204,6
on_pathway,30.7288,0.0816,0.0192,7
on_pathway,31.2547,0.0972,0.0204,7
on_pathway,31.7431,0.1086,0.0258,6
on_pathway,32.2314,0.1308,0.0276,7
on_pathway,32.7573,0.1536,0.0324,7
on_pathway,33.2457,0.1848,0.0384,6
on_pathway,33.734,0.222,0.042,7
on_pathway,34.26,0.2664,0.0492,7
on_pathway,34.7483,0.3228,0.0582,6
on_pathway,35.2367,0.3948,0.0564,7
on_pathway,35.7626,0.4632,0.0648,7
on_pathway,36.2509,0.5406,0.069,6
on_pathway,36.7393,0.624,0.0672,7
on_pathway,37.2652,0.6852,0.0588,7
on_pathway,37.7536,0.7494,0.054,6
on_pathway,38.2419,0.7884,0.0408,7
on_pathway,38.7678,0.8316,0.0348,7
on_pathway,39.2562,0.8562,0.0324,6
on_pathway,39.7446,0.882,0.0276,7
on_pathway,40.2705,0.8988,0.0288,7
on_pathway,40.7588,0.9078,0.0306,6
on_pathway,41.2472,0.9252,0.0264,7
on_pathway,41.7731,0.9348,0.0264,7
on_pathway,42.2615,0.9402,0.0252,6
on_pathway,42.7498,0.9492,0.0216,7
on_pathway,43.2382,0.9552,0.0216,6
on_pathway,43.7265,0.9624,0.024,7
on_pathway,44.2524,0.9708,0.0204,7
on_pathway,44.7408,0.975,0.0198,6
on_pathway,45.2292,0.9792,0.0204,7
on_pathway,45.7551,0.9864,0.0228,7
on_pathway,46.2434,0.9876,0.0216,6
on_pathway,46.7318,0.9876,0.0216,7
on_pathway,47.2577,0.9876,0.0216,7
on_pathway,47.7461,0.9936,0.0192,6
on_pathway,48.2344,0.9948,0.0096,7
