# Digitized from Fig. 1 of Rana et al. (2020), IEEE BIBE 2020, doi:10.1109/BIBE50027.2020.00020
# 600 dpi rasterization of PDF page 4; colour separation; 0.5 h bins. See digitize_rana2020.py for method and caveats.
# spread_au is the half-height of the marker cloud in the bin (digitization uncertainty); n_px_cols is the number of pixel columns merged into the bin.
curve,time_h,ThT_au,spread_au,n_px_cols
fa_control,24.7729,0.47911,0.00279,7
fa_control,25.2621,0.48886,0.01253,7
fa_control,25.7512,0.49582,0.02507,7
fa_control,26.2404,0.49582,0.02925,7
fa_control,26.7296,0.50139,0.02786,7
fa_control,27.2537,0.51114,0.02368,8
fa_control,27.7778,0.51671,0.02228,7
fa_control,28.2669,0.5195,0.02507,7
fa_control,28.7561,0.52228,0.02368,7
fa_control,29.2453,0.52646,0.02368,7
fa_control,29.7345,0.5376,0.02228,7
fa_control,30.2236,0.5376,0.02089,7
fa_control,30.7477,0.54039,0.02298,8
fa_control,31.2718,0.54178,0.02507,7
fa_control,31.761,0.54735,0.02368,7
fa_control,32.2502,0.55014,0.02368,7
fa_control,32.7393,0.55153,0.02368,7
fa_control,33.2285,0.55292,0.02228,7
fa_control,33.7526,0.55292,0.02368,8
fa_control,34.2767,0.55432,0.02507,7
fa_control,34.7659,0.5585,0.02507,7
fa_control,35.2551,0.56407,0.02368,7
fa_control,35.7442,0.56685,0.02368,7
fa_control,36.2334,0.56546,0.02368,7
fa_control,36.7226,0.56407,0.02646,7
fa_control,37.2467,0.56755,0.03134,8
fa_control,37.7708,0.56546,0.03203,7
fa_control,38.26,0.56685,0.02368,7
fa_control,38.7491,0.56685,0.02507,7
fa_control,39.2383,0.57103,0.03343,7
fa_control,39.7275,0.56685,0.04039,7
fa_control,40.2516,0.56476,0.04039,8
fa_control,40.7757,0.56267,0.03064,7
fa_control,41.2648,0.56407,0.02507,7
fa_control,41.754,0.56964,0.04039,7
fa_control,42.2432,0.56546,0.04318,7
fa_control,42.7324,0.56964,0.03621,7
fa_control,43.2215,0.56825,0.02368,7
fa_control,43.7456,0.57312,0.01671,8
removal_24h,5.87,0.27437,0.00696,4
removal_24h,6.2544,0.29387,0.02786,7
removal_24h,6.7435,0.3078,0.02786,7
removal_24h,7.2327,0.32312,0.02925,7
removal_24h,7.7219,0.33287,0.01671,7
removal_24h,8.246,0.35724,0.03203,8
removal_24h,8.7701,0.37187,0.02786,7
removal_24h,9.2593,0.36769,0.02646,7
removal_24h,9.7484,0.37604,0.02507,7
removal_24h,10.2376,0.37326,0.02368,7
removal_24h,10.7268,0.3844,0.02507,7
removal_24h,11.2509,0.39276,0.02646,8
removal_24h,11.775,0.40251,0.02925,7
removal_24h,12.2642,0.40529,0.03064,7
removal_24h,12.7533,0.42061,0.02646,7
removal_24h,13.2425,0.42061,0.02925,7
removal_24h,13.7317,0.42758,0.02925,7
removal_24h,14.2208,0.43872,0.02646,7
removal_24h,14.7449,0.44081,0.03134,8
removal_24h,15.269,0.45125,0.02646,7
removal_24h,15.7582,0.44986,0.02646,7
removal_24h,16.2474,0.45125,0.03064,7
removal_24h,16.7365,0.45961,0.02507,7
removal_24h,17.2257,0.45682,0.02646,7
removal_24h,17.7498,0.46518,0.03064,8
removal_24h,18.2739,0.47354,0.02507,7
removal_24h,18.7631,0.47772,0.02228,7
removal_24h,19.2523,0.48189,0.02925,7
removal_24h,19.7414,0.48329,0.0195,7
removal_24h,20.2306,0.48468,0.02368,7
removal_24h,20.7547,0.48538,0.02368,8
removal_24h,21.2788,0.49164,0.0195,7
removal_24h,21.768,0.49304,0.0195,7
removal_24h,22.2572,0.49582,0.0195,7
removal_24h,22.7463,0.49443,0.0195,7
removal_24h,23.2355,0.49582,0.02228,7
removal_24h,23.7247,0.49443,0.02089,7
removal_24h,24.2488,0.51184,0.01393,8
removal_24h,24.7729,0.54318,0.04318,7
removal_24h,25.2621,0.59471,0.06407,7
removal_24h,25.7512,0.81337,0.08217,7
removal_24h,26.2404,0.8454,0.05432,7
removal_24h,26.7296,0.91643,0.0571,7
removal_24h,27.2537,0.97075,0.05501,8
removal_24h,27.7778,1.02646,0.06128,7
removal_24h,28.2669,1.02646,0.07103,7
removal_24h,28.7561,1.04039,0.09192,7
removal_24h,29.2453,1.08496,0.09053,7
removal_24h,29.7345,1.10028,0.09471,7
removal_24h,30.2236,1.13231,0.07939,7
removal_24h,30.7477,1.15042,0.08078,8
removal_24h,31.2718,1.18384,0.08357,7
removal_24h,31.761,1.22284,0.06964,7
removal_24h,32.2502,1.23398,0.06685,7
removal_24h,32.7393,1.25627,0.06128,7
removal_24h,33.2285,1.27577,0.05571,7
removal_24h,33.7526,1.28273,0.04526,8
removal_24h,34.2767,1.30501,0.04178,7
removal_24h,34.7659,1.32451,0.039,7
removal_24h,35.2551,1.33844,0.03343,7
removal_24h,35.7442,1.35794,0.02786,7
removal_24h,36.2334,1.3649,0.02089,7
