# Digitized from Fig. 1 of Rana et al. (2020), IEEE BIBE 2020, doi:10.1109/BIBE50027.2020.00020
# 600 dpi rasterization of PDF page 4; colour separation; 0.5 h bins. See digitize_rana2020.py for method and caveats.
# spread_au is the half-height of the marker cloud in the bin (digitization uncertainty); n_px_cols is the number of pixel columns merged into the bin.
curve,time_h,ThT_au,spread_au,n_px_cols
addition_24h,5.9217,0.03838,0.0,2
addition_24h,6.3203,0.01806,0.01129,3
addition_24h,6.7189,0.02032,0.01411,4
addition_24h,7.2313,0.02371,0.01693,5
addition_24h,7.7438,0.02371,0.01693,4
addition_24h,8.2562,0.02258,0.01806,5
addition_24h,8.7687,0.02258,0.01806,4
addition_24h,9.2242,0.02314,0.01693,4
addition_24h,9.7367,0.01919,0.01242,5
addition_24h,10.2491,0.01637,0.01072,4
addition_24h,10.7616,0.01806,0.01129,5
addition_24h,11.274,0.01863,0.01185,4
addition_24h,11.7295,0.01919,0.01242,4
addition_24h,12.242,0.01806,0.01129,5
addition_24h,12.7544,0.01806,0.01129,4
addition_24h,13.2669,0.01806,0.01129,5
addition_24h,13.7794,0.01863,0.01355,4
addition_24h,14.2349,0.02371,0.01693,4
addition_24h,14.7473,0.02371,0.01693,5
addition_24h,15.2598,0.02371,0.01693,4
addition_24h,15.7153,0.02371,0.01693,4
addition_24h,16.2278,0.02371,0.01693,5
addition_24h,16.7402,0.02484,0.01806,4
addition_24h,17.2527,0.02371,0.01693,5
addition_24h,17.7651,0.02427,0.01524,4
addition_24h,18.2206,0.02653,0.01919,4
addition_24h,18.7331,0.02709,0.01919,5
addition_24h,19.2456,0.0254,0.01637,4
addition_24h,19.758,0.02371,0.01693,5
addition_24h,20.2705,0.03274,0.01355,4
addition_24h,20.726,0.03048,0.0175,4
addition_24h,21.2384,0.03048,0.01806,5
addition_24h,21.7509,0.02992,0.01806,4
addition_24h,22.2633,0.035,0.01468,5
addition_24h,22.7758,0.035,0.01242,4
addition_24h,23.2313,0.0333,0.01411,4
addition_24h,23.7438,0.03274,0.00903,5
addition_24h,24.2562,0.03725,0.03161,4
addition_24h,24.7687,0.03274,0.03274,5
addition_24h,25.2811,0.03443,0.03161,4
addition_24h,25.7367,0.04008,0.03838,4
addition_24h,26.2491,0.04403,0.0508,5
addition_24h,26.7616,0.04628,0.05814,4
addition_24h,27.2171,0.06378,0.05024,4
addition_24h,27.7295,0.07451,0.07338,5
addition_24h,28.242,0.08128,0.08071,4
addition_24h,28.7544,0.10724,0.08579,5
addition_24h,29.2669,0.15522,0.08692,4
addition_24h,29.7224,0.18627,0.08015,4
addition_24h,30.2349,0.23481,0.07789,5
addition_24h,30.7473,0.27093,0.05475,4
addition_24h,31.2598,0.31157,0.0508,5
addition_24h,31.7722,0.33697,0.05024,4
addition_24h,32.2278,0.35447,0.04967,4
addition_24h,32.7402,0.38156,0.0429,5
addition_24h,33.2527,0.39172,0.02766,4
addition_24h,33.7651,0.39398,0.02935,5
addition_24h,34.2776,0.40019,0.03274,4
addition_24h,34.7331,0.40188,0.03725,4
addition_24h,35.2456,0.41317,0.05644,5
addition_24h,35.758,0.4318,0.06096,4
addition_24h,36.2705,0.45945,0.04628,5
addition_24h,36.7829,0.4826,0.04628,4
addition_24h,37.2384,0.48881,0.04064,4
addition_24h,37.7509,0.50574,0.03274,5
addition_24h,38.2633,0.51421,0.03387,4
addition_24h,38.7189,0.52154,0.02935,4
addition_24h,39.2313,0.53396,0.02596,5
addition_24h,39.7438,0.54017,0.04233,4
addition_24h,40.2562,0.56331,0.03951,5
addition_24h,40.7687,0.57121,0.04233,4
addition_24h,41.2242,0.57573,0.04741,4
addition_24h,41.7367,0.59379,0.05193,5
addition_24h,42.2491,0.62032,0.03951,4
addition_24h,42.7616,0.64008,0.02822,5
addition_24h,43.274,0.64403,0.02427,4
addition_24h,43.7295,0.65588,0.02653,4
addition_24h,44.242,0.66604,0.04516,5
addition_24h,44.7544,0.68467,0.03895,4
addition_24h,45.2669,0.69426,0.03725,5
