# Digitized from Fig. 1 of Rana et al. (2020), IEEE BIBE 2020, doi:10.1109/BIBE50027.2020.00020
# 600 dpi rasterization of PDF page 4; colour separation; 0.5 h bins. See digitize_rana2020.py for method and caveats.
# spread_au is the half-height of the marker cloud in the bin (digitization uncertainty); n_px_cols is the number of pixel columns merged into the bin.
curve,time_h,ThT_au,spread_au,n_px_cols
addition_3h,0.3558,0.0118,0.00295,4
addition_3h,1.2898,0.01032,0.00147,5
addition_3h,1.7346,0.01475,0.0059,5
addition_3h,2.2239,0.01622,0.00737,6
addition_3h,2.7576,0.0177,0.00885,6
addition_3h,3.2468,0.02212,0.01327,5
addition_3h,3.7361,0.05531,0.01622,6
addition_3h,4.2698,0.05973,0.01917,6
addition_3h,4.7591,0.04425,0.0472,5
addition_3h,5.2483,0.01844,0.03982,6
addition_3h,5.7376,0.14454,0.0413,5
addition_3h,6.2268,0.11578,0.04646,6
addition_3h,6.7606,0.11357,0.0767,6
addition_3h,7.2498,0.12242,0.0944,5
addition_3h,7.7391,0.13127,0.10324,6
addition_3h,8.2728,0.14897,0.10472,6
addition_3h,8.762,0.17994,0.10472,5
addition_3h,9.2513,0.20206,0.08997,6
addition_3h,9.7405,0.25811,0.08702,5
addition_3h,10.2298,0.2795,0.08555,6
addition_3h,10.7635,0.32448,0.07301,6
addition_3h,11.2528,0.36873,0.0531,5
addition_3h,11.742,0.44838,0.05383,6
addition_3h,12.2758,0.46165,0.02507,6
addition_3h,12.765,0.45723,0.02507,5
addition_3h,13.2543,0.46534,0.0472,6
addition_3h,13.7435,0.48525,0.03245,5
addition_3h,14.2328,0.49484,0.03245,6
addition_3h,14.7665,0.50664,0.03835,6
addition_3h,15.2557,0.52212,0.04572,5
addition_3h,15.745,0.53687,0.05162,6
addition_3h,16.2342,0.54277,0.03982,5
addition_3h,16.7235,0.54646,0.03761,6
addition_3h,17.2572,0.55826,0.0413,6
addition_3h,17.7465,0.57375,0.03097,5
addition_3h,18.2357,0.58555,0.03024,6
addition_3h,18.7695,0.60546,0.03392,6
addition_3h,19.2587,0.61504,0.03392,5
addition_3h,19.748,0.62463,0.0354,6
addition_3h,20.2372,0.63127,0.03245,5
addition_3h,20.7265,0.63422,0.03024,6
addition_3h,21.2602,0.6615,0.04867,6
addition_3h,21.7494,0.66667,0.04425,5
addition_3h,22.2387,0.66445,0.03687,6
addition_3h,22.7724,0.67035,0.03687,6
addition_3h,23.2617,0.69322,0.03835,5
addition_3h,23.7509,0.69174,0.02802,6
addition_3h,24.2402,0.69912,0.0354,5
addition_3h,24.7294,0.72935,0.0354,6
addition_3h,25.2632,0.72124,0.0236,6
addition_3h,25.7524,0.70944,0.03687,5
addition_3h,26.2417,0.71903,0.05752,6
addition_3h,26.7754,0.72198,0.04204,6
addition_3h,27.2646,0.73304,0.04425,5
addition_3h,27.7539,0.75442,0.03982,6
addition_3h,28.2431,0.76696,0.0354,5
addition_3h,28.7324,0.77581,0.03835,6
addition_3h,29.2661,0.78909,0.03761,6
addition_3h,29.7554,0.78466,0.0354,5
addition_3h,30.2446,0.78909,0.0472,6
addition_3h,30.7339,0.80236,0.03982,5
addition_3h,31.2231,0.80605,0.04204,6
addition_3h,31.7569,0.81121,0.04425,6
addition_3h,32.2461,0.82006,0.04425,5
addition_3h,32.7354,0.82891,0.04646,6
addition_3h,33.2691,0.83997,0.05236,6
addition_3h,33.7583,0.84808,0.0531,5
addition_3h,34.2476,0.84145,0.04646,6
addition_3h,34.7368,0.83038,0.06342,5
addition_3h,35.2261,0.83333,0.04867,6
addition_3h,35.7598,0.8385,0.04056,6
addition_3h,36.2491,0.83923,0.04572,5
addition_3h,36.7383,0.83702,0.05236,6
addition_3h,37.2721,0.84145,0.05088,6
addition_3h,37.7613,0.84218,0.04277,5
addition_3h,38.2506,0.84292,0.05236,6
addition_3h,38.7398,0.84071,0.05752,5
addition_3h,39.2291,0.84808,0.05236,6
addition_3h,39.7628,0.86062,0.05605,6
addition_3h,40.252,0.87021,0.05605,5
addition_3h,40.7413,0.87611,0.04425,6
addition_3h,41.275,0.86799,0.03835,6
addition_3h,41.7643,0.85988,0.03687,5
addition_3h,42.2535,0.85914,0.0354,6
addition_3h,42.7428,0.86431,0.03245,5
addition_3h,43.232,0.87389,0.06563,6
addition_3h,43.7658,0.88717,0.06858,6
addition_3h,44.255,0.88496,0.05015,5
addition_3h,44.7443,0.88643,0.04646,6
addition_3h,45.2335,0.89086,0.04277,5
addition_3h,45.7228,0.89602,0.04204,6
addition_3h,46.2565,0.88569,0.04277,6
addition_3h,46.7457,0.89676,0.05752,5
addition_3h,47.235,0.90855,0.04277,6
addition_3h,47.7687,0.90487,0.01622,6
addition_3h,48.258,0.90708,0.02065,5
addition_3h,48.7472,0.91077,0.07817,6
addition_3h,49.2365,0.9115,0.03687,5
addition_3h,49.7257,0.89159,0.03687,6
addition_3h,50.2595,0.90339,0.06858,6
addition_3h,50.7487,0.9174,0.07965,5
addition_3h,51.238,0.85841,0.05531,6
addition_3h,51.7717,0.88127,0.05752,6
addition_3h,52.2609,0.92478,0.04867,5
addition_3h,52.7502,0.9174,0.07227,6
addition_3h,53.2394,0.92478,0.0472,5
addition_3h,53.7287,0.90192,0.05457,6
addition_3h,54.2624,0.87758,0.08555,6
addition_3h,54.7517,0.94395,0.08112,5
addition_3h,55.2409,0.93953,0.0708,6
addition_3h,55.7746,0.92109,0.05752,6
addition_3h,56.2639,0.9056,0.04867,5
addition_3h,56.7532,0.92404,0.0472,6
addition_3h,57.2424,0.95575,0.06195,5
addition_3h,57.7317,0.96534,0.05973,6
addition_3h,58.2654,0.93289,0.04204,6
addition_3h,58.7546,0.93068,0.07817,5
addition_3h,59.2439,0.93363,0.07596,6
addition_3h,59.6442,0.92183,0.06785,3
fa_control,9.4737,0.0295,0.0,1
fa_control,9.5626,0.0295,0.0,1
fa_control,11.4307,0.0354,0.0,1
fa_control,16.9459,0.05015,0.0,1
fa_control,17.2572,0.05015,0.0,6
fa_control,17.7465,0.05015,0.0,5
fa_control,18.1913,0.05015,0.0,5
fa_control,18.5915,0.0295,0.0,2
fa_control,19.2587,0.05015,0.0,3
fa_control,20.2372,0.00885,0.0,1
fa_control,21.2602,0.00885,0.0,6
fa_control,21.7494,0.00885,0.0,5
fa_control,22.1942,0.00885,0.0,5
fa_control,22.8614,0.00885,0.0,4
fa_control,23.1282,0.00885,0.0,2
fa_control,23.8844,0.00885,0.0,3
fa_control,24.3291,0.04425,0.0,1
fa_control,24.7739,0.05457,0.00147,3
fa_control,25.2632,0.50295,0.02065,6
fa_control,25.7524,0.50147,0.03245,5
fa_control,26.2417,0.50442,0.03024,6
fa_control,26.7754,0.5059,0.03909,6
fa_control,27.2646,0.51622,0.03982,5
fa_control,27.7539,0.52212,0.03024,6
fa_control,28.2431,0.52655,0.03982,5
fa_control,28.7324,0.5295,0.03687,6
fa_control,29.2661,0.53245,0.03909,6
fa_control,29.7554,0.53687,0.04425,5
fa_control,30.2446,0.53982,0.03171,6
fa_control,30.7339,0.54425,0.16814,5
fa_control,31.2231,0.55162,0.12611,6
fa_control,31.7569,0.54867,0.12537,6
fa_control,32.2461,0.55457,0.05605,5
fa_control,32.7354,0.55605,0.05678,6
fa_control,33.2691,0.55531,0.06047,6
fa_control,33.7583,0.56047,0.06195,5
fa_control,34.2476,0.56195,0.0649,6
fa_control,34.7368,0.56195,0.06932,5
fa_control,35.2261,0.56711,0.0708,6
fa_control,35.7598,0.56637,0.06785,6
fa_control,36.2491,0.56932,0.0767,5
fa_control,36.7383,0.57301,0.07448,6
fa_control,37.2721,0.57522,0.08555,6
fa_control,37.7613,0.5767,0.08997,5
fa_control,38.2506,0.61947,0.04646,6
fa_control,38.7398,0.57375,0.07965,5
fa_control,39.2291,0.57522,0.07375,6
fa_control,39.6738,0.58997,0.03687,4
fa_control,40.1631,0.58407,0.01032,3
fa_control,40.6079,0.60619,0.0354,3
fa_control,41.364,0.61947,0.00147,4
fa_control,41.7198,0.62832,0.00442,4
fa_control,42.5649,0.61799,0.00147,1
fa_control,45.7228,0.69764,0.0,2
fa_control,47.1905,0.69912,0.0,1
fa_control,48.3469,0.77876,0.0,3
fa_control,48.7917,0.82891,0.00295,5
fa_control,52.7057,0.79351,0.0,1
fa_control,55.2854,0.91445,0.01475,1
fa_control,56.3973,0.98673,0.00147,2
on_pathway,3.8695,0.0177,0.00885,3
on_pathway,4.1364,0.02212,0.01032,3
on_pathway,5.7821,0.02655,0.01549,4
on_pathway,6.2268,0.02507,0.01622,6
on_pathway,6.7606,0.02507,0.01622,6
on_pathway,7.2498,0.02655,0.0177,5
on_pathway,7.7391,0.02802,0.01917,6
on_pathway,8.2728,0.02802,0.01917,6
on_pathway,8.762,0.02802,0.01917,5
on_pathway,9.2513,0.02655,0.0177,6
on_pathway,9.7405,0.0177,0.00885,5
on_pathway,10.2298,0.02065,0.0118,6
on_pathway,10.7635,0.02065,0.0118,6
on_pathway,11.2528,0.02065,0.0118,5
on_pathway,11.742,0.02286,0.01401,6
on_pathway,12.2758,0.02507,0.01622,6
on_pathway,12.765,0.02507,0.01622,5
on_pathway,13.2543,0.02507,0.01622,6
on_pathway,13.7435,0.02507,0.01622,5
on_pathway,14.2328,0.02802,0.01917,6
on_pathway,14.7665,0.02802,0.01917,6
on_pathway,15.2557,0.02802,0.01917,5
on_pathway,15.745,0.02802,0.01917,6
on_pathway,16.2342,0.02802,0.01917,5
on_pathway,16.7235,0.0295,0.02065,6
on_pathway,17.2572,0.02802,0.01917,6
on_pathway,17.7465,0.02802,0.01917,5
on_pathway,18.2357,0.02802,0.01917,6
on_pathway,18.7695,0.0295,0.02065,6
on_pathway,19.2587,0.02802,0.01917,5
on_pathway,19.748,0.03097,0.02212,6
on_pathway,20.2372,0.03097,0.02212,5
on_pathway,20.7265,0.03097,0.02212,6
