# Digitized from Fig. 5A of Barua & Hlavacek (2013) PLoS Comput Biol 9(9):e1003217.
# Panel: normal cell, full-length APC. Curve traced from the 300-dpi PDF render
# (embedded JPEG, 864x669 px) by darkest-pixel tracing with continuity tracking;
# axes calibrated to the plot frame (x: 1e-2..1e2 log; y: 0..8 linear).
# col1 = relative level of full-length transfected APC (added/endogenous, endogenous=100 nM)
# col2 = relative beta-catenin level (normalized to the nominal normal-cell level, 35 nM)
0.0103447,1.01158
0.0104858,1.00386
0.0106289,1.00386
0.010774,1.00386
0.010921,1.00386
0.0110701,1.00386
0.0112211,1.00386
0.0113743,1.00386
0.0115295,1.00386
0.0116868,1.00386
0.0118463,1.00386
0.012008,1.00386
0.0121719,1.00386
0.012338,1.00386
0.0125063,1.00386
0.012677,1.00386
0.01285,1.00386
0.0130254,1.00386
0.0132031,1.00386
0.0133833,1.00386
0.013566,1.00386
0.0137511,1.00386
0.0139387,1.00386
0.014129,1.00386
0.0143218,1.00386
0.0145172,1.00386
0.0147153,1.00386
0.0149162,1.00386
0.0151197,1.00386
0.0153261,1.00386
0.0155352,1.00386
0.0157472,1.00386
0.0159621,1.00386
0.01618,1.01158
0.0164008,1.00386
0.0166246,1.01158
0.0168514,1.01158
0.0170814,1.01158
0.0173145,1.01158
0.0175508,1.01158
0.0177903,1.01158
0.0180331,1.01158
0.0182792,1.01158
0.0185287,1.01158
0.0187815,1.01158
0.0190378,1.01158
0.0192976,1.01158
0.019561,1.01158
0.0198279,1.01158
0.0200985,1.01158
0.0203728,1.01158
0.0206508,1.01158
0.0209326,1.01158
0.0212183,1.01158
0.0215079,1.01158
0.0218014,1.01158
0.0220989,1.01158
0.0224005,1.01158
0.0227062,1.01158
0.0230161,1.01158
0.0233302,1.01158
0.0236485,1.01158
0.0239713,1.01158
0.0242984,1.01158
0.02463,1.01158
0.0249661,1.01931
0.0253068,1.01931
0.0256522,1.01931
0.0260023,1.01931
0.0263571,1.01931
0.0267168,1.01931
0.0270814,1.01931
0.027451,1.01931
0.0278256,1.01931
0.0282053,1.01931
0.0285902,1.02703
0.0289804,1.02703
0.0293759,1.02703
0.0297768,1.02703
0.0301831,1.02703
0.0305951,1.02703
0.0310126,1.02703
0.0314358,1.02703
0.0318648,1.02703
0.0322997,1.02703
0.0327404,1.02703
0.0331873,1.02703
0.0336402,1.02703
0.0340992,1.02703
0.0345646,1.02703
0.0350363,1.02703
0.0355144,1.02703
0.0359991,1.02703
0.0364904,1.02703
0.0369883,1.02703
0.0374931,1.02703
0.0380048,1.02703
0.0385234,1.02703
0.0390491,1.02703
0.039582,1.02703
0.0401222,1.02703
0.0406698,1.02703
0.0412248,1.02703
0.0417874,1.02703
0.0423576,1.02703
0.0429357,1.02703
0.0435216,1.02703
0.0441155,1.02703
0.0447176,1.02703
0.0453278,1.02703
0.0459464,1.02703
0.0465734,1.02703
0.047209,1.02703
0.0478533,1.02703
0.0485063,1.02703
0.0491683,1.02703
0.0498393,1.02703
0.0505194,1.02703
0.0512089,1.02703
0.0519077,1.02703
0.0526161,1.02703
0.0533341,1.02703
0.054062,1.02703
0.0547997,1.02703
0.0555476,1.02703
0.0563056,1.02703
0.057074,1.02703
0.0578529,1.03475
0.0586424,1.03475
0.0594427,1.03475
0.0602539,1.03475
0.0610762,1.03475
0.0619097,1.04247
0.0627546,1.04247
0.063611,1.04247
0.0644791,1.04247
0.065359,1.04247
0.0662509,1.04247
0.0671551,1.04247
0.0680715,1.04247
0.0690005,1.04247
0.0699421,1.04247
0.0708966,1.04247
0.0718641,1.04247
0.0728448,1.04247
0.0738389,1.04247
0.0748466,1.04247
0.075868,1.04247
0.0769034,1.04247
0.0779529,1.04247
0.0790167,1.04247
0.080095,1.04247
0.0811881,1.04247
0.082296,1.04247
0.0834191,1.04247
0.0845575,1.04247
0.0857115,1.04247
0.0868812,1.04247
0.0880668,1.04247
0.0892687,1.04247
0.0904869,1.04247
0.0917218,1.05019
0.0929735,1.05019
0.0942423,1.05019
0.0955284,1.05019
0.0968321,1.05019
0.0981535,1.05792
0.099493,1.05792
0.100851,1.05792
0.102227,1.05792
0.103622,1.05792
0.105036,1.05792
0.10647,1.05792
0.107923,1.06564
0.109395,1.06564
0.110888,1.06564
0.112402,1.06564
0.113936,1.06564
0.11549,1.06564
0.117067,1.06564
0.118664,1.06564
0.120283,1.06564
0.121925,1.06564
0.123589,1.06564
0.125275,1.06564
0.126985,1.06564
0.128718,1.06564
0.130475,1.06564
0.132255,1.06564
0.13406,1.06564
0.13589,1.07336
0.137744,1.07336
0.139624,1.07336
0.141529,1.07336
0.143461,1.08108
0.145418,1.08108
0.147403,1.08108
0.149415,1.08108
0.151454,1.08108
0.15352,1.08108
0.155616,1.08108
0.157739,1.08108
0.159892,1.08108
0.162074,1.08108
0.164286,1.08108
0.166528,1.08108
0.1688,1.08108
0.171104,1.0888
0.173439,1.0888
0.175806,1.0888
0.178205,1.09653
0.180637,1.09653
0.183102,1.09653
0.185601,1.10425
0.188134,1.10425
0.190701,1.10425
0.193304,1.10425
0.195942,1.10425
0.198616,1.10425
0.201326,1.10425
0.204073,1.10425
0.206858,1.10425
0.209681,1.10425
0.212543,1.11969
0.215443,1.11969
0.218384,1.11969
0.221364,1.11969
0.224385,1.11969
0.227447,1.11969
0.230551,1.11969
0.233697,1.11969
0.236886,1.11969
0.240119,1.11969
0.243396,1.11969
0.246718,1.11969
0.250085,1.12741
0.253497,1.12741
0.256957,1.13514
0.260464,1.13514
0.264018,1.14286
0.267621,1.14286
0.271273,1.14286
0.274975,1.14286
0.278728,1.14286
0.282532,1.14286
0.286387,1.14286
0.290296,1.15058
0.294257,1.1583
0.298273,1.1583
0.302343,1.1583
0.306469,1.1583
0.310652,1.1583
0.314891,1.1583
0.319188,1.16602
0.323544,1.16602
0.32796,1.16602
0.332435,1.16602
0.336972,1.17375
0.341571,1.17375
0.346232,1.18147
0.350957,1.18147
0.355746,1.18147
0.360601,1.18147
0.365522,1.18147
0.370511,1.18919
0.375567,1.18919
0.380692,1.19691
0.385887,1.19691
0.391154,1.20463
0.396492,1.20463
0.401902,1.20463
0.407387,1.20463
0.412947,1.20463
0.418582,1.21236
0.424295,1.22008
0.430085,1.22008
0.435954,1.22008
0.441904,1.22008
0.447934,1.2278
0.454047,1.23552
0.460243,1.23552
0.466524,1.23552
0.472891,1.23552
0.479344,1.24324
0.485886,1.24324
0.492517,1.25869
0.499238,1.25869
0.506051,1.25869
0.512957,1.25869
0.519957,1.25869
0.527053,1.26641
0.534246,1.27413
0.541536,1.28185
0.548927,1.28185
0.556418,1.28185
0.564011,1.28185
0.571708,1.28958
0.57951,1.2973
0.587419,1.2973
0.595435,1.2973
0.603561,1.2973
0.611798,1.30502
0.620147,1.31274
0.62861,1.31274
0.637188,1.31274
0.645884,1.32046
0.654698,1.33591
0.663633,1.33591
0.672689,1.33591
0.681869,1.34363
0.691175,1.35135
0.700607,1.35907
0.710168,1.35907
0.71986,1.35907
0.729684,1.35907
0.739642,1.37452
0.749735,1.37452
0.759967,1.37452
0.770338,1.38224
0.780851,1.38996
0.791507,1.39768
0.802309,1.39768
0.813258,1.40541
0.824356,1.41313
0.835606,1.42085
0.847009,1.42085
0.858568,1.43629
0.870285,1.43629
0.882162,1.43629
0.8942,1.45174
0.906403,1.45174
0.918773,1.45174
0.931311,1.45946
0.944021,1.46718
0.956904,1.4749
0.969963,1.48263
0.983199,1.49035
0.996617,1.49807
1.01022,1.49807
1.024,1.51351
1.03798,1.51351
1.05214,1.52124
1.0665,1.52896
1.08106,1.5444
1.09581,1.5444
1.11076,1.55985
1.12592,1.56757
1.14129,1.57529
1.15686,1.58301
1.17265,1.59073
1.18865,1.59073
1.20487,1.60618
1.22132,1.60618
1.23798,1.62162
1.25488,1.62934
1.272,1.63707
1.28936,1.65251
1.30696,1.65251
1.32479,1.66795
1.34287,1.66795
1.3612,1.67568
1.37978,1.6834
1.39861,1.69112
1.41769,1.69884
1.43704,1.71429
1.45665,1.71429
1.47653,1.72973
1.49668,1.73745
1.5171,1.74517
1.53781,1.76062
1.55879,1.76834
1.58007,1.78378
1.60163,1.79923
1.62349,1.81467
1.64564,1.81467
1.6681,1.83012
1.69086,1.83784
1.71394,1.861
1.73733,1.86873
1.76104,1.88417
1.78507,1.89189
1.80943,1.89961
1.83413,1.91506
1.85916,1.93822
1.88453,1.93822
1.91024,1.95367
1.93631,1.96911
1.96274,1.97683
1.98952,1.99228
2.01667,2
2.0442,2.01544
2.07209,2.03089
2.10037,2.03861
2.12903,2.04633
2.15809,2.06178
2.18754,2.07722
2.21739,2.09266
2.24765,2.10039
2.27833,2.10811
2.30942,2.12355
2.34093,2.13127
2.37288,2.15444
2.40526,2.16988
2.43809,2.17761
2.47136,2.18533
2.50509,2.20077
2.53927,2.22394
2.57393,2.23938
2.60905,2.2471
2.64466,2.27027
2.68075,2.28571
2.71733,2.3166
2.75442,2.32432
2.792,2.33977
2.83011,2.35521
2.86873,2.37838
2.90788,2.40154
2.94756,2.41699
2.98779,2.42471
3.02856,2.44788
3.06989,2.47104
3.11178,2.48649
3.15425,2.50193
3.1973,2.51737
3.24093,2.54054
3.28516,2.55598
3.32999,2.57143
3.37543,2.59459
3.4215,2.61004
3.46819,2.62548
3.51552,2.64865
3.5635,2.67181
3.61213,2.67954
3.66142,2.7027
3.71139,2.71815
3.76204,2.73359
3.81338,2.76448
3.86542,2.7722
3.91817,2.78764
3.97164,2.81081
4.02584,2.8417
4.08078,2.85714
4.13647,2.87259
4.19292,2.89575
4.25014,2.92664
4.30814,2.94981
4.36693,2.97297
4.42653,2.98842
4.48694,3.01158
4.54817,3.03475
4.61024,3.06564
4.67315,3.08108
4.73693,3.09653
4.80157,3.12741
4.8671,3.1583
4.93352,3.17375
5.00085,3.18919
5.06909,3.22008
5.13827,3.25097
5.20839,3.26641
5.27947,3.28958
5.35152,3.30502
5.42455,3.32819
5.49858,3.35907
5.57361,3.38224
5.64968,3.40541
5.72678,3.42857
5.80493,3.44402
5.88415,3.48263
5.96445,3.49807
6.04584,3.52124
6.12835,3.5444
6.21198,3.57529
6.29676,3.60618
6.38269,3.62934
6.46979,3.65251
6.55809,3.67568
6.64758,3.70656
6.7383,3.74517
6.83026,3.76062
6.92347,3.78378
7.01795,3.80695
7.11373,3.83784
7.21081,3.86873
7.30921,3.89961
7.40896,3.91506
7.51007,3.94595
7.61256,3.97683
7.71644,4.00772
7.82175,4.02317
7.92849,4.04633
8.03669,4.07722
8.14637,4.10811
8.25754,4.139
8.37023,4.16216
8.48446,4.17761
8.60024,4.21622
8.71761,4.2471
8.83658,4.27027
8.95717,4.30116
9.07941,4.32432
9.20331,4.35521
9.32891,4.3861
9.45622,4.40927
9.58526,4.43243
9.71607,4.46332
9.84867,4.49421
9.98307,4.5251
10.1193,4.55598
10.2574,4.56371
10.3974,4.59459
10.5393,4.6332
10.6831,4.66409
10.8289,4.68726
10.9767,4.7027
11.1265,4.74131
11.2783,4.76448
11.4322,4.80309
11.5882,4.82625
11.7464,4.8417
11.9067,4.87259
12.0692,4.9112
12.2339,4.93436
12.4008,4.95753
12.5701,4.98069
12.7416,5.01158
12.9155,5.04247
13.0918,5.07336
13.2704,5.0888
13.4515,5.11969
13.6351,5.15058
13.8212,5.18147
14.0098,5.21236
14.201,5.2278
14.3948,5.25869
14.5912,5.28958
14.7903,5.32046
14.9922,5.33591
15.1968,5.3668
15.4042,5.38224
15.6144,5.41313
15.8275,5.44402
16.0435,5.45946
16.2624,5.4749
16.4843,5.50579
16.7093,5.52896
16.9373,5.56757
17.1685,5.58301
17.4028,5.59846
17.6403,5.62934
17.881,5.65251
18.125,5.67568
18.3724,5.69112
18.6231,5.72201
18.8772,5.74517
19.1348,5.76834
19.396,5.79923
19.6607,5.81467
19.929,5.83784
20.2009,5.861
20.4766,5.89189
20.7561,5.90734
21.0393,5.93822
21.3264,5.96139
21.6175,5.98456
21.9125,6.01544
22.2115,6.03089
22.5146,6.04633
22.8219,6.07722
23.1333,6.10811
23.449,6.13127
23.769,6.15444
24.0934,6.16988
24.4222,6.20077
24.7555,6.22394
25.0933,6.25483
25.4358,6.25483
25.7829,6.27799
26.1348,6.30116
26.4914,6.3166
26.8529,6.33977
27.2194,6.35521
27.5909,6.36293
27.9674,6.39382
28.3491,6.40927
28.7359,6.42471
29.1281,6.44015
29.5256,6.47104
29.9285,6.48649
30.337,6.50193
30.751,6.51737
31.1706,6.53282
31.596,6.55598
32.0272,6.57915
32.4643,6.59459
32.9073,6.61776
33.3564,6.62548
33.8116,6.64865
34.273,6.67181
34.7407,6.68726
35.2148,6.7027
35.6954,6.71815
36.1825,6.73359
36.6763,6.76448
37.1768,6.77992
37.6842,6.78764
38.1984,6.81081
38.7197,6.83398
39.2481,6.84942
39.7837,6.86486
40.3267,6.88031
40.877,6.89575
41.4348,6.9112
42.0003,6.92664
42.5735,6.93436
43.1545,6.94208
43.7434,6.95753
44.3404,6.98069
44.9455,6.98842
45.5588,7.00386
46.1806,7.01931
46.8108,7.01931
47.4496,7.03475
48.0971,7.05792
48.7535,7.06564
49.4188,7.08108
50.0933,7.09653
50.7769,7.10425
51.4698,7.12741
52.1722,7.14286
52.8842,7.14286
53.6059,7.1583
54.3375,7.17375
55.079,7.18919
55.8307,7.19691
56.5926,7.22008
57.3649,7.23552
58.1477,7.23552
58.9413,7.25097
59.7456,7.25869
60.561,7.28185
61.3874,7.28958
62.2252,7.2973
63.0744,7.30502
63.9351,7.31274
64.8076,7.32046
65.6921,7.33591
66.5886,7.35135
67.4973,7.35907
68.4184,7.3668
69.3521,7.37452
70.2985,7.38224
71.2579,7.39768
72.2303,7.39768
73.2161,7.41313
74.2152,7.42857
75.228,7.44402
76.2547,7.44402
77.2953,7.45174
78.3501,7.45946
79.4194,7.4749
80.5032,7.48263
81.6018,7.49035
82.7154,7.49807
83.8442,7.50579
84.9884,7.52124
86.1483,7.52124
87.3239,7.53668
88.5156,7.53668
89.7236,7.5444
90.948,7.55212
92.1892,7.56757
93.4473,7.56757
94.7225,7.58301
96.0152,7.58301
