# Digitized from Fig. 6A of Barua & Hlavacek (2013) PLoS Comput Biol 9(9):e1003217.
# Panel: SW480 cell, transfected APC1338 (APC-B; label 'APC 1338 / APC 21 / APC 22').
# Curve traced from the 300-dpi PDF render (embedded JPEG, 1461x1089 px, top-left panel)
# by darkest-pixel tracing with continuity tracking; axes calibrated to the plot frame
# (x: 1e-2..1e2 log; y: 0..8 linear).
# col1 = relative level of transfected APC1338 (added/endogenous, endogenous=100 nM)
# col2 = relative beta-catenin level (normalized to the nominal normal-cell level, 35 nM)
0.0103926,3.69231
0.0105539,3.69231
0.0107177,3.69231
0.010884,3.69231
0.011053,3.7011
0.0112245,3.68352
0.0113987,3.69231
0.0115756,3.7011
0.0117553,3.69231
0.0119378,3.69231
0.0121231,3.69231
0.0123112,3.7011
0.0125023,3.7011
0.0126964,3.7011
0.0128934,3.7011
0.0130935,3.7011
0.0132968,3.7011
0.0135031,3.7011
0.0137127,3.7011
0.0139256,3.7011
0.0141417,3.7011
0.0143612,3.7011
0.0145841,3.7011
0.0148105,3.7011
0.0150403,3.7011
0.0152738,3.7011
0.0155108,3.7011
0.0157516,3.7011
0.0159961,3.7011
0.0162444,3.7011
0.0164965,3.7011
0.0167525,3.7011
0.0170125,3.7011
0.0172766,3.7011
0.0175447,3.7011
0.0178171,3.7011
0.0180936,3.7011
0.0183744,3.71868
0.0186596,3.71868
0.0189492,3.71868
0.0192434,3.71868
0.019542,3.71868
0.0198454,3.71868
0.0201534,3.71868
0.0204662,3.71868
0.0207838,3.71868
0.0211064,3.71868
0.021434,3.71868
0.0217667,3.71868
0.0221045,3.71868
0.0224476,3.71868
0.022796,3.71868
0.0231499,3.71868
0.0235092,3.71868
0.0238741,3.71868
0.0242446,3.71868
0.0246209,3.71868
0.0250031,3.71868
0.0253911,3.71868
0.0257852,3.71868
0.0261855,3.71868
0.0265919,3.71868
0.0270046,3.71868
0.0274238,3.72747
0.0278494,3.72747
0.0282817,3.73626
0.0287206,3.73626
0.0291664,3.73626
0.0296191,3.73626
0.0300788,3.73626
0.0305457,3.73626
0.0310198,3.73626
0.0315012,3.73626
0.0319902,3.73626
0.0324867,3.73626
0.0329909,3.73626
0.033503,3.73626
0.034023,3.73626
0.0345511,3.73626
0.0350873,3.73626
0.0356319,3.73626
0.036185,3.73626
0.0367466,3.74505
0.037317,3.74505
0.0378962,3.74505
0.0384844,3.75385
0.0390817,3.75385
0.0396883,3.75385
0.0403043,3.75385
0.0409298,3.75385
0.0415651,3.75385
0.0422103,3.75385
0.0428654,3.75385
0.0435307,3.75385
0.0442064,3.75385
0.0448925,3.75385
0.0455893,3.75385
0.0462969,3.76264
0.0470155,3.77143
0.0477452,3.77143
0.0484863,3.77143
0.0492388,3.77143
0.0500031,3.77143
0.0507792,3.77143
0.0515673,3.77143
0.0523677,3.77143
0.0531805,3.77143
0.0540059,3.77143
0.0548442,3.77143
0.0556954,3.78022
0.0565599,3.78022
0.0574377,3.78901
0.0583292,3.78901
0.0592346,3.78901
0.060154,3.78901
0.0610876,3.78901
0.0620358,3.78901
0.0629986,3.78901
0.0639764,3.78901
0.0649694,3.7978
0.0659778,3.80659
0.0670019,3.80659
0.0680418,3.80659
0.0690979,3.80659
0.0701704,3.80659
0.0712595,3.80659
0.0723655,3.80659
0.0734887,3.81538
0.0746294,3.82418
0.0757877,3.82418
0.076964,3.82418
0.0781586,3.82418
0.0793717,3.83297
0.0806036,3.83297
0.0818547,3.83297
0.0831251,3.83297
0.0844153,3.84176
0.0857256,3.84176
0.0870561,3.85055
0.0884073,3.85055
0.0897795,3.85055
0.091173,3.85934
0.0925881,3.85934
0.0940252,3.85934
0.0954846,3.85934
0.0969666,3.86813
0.0984716,3.87692
0.1,3.87692
0.101552,3.87692
0.103128,3.87692
0.104729,3.87692
0.106354,3.89451
0.108005,3.89451
0.109682,3.89451
0.111384,3.89451
0.113113,3.91209
0.114868,3.91209
0.116651,3.91209
0.118462,3.91209
0.120301,3.91209
0.122168,3.92967
0.124064,3.92967
0.12599,3.92967
0.127945,3.92967
0.129931,3.92967
0.131948,3.94725
0.133996,3.94725
0.136075,3.94725
0.138187,3.94725
0.140332,3.94725
0.14251,3.94725
0.144722,3.96484
0.146968,3.96484
0.14925,3.96484
0.151566,3.96484
0.153919,3.98242
0.156308,3.98242
0.158734,3.99121
0.161197,3.99121
0.163699,4.00879
0.16624,4.00879
0.16882,4.01758
0.171441,4.02637
0.174102,4.02637
0.176804,4.03516
0.179548,4.04396
0.182335,4.04396
0.185165,4.05275
0.188039,4.05275
0.190957,4.07033
0.193921,4.07033
0.196931,4.07033
0.199988,4.08791
0.203092,4.08791
0.206244,4.08791
0.209445,4.10549
0.212696,4.10549
0.215997,4.10549
0.21935,4.11429
0.222754,4.12308
0.226212,4.12308
0.229723,4.13187
0.233288,4.14066
0.236909,4.14066
0.240586,4.14066
0.24432,4.15824
0.248113,4.15824
0.251964,4.16703
0.255874,4.18462
0.259846,4.18462
0.263879,4.2022
0.267975,4.2022
0.272134,4.21978
0.276358,4.22857
0.280647,4.23736
0.285003,4.24615
0.289427,4.25495
0.293919,4.26374
0.298481,4.27253
0.303114,4.28132
0.307818,4.29011
0.312596,4.2989
0.317448,4.30769
0.322375,4.31648
0.327379,4.32527
0.33246,4.33407
0.33762,4.34286
0.34286,4.36044
0.348182,4.36044
0.353586,4.37802
0.359074,4.37802
0.364647,4.3956
0.370307,4.4044
0.376055,4.41319
0.381891,4.42198
0.387819,4.43077
0.393838,4.43956
0.399951,4.44835
0.406159,4.46593
0.412463,4.48352
0.418865,4.48352
0.425366,4.5011
0.431968,4.51868
0.438673,4.53626
0.445481,4.55385
0.452396,4.55385
0.459417,4.57143
0.466548,4.58901
0.473789,4.60659
0.481143,4.62418
0.488611,4.62418
0.496195,4.64176
0.503896,4.65934
0.511717,4.67692
0.51966,4.67692
0.527725,4.69451
0.535916,4.71209
0.544234,4.72088
0.552681,4.73846
0.56126,4.74725
0.569971,4.76484
0.578818,4.78242
0.587802,4.8
0.596925,4.81758
0.60619,4.81758
0.615599,4.83516
0.625153,4.86154
0.634857,4.87912
0.64471,4.8967
0.654717,4.91429
0.664879,4.94066
0.675198,4.95824
0.685678,4.97582
0.696321,4.99341
0.707128,5.01099
0.718104,5.01978
0.72925,5.03736
0.740568,5.05495
0.752063,5.07253
0.763736,5.0989
0.77559,5.11648
0.787628,5.14286
0.799853,5.16044
0.812267,5.17802
0.824875,5.1956
0.837678,5.21319
0.850679,5.23956
0.863883,5.26593
0.877291,5.28352
0.890908,5.30989
0.904736,5.32747
0.918778,5.35385
0.933039,5.37143
0.947521,5.3978
0.962227,5.40659
0.977162,5.43297
0.992329,5.45934
1.00773,5.47692
1.02337,5.51209
1.03926,5.52967
1.05539,5.55604
1.07177,5.59121
1.0884,5.60879
1.1053,5.64396
1.12245,5.66154
1.13987,5.67912
1.15756,5.70549
1.17553,5.73187
1.19378,5.74945
1.21231,5.78462
1.23112,5.81099
1.25023,5.84615
1.26964,5.86374
1.28934,5.89011
1.30935,5.91648
1.32968,5.93407
1.35031,5.96044
1.37127,5.98681
1.39256,6.01319
1.41417,6.03956
1.43612,6.06593
1.45841,6.09231
1.48105,6.11868
1.50403,6.14505
1.52738,6.16264
1.55108,6.18022
1.57516,6.21538
1.59961,6.23297
1.62444,6.25934
1.64965,6.28571
1.67525,6.31209
1.70125,6.32967
1.72766,6.35604
1.75447,6.39121
1.78171,6.40879
1.80936,6.42637
1.83744,6.44396
1.86596,6.47033
1.89492,6.4967
1.92434,6.52308
1.9542,6.54945
1.98454,6.56703
2.01534,6.6022
2.04662,6.62857
2.07838,6.63736
2.11064,6.66374
2.1434,6.68132
2.17667,6.70769
2.21045,6.73407
2.24476,6.76044
2.2796,6.78681
2.31499,6.81319
2.35092,6.83956
2.38741,6.85714
2.42446,6.88352
2.46209,6.9011
2.50031,6.90989
2.53911,6.93626
2.57852,6.94505
2.61855,6.96264
2.65919,6.98022
2.70046,6.98901
2.74238,7.00659
2.78494,7.01538
2.82817,7.03297
2.87206,7.04176
2.91664,7.05055
2.96191,7.06813
3.00788,7.08571
3.05457,7.1033
3.10198,7.11209
3.15012,7.12088
3.19902,7.13846
3.24867,7.15604
3.29909,7.16484
3.3503,7.17363
3.4023,7.19121
3.45511,7.20879
3.50873,7.22637
3.56319,7.23516
3.6185,7.24396
3.67466,7.26154
3.7317,7.27912
