# Fig. 5A: normalized % phosphorylation of wild-type CD3z (ABC trace only) vs log10(LCK/phosphatase)
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
log10_lck_over_phosphatase,ABC
-1.92705,1.82927
-1.91489,1.82927
-1.89058,1.82927
-1.87842,1.82927
-1.86626,1.82927
-1.8541,1.82927
-1.84195,1.82927
-1.82979,1.82927
-1.81763,1.82927
-1.80547,1.98171
-1.79331,1.98171
-1.78116,1.98171
-1.769,1.98171
-1.75684,1.98171
-1.74468,2.13415
-1.73252,2.13415
-1.72036,2.13415
-1.70821,2.13415
-1.69605,2.13415
-1.68389,2.13415
-1.67173,2.13415
-1.65957,2.28659
-1.64742,2.43902
-1.63526,2.43902
-1.6231,2.43902
-1.61094,2.43902
-1.59878,2.43902
-1.58663,2.43902
-1.57447,2.43902
-1.56231,2.43902
-1.55015,2.43902
-1.53799,2.43902
-1.50152,2.7439
-1.48936,2.7439
-1.4772,2.7439
-1.46505,2.7439
-1.45289,2.7439
-1.44073,2.7439
-1.42857,2.7439
-1.41641,2.7439
-1.40426,2.7439
-1.3921,2.7439
-1.37994,2.89634
-1.36778,2.89634
-1.35562,2.89634
-1.34347,2.89634
-1.33131,3.04878
-1.31915,3.04878
-1.30699,3.20122
-1.29483,3.20122
-1.28267,3.20122
-1.27052,3.20122
-1.25836,3.20122
-1.2462,3.35366
-1.23404,3.35366
-1.22188,3.35366
-1.20973,3.35366
-1.19757,3.35366
-1.18541,3.35366
-1.17325,3.35366
-1.16109,3.35366
-1.14894,3.65854
-1.13678,3.65854
-1.12462,3.81098
-1.11246,3.96341
-1.1003,3.96341
-1.08815,3.96341
-1.07599,4.11585
-1.06383,4.11585
-1.05167,4.11585
-1.03951,4.11585
-1.02736,4.26829
-1.0152,4.42073
-1.00304,4.57317
-0.990881,4.57317
-0.978723,4.57317
-0.966565,4.57317
-0.954407,4.72561
-0.942249,4.87805
-0.930091,4.87805
-0.917933,4.87805
-0.905775,5.03049
-0.893617,5.03049
-0.881459,5.18293
-0.869301,5.33537
-0.857143,5.33537
-0.844985,5.4878
-0.832827,5.4878
-0.820669,5.79268
-0.808511,5.94512
-0.796353,5.94512
