# Fig. S5A: competitive inhibition model fit, wild-type CD3z, 10% POPS (biological replicate 2)
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
time_min,A1,A2,B1,B2,C1,C2
0.099994,1.56597e-05,1.56597e-05,1.56597e-05,1.56597e-05,1.56597e-05,1.56597e-05
0.099994,1.56597e-05,1.56597e-05,1.56597e-05,1.56597e-05,1.56597e-05,1.56597e-05
0.111445,0.130693,1.56597e-05,1.56597e-05,0.0609896,1.56597e-05,1.56597e-05
0.124197,0.261371,0.0609896,0.0609896,0.19169,0.0609896,0.0609896
0.138409,0.453045,0.130693,0.130693,0.261371,0.0609896,0.0609896
0.155178,0.653449,0.19169,0.19169,0.392049,0.130693,0.130693
0.172948,0.914805,0.261371,0.322368,0.522727,0.130693,0.19169
0.192738,1.10648,0.322368,0.392049,0.714401,0.19169,0.261371
0.214792,1.43754,0.392049,0.453045,0.845101,0.261371,0.322368
0.239371,1.69889,0.453045,0.583723,1.04548,0.322368,0.392049
0.266782,2.02125,0.583723,0.714401,1.23716,0.392049,0.453045
0.299104,2.35233,0.653449,0.845101,1.49854,0.453045,0.522727
0.33333,2.74438,0.784127,0.975801,1.75989,0.522727,0.653449
0.371472,3.19741,0.914805,1.10648,2.02125,0.653449,0.714401
0.414011,3.65917,1.04548,1.30686,2.28265,0.714401,0.845101
0.461384,4.18191,1.23716,1.49854,2.61371,0.845101,0.975801
0.514179,4.70466,1.36783,1.69889,2.93606,0.914805,1.10648
0.576521,5.28837,1.56822,1.89057,3.32809,1.04548,1.23716
0.642491,5.9418,1.75989,2.15197,3.78985,1.17616,1.43754
0.716009,6.66494,1.96029,2.41332,4.18191,1.30686,1.56822
0.797941,7.38803,2.15197,2.67468,4.70466,1.49854,1.75989
0.889317,8.17217,2.41332,3.00574,5.2274,1.62921,1.96029
0.991078,9.01723,2.67468,3.32809,5.75013,1.82957,2.22165
1.10448,10.0017,3.00574,3.65917,6.40354,2.02125,2.41332
1.23859,10.9775,3.32809,4.05123,6.98727,2.28265,2.67468
1.38032,12.023,3.65917,4.44328,7.71039,2.48301,3.00574
1.53827,13.1382,3.98153,4.89634,8.43352,2.74438,3.26714
1.71429,14.3143,4.37358,5.35807,9.21764,3.00574,3.58949
1.91045,15.6212,4.76566,5.88083,10.0627,3.26714,3.92055
2.12906,16.928,5.2274,6.40354,10.9775,3.58949,4.31258
2.38605,18.3656,5.68043,6.98727,11.962,3.92055,4.70466
2.65907,19.8641,6.20318,7.57971,12.9378,4.31258,5.0967
2.96334,21.4323,6.72592,8.23314,14.053,4.63494,5.54975
3.30243,23.0702,7.31835,8.95628,15.1594,5.0967,6.01151
3.68032,24.8301,7.97179,9.67067,16.4053,5.48875,6.53424
4.10474,26.5987,8.6252,10.4548,17.6425,5.9418,7.05697
4.6002,28.498,9.27863,11.3086,18.9493,6.46454,7.64943
5.12659,30.4583,10.0017,12.1537,20.3868,6.9263,8.30285
5.71321,32.5492,10.7859,13.1382,21.8941,7.51876,8.95628
6.36695,34.6402,11.6309,14.114,23.3926,8.10246,9.60969
7.09549,36.8618,12.4848,15.1594,25.0305,8.69488,10.3241
7.90741,39.1444,13.4605,16.2746,26.7294,9.40931,11.1082
8.81224,41.4358,14.445,17.3811,28.559,10.0627,11.962
9.88385,43.8578,15.4208,18.627,30.3886,10.8468,12.8071
11.0148,46.3408,16.536,19.9338,32.3488,11.6309,13.7219
12.2752,48.8238,17.7121,21.3016,34.3091,12.4848,14.7064
13.6798,51.3678,18.9493,22.7391,36.4001,13.3298,15.7519
15.2452,53.9815,20.1952,24.2464,38.5607,14.3143,16.8583
16.9896,56.6649,21.563,25.8146,40.7823,15.2901,18.0345
19.0403,59.2786,23.0005,27.4525,43.1347,16.3356,19.2804
21.2191,61.962,24.5078,29.2124,45.487,17.5117,20.5175
23.6471,64.6367,26.076,31.042,47.909,18.6879,21.8941
26.353,67.3201,27.7749,32.9413,50.453,19.9338,23.3316
29.3685,69.9337,29.5435,34.9625,53.0057,21.2406,24.8998
32.7553,72.5474,31.373,36.9925,55.5497,22.6782,26.468
36.709,75.0915,33.2636,39.1444,58.2331,24.1767,28.1669
40.9095,77.5744,35.2936,41.4358,60.9165,25.7536,29.9355
45.5907,79.9965,37.3846,43.7271,63.5912,27.3828,31.8261
50.8075,82.2878,39.6062,46.1404,66.2745,29.1514,33.7864
56.6211,84.5094,41.8888,48.6234,68.9493,30.981,35.8163
63.1002,86.5307,44.2498,51.2371,71.6326,32.9413,37.9683
70.3206,88.491,46.7328,53.8508,74.2463,34.9625,40.2596
78.8719,90.2595,49.2769,56.5342,76.86,37.1232,42.6119
87.897,91.8888,51.8906,59.2786,79.343,39.3448,45.034
97.9546,93.3263,54.5739,62.0927,81.765,41.7581,47.5779
109.163,94.6331,57.3793,64.898,84.1174,44.1801,50.1916
121.655,95.7483,60.1934,67.7731,86.2693,46.7328,52.936
135.575,96.7328,63.0684,70.5872,88.3603,49.4075,55.7501
151.94,97.5169,66.0132,73.3925,90.2595,52.1519,58.6252
169.326,98.1704,68.8882,76.2066,91.9585,55.027,61.5699
188.701,98.6931,71.8243,78.89,93.457,57.9717,64.506
210.294,99.0851,74.6994,81.5037,94.8335,60.9775,67.5117
234.357,99.4075,77.5135,84.0477,96.0097,63.9832,70.5175
261.173,99.6079,80.2578,86.4,96.9942,67.0587,73.5232
292.933,99.7386,82.9412,88.5607,97.7783,70.1254,76.468
326.453,99.8693,85.4242,90.582,98.4317,73.2009,79.2821
363.808,99.9302,87.7766,92.4115,98.8848,76.2066,82.0875
405.437,99.9302,89.9285,93.9797,99.2768,79.1513,84.7011
451.83,99.9999,91.8278,95.4173,99.5382,82.0264,87.1231
503.532,99.9999,93.5267,96.5324,99.7386,84.7011,89.4058
561.149,99.9999,95.0252,97.5169,99.7996,87.1841,91.4357
629.389,99.9999,96.2711,98.2313,99.9302,89.4755,93.2653
701.405,99.9999,97.3165,98.8238,99.9302,91.5664,94.8335
781.666,99.9999,98.1007,99.2158,99.9999,93.396,96.1404
871.11,99.9999,98.754,99.5382,99.9999,94.9642,97.1859
970.789,99.9999,99.1461,99.7386,99.9999,96.2711,98.0397
1000.05,99.9999,99.2768,99.7386,99.9999,96.6021,98.2313
