# Fig. S5C: competitive inhibition model fit, wild-type CD3z, 45% POPS
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
time_min,A1,A2,B1,B2,C1,C2
0.0999934,0.000378534,0.000378534,0.000378534,0.000378534,0.000378534,0.000378534
0.0999934,0.000378534,0.000378534,0.000378534,0.000378534,0.000378534,0.000378534
0.111435,0.131056,0.000378534,0.000378534,0.061375,0.000378534,0.000378534
0.124186,0.261734,0.061375,0.061375,0.192053,0.000378534,0.061375
0.138396,0.453408,0.131056,0.131056,0.261734,0.061375,0.061375
0.154232,0.653812,0.192053,0.192053,0.392457,0.131056,0.131056
0.172987,0.915168,0.261734,0.322731,0.523135,0.131056,0.192053
0.192781,1.10684,0.322731,0.392457,0.714809,0.192053,0.261734
0.21484,1.4379,0.392457,0.453408,0.845487,0.261734,0.322731
0.239423,1.6993,0.453408,0.584109,1.04587,0.322731,0.392457
0.266818,2.02165,0.584109,0.714809,1.23754,0.392457,0.453408
0.297349,2.35271,0.653812,0.845487,1.4989,0.453408,0.523135
0.333508,2.74475,0.78449,0.976164,1.76025,0.523135,0.653812
0.37167,3.19782,0.915168,1.10684,2.02165,0.584109,0.714809
0.414199,3.65956,1.04587,1.30722,2.28301,0.714809,0.845487
0.461592,4.18229,1.17655,1.4989,2.61407,0.845487,0.976164
0.51441,4.70503,1.36822,1.6993,2.93642,0.915168,1.10684
0.573272,5.28876,1.56858,1.89098,3.3285,1.04587,1.23754
0.63887,5.94219,1.76025,2.15233,3.79024,1.17655,1.4379
0.715983,6.6653,1.96066,2.41369,4.18229,1.30722,1.56858
0.79791,7.38844,2.15233,2.67507,4.70503,1.4989,1.76025
0.889208,8.17253,2.41369,3.00615,5.22776,1.62958,1.96066
0.990957,9.01764,2.67507,3.3285,5.75052,1.82998,2.22201
1.10435,10.0021,3.00615,3.65956,6.40395,2.02165,2.41369
1.23071,10.9779,3.3285,4.05159,6.99636,2.28301,2.67507
1.38037,12.0234,3.65956,4.44367,7.71079,2.48339,3.00615
1.53832,13.1386,3.98191,4.8967,8.43389,2.74475,3.2675
1.71434,14.3147,4.37394,5.35846,9.21802,3.00615,3.58985
1.91051,15.6215,4.76602,5.88119,10.0631,3.2675,3.92091
2.12912,16.9284,5.22776,6.40395,10.9779,3.58985,4.31299
2.37275,18.366,5.68081,6.99636,11.9624,3.92091,4.70503
2.66127,19.8645,6.20354,7.58012,12.9382,4.31299,5.09708
2.96579,21.4327,6.72628,8.23353,14.0533,4.63534,5.55011
3.30514,23.0706,7.31872,8.95664,15.1598,5.09708,6.01187
3.68335,24.8392,7.97215,9.67105,16.4057,5.48914,6.53463
4.1048,26.5991,8.62556,10.4552,17.6428,5.94219,7.05736
4.57452,28.4983,9.27899,11.309,18.9497,6.46492,7.6498
5.12666,30.4586,10.0021,12.1541,20.3872,6.92668,8.30321
5.71326,32.5496,10.7862,13.1386,21.8944,7.51912,8.95664
6.36703,34.6405,11.6313,14.1143,23.393,8.10283,9.61005
7.09555,36.8622,12.4851,15.1598,25.0309,8.69529,10.3245
7.9075,39.1448,13.3999,16.275,26.7298,9.40967,11.1086
8.81229,41.4361,14.4454,17.3815,28.5593,10.0631,11.9624
9.82064,43.8582,15.4212,18.6273,30.3889,10.8472,12.8075
11.0148,46.3412,16.5364,19.9342,32.3492,11.6313,13.7223
12.2752,48.8242,17.7125,21.302,34.3095,12.4851,14.7068
13.6798,51.3682,18.9497,22.7395,36.4004,13.3302,15.7523
15.2451,53.9819,20.1955,24.2468,38.5611,14.3147,16.8587
16.9896,56.6653,21.5634,25.815,40.7827,15.2905,18.0349
18.9336,59.279,23.0009,27.4529,43.135,16.336,19.2807
21.2361,61.9624,24.5081,29.2128,45.4874,17.5121,20.5179
23.6659,64.637,26.0763,31.0424,47.9094,18.6883,21.8944
26.3738,67.3204,27.7752,32.9416,50.4534,19.9342,23.332
29.3918,69.9341,29.5438,34.9629,53.0061,21.241,24.9002
32.7548,72.5478,31.3734,36.9929,55.5501,22.6785,26.4684
36.503,75.0918,33.264,39.1448,58.2335,24.177,28.1673
40.9088,77.5748,35.294,41.4361,60.9169,25.754,29.9359
45.5899,79.9968,37.3849,43.7275,63.5916,27.3832,31.8265
50.8065,82.2882,39.6065,46.1408,66.275,29.1518,33.7867
56.6201,84.5098,41.8892,48.6238,68.9497,30.9814,35.8167
63.0986,86.5311,44.2502,51.2375,71.633,32.9416,37.9687
70.3188,88.4913,46.7332,53.8512,74.2467,34.9629,40.26
78.3651,90.2599,49.2772,56.5346,76.8604,37.1236,42.6123
87.8943,91.8891,51.8909,59.279,79.3434,39.3452,45.0343
97.9521,93.3267,54.5743,62.093,81.7654,41.7585,47.5783
109.16,94.6335,57.3797,64.8984,84.1178,44.1805,50.192
121.651,95.7487,60.1938,67.7735,86.2697,46.7332,52.9364
135.571,96.7332,63.0688,70.5875,88.3607,49.4079,55.7505
151.083,97.5173,66.0136,73.3929,90.1902,52.1523,58.6255
169.455,98.1707,68.8886,76.207,91.9588,55.0274,61.5703
188.845,98.6935,71.8247,78.8904,93.4574,57.9721,64.5063
210.454,99.0855,74.6998,81.504,94.8339,60.9779,67.5121
234.535,99.4079,77.5138,84.0481,96.0101,63.9836,70.5178
261.371,99.6083,80.2582,86.4004,96.9946,67.0591,73.5236
291.279,99.7389,82.9416,88.561,97.7787,70.1258,76.4684
326.439,99.8696,85.4246,90.5823,98.4321,73.2012,79.2824
363.79,99.9306,87.7769,92.4119,98.8851,76.207,82.0878
