# Fig. S5D: competitive inhibition model fit, CD3z A1 tyrosine-to-phenylalanine mutant, 10% POPS
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
time_min,A1,A2,B1,B2,C1,C2
0.0999951,-0.000384293,-0.000384293,-0.000384293,-0.000384293,-0.000384293,-0.000384293
0.0999951,-0.000384293,-0.000384293,-0.000384293,-0.000384293,-0.000384293,-0.000384293
0.111446,-0.000384293,0.069297,0.069297,0.130316,-0.000384293,-0.000384293
0.124197,-0.000384293,0.130316,0.130316,0.260994,0.069297,0.069297
0.138408,-0.000384293,0.20002,0.260994,0.461375,0.130316,0.130316
0.154245,-0.000384293,0.260994,0.391672,0.653027,0.20002,0.260994
0.172945,-0.000384293,0.391672,0.522349,0.914405,0.260994,0.330698
0.192734,-0.000384293,0.522349,0.653027,1.11479,0.330698,0.391672
0.214787,-0.000384293,0.653027,0.783727,1.37616,0.391672,0.522349
0.239363,-0.000384293,0.783727,0.984109,1.69849,0.522349,0.653027
0.266773,-0.000384293,0.914405,1.11479,2.0296,0.653027,0.722731
0.297298,-0.000384293,1.11479,1.37616,2.35193,0.722731,0.914405
0.333315,-0.000384293,1.24549,1.56782,2.74401,0.853431,1.04508
0.371453,-0.000384293,1.43714,1.82922,3.13604,0.984109,1.17578
0.413989,-0.000384293,1.69849,2.09057,3.5978,1.11479,1.37616
0.461358,-0.000384293,1.8989,2.35193,4.12053,1.30646,1.56782
0.514147,-0.000384293,2.16028,2.68301,4.64329,1.50684,1.7682
0.572977,-0.000384293,2.48263,3.00536,5.227,1.69849,2.0296
0.63859,-0.000384293,2.74401,3.39742,5.88043,1.8989,2.29095
0.715953,-0.000384293,3.07507,3.78947,6.53384,2.09057,2.55233
0.797875,-0.000384293,3.46712,4.18153,7.32666,2.35193,2.81371
0.889169,-0.000384293,3.78947,4.70426,8.11077,2.61331,3.13604
0.990988,-0.000384293,4.25121,5.16602,8.95588,2.87468,3.46712
1.10438,-0.000384293,4.70426,5.74975,9.87067,3.20574,3.85918
1.23104,-0.000384293,5.16602,6.34217,10.8552,3.52812,4.25121
1.37962,-0.000384293,5.68876,6.93463,11.9006,3.92015,4.64329
1.53748,-0.000384293,6.21149,7.58804,13.0071,4.31221,5.09632
1.7134,-0.000384293,6.79522,8.30245,14.1223,4.70426,5.61905
1.90945,-0.000384293,7.45736,9.08656,15.4291,5.16602,6.14179
2.12794,-0.000384293,8.11077,9.87067,16.736,5.61905,6.66454
2.37142,-0.000384293,8.82518,10.7245,18.1038,6.14179,7.25698
2.65978,-0.000384293,9.60929,11.6393,19.611,6.66454,7.91039
2.96412,-0.000384293,10.3934,12.6151,21.1096,7.25698,8.56382
3.30328,-0.000384293,11.2472,13.6605,22.7475,7.84942,9.28694
3.68125,-0.000384293,12.162,14.7757,24.4464,8.50283,10.0711
4.10246,-0.000384293,13.1378,15.8822,26.215,9.15626,10.8552
4.57186,-0.000384293,14.1833,17.128,28.1056,9.94037,11.77
5.09498,-0.000384293,15.2288,18.3652,30.0048,10.7245,12.6847
5.71453,-0.000384293,16.4049,19.7417,32.0261,11.5086,13.5995
6.3684,-0.000384293,17.5811,21.1792,34.117,12.3537,14.645
7.09707,-0.000384293,18.8269,22.6168,36.2777,13.3382,15.6905
7.90913,-0.000384293,20.1948,24.185,38.4993,14.314,16.8667
8.81412,-0.000384293,21.5713,25.8229,40.8517,15.2984,18.0428
9.82265,-0.000384293,23.0698,27.5218,43.204,16.4049,19.28
11.0082,-0.000384293,24.577,29.3514,45.626,17.5811,20.5868
12.2678,-0.000384293,26.215,31.181,48.109,18.7572,22.0243
13.6715,-0.000384293,27.9139,33.1413,50.653,20.0641,23.4619
15.2358,-0.000384293,29.6738,35.1015,53.2057,21.3709,25.0388
16.9791,-0.000384293,31.5033,37.1925,55.8194,22.8085,26.668
18.9219,-0.000384293,33.4636,39.3444,58.4331,24.3157,28.3059
21.2228,-0.000384293,35.4239,41.5661,61.1165,25.8839,30.1355
23.6511,-0.000384293,37.5148,43.9271,63.7912,27.5218,31.9651
26.3573,-0.000384293,39.6755,46.2794,66.4049,29.2207,33.8557
29.3732,-0.000384293,41.9581,48.6927,69.0186,31.0503,35.8856
32.7342,-0.000384293,44.2495,51.2454,71.6322,32.9409,37.9766
36.4795,-0.000384293,46.6715,53.7894,74.185,34.9011,40.1982
40.6536,-0.000384293,49.0848,56.4031,76.668,36.9921,42.4199
45.5971,-0.000384293,51.6375,59.0168,79.09,39.1527,44.7722
50.8143,-0.000384293,54.1815,61.7002,81.4423,41.3744,47.1942
56.6285,-0.000384293,56.8649,64.3836,83.664,43.7267,49.7382
63.1081,-0.000384293,59.5396,67.0583,85.7549,46.1487,52.2909
70.3291,-0.000384293,62.223,69.8027,87.7762,48.6317,54.9046
78.3763,-0.000384293,64.9673,72.4164,89.6058,51.1757,57.5793
87.8363,-0.000384293,67.7117,75.0998,91.2437,53.8591,60.3324
97.8865,-0.000384293,70.4561,77.6437,92.8119,56.6035,63.1377
109.087,-0.000384293,73.2004,80.1355,94.1187,59.3479,65.9518
121.569,-0.000384293,75.8839,82.5488,95.3559,62.162,68.7572
135.479,-0.000384293,78.4976,84.8401,96.3404,65.037,71.5713
150.981,-0.000384293,81.0503,86.9921,97.1942,67.9121,74.3157
169.34,-0.000384293,83.4636,89.022,97.9086,70.7872,77.06
188.716,-0.000384293,85.7549,90.9126,98.501,73.6622,79.7434
210.309,-0.000384293,87.9766,92.5505,98.9541,76.4676,82.2874
234.373,-0.000384293,89.9368,94.049,99.2851,79.2207,84.7704
261.19,-0.000384293,91.7664,95.3559,99.5465,81.8954,87.0617
291.076,-0.000384293,93.3956,96.4711,99.6772,84.4481,89.2137
324.381,-0.000384293,94.8332,97.3858,99.8079,86.8004,91.113
363.826,-0.000384293,96.079,98.109,99.8689,89.022,92.8729
405.456,-0.000384293,97.0635,98.6927,99.9385,91.0433,94.4411
451.848,-0.000384293,97.9086,99.1545,99.9385,92.8729,95.7567
503.548,-0.000384293,98.562,99.4158,99.9995,94.4411,96.8631
561.165,-0.000384293,99.0238,99.6772,99.9995,95.8176,97.7169
625.375,-0.000384293,99.3461,99.8079,99.9995,96.9328,98.4313
700.858,-0.000384293,99.6075,99.8689,99.9995,97.8476,98.9541
781.052,-0.000384293,99.8079,99.9385,99.9995,98.501,99.3461
870.42,-0.000384293,99.8689,99.9385,99.9995,99.0238,99.6075
970.013,-0.000384293,99.9385,99.9995,99.9995,99.4158,99.7382
1000.05,-0.000384293,99.9385,99.9995,99.9995,99.4768,99.8079
