# Fig. S5E: competitive inhibition model fit, CD3z B1 tyrosine-to-phenylalanine mutant, 10% POPS
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
time_min,A1,A2,B1,B2,C1,C2
0.099998,-0.000731425,-0.000731425,-0.000731425,-0.000731425,-0.000731425,-0.000731425
0.099998,-0.000731425,-0.000731425,-0.000731425,-0.000731425,-0.000731425,-0.000731425
0.11144,0.190805,0.0602057,-0.000731425,0.129867,0.0602057,0.0602057
0.124192,0.391065,0.129867,-0.000731425,0.260466,0.0602057,0.129867
0.139182,0.582646,0.190805,-0.000731425,0.391065,0.129867,0.129867
0.155109,0.843844,0.260466,-0.000731425,0.521664,0.190805,0.190805
0.172995,1.10504,0.321426,-0.000731425,0.713245,0.260466,0.260466
0.19279,1.36626,0.391065,-0.000731425,0.843844,0.260466,0.321426
0.214851,1.69714,0.521664,-0.000731425,1.0441,0.321426,0.391065
0.239434,2.01928,0.582646,-0.000731425,1.23566,0.391065,0.521664
0.268335,2.35016,0.713245,-0.000731425,1.49686,0.521664,0.582646
0.29904,2.74198,0.843844,-0.000731425,1.75808,0.582646,0.652308
0.333257,3.19476,0.974442,-0.000731425,2.01928,0.652308,0.782906
0.37139,3.65622,1.10504,-0.000731425,2.35016,0.782906,0.913505
0.413887,4.17863,1.23566,-0.000731425,2.67232,0.843844,1.0441
0.461244,4.76201,1.43592,-0.000731425,3.0032,0.974442,1.1747
0.514025,5.35409,1.62748,-0.000731425,3.39502,1.10504,1.30532
0.57653,6.00713,1.82774,-0.000731425,3.84777,1.23566,1.49686
0.6425,6.7211,2.01928,-0.000731425,4.23959,1.36626,1.62748
0.716019,7.44378,2.21954,-0.000731425,4.76201,1.56652,1.82774
0.79795,8.29708,2.48078,-0.000731425,5.28443,1.69714,2.01928
0.889253,9.14166,2.74198,-0.000731425,5.87653,1.88868,2.28052
0.991007,10.0559,3.06414,-0.000731425,6.45988,2.08894,2.54172
1.11062,11.1008,3.39502,-0.000731425,7.11292,2.35016,2.74198
1.23771,12.1456,3.71715,-0.000731425,7.8356,2.54172,3.06414
1.37933,13.2601,4.04803,-0.000731425,8.55828,2.80292,3.32536
1.5384,14.4355,4.43985,-0.000731425,9.34192,3.06414,3.65622
1.71443,15.7416,4.89263,-0.000731425,10.1865,3.39502,3.97839
1.9106,17.0477,5.28443,-0.000731425,11.1008,3.65622,4.37019
2.14122,18.4843,5.80687,-0.000731425,12.0847,3.97839,4.76201
2.38623,19.9819,6.26833,-0.000731425,13.0598,4.37019,5.15383
2.65927,21.5492,6.8517,-0.000731425,14.1047,4.76201,5.61531
2.96356,23.1861,7.38285,-0.000731425,15.2801,5.15383,6.13773
3.30266,24.9449,8.03586,-0.000731425,16.4556,5.54565,6.59048
3.68057,26.7125,8.6889,-0.000731425,17.7616,6.00713,7.18259
4.10173,28.6106,9.34192,-0.000731425,19.0677,6.52955,7.705
4.60052,30.5697,10.0559,-0.000731425,20.4434,7.05196,8.35802
5.12692,32.5897,10.8395,-0.000731425,21.941,7.5744,9.01106
5.71354,34.6794,11.6928,-0.000731425,23.5083,8.16646,9.66408
6.36735,36.8997,12.5374,-0.000731425,25.0843,8.74984,10.3868
7.09591,39.12,13.4516,-0.000731425,26.7821,9.40288,11.1704
7.9079,41.4709,14.4355,-0.000731425,28.541,10.1256,12.015
8.86237,43.8915,15.4804,-0.000731425,30.4391,10.9092,12.8683
9.87645,46.3121,16.5862,-0.000731425,32.3285,11.6928,13.7825
11.0066,48.7936,17.7007,-0.000731425,34.3573,12.4764,14.7577
12.2758,51.4057,18.9371,-0.000731425,36.3773,13.3907,15.8026
13.6805,53.9481,20.2432,-0.000731425,38.5367,14.3049,16.9171
15.2459,56.5602,21.5492,-0.000731425,40.757,15.3498,18.0228
17.0861,59.242,22.9859,-0.000731425,43.1078,16.3946,19.2679
19.0412,61.9238,24.4922,-0.000731425,45.4588,17.5004,20.574
21.22,64.5969,26.0595,-0.000731425,47.8793,18.6759,21.941
23.6482,67.2786,27.7573,-0.000731425,50.3608,19.921,23.3777
26.354,69.8907,29.5249,-0.000731425,52.9033,21.288,24.884
29.3696,72.5029,31.3533,-0.000731425,55.5154,22.6637,26.4513
32.7303,75.0453,33.2428,-0.000731425,58.1275,24.1613,28.1491
36.7104,77.5268,35.2715,-0.000731425,60.8093,25.7373,29.9167
40.9109,79.9474,37.3612,-0.000731425,63.552,27.3655,31.8061
45.592,82.2373,39.5815,-0.000731425,66.2338,29.133,33.7652
50.8091,84.4576,41.8628,-0.000731425,68.9068,31.0225,35.8549
56.6227,86.5473,44.2223,-0.000731425,71.5886,32.9206,38.0142
