# Fig. S5F: competitive inhibition model fit, CD3z C1 tyrosine-to-phenylalanine mutant, 10% POPS
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
time_min,A1,A2,B1,B2,C1,C2
0.0999947,0.000357073,0.000357073,0.000357073,0.000357073,0.000357073,0.000357073
0.0999947,0.000357073,0.000357073,0.000357073,0.000357073,0.000357073,0.000357073
0.112145,0.191913,0.0613158,0.0613158,0.130954,0.000357073,0.0613158
0.124968,0.39217,0.130954,0.130954,0.261573,0.000357073,0.130954
0.139257,0.583726,0.191913,0.191913,0.39217,0.000357073,0.130954
0.15518,0.783961,0.261573,0.32251,0.522767,0.000357073,0.191913
0.172923,1.0452,0.32251,0.39217,0.653364,0.000357073,0.261573
0.192696,1.30639,0.39217,0.453106,0.783961,0.000357073,0.32251
0.215938,1.56761,0.453106,0.583726,0.975539,0.000357073,0.39217
0.240628,1.88976,0.583726,0.714323,1.1758,0.000357073,0.453106
0.268142,2.22062,0.653364,0.844942,1.43699,0.000357073,0.522767
0.299041,2.61243,0.783961,0.975539,1.62855,0.000357073,0.653364
0.333234,3.00424,0.914603,1.10614,1.88976,0.000357073,0.714323
0.371337,3.45701,1.0452,1.23673,2.22062,0.000357073,0.844942
0.413797,3.9794,1.1758,1.43699,2.48181,0.000357073,0.975539
0.463705,4.50183,1.36733,1.62855,2.87365,0.000357073,1.10614
0.516726,5.09388,1.49795,1.8288,3.1958,0.000357073,1.23673
0.57581,5.67725,1.69821,2.09002,3.58761,0.000357073,1.36733
0.641649,6.33028,1.88976,2.35121,4.04906,0.000357073,1.56761
0.715017,7.05295,2.15096,2.61243,4.50183,0.000357073,1.75914
0.79677,7.8366,2.35121,2.87365,5.02424,0.000357073,1.95942
0.89359,8.68986,2.61243,3.1958,5.54665,0.000357073,2.15096
0.995765,9.60409,2.93458,3.52668,6.13875,0.000357073,2.41215
1.10962,10.5793,3.1958,3.91847,6.79175,0.000357073,2.61243
