# Fig. S5H: competitive inhibition model fit, CD3z A2 tyrosine-to-phenylalanine mutant, 10% POPS
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
time_min,A1,A2,B1,B2,C1,C2
0.0999988,-0.00030779,-0.00030779,-0.00030779,-0.00030779,-0.00030779,-0.00030779
0.0999988,-0.00030779,-0.00030779,-0.00030779,-0.00030779,-0.00030779,-0.00030779
0.111441,0.130413,-0.00030779,0.0650751,0.0650751,-0.00030779,-0.00030779
0.124202,0.326427,-0.00030779,0.130413,0.195751,0.0650751,0.0650751
0.138413,0.522441,-0.00030779,0.195751,0.326427,0.0650751,0.130413
0.15425,0.783792,-0.00030779,0.261089,0.457103,0.130413,0.195751
0.171899,1.04519,-0.00030779,0.326427,0.653116,0.195751,0.261089
0.19274,1.30654,-0.00030779,0.457103,0.783792,0.261089,0.326427
0.214793,1.56789,-0.00030779,0.587778,0.979851,0.326427,0.391765
0.23937,1.89463,-0.00030779,0.653116,1.17586,0.391765,0.457103
0.266758,2.28665,-0.00030779,0.783792,1.43722,0.457103,0.522441
0.297305,2.67958,-0.00030779,0.979851,1.69857,0.522441,0.653116
0.331322,3.07161,-0.00030779,1.11053,1.95996,0.587778,0.718454
0.371461,3.52902,-0.00030779,1.30654,2.22132,0.718454,0.84913
0.413996,4.05177,-0.00030779,1.43722,2.54891,0.783792,0.979851
0.461365,4.57447,-0.00030779,1.63323,2.8756,0.914513,1.11053
0.514155,5.16256,-0.00030779,1.89463,3.26767,1.04519,1.2412
0.572985,5.81684,-0.00030779,2.09064,3.72503,1.17586,1.43722
0.638596,6.5356,-0.00030779,2.35199,4.11711,1.30654,1.56789
0.711665,7.25436,-0.00030779,2.67958,4.63981,1.50255,1.76395
0.797882,8.03846,-0.00030779,2.94093,5.16256,1.63323,1.95996
0.889174,8.8879,-0.00030779,3.26767,5.68531,1.82929,2.22132
0.990992,9.80353,-0.00030779,3.59436,6.27425,2.0253,2.41823
1.10438,10.7836,-0.00030779,3.98643,6.92763,2.22132,2.67958
1.23075,11.8291,-0.00030779,4.37846,7.58105,2.48357,2.94093
1.3719,12.9399,-0.00030779,4.83587,8.36515,2.74492,3.26767
1.53748,14.117,-0.00030779,5.29323,9.14925,3.00627,3.52902
1.7134,15.4238,-0.00030779,5.81684,9.93421,3.26767,3.92109
1.90945,16.7315,-0.00030779,6.33959,10.849,3.59436,4.24778
2.12792,18.1037,-0.00030779,6.86229,11.7638,3.92109,4.63981
2.3714,19.6065,-0.00030779,7.51571,12.8093,4.24778,5.03188
2.64273,21.1102,-0.00030779,8.1038,13.8556,4.57447,5.48925
2.96409,22.7437,-0.00030779,8.82256,14.9664,5.03188,5.94751
3.30324,24.4435,-0.00030779,9.54218,16.1425,5.42391,6.47026
3.68119,26.2731,-0.00030779,10.3263,17.3849,5.88217,6.99296
4.10239,28.1035,-0.00030779,11.1104,18.6917,6.33959,7.58105
4.57178,30.0637,-0.00030779,11.9598,20.0639,6.86229,8.16914
5.09489,32.0902,-0.00030779,12.8746,21.5676,7.38504,8.75718
5.67785,34.1811,-0.00030779,13.8556,23.0705,7.97312,9.47594
6.36825,36.3382,-0.00030779,14.901,24.6395,8.56116,10.1956
7.09691,38.5607,-0.00030779,15.9465,26.3384,9.21459,10.9143
7.90894,40.8477,-0.00030779,17.1235,28.1035,9.93421,11.7638
8.81388,43.2662,-0.00030779,18.2997,29.9331,10.653,12.6132
9.82235,45.6847,-0.00030779,19.6065,31.8288,11.4371,13.5289
10.9462,48.1711,-0.00030779,20.9142,33.7891,12.2212,14.4436
12.2674,50.7151,-0.00030779,22.3517,35.8809,13.1368,15.4891
13.671,53.2677,-0.00030779,23.7901,37.9726,14.0516,16.6008
15.2353,55.8814,-0.00030779,25.3583,40.1943,15.0317,17.7116
