# Fig. S5I: competitive inhibition model fit, CD3z B2 tyrosine-to-phenylalanine mutant, 10% POPS
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
time_min,A1,A2,B1,B2,C1,C2
0.100004,0.000247879,0.000247879,0.000247879,0.000247879,0.000247879,0.000247879
0.100004,0.000247879,0.000247879,0.000247879,0.000247879,0.000247879,0.000247879
0.111446,0.196185,0.0655454,0.0655454,0.000247879,0.0655454,0.0655454
0.124198,0.457375,0.130843,0.196185,0.000247879,0.130843,0.130843
0.138409,0.653268,0.196185,0.261483,0.000247879,0.130843,0.196185
0.154246,0.914458,0.261483,0.32678,0.000247879,0.196185,0.261483
0.171896,1.24099,0.392078,0.457375,0.000247879,0.261483,0.32678
0.191564,1.50218,0.457375,0.58797,0.000247879,0.32678,0.392078
0.214859,1.89401,0.58797,0.653268,0.000247879,0.392078,0.457375
0.239443,2.2205,0.653268,0.84916,0.000247879,0.457375,0.522673
0.266843,2.67848,0.783863,0.979755,0.000247879,0.522673,0.653268
0.297375,3.07026,0.914458,1.11039,0.000247879,0.653268,0.783863
0.331403,3.59269,1.0451,1.30629,0.000247879,0.718565,0.84916
0.369322,4.11511,1.24099,1.50218,0.000247879,0.84916,0.979755
0.413899,4.70279,1.37158,1.69807,0.000247879,0.979755,1.17569
0.46126,5.29051,1.56748,1.95931,0.000247879,1.11039,1.30629
0.514039,6.00968,1.76337,2.2205,0.000247879,1.24099,1.50218
0.572855,6.728,2.0246,2.48169,0.000247879,1.37158,1.63277
0.638403,7.51162,2.2205,2.74378,0.000247879,1.56748,1.82867
0.711452,8.29523,2.48169,3.07026,0.000247879,1.69807,2.0899
0.797967,9.20944,2.80907,3.3968,0.000247879,1.89401,2.28579
0.88927,10.1898,3.07026,3.78858,0.000247879,2.1552,2.54788
0.991028,11.2347,3.3968,4.18041,0.000247879,2.35109,2.80907
1.10442,12.2795,3.78858,4.5722,0.000247879,2.61318,3.07026
1.23079,13.4558,4.11511,5.02932,0.000247879,2.87437,3.3968
1.37163,14.6965,4.5069,5.5517,0.000247879,3.13556,3.72328
1.52857,16.0025,4.96403,6.07498,0.000247879,3.3968,4.04982
1.71444,17.3747,5.42111,6.59741,0.000247879,3.72328,4.4416
1.91062,18.8113,5.87824,7.18508,0.000247879,4.11511,4.83339
2.12924,20.3794,6.40151,7.8381,0.000247879,4.4416,5.29051
2.37287,22.0119,6.98919,8.49112,0.000247879,4.83339,5.7476
2.64438,23.7106,7.57691,9.20944,0.000247879,5.22522,6.27087
2.94696,25.4737,8.22993,9.99391,0.000247879,5.6823,6.7933
3.30266,27.3021,8.88291,10.7775,0.000247879,6.14028,7.31572
3.68057,29.2621,9.60123,11.6264,0.000247879,6.6627,7.9034
4.10171,31.2872,10.3204,12.5406,0.000247879,7.18508,8.55642
4.57103,33.3769,11.1694,13.5211,0.000247879,7.77281,9.20944
5.09409,35.5327,12.0183,14.5659,0.000247879,8.36053,9.92861
5.67695,37.7529,12.9325,15.6107,0.000247879,9.01355,10.7122
6.36728,40.1046,13.8475,16.7217,0.000247879,9.73272,11.4958
7.09583,42.4563,14.8923,17.9624,0.000247879,10.451,12.3448
7.90779,44.9378,15.9372,19.2031,0.000247879,11.2347,13.2598
8.8126,47.4192,17.0482,20.51,0.000247879,12.0183,14.1741
9.82097,49.9703,18.2889,21.9466,0.000247879,12.8672,15.2189
10.9447,52.5823,19.5296,23.4485,0.000247879,13.7822,16.2637
12.197,55.1944,20.8365,24.9513,0.000247879,14.7618,17.44
13.6802,57.8674,22.2731,26.5838,0.000247879,15.8066,18.6154
15.2456,60.549,23.7106,28.2826,0.000247879,16.9176,19.8561
16.99,63.2307,25.2778,30.111,0.000247879,18.093,21.2283
18.934,65.9037,26.9104,31.9402,0.000247879,19.3337,22.5996
21.1006,68.5854,28.609,33.8993,0.000247879,20.6406,24.1024
23.5149,71.2584,30.4375,35.9898,0.000247879,22.0119,25.6696
26.3532,73.8095,32.3321,38.0803,0.000247879,23.4485,27.3683
29.3687,76.3518,34.2911,40.3005,0.000247879,25.0166,29.0661
32.7291,78.842,36.3816,42.6522,0.000247879,26.6491,30.9607
36.474,81.1929,38.5374,45.0039,0.000247879,28.3479,32.8545
40.6477,83.474,40.8229,47.4888,0.000247879,30.1763,34.8797
45.2986,85.6333,43.1747,50.0312,0.000247879,32.0708,37.0346
50.807,87.6533,45.5917,52.6433,0.000247879,34.0952,39.2557
56.6206,89.4817,48.1418,55.3859,0.000247879,36.1857,41.5412
63.099,91.1795,50.7539,58.1285,0.000247879,38.4068,43.9582
