# Fig. S5J: competitive inhibition model fit, CD3z C2 tyrosine-to-phenylalanine mutant, 10% POPS
# Digitized from Rohrs et al. (2018) Biophys J 115:1116-1129 by digitize_rohrs2018.py
time_min,A1,A2,B1,B2,C1,C2
0.0999978,-0.00030779,-0.00030779,-0.00030779,-0.00030779,-0.00030779,-0.00030779
0.0999978,-0.00030779,-0.00030779,-0.00030779,-0.00030779,-0.00030779,-0.00030779
0.11144,0.130413,0.0650751,0.0650751,0.0650751,-0.00030779,-0.00030779
0.124192,0.326427,0.0650751,0.130413,0.195751,0.0650751,-0.00030779
0.138403,0.522441,0.130413,0.195751,0.326427,0.0650751,-0.00030779
0.154239,0.783792,0.195751,0.261089,0.457103,0.130413,-0.00030779
0.171888,0.979851,0.261089,0.326427,0.587778,0.195751,-0.00030779
0.192636,1.2412,0.326427,0.457103,0.783792,0.261089,-0.00030779
0.214678,1.56789,0.457103,0.522441,0.979851,0.326427,-0.00030779
0.239435,1.89463,0.522441,0.653116,1.17586,0.391765,-0.00030779
0.266832,2.22132,0.653116,0.783792,1.37188,0.457103,-0.00030779
0.297365,2.61424,0.783792,0.914513,1.63323,0.522441,-0.00030779
0.33139,3.00627,0.84913,1.11053,1.89463,0.587778,-0.00030779
0.369309,3.46368,1.04519,1.2412,2.22132,0.718454,-0.00030779
0.413886,3.98643,1.17586,1.43722,2.48357,0.783792,-0.00030779
0.461245,4.50913,1.30654,1.63323,2.8756,0.914513,-0.00030779
0.514022,5.09722,1.50255,1.82929,3.20233,1.04519,-0.00030779
0.572839,5.75064,1.69857,2.09064,3.6597,1.17586,-0.00030779
0.638387,6.40492,1.89463,2.35199,4.05177,1.30654,-0.00030779
0.711435,7.12369,2.09064,2.61424,4.50913,1.43722,-0.00030779
0.797949,7.90779,2.35199,2.8756,5.03188,1.63323,-0.00030779
0.889255,8.75718,2.61424,3.20233,5.61992,1.82929,-0.00030779
0.991005,9.67285,2.94093,3.59436,6.20891,2.0253,-0.00030779
1.1044,10.653,3.20233,3.92109,6.79695,2.22132,-0.00030779
1.23077,11.6984,3.52902,4.31312,7.51571,2.41823,-0.00030779
1.37161,12.7439,3.92109,4.77049,8.23447,2.67958,-0.00030779
1.53716,13.9209,4.24778,5.2279,8.95324,2.94093,-0.00030779
1.71305,15.1624,4.63981,5.68531,9.80353,3.20233,-0.00030779
1.9106,16.4701,5.09722,6.20891,10.653,3.52902,-0.00030779
2.12922,17.8423,5.55459,6.79695,11.6331,3.85571,-0.00030779
2.37285,19.3451,6.07819,7.38504,12.6132,4.18244,-0.00030779
2.64438,20.8488,6.60094,8.03846,13.6595,4.50913,-0.00030779
2.94695,22.4824,7.12369,8.69184,14.7703,4.90121,-0.00030779
3.30266,24.1821,7.71173,9.4106,15.9465,5.35857,-0.00030779
3.68057,25.9464,8.36515,10.1956,17.1889,5.81684,-0.00030779
4.10172,27.7768,9.01857,10.9797,18.4957,6.27425,-0.00030779
4.57106,29.6717,9.73819,11.8291,19.8679,6.79695,-0.00030779
5.09409,31.6981,10.5223,12.7439,21.3062,7.3197,-0.00030779
5.67699,33.7891,11.3064,13.7249,22.8091,7.84245,-0.00030779
6.36731,35.9462,12.1558,14.705,24.3782,8.49583,-0.00030779
7.09592,38.1687,13.0706,15.7505,26.0117,9.08391,-0.00030779
7.90785,40.4556,13.9862,16.9275,27.7768,9.80353,-0.00030779
8.81275,42.8088,15.0317,18.1037,29.6063,10.5223,-0.00030779
9.82112,45.2273,16.0772,19.3451,31.4368,11.3064,-0.00030779
10.9449,47.7094,17.1889,20.7182,33.4623,12.0905,-0.00030779
12.266,50.2621,18.365,22.0903,35.4888,12.9399,-0.00030779
13.6695,52.806,19.6065,23.5278,37.5797,13.8556,-0.00030779
15.2337,55.4197,20.9795,25.0969,39.8022,14.8357,-0.00030779
16.9904,58.0333,22.3517,26.7304,42.0247,15.8812,-0.00030779
18.9345,60.7167,23.7901,28.4302,44.377,16.9928,-0.00030779
21.1012,63.4,25.3583,30.1944,46.7955,18.1037,-0.00030779
23.5156,66.0746,26.9918,32.0249,49.2166,19.3451,-0.00030779
26.354,68.6883,28.6915,33.9851,51.7606,20.6528,-0.00030779
29.3696,71.302,30.4558,36.0116,54.3132,22.025,-0.00030779
32.7302,73.9156,32.3515,38.1033,56.9269,23.4625,-0.00030779
36.4752,76.3986,34.3127,40.3249,59.6015,24.9662,-0.00030779
40.6491,78.8206,36.4036,42.6128,62.2849,26.5997,-0.00030779
45.3002,81.2426,38.4954,44.9659,64.9682,28.2995,-0.00030779
50.8088,83.4642,40.7823,47.448,67.7125,30.1291,-0.00030779
56.6228,85.6161,43.1355,50.0007,70.3872,32.0249,-0.00030779
63.1017,87.5763,45.554,52.6144,73.0009,33.9851,-0.00030779
70.3225,89.4756,48.0404,55.289,75.6145,36.0769,-0.00030779
78.3689,91.1745,50.6541,58.0333,78.1672,38.2994,-0.00030779
87.3363,92.7427,53.3288,60.7777,80.6501,40.6516,-0.00030779
97.8781,94.1105,56.0731,63.5917,83.0721,43.0702,-0.00030779
109.078,95.2866,58.8871,66.4667,85.2938,45.554,-0.00030779
121.559,96.3321,61.7621,69.3417,87.4456,48.2321,-0.00030779
135.577,97.1859,64.7069,72.1557,89.4059,50.9765,-0.00030779
151.091,97.909,67.6428,74.9611,91.2355,53.7905,-0.00030779
168.379,98.4927,70.5876,77.7751,92.8734,56.7265,-0.00030779
187.646,98.9545,73.5236,80.4585,94.3109,59.6712,-0.00030779
210.295,99.2768,76.3986,83.0024,95.548,62.7466,-0.00030779
234.359,99.5382,79.2126,85.4854,96.6022,65.8133,-0.00030779
261.175,99.7385,81.896,87.7767,97.5169,68.9497,-0.00030779
291.059,99.8692,84.5097,89.8676,98.2313,72.0861,-0.00030779
324.365,99.9302,86.9229,91.7582,98.754,75.1615,-0.00030779
361.479,99.9302,89.1445,93.4571,99.1461,78.1672,-0.00030779
405.437,99.9999,91.2355,94.9643,99.4772,81.0422,-0.00030779
451.829,99.9999,93.004,96.2014,99.6689,83.7865,-0.00030779
503.528,99.9999,94.5722,97.2556,99.7995,86.4002,-0.00030779
561.145,99.9999,95.94,98.0397,99.9302,88.8222,-0.00030779
625.354,99.9999,97.0552,98.6931,99.9302,90.9741,-0.00030779
696.911,99.9999,97.909,99.1461,99.9999,92.9343,-0.00030779
781.034,99.9999,98.5624,99.4772,99.9999,94.5722,-0.00030779
870.401,99.9999,99.0851,99.6689,99.9999,95.94,-0.00030779
969.993,99.9999,99.4075,99.7995,99.9999,97.1249,-0.00030779
1000.03,99.9999,99.4772,99.8692,99.9999,97.3863,-0.00030779
