CycD_AU,CycE_ss_AU
-0.6749,0.797
-0.6749,0.802
-0.6749,0.8223
-0.6749,0.8274
-0.6749,0.8325
-0.6694,0.797
-0.6694,0.802
-0.6694,0.8071
-0.6694,0.8223
-0.6694,0.8274
-0.6694,0.8325
-0.6694,0.8376
-0.6639,0.797
-0.6639,0.802
-0.6639,0.8071
-0.6639,0.8223
-0.6639,0.8274
-0.6639,0.8325
-0.6639,0.8376
-0.6639,0.8426
-0.6639,0.8477
-0.6584,0.7716
-0.6584,0.797
-0.6584,0.802
-0.6584,0.8325
-0.6584,0.8376
-0.6584,0.8426
-0.6584,0.8477
-0.6584,0.8528
-0.6529,0.7665
-0.6529,0.7716
-0.6529,0.7766
-0.6529,0.8376
-0.6529,0.8426
-0.6529,0.8477
-0.6529,0.8528
-0.6474,0.7665
-0.6474,0.7716
-0.6474,0.7766
-0.6474,0.8426
-0.6474,0.8477
-0.6474,0.8528
-0.6474,0.8579
-0.6419,0.7716
-0.6419,0.8477
-0.6419,0.8528
-0.6419,0.8579
-0.6364,0.7411
-0.6364,0.7462
-0.6364,0.7513
-0.6364,0.8477
-0.6364,0.8528
-0.6364,0.8579
-0.6364,0.8629
-0.6309,0.7411
-0.6309,0.7462
-0.6309,0.7513
-0.6309,0.8528
-0.6309,0.8579
-0.6309,0.8629
-0.6253,0.7462
-0.6253,0.7513
-0.6253,0.8579
-0.6253,0.8629
-0.6253,0.868
-0.6198,0.7208
-0.6198,0.8579
-0.6198,0.8629
-0.6198,0.868
-0.6143,0.7157
-0.6143,0.7208
-0.6143,0.7259
-0.6143,0.8579
-0.6143,0.8629
-0.6143,0.868
-0.6143,0.8731
-0.6088,0.7157
-0.6088,0.7208
-0.6088,0.7259
-0.6088,0.8629
-0.6088,0.868
-0.6088,0.8731
-0.6033,0.8629
-0.6033,0.868
-0.6033,0.8731
-0.5978,0.8629
-0.5978,0.868
-0.5978,0.8731
-0.5923,0.6954
-0.5923,0.7005
-0.5923,0.7056
-0.5923,0.8629
-0.5923,0.868
-0.5923,0.8731
-0.5868,0.6954
-0.5868,0.7005
-0.5868,0.7056
-0.5868,0.8629
-0.5868,0.868
-0.5868,0.8731
-0.5868,0.8782
-0.5813,0.6954
-0.5813,0.7005
-0.5813,0.868
-0.5813,0.8731
-0.5813,0.8782
-0.5758,0.868
-0.5758,0.8731
-0.5758,0.8782
-0.5702,0.6701
-0.5702,0.6751
-0.5702,0.6802
-0.5702,0.868
-0.5702,0.8731
-0.5702,0.8782
-0.5647,0.6701
-0.5647,0.6751
-0.5647,0.6802
-0.5647,0.868
-0.5647,0.8731
-0.5647,0.8782
-0.5592,0.6751
-0.5592,0.6802
-0.5592,0.868
-0.5592,0.8731
-0.5592,0.8782
-0.5592,0.8832
-0.5537,0.8731
-0.5537,0.8782
-0.5537,0.8832
-0.5482,0.6497
-0.5482,0.6548
-0.5482,0.8731
-0.5482,0.8782
-0.5482,0.8832
-0.5427,0.6497
-0.5427,0.6548
-0.5427,0.6599
-0.5427,0.8731
-0.5427,0.8782
-0.5427,0.8832
-0.5372,0.6497
-0.5372,0.6548
-0.5372,0.8731
-0.5372,0.8782
-0.5372,0.8832
-0.5317,0.8731
-0.5317,0.8782
-0.5317,0.8832
-0.5262,0.6294
-0.5262,0.8731
-0.5262,0.8782
-0.5262,0.8832
-0.5207,0.6244
-0.5207,0.6294
-0.5207,0.6345
-0.5207,0.8731
-0.5207,0.8782
-0.5207,0.8832
-0.5152,0.6244
-0.5152,0.6294
-0.5152,0.6345
-0.5152,0.8731
-0.5152,0.8782
-0.5152,0.8832
-0.5096,0.6244
-0.5096,0.6294
-0.5096,0.6345
-0.5096,0.8731
-0.5096,0.8782
-0.5096,0.8832
-0.5096,0.8883
-0.5041,0.8731
-0.5041,0.8782
-0.5041,0.8832
-0.5041,0.8883
-0.4986,0.6041
-0.4986,0.6091
-0.4986,0.6142
-0.4986,0.8782
-0.4986,0.8832
-0.4986,0.8883
-0.4931,0.6041
-0.4931,0.6091
-0.4931,0.6142
-0.4931,0.8782
-0.4931,0.8832
-0.4931,0.8883
-0.4876,0.6041
-0.4876,0.6091
-0.4876,0.6142
-0.4876,0.8782
-0.4876,0.8832
-0.4876,0.8883
-0.4821,0.6091
-0.4821,0.8782
-0.4821,0.8832
-0.4821,0.8883
-0.4766,0.8782
-0.4766,0.8832
-0.4766,0.8883
-0.4711,0.5838
-0.4711,0.5888
-0.4711,0.8782
-0.4711,0.8832
-0.4711,0.8883
-0.4656,0.5838
-0.4656,0.5888
-0.4656,0.8782
-0.4656,0.8832
-0.4656,0.8883
-0.4601,0.5838
-0.4601,0.5888
-0.4601,0.8782
-0.4601,0.8832
-0.4601,0.8883
-0.4545,0.8782
-0.4545,0.8832
-0.4545,0.8883
-0.4545,0.8934
-0.449,0.5685
-0.449,0.8782
-0.449,0.8832
-0.449,0.8883
-0.449,0.8934
-0.4435,0.5584
-0.4435,0.5635
-0.4435,0.5685
-0.4435,0.5736
-0.4435,0.8782
-0.4435,0.8832
-0.4435,0.8883
-0.4435,0.8934
-0.438,0.5584
-0.438,0.5635
-0.438,0.5685
-0.438,0.5736
-0.438,0.8832
-0.438,0.8883
-0.438,0.8934
-0.4325,0.5635
-0.4325,0.5685
-0.4325,0.8832
-0.4325,0.8883
-0.4325,0.8934
-0.427,0.8832
-0.427,0.8883
-0.427,0.8934
-0.4215,0.5431
-0.4215,0.5482
-0.4215,0.8832
-0.4215,0.8883
-0.4215,0.8934
-0.416,0.5381
-0.416,0.5431
-0.416,0.5482
-0.416,0.5533
-0.416,0.8832
-0.416,0.8883
-0.416,0.8934
-0.4105,0.5431
-0.4105,0.8832
-0.4105,0.8883
-0.4105,0.8934
-0.405,0.8832
-0.405,0.8883
-0.405,0.8934
-0.3994,0.8832
-0.3994,0.8883
-0.3994,0.8934
-0.3939,0.5228
-0.3939,0.5279
-0.3939,0.8832
-0.3939,0.8883
-0.3939,0.8934
-0.3884,0.5178
-0.3884,0.5228
-0.3884,0.5279
-0.3884,0.533
-0.3884,0.8832
-0.3884,0.8883
-0.3884,0.8934
-0.3829,0.5228
-0.3829,0.5279
-0.3829,0.8832
-0.3829,0.8883
-0.3829,0.8934
-0.3774,0.8832
-0.3774,0.8883
-0.3774,0.8934
-0.3719,0.8832
-0.3719,0.8883
-0.3719,0.8934
-0.3664,0.5025
-0.3664,0.5076
-0.3664,0.8832
-0.3664,0.8883
