E2f_AU,CycA_ss_AU
0.0,0.0
0.0,0.0051
0.0,0.0102
0.0055,-0.0051
0.0055,0.0
0.0055,0.0051
0.0055,0.0102
0.011,-0.0051
0.011,0.0
0.011,0.0051
0.011,0.0102
0.011,0.0152
0.0166,-0.0051
0.0166,0.0
0.0166,0.0051
0.0166,0.0102
0.0166,0.0152
0.0221,-0.0051
0.0221,0.0
0.0221,0.0051
0.0221,0.0102
0.0221,0.0152
0.0276,0.0
0.0276,0.0051
0.0276,0.0102
0.0276,0.0152
0.0331,0.0
0.0331,0.0051
0.0331,0.0102
0.0331,0.0152
0.0387,0.0051
0.0387,0.0102
0.0387,0.0152
0.0387,0.0203
0.0442,0.0051
0.0442,0.0102
0.0442,0.0152
0.0442,0.0203
0.0497,0.0051
0.0497,0.0102
0.0497,0.0152
0.0497,0.0203
0.0552,0.0051
0.0552,0.0102
0.0552,0.0152
0.0552,0.0203
0.0608,0.0051
0.0608,0.0102
0.0608,0.0152
0.0608,0.0203
0.0608,0.0254
0.0663,0.0051
0.0663,0.0102
0.0663,0.0152
0.0663,0.0203
0.0663,0.0254
0.0718,0.0102
0.0718,0.0152
0.0718,0.0203
0.0718,0.0254
0.0773,0.0102
0.0773,0.0152
0.0773,0.0203
0.0773,0.0254
0.0829,0.0102
0.0829,0.0152
0.0829,0.0203
0.0829,0.0254
0.0884,0.0102
0.0884,0.0152
0.0884,0.0203
0.0884,0.0254
0.0884,0.0305
0.0939,0.0102
0.0939,0.0152
0.0939,0.0203
0.0939,0.0254
0.0939,0.0305
0.0994,0.0152
0.0994,0.0203
0.0994,0.0254
0.0994,0.0305
0.105,0.0152
0.105,0.0203
0.105,0.0254
0.105,0.0305
0.1105,0.0152
0.1105,0.0203
0.1105,0.0254
0.1105,0.0305
0.116,0.0152
0.116,0.0203
0.116,0.0254
0.116,0.0305
0.116,0.0355
0.1215,0.0152
0.1215,0.0203
0.1215,0.0254
0.1215,0.0305
0.1215,0.0355
0.1271,0.0203
0.1271,0.0254
0.1271,0.0305
0.1271,0.0355
0.1326,0.0203
0.1326,0.0254
0.1326,0.0305
0.1326,0.0355
0.1381,0.0203
0.1381,0.0254
0.1381,0.0305
0.1381,0.0355
0.1436,0.0203
0.1436,0.0254
0.1436,0.0305
0.1436,0.0355
0.1436,0.0406
0.1492,0.0254
0.1492,0.0305
0.1492,0.0355
0.1492,0.0406
0.1547,0.0254
0.1547,0.0305
0.1547,0.0355
0.1547,0.0406
0.1602,0.0254
0.1602,0.0305
0.1602,0.0355
0.1602,0.0406
0.1657,0.0254
0.1657,0.0305
0.1657,0.0355
0.1657,0.0406
0.1713,0.0254
0.1713,0.0305
0.1713,0.0355
0.1713,0.0406
0.1768,0.0254
0.1768,0.0305
0.1768,0.0355
0.1768,0.0406
0.1768,0.0457
0.1823,0.0305
0.1823,0.0355
0.1823,0.0406
0.1823,0.0457
0.1878,0.0305
0.1878,0.0355
0.1878,0.0406
0.1878,0.0457
0.1934,0.0305
0.1934,0.0355
0.1934,0.0406
0.1934,0.0457
0.1989,0.0305
0.1989,0.0355
0.1989,0.0406
0.1989,0.0457
0.1989,0.0508
0.2044,0.0305
0.2044,0.0355
0.2044,0.0406
0.2044,0.0457
0.2044,0.0508
0.2099,0.0355
0.2099,0.0406
0.2099,0.0457
0.2099,0.0508
0.2155,0.0355
0.2155,0.0406
0.2155,0.0457
0.2155,0.0508
0.221,0.0355
0.221,0.0406
0.221,0.0457
0.221,0.0508
0.2265,0.0355
0.2265,0.0406
0.2265,0.0457
0.2265,0.0508
0.232,0.0355
0.232,0.0406
0.232,0.0457
0.232,0.0508
0.2376,0.0355
0.2376,0.0406
0.2376,0.0457
0.2376,0.0508
0.2376,0.0558
0.2431,0.0406
0.2431,0.0457
0.2431,0.0508
0.2431,0.0558
0.2486,0.0406
0.2486,0.0457
0.2486,0.0508
0.2486,0.0558
0.2541,0.0406
0.2541,0.0457
0.2541,0.0508
0.2541,0.0558
0.2597,0.0406
0.2597,0.0457
0.2597,0.0508
0.2597,0.0558
0.2652,0.0406
0.2652,0.0457
0.2652,0.0508
0.2652,0.0558
0.2652,0.0609
0.2707,0.0406
0.2707,0.0457
0.2707,0.0508
0.2707,0.0558
0.2707,0.0609
0.2762,0.0457
0.2762,0.0508
0.2762,0.0558
0.2762,0.0609
0.2818,0.0457
0.2818,0.0508
0.2818,0.0558
0.2818,0.0609
0.2873,0.0457
0.2873,0.0508
0.2873,0.0558
0.2873,0.0609
0.2928,0.0457
0.2928,0.0508
0.2928,0.0558
0.2928,0.0609
0.2983,0.0457
0.2983,0.0508
0.2983,0.0558
0.2983,0.0609
0.2983,0.066
0.3039,0.0508
0.3039,0.0558
0.3039,0.0609
0.3039,0.066
0.3094,0.0508
0.3094,0.0558
0.3094,0.0609
0.3094,0.066
0.3149,0.0508
0.3149,0.0558
0.3149,0.0609
0.3149,0.066
0.3204,0.0508
0.3204,0.0558
0.3204,0.0609
0.3204,0.066
0.326,0.0508
0.326,0.0558
0.326,0.0609
0.326,0.066
0.3315,0.0508
0.3315,0.0558
0.3315,0.0609
0.3315,0.066
0.3315,0.0711
0.337,0.0558
0.337,0.0609
0.337,0.066
0.337,0.0711
0.3425,0.0558
0.3425,0.0609
0.3425,0.066
0.3425,0.0711
0.3481,0.0558
0.3481,0.0609
0.3481,0.066
0.3481,0.0711
0.3536,0.0558
0.3536,0.0609
0.3536,0.066
0.3536,0.0711
0.3536,0.0761
0.3591,0.0558
0.3591,0.0609
0.3591,0.066
0.3591,0.0711
0.3591,0.0761
0.3646,0.0609
0.3646,0.066
0.3646,0.0711
0.3646,0.0761
0.3702,0.0609
0.3702,0.066
0.3702,0.0711
0.3702,0.0761
0.3757,0.0609
0.3757,0.066
0.3757,0.0711
0.3757,0.0761
0.3812,0.0609
0.3812,0.066
0.3812,0.0711
0.3812,0.0761
0.3812,0.0812
0.3867,0.0609
0.3867,0.066
0.3867,0.0711
0.3867,0.0761
0.3867,0.0812
0.3923,0.0609
0.3923,0.066
0.3923,0.0711
0.3923,0.0761
0.3923,0.0812
0.3978,0.066
0.3978,0.0711
0.3978,0.0761
0.3978,0.0812
0.4033,0.066
0.4033,0.0711
0.4033,0.0761
0.4033,0.0812
0.4088,0.066
0.4088,0.0711
0.4088,0.0761
0.4088,0.0812
0.4088,0.3858
0.4088,0.4112
0.4088,0.4162
0.4088,0.4213
0.4088,0.4264
0.4088,0.4416
0.4088,0.4467
0.4088,0.4518
0.4088,0.4569
0.4088,0.4619
0.4088,0.467
0.4088,0.4721
0.4088,0.4772
0.4088,0.4822
0.4088,0.4873
0.4088,0.4924
0.4144,0.066
0.4144,0.0711
0.4144,0.0761
0.4144,0.0812
0.4144,0.3807
0.4144,0.3858
0.4144,0.3909
0.4144,0.3959
0.4144,0.4112
0.4144,0.4162
0.4144,0.4213
0.4144,0.4264
0.4144,0.4416
0.4144,0.4467
0.4144,0.4518
0.4144,0.4569
0.4144,0.4619
0.4144,0.467
0.4144,0.4721
0.4144,0.4772
0.4144,0.4822
0.4144,0.4873
0.4144,0.4924
0.4144,0.4975
0.4144,0.5025
0.4144,0.5076
0.4144,0.5127
0.4144,0.5178
0.4199,0.0711
0.4199,0.0761
0.4199,0.0812
0.4199,0.0863
0.4199,0.3553
0.4199,0.3604
0.4199,0.3807
0.4199,0.3858
0.4199,0.3909
0.4199,0.3959
0.4199,0.4112
0.4199,0.4162
0.4199,0.4213
0.4199,0.4264
0.4199,0.4416
0.4199,0.4467
0.4199,0.4518
0.4199,0.4569
0.4199,0.4619
0.4199,0.467
0.4199,0.4721
0.4199,0.4772
0.4199,0.4822
0.4199,0.4873
0.4199,0.4924
0.4199,0.4975
0.4199,0.5025
0.4199,0.5076
0.4199,0.5127
0.4199,0.5178
0.4199,0.5228
0.4199,0.5279
0.4199,0.533
0.4254,0.0711
0.4254,0.0761
0.4254,0.0812
0.4254,0.0863
0.4254,0.3503
0.4254,0.3553
0.4254,0.3604
0.4254,0.3655
0.4254,0.3807
0.4254,0.3858
0.4254,0.3909
0.4254,0.3959
0.4254,0.4112
0.4254,0.4162
0.4254,0.4213
0.4254,0.4264
0.4254,0.4416
0.4254,0.4467
0.4254,0.4518
0.4254,0.4569
0.4254,0.4619
0.4254,0.467
0.4254,0.4721
0.4254,0.4772
0.4254,0.4822
0.4254,0.4873
0.4254,0.4924
0.4254,0.4975
0.4254,0.5025
0.4254,0.5076
0.4254,0.5127
0.4254,0.5178
0.4254,0.5228
0.4254,0.5279
0.4254,0.533
0.4254,0.5381
0.4254,0.5431
0.4254,0.5482
0.4254,0.5533
0.4309,0.0711
0.4309,0.0761
0.4309,0.0812
0.4309,0.0863
0.4309,0.3249
0.4309,0.3299
0.4309,0.3503
0.4309,0.3553
0.4309,0.3604
0.4309,0.3655
0.4309,0.3858
0.4309,0.3909
0.4309,0.3959
0.4309,0.4721
0.4309,0.4772
0.4309,0.4822
0.4309,0.4873
0.4309,0.4924
0.4309,0.4975
0.4309,0.5025
0.4309,0.5076
0.4309,0.5127
0.4309,0.5178
0.4309,0.5228
0.4309,0.5279
0.4309,0.533
0.4309,0.5381
0.4309,0.5431
0.4309,0.5482
0.4309,0.5533
0.4309,0.5584
0.4309,0.5635
0.4309,0.5685
0.4365,0.0711
0.4365,0.0761
0.4365,0.0812
0.4365,0.0863
0.4365,0.3198
0.4365,0.3249
0.4365,0.3299
0.4365,0.335
0.4365,0.3503
0.4365,0.3553
0.4365,0.3604
0.4365,0.3655
0.4365,0.5076
0.4365,0.5127
0.4365,0.5178
0.4365,0.5228
0.4365,0.5279
0.4365,0.533
0.4365,0.5381
0.4365,0.5431
0.4365,0.5482
0.4365,0.5533
0.4365,0.5584
0.4365,0.5635
0.4365,0.5685
0.4365,0.5736
0.4365,0.5787
0.4365,0.5838
0.442,0.0711
0.442,0.0761
0.442,0.0812
0.442,0.0863
0.442,0.0914
0.442,0.3198
0.442,0.3249
0.442,0.3299
0.442,0.335
0.442,0.3553
0.442,0.3604
0.442,0.5381
0.442,0.5431
0.442,0.5482
0.442,0.5533
0.442,0.5584
0.442,0.5635
0.442,0.5685
0.442,0.5736
0.442,0.5787
0.442,0.5838
0.442,0.5888
0.442,0.5939
0.4475,0.0761
0.4475,0.0812
0.4475,0.0863
0.4475,0.0914
0.4475,0.2944
0.4475,0.2995
0.4475,0.3046
0.4475,0.3198
0.4475,0.3249
0.4475,0.3299
0.4475,0.335
0.4475,0.5482
0.4475,0.5533
0.4475,0.5584
0.4475,0.5635
0.4475,0.5685
0.4475,0.5736
0.4475,0.5787
0.4475,0.5838
0.4475,0.5888
0.4475,0.5939
0.4475,0.599
0.4475,0.6041
0.453,0.0761
0.453,0.0812
0.453,0.0863
0.453,0.0914
0.453,0.2944
0.453,0.2995
0.453,0.3046
0.453,0.3096
0.453,0.3249
0.453,0.3299
0.453,0.5635
0.453,0.5685
0.453,0.5736
0.453,0.5787
0.453,0.5838
0.453,0.5888
0.453,0.5939
0.453,0.599
0.453,0.6041
0.453,0.6091
0.453,0.6142
0.4586,0.0761
0.4586,0.0812
0.4586,0.0863
0.4586,0.0914
0.4586,0.2893
0.4586,0.2944
0.4586,0.2995
0.4586,0.3046
0.4586,0.3096
0.4586,0.5787
0.4586,0.5838
0.4586,0.5888
0.4586,0.5939
0.4586,0.599
0.4586,0.6041
0.4586,0.6091
0.4586,0.6142
0.4586,0.6193
0.4586,0.6244
0.4641,0.0761
0.4641,0.0812
0.4641,0.0863
0.4641,0.0914
0.4641,0.0964
0.4641,0.2944
0.4641,0.2995
0.4641,0.3046
0.4641,0.5888
0.4641,0.5939
0.4641,0.599
0.4641,0.6041
0.4641,0.6091
0.4641,0.6142
0.4641,0.6193
0.4641,0.6244
0.4641,0.6294
0.4641,0.6345
0.4696,0.0761
0.4696,0.0812
0.4696,0.0863
0.4696,0.0914
0.4696,0.0964
0.4696,0.269
0.4696,0.2741
0.4696,0.2792
0.4696,0.2843
0.4696,0.2944
0.4696,0.2995
0.4696,0.6041
0.4696,0.6091
0.4696,0.6142
0.4696,0.6193
0.4696,0.6244
0.4696,0.6294
0.4696,0.6345
0.4696,0.6396
0.4696,0.6447
0.4751,0.0812
0.4751,0.0863
0.4751,0.0914
0.4751,0.0964
0.4751,0.264
0.4751,0.269
0.4751,0.2741
0.4751,0.2792
0.4751,0.2843
0.4751,0.6142
0.4751,0.6193
0.4751,0.6244
0.4751,0.6294
0.4751,0.6345
0.4751,0.6396
0.4751,0.6447
0.4751,0.6497
0.4807,0.0812
0.4807,0.0863
0.4807,0.0914
0.4807,0.0964
0.4807,0.264
0.4807,0.269
0.4807,0.2741
0.4807,0.2792
0.4807,0.2843
0.4807,0.6244
0.4807,0.6294
0.4807,0.6345
0.4807,0.6396
0.4807,0.6447
0.4807,0.6497
0.4807,0.6548
0.4807,0.6599
0.4862,0.0812
0.4862,0.0863
0.4862,0.0914
0.4862,0.0964
0.4862,0.1015
0.4862,0.2487
0.4862,0.269
0.4862,0.2741
0.4862,0.2792
0.4862,0.6294
0.4862,0.6345
0.4862,0.6396
0.4862,0.6447
0.4862,0.6497
0.4862,0.6548
0.4862,0.6599
0.4862,0.665
0.4917,0.0812
0.4917,0.0863
0.4917,0.0914
0.4917,0.0964
0.4917,0.1015
0.4917,0.2437
0.4917,0.2487
0.4917,0.2538
0.4917,0.6345
0.4917,0.6396
0.4917,0.6447
0.4917,0.6497
0.4917,0.6548
0.4917,0.6599
0.4917,0.665
0.4917,0.6701
0.4917,0.6751
0.4972,0.0863
0.4972,0.0914
0.4972,0.0964
0.4972,0.1015
0.4972,0.2437
0.4972,0.2487
0.4972,0.2538
0.4972,0.2589
0.4972,0.6497
0.4972,0.6548
0.4972,0.6599
0.4972,0.665
0.4972,0.6701
0.4972,0.6751
0.4972,0.6802
0.5028,0.0863
0.5028,0.0914
0.5028,0.0964
0.5028,0.1015
0.5028,0.2437
0.5028,0.2487
0.5028,0.2538
0.5028,0.2589
0.5028,0.6548
0.5028,0.6599
0.5028,0.665
0.5028,0.6701
0.5028,0.6751
0.5028,0.6802
0.5028,0.6853
0.5028,0.6904
0.5083,0.0863
0.5083,0.0914
0.5083,0.0964
0.5083,0.1015
0.5083,0.1066
0.5083,0.2437
0.5083,0.2487
0.5083,0.2538
0.5083,0.665
0.5083,0.6701
0.5083,0.6751
0.5083,0.6802
0.5083,0.6853
0.5083,0.6904
0.5083,0.6954
0.5138,0.0914
0.5138,0.0964
0.5138,0.1015
0.5138,0.1066
0.5138,0.2234
0.5138,0.2284
0.5138,0.2335
0.5138,0.6751
0.5138,0.6802
0.5138,0.6853
0.5138,0.6904
0.5138,0.6954
0.5138,0.7005
0.5138,0.7056
0.5193,0.0914
0.5193,0.0964
0.5193,0.1015
0.5193,0.1066
0.5193,0.2183
0.5193,0.2234
0.5193,0.2284
0.5193,0.2335
0.5193,0.6802
0.5193,0.6853
0.5193,0.6904
0.5193,0.6954
0.5193,0.7005
0.5193,0.7056
0.5193,0.7107
0.5249,0.0914
0.5249,0.0964
0.5249,0.1015
0.5249,0.1066
0.5249,0.1117
0.5249,0.2183
0.5249,0.2234
0.5249,0.2284
0.5249,0.2335
0.5249,0.6853
0.5249,0.6904
0.5249,0.6954
0.5249,0.7005
0.5249,0.7056
0.5249,0.7107
0.5249,0.7157
0.5249,0.7208
0.5304,0.0964
0.5304,0.1015
0.5304,0.1066
0.5304,0.1117
0.5304,0.2183
0.5304,0.2234
0.5304,0.2284
0.5304,0.2335
0.5304,0.6954
0.5304,0.7005
0.5304,0.7056
0.5304,0.7107
0.5304,0.7157
0.5304,0.7208
0.5304,0.7259
0.5359,0.0964
0.5359,0.1015
0.5359,0.1066
0.5359,0.1117
0.5359,0.198
0.5359,0.203
0.5359,0.2081
0.5359,0.7005
0.5359,0.7056
0.5359,0.7107
0.5359,0.7157
0.5359,0.7208
0.5359,0.7259
0.5359,0.731
0.5414,0.0964
0.5414,0.1015
0.5414,0.1066
0.5414,0.1117
0.5414,0.1168
0.5414,0.198
0.5414,0.203
0.5414,0.2081
0.5414,0.2132
0.5414,0.7056
0.5414,0.7107
0.5414,0.7157
0.5414,0.7208
0.5414,0.7259
0.5414,0.731
0.547,0.1015
0.547,0.1066
0.547,0.1117
0.547,0.1168
0.547,0.198
0.547,0.203
0.547,0.2081
0.547,0.2132
0.547,0.7157
0.547,0.7208
0.547,0.7259
0.547,0.731
0.547,0.736
0.547,0.7411
0.5525,0.1015
0.5525,0.1066
0.5525,0.1117
0.5525,0.1168
0.5525,0.1218
0.5525,0.198
0.5525,0.203
0.5525,0.2081
0.5525,0.2132
0.5525,0.7157
0.5525,0.7208
0.5525,0.7259
0.5525,0.731
0.5525,0.736
0.5525,0.7411
0.5525,0.7462
0.558,0.1066
0.558,0.1117
0.558,0.1168
0.558,0.1218
0.558,0.1269
0.558,0.1827
0.558,0.203
0.558,0.2081
0.558,0.7259
0.558,0.731
0.558,0.736
0.558,0.7411
0.558,0.7462
0.558,0.7513
