tCycB_AU,CycB_Cdk1_ss_AU
0.0829,0.0711
0.0856,0.066
0.0856,0.0711
0.0856,0.0761
0.0856,0.0812
0.0884,0.0711
0.0884,0.0761
0.0884,0.0812
0.0884,0.0863
0.0912,0.0761
0.0912,0.0812
0.0912,0.0863
0.0939,0.0812
0.0939,0.0863
0.0939,0.0914
0.0967,0.0812
0.0967,0.0863
0.0967,0.0914
0.0967,0.0964
0.0994,0.0609
0.0994,0.066
0.0994,0.0711
0.0994,0.0863
0.0994,0.0914
0.0994,0.0964
0.1022,0.0609
0.1022,0.066
0.1022,0.0711
0.1022,0.0914
0.1022,0.0964
0.1022,0.1015
0.105,0.066
0.105,0.0914
0.105,0.0964
0.105,0.1015
0.105,0.1066
0.1077,0.0964
0.1077,0.1015
0.1077,0.1066
0.1105,0.0964
0.1105,0.1015
0.1105,0.1066
0.1105,0.1117
0.1133,0.1015
0.1133,0.1066
0.1133,0.1117
0.116,0.066
0.116,0.0711
0.116,0.1066
0.116,0.1117
0.116,0.1168
0.1188,0.0609
0.1188,0.066
0.1188,0.0711
0.1188,0.1066
0.1188,0.1117
0.1188,0.1168
0.1188,0.1218
0.1215,0.066
0.1215,0.0711
0.1215,0.1117
0.1215,0.1168
0.1215,0.1218
0.1243,0.1117
0.1243,0.1168
0.1243,0.1218
0.1243,0.1269
0.1271,0.1168
0.1271,0.1218
0.1271,0.1269
0.1298,0.1218
0.1298,0.1269
0.1298,0.132
0.1326,0.066
0.1326,0.0711
0.1326,0.1218
0.1326,0.1269
0.1326,0.132
0.1354,0.066
0.1354,0.0711
0.1354,0.0761
0.1354,0.1218
0.1354,0.1269
0.1354,0.132
0.1354,0.1371
0.1381,0.066
0.1381,0.0711
0.1381,0.1269
0.1381,0.132
0.1381,0.1371
0.1409,0.132
0.1409,0.1371
0.1409,0.1421
0.1436,0.132
0.1436,0.1371
0.1436,0.1421
0.1436,0.1472
0.1464,0.1371
0.1464,0.1421
0.1464,0.1472
0.1492,0.0711
0.1492,0.1371
0.1492,0.1421
0.1492,0.1472
0.1492,0.1523
0.1519,0.066
0.1519,0.0711
0.1519,0.0761
0.1519,0.1421
0.1519,0.1472
0.1519,0.1523
0.1547,0.0254
0.1547,0.066
0.1547,0.0711
0.1547,0.0761
0.1547,0.1421
0.1547,0.1472
0.1547,0.1523
0.1547,0.1574
0.1575,0.0254
