tCycB_AU,pEnsaB55_ss_AU
0.0,0.0102
0.0,0.203
0.0,0.401
0.0028,0.0
0.0028,0.0051
0.0028,0.0102
0.0028,0.203
0.0055,0.0
0.0055,0.0051
0.0055,0.0102
0.0083,0.0
0.0083,0.0051
0.0083,0.0102
0.011,0.0
0.011,0.0051
0.011,0.0102
0.0138,0.0
0.0138,0.0051
0.0138,0.0102
0.0166,0.0
0.0166,0.0051
0.0166,0.0102
0.0193,0.0
0.0193,0.0051
0.0193,0.0102
0.0221,0.0
0.0221,0.0051
0.0221,0.0102
0.0249,0.0
0.0249,0.0051
0.0249,0.0102
0.0276,0.0
0.0276,0.0051
0.0276,0.0102
0.0304,0.0
0.0304,0.0051
0.0304,0.0102
0.0331,0.0
0.0331,0.0051
0.0331,0.0102
0.0359,0.0
0.0359,0.0051
0.0359,0.0102
0.0387,0.0
0.0387,0.0051
0.0387,0.0102
0.0414,0.0
0.0414,0.0051
0.0414,0.0102
0.0442,0.0
0.0442,0.0051
0.0442,0.0102
0.047,0.0
0.047,0.0051
0.047,0.0102
0.0497,0.0051
0.0497,0.0102
0.0525,0.0051
0.0525,0.0102
0.0552,0.0051
0.0552,0.0102
0.058,0.0051
0.058,0.0102
0.0608,0.0051
0.0608,0.0102
0.0635,0.0051
0.0635,0.0102
0.0663,0.0051
0.0663,0.0102
0.0663,0.0152
0.0691,0.0051
0.0691,0.0102
0.0691,0.0152
0.0718,0.0051
0.0718,0.0102
0.0718,0.0152
0.0746,0.0051
0.0746,0.0102
0.0746,0.0152
0.0773,0.0051
0.0773,0.0102
0.0773,0.0152
0.0801,0.0051
0.0801,0.0102
0.0801,0.0152
0.0829,0.0051
0.0829,0.0102
0.0829,0.0152
0.0856,0.0051
0.0856,0.0102
0.0856,0.0152
0.0856,0.2538
0.0884,0.0051
0.0884,0.0102
0.0884,0.0152
0.0884,0.2437
0.0884,0.2487
0.0884,0.2538
0.0912,0.0051
0.0912,0.0102
0.0912,0.0152
0.0912,0.2437
0.0912,0.2487
0.0912,0.2538
0.0939,0.0051
0.0939,0.0102
0.0939,0.0152
0.0939,0.2437
0.0939,0.2487
0.0939,0.2538
0.0967,0.0051
0.0967,0.0102
0.0967,0.0152
0.0967,0.2487
0.0967,0.2538
0.0967,0.2589
0.0994,0.0051
0.0994,0.0102
0.0994,0.0152
0.0994,0.2487
