kSyCb_permin,CycB_Cdk1_orbit_AU
0.00022,0.2021
0.03293,0.0319
0.03293,0.034
0.03293,0.0362
0.03293,0.0383
0.03293,0.1404
0.03293,0.1426
0.03293,0.1447
0.03293,0.1468
0.03315,0.0319
0.03315,0.034
0.03315,0.0362
0.03315,0.0383
0.03315,0.0404
0.03315,0.1383
0.03315,0.1404
0.03315,0.1426
0.03315,0.1447
0.03315,0.1468
0.03337,0.0298
0.03337,0.0319
0.03337,0.034
0.03337,0.0362
0.03337,0.0383
0.03337,0.0404
0.03337,0.1383
0.03337,0.1404
0.03337,0.1426
0.03337,0.1447
0.03337,0.1468
0.03337,0.1489
0.03359,0.0298
0.03359,0.0319
0.03359,0.034
0.03359,0.0362
0.03359,0.0383
0.03359,0.0404
0.03359,0.1383
0.03359,0.1404
0.03359,0.1426
0.03359,0.1447
0.03359,0.1468
0.03359,0.1489
0.03381,0.0298
0.03381,0.0319
0.03381,0.034
0.03381,0.0362
0.03381,0.0383
0.03381,0.0404
0.03381,0.1383
0.03381,0.1404
0.03381,0.1426
0.03381,0.1447
0.03381,0.1468
0.03381,0.1489
0.03403,0.0298
0.03403,0.0319
0.03403,0.034
0.03403,0.0362
0.03403,0.0383
0.03403,0.1404
0.03403,0.1426
0.03403,0.1447
0.03403,0.1468
0.03403,0.1489
0.03403,0.1511
0.03425,0.0298
0.03425,0.0319
0.03425,0.034
0.03425,0.0362
0.03425,0.0383
0.03425,0.1404
0.03425,0.1426
0.03425,0.1447
0.03425,0.1468
0.03425,0.1489
0.03425,0.1511
0.03448,0.0298
0.03448,0.0319
0.03448,0.034
0.03448,0.0362
0.03448,0.0383
0.03448,0.1404
0.03448,0.1426
0.03448,0.1447
0.03448,0.1468
0.03448,0.1489
0.03448,0.1511
0.0347,0.0298
0.0347,0.0319
0.0347,0.034
0.0347,0.0362
0.0347,0.0383
0.0347,0.1426
0.0347,0.1447
0.0347,0.1468
0.0347,0.1489
0.0347,0.1511
0.03492,0.0298
0.03492,0.0319
0.03492,0.034
0.03492,0.0362
0.03492,0.0383
0.03492,0.1426
0.03492,0.1447
0.03492,0.1468
0.03492,0.1489
0.03492,0.1511
0.03492,0.1532
0.03514,0.0298
0.03514,0.0319
0.03514,0.034
0.03514,0.0362
0.03514,0.0383
0.03514,0.1426
0.03514,0.1447
0.03514,0.1468
0.03514,0.1489
0.03514,0.1511
0.03514,0.1532
0.03536,0.0298
0.03536,0.0319
0.03536,0.034
0.03536,0.0362
0.03536,0.0383
0.03536,0.1447
0.03536,0.1468
0.03536,0.1489
0.03536,0.1511
0.03536,0.1532
0.03558,0.0298
0.03558,0.0319
0.03558,0.034
0.03558,0.0362
