kSyCb_permin,CycB_Cdk1_ss_AU
0.00044,0.0
0.00066,0.0
0.00066,0.0021
0.00088,0.0
0.00088,0.0021
0.00088,0.0043
0.0011,0.0
0.0011,0.0021
0.0011,0.0043
0.0011,0.0064
0.00133,0.0021
0.00133,0.0043
0.00133,0.0064
0.00133,0.0085
0.00155,0.0043
0.00155,0.0064
0.00155,0.0085
0.00155,0.0106
0.00177,0.0064
0.00177,0.0085
0.00177,0.0106
0.00177,0.0128
0.00199,0.0085
0.00199,0.0106
0.00199,0.0128
0.00199,0.0149
0.00221,0.0106
0.00221,0.0128
0.00221,0.0149
0.00221,0.017
0.00243,0.0128
0.00243,0.0149
0.00243,0.017
0.00265,0.0149
0.00265,0.017
0.00265,0.0191
0.00287,0.017
0.00287,0.0191
0.00287,0.0213
0.00309,0.017
0.00309,0.0191
0.00309,0.0213
0.00309,0.0234
0.00331,0.0191
0.00331,0.0213
0.00331,0.0234
0.00331,0.0255
0.00354,0.0213
0.00354,0.0234
0.00354,0.0255
0.00376,0.0234
0.00376,0.0255
0.00376,0.0277
0.00398,0.0255
0.00398,0.0277
0.00398,0.0298
0.0042,0.0255
0.0042,0.0277
0.0042,0.0298
0.0042,0.0319
0.00442,0.0277
0.00442,0.0298
0.00442,0.0319
0.00442,0.034
0.00464,0.0298
0.00464,0.0319
0.00464,0.034
0.00486,0.0319
0.00486,0.034
0.00486,0.0362
0.00508,0.0319
0.00508,0.034
0.00508,0.0362
0.00508,0.0383
0.0053,0.034
0.0053,0.0362
0.0053,0.0383
0.00552,0.0362
0.00552,0.0383
0.00552,0.0404
0.00575,0.0362
0.00575,0.0383
0.00575,0.0404
0.00575,0.0426
0.00597,0.0383
0.00597,0.0404
0.00597,0.0426
0.00619,0.0404
0.00619,0.0426
0.00619,0.0447
0.00641,0.0404
0.00641,0.0426
0.00641,0.0447
0.00641,0.0468
0.00663,0.0426
0.00663,0.0447
0.00663,0.0468
0.00685,0.0447
0.00685,0.0468
0.00685,0.0489
0.00707,0.0447
0.00707,0.0468
0.00707,0.0489
0.00707,0.0511
0.00729,0.0468
0.00729,0.0489
0.00729,0.0511
0.00751,0.0489
0.00751,0.0511
0.00751,0.0532
0.00773,0.0489
0.00773,0.0511
0.00773,0.0532
0.00773,0.0553
0.00796,0.0511
0.00796,0.0532
0.00796,0.0553
0.00818,0.0511
0.00818,0.0532
0.00818,0.0553
0.00818,0.0574
0.0084,0.0532
0.0084,0.0553
0.0084,0.0574
0.00862,0.0532
0.00862,0.0553
0.00862,0.0574
0.00862,0.0596
0.00884,0.0553
0.00884,0.0574
0.00884,0.0596
0.00906,0.0574
0.00906,0.0596
0.00906,0.0617
0.00928,0.0574
0.00928,0.0596
0.00928,0.0617
0.0095,0.0596
0.0095,0.0617
0.0095,0.0638
0.00972,0.0596
0.00972,0.0617
0.00972,0.0638
0.00972,0.066
0.00994,0.0617
0.00994,0.0638
0.00994,0.066
0.01017,0.0617
0.01017,0.0638
0.01017,0.066
0.01017,0.0681
0.01039,0.0638
0.01039,0.066
0.01039,0.0681
0.01061,0.066
0.01061,0.0681
0.01061,0.0702
0.01083,0.066
0.01083,0.0681
0.01083,0.0702
0.01105,0.0681
0.01105,0.0702
0.01105,0.0723
0.01127,0.0681
0.01127,0.0702
0.01127,0.0723
0.01149,0.0702
0.01149,0.0723
0.01149,0.0745
0.01171,0.0702
0.01171,0.0723
0.01171,0.0745
0.01193,0.0702
0.01193,0.0723
0.01193,0.0745
0.01193,0.0766
0.01215,0.0723
0.01215,0.0745
0.01215,0.0766
0.01238,0.0745
0.01238,0.0766
0.01238,0.0787
0.0126,0.0745
0.0126,0.0766
0.0126,0.0787
0.01282,0.0766
0.01282,0.0787
0.01282,0.0809
0.01304,0.0766
0.01304,0.0787
0.01304,0.0809
0.01326,0.0766
0.01326,0.0787
0.01326,0.0809
0.01348,0.0787
0.01348,0.0809
0.01348,0.083
0.0137,0.0787
0.0137,0.0809
0.0137,0.083
0.01392,0.0809
0.01392,0.083
0.01392,0.0851
0.01414,0.0809
0.01414,0.083
0.01414,0.0851
0.01436,0.0809
0.01436,0.083
0.01436,0.0851
0.01436,0.0872
0.01459,0.083
0.01459,0.0851
0.01459,0.0872
0.01481,0.083
0.01481,0.0851
0.01481,0.0872
0.01481,0.0894
0.01503,0.0851
0.01503,0.0872
0.01503,0.0894
0.01525,0.0851
0.01525,0.0872
0.01525,0.0894
0.01547,0.0872
0.01547,0.0894
0.01547,0.0915
0.01569,0.0872
0.01569,0.0894
0.01569,0.0915
0.01591,0.0872
0.01591,0.0894
0.01591,0.0915
0.01613,0.0894
0.01613,0.0915
0.01613,0.0936
0.01635,0.0894
0.01635,0.0915
0.01635,0.0936
0.01657,0.0915
0.01657,0.0936
0.01657,0.0957
0.0168,0.0915
0.0168,0.0936
0.0168,0.0957
0.01702,0.0915
0.01702,0.0936
0.01702,0.0957
0.01724,0.0936
0.01724,0.0957
0.01724,0.0979
0.01746,0.0936
0.01746,0.0957
0.01746,0.0979
0.01768,0.0936
0.01768,0.0957
0.01768,0.0979
0.0179,0.0957
0.0179,0.0979
0.0179,0.1
0.01812,0.0957
0.01812,0.0979
0.01812,0.1
0.01834,0.0979
0.01834,0.1
0.01856,0.0979
0.01856,0.1
0.01856,0.1021
0.01878,0.0979
0.01878,0.1
0.01878,0.1021
0.01901,0.0979
0.01901,0.1
0.01901,0.1021
0.01923,0.1
0.01923,0.1021
0.01923,0.1043
0.01945,0.1
0.01945,0.1021
0.01945,0.1043
0.01967,0.1021
0.01967,0.1043
0.01967,0.1064
0.01989,0.1021
0.01989,0.1043
0.01989,0.1064
0.02011,0.1021
0.02011,0.1043
0.02011,0.1064
0.02033,0.1021
0.02033,0.1043
0.02033,0.1064
0.02055,0.1043
0.02055,0.1064
0.02055,0.1085
0.02077,0.1043
0.02077,0.1064
0.02077,0.1085
0.02099,0.1043
0.02099,0.1064
0.02099,0.1085
0.02122,0.1064
0.02122,0.1085
0.02122,0.1106
0.02144,0.1064
0.02144,0.1085
0.02144,0.1106
0.02166,0.1064
0.02166,0.1085
0.02166,0.1106
0.02188,0.1064
0.02188,0.1085
0.02188,0.1106
0.0221,0.1085
0.0221,0.1106
0.0221,0.1128
0.02232,0.1085
0.02232,0.1106
0.02232,0.1128
0.02254,0.1085
0.02254,0.1106
0.02254,0.1128
0.02276,0.1085
0.02276,0.1106
0.02276,0.1128
0.02298,0.1106
0.02298,0.1128
0.02298,0.1149
0.0232,0.1106
0.0232,0.1128
0.0232,0.1149
0.02343,0.1106
0.02343,0.1128
0.02343,0.1149
0.02365,0.1106
0.02365,0.1128
0.02365,0.1149
0.02387,0.1128
0.02387,0.1149
0.02409,0.1128
0.02409,0.1149
0.02409,0.117
0.02431,0.1128
0.02431,0.1149
0.02431,0.117
0.02453,0.1128
0.02453,0.1149
0.02453,0.117
0.02475,0.1128
0.02475,0.1149
0.02475,0.117
0.02497,0.1149
0.02497,0.117
0.02519,0.1149
0.02519,0.117
0.02519,0.1191
0.02541,0.1149
0.02541,0.117
0.02541,0.1191
0.02564,0.1149
0.02564,0.117
0.02564,0.1191
0.02586,0.1149
0.02586,0.117
0.02586,0.1191
0.02608,0.1149
0.02608,0.117
0.02608,0.1191
0.0263,0.117
0.0263,0.1191
0.02652,0.117
0.02652,0.1191
0.02652,0.1213
0.02674,0.117
0.02674,0.1191
0.02674,0.1213
0.02696,0.117
0.02696,0.1191
0.02696,0.1213
0.02718,0.117
0.02718,0.1191
0.02718,0.1213
0.0274,0.117
0.0274,0.1191
0.0274,0.1213
0.02762,0.117
0.02762,0.1191
0.02762,0.1213
0.02785,0.117
0.02785,0.1191
0.02785,0.1213
0.02807,0.1191
0.02807,0.1213
0.02829,0.1191
0.02829,0.1213
0.02851,0.1191
0.02851,0.1213
0.02873,0.1191
0.02873,0.1213
0.02895,0.1191
0.02895,0.1213
0.02917,0.1191
0.02917,0.1213
0.02917,0.1234
0.02939,0.1191
0.02939,0.1213
0.02939,0.1234
0.02961,0.1191
0.02961,0.1213
0.02961,0.1234
0.02983,0.1191
0.02983,0.1213
0.02983,0.1234
0.03006,0.1191
0.03006,0.1213
0.03006,0.1234
0.03028,0.1191
0.03028,0.1213
0.0305,0.1191
0.0305,0.1213
0.03072,0.1191
0.03072,0.1213
0.03094,0.117
0.03094,0.1191
0.03094,0.1213
0.03116,0.117
0.03116,0.1191
0.03116,0.1213
0.03138,0.117
0.03138,0.1191
0.03138,0.1213
0.0316,0.117
0.0316,0.1191
0.0316,0.1213
0.03182,0.117
0.03182,0.1191
0.03182,0.1213
0.03204,0.1149
0.03204,0.117
0.03204,0.1191
0.03227,0.1149
0.03227,0.117
0.03227,0.1191
0.03249,0.1149
0.03249,0.117
0.03249,0.1191
0.03271,0.1128
0.03271,0.1149
0.03271,0.117
0.03293,0.1106
0.03293,0.1128
0.03293,0.1149
0.03293,0.117
0.03315,0.083
0.03315,0.0851
0.03315,0.0872
0.03315,0.1085
0.03315,0.1106
0.03315,0.1128
0.03315,0.1149
0.03337,0.083
0.03337,0.0851
0.03337,0.0872
0.03337,0.0979
0.03337,0.1
0.03337,0.1021
0.03337,0.1043
0.03337,0.1064
0.03337,0.1085
0.03337,0.1106
0.03337,0.1128
0.03359,0.0723
0.03359,0.0745
0.03359,0.0851
0.03359,0.0872
0.03359,0.0957
0.03359,0.0979
0.03359,0.1
0.03359,0.1021
0.03359,0.1043
0.03359,0.1064
0.03359,0.1085
0.03359,0.1106
0.03381,0.0702
0.03381,0.0723
0.03381,0.0745
0.03381,0.0979
0.03381,0.1
0.03381,0.1021
0.03381,0.1043
0.03381,0.1064
0.03403,0.0723
0.03403,0.0745
0.0347,0.0681
0.03492,0.066
0.03492,0.0681
0.03492,0.0702
0.03514,0.066
0.03514,0.0681
0.03514,0.0702
0.03624,0.0638
0.03624,0.066
0.03646,0.0638
0.03646,0.066
0.03757,0.0617
0.03757,0.0638
0.03757,0.066
0.03779,0.0617
0.03779,0.0638
0.03779,0.066
0.03801,0.0638
0.0389,0.0596
0.0389,0.0617
0.0389,0.0638
