time_s,value_nM
0.00,0.529
1.50,1.427
3.00,6.231
4.50,11.700
6.00,16.259
7.50,17.942
9.00,18.057
10.50,17.352
12.00,16.208
13.50,16.039
15.00,13.816
16.50,12.495
18.00,11.402
19.50,10.462
21.00,9.606
22.50,8.871
24.00,8.261
25.50,7.734
27.00,7.279
28.50,6.921
30.00,6.599
31.50,6.340
33.00,6.113
34.50,5.932
36.00,5.785
37.50,5.667
39.00,5.553
40.50,5.487
42.00,5.388
43.50,5.322
45.00,5.289
46.50,5.223
48.00,5.190
49.50,5.128
51.00,4.594
52.50,5.058
54.00,5.102
55.50,5.008
57.00,5.058
58.50,4.992
60.00,4.992
61.50,4.975
63.00,4.959
64.50,4.959
66.00,4.942
67.50,4.904
69.00,4.909
70.50,4.893
72.00,4.893
73.50,4.893
75.00,4.893
76.50,4.893
78.00,4.893
79.50,4.893
81.00,4.893
82.50,4.843
84.00,4.826
85.50,4.843
87.00,4.843
88.50,4.839
90.00,4.843
91.50,4.843
93.00,4.749
94.50,4.793
96.00,4.734
97.50,4.711
99.00,4.719
100.50,4.793
102.00,4.793
103.50,4.760
105.00,4.694
106.50,4.694
108.00,4.694
109.50,4.694
111.00,4.764
112.50,4.793
114.00,4.791
115.50,4.777
117.00,4.793
118.50,4.793
120.00,4.793
121.50,4.793
