time_s,value_nM
0.00,0.927
1.50,1.485
3.00,7.676
4.50,16.510
6.00,27.461
7.50,35.855
9.00,41.551
10.50,45.727
12.00,51.073
13.50,54.607
15.00,57.223
16.50,59.016
18.00,60.439
19.50,61.357
21.00,62.408
22.50,63.150
24.00,63.336
25.50,63.708
27.00,63.894
28.50,64.127
30.00,64.158
31.50,64.328
33.00,64.542
34.50,64.498
36.00,64.559
37.50,64.498
39.00,64.518
40.50,64.745
42.00,64.745
43.50,64.745
45.00,64.806
46.50,64.745
48.00,64.868
49.50,65.032
51.00,65.177
52.50,65.177
54.00,65.362
55.50,65.115
57.00,64.868
58.50,64.868
60.00,65.146
61.50,65.054
63.00,65.054
64.50,65.272
66.00,65.177
67.50,65.081
69.00,64.992
70.50,65.239
72.00,65.115
73.50,65.115
75.00,65.115
76.50,65.115
78.00,65.075
79.50,65.054
81.00,65.115
82.50,65.115
84.00,65.115
85.50,65.115
87.00,65.177
88.50,65.115
90.00,65.054
91.50,65.054
93.00,65.115
94.50,65.115
96.00,65.115
97.50,65.115
99.00,65.115
100.50,65.054
102.00,65.054
103.50,65.115
105.00,65.115
106.50,65.115
108.00,65.115
109.50,65.115
111.00,65.058
112.50,65.054
114.00,65.115
115.50,65.115
117.00,65.115
118.50,65.115
120.00,65.115
121.50,65.115
