time_s,value_nM
0.00,2.524
1.50,6.469
3.00,22.133
4.50,39.132
6.00,57.536
7.50,70.959
9.00,85.036
10.50,96.013
12.00,105.409
13.50,113.266
15.00,120.343
16.50,126.040
18.00,130.841
19.50,134.841
21.00,137.758
22.50,140.294
24.00,142.212
25.50,143.696
27.00,144.754
28.50,145.655
30.00,146.274
31.50,146.875
33.00,147.073
34.50,146.361
36.00,146.875
37.50,147.115
39.00,147.596
40.50,147.957
42.00,147.837
43.50,147.957
45.00,148.197
46.50,148.317
48.00,148.317
49.50,147.716
51.00,148.317
52.50,148.317
54.00,148.113
55.50,148.170
57.00,148.317
58.50,148.317
60.00,148.197
61.50,148.317
63.00,148.317
64.50,148.317
66.00,148.317
67.50,148.317
69.00,148.317
70.50,148.317
72.00,148.317
73.50,148.317
75.00,148.317
76.50,148.317
78.00,148.317
79.50,147.377
81.00,148.317
82.50,148.317
84.00,148.317
85.50,148.317
87.00,148.317
88.50,148.317
90.00,148.317
91.50,148.317
93.00,148.317
94.50,148.317
96.00,148.317
97.50,148.317
99.00,148.317
100.50,148.317
102.00,148.317
103.50,148.317
105.00,148.317
106.50,148.317
108.00,148.317
109.50,148.317
111.00,148.317
112.50,148.317
114.00,148.317
115.50,148.317
117.00,148.317
118.50,148.317
120.00,148.317
121.50,148.317
