time_s,value_nM
0.00,7.866
1.50,15.031
3.00,36.215
4.50,46.184
6.00,52.648
7.50,55.763
9.00,55.919
10.50,54.595
12.00,52.648
13.50,49.533
15.00,46.340
16.50,42.445
18.00,39.019
19.50,36.215
21.00,33.489
22.50,31.231
24.00,29.361
25.50,27.726
27.00,26.480
28.50,25.389
30.00,26.090
31.50,24.299
33.00,23.442
34.50,22.897
36.00,22.664
37.50,22.274
39.00,21.495
40.50,21.807
42.00,20.561
43.50,20.872
45.00,21.729
46.50,21.729
48.00,21.495
49.50,21.495
51.00,21.495
52.50,21.573
54.00,21.573
55.50,21.495
57.00,21.495
58.50,21.417
60.00,21.184
61.50,20.561
63.00,20.872
64.50,20.872
66.00,21.495
67.50,21.184
69.00,21.417
70.50,21.028
72.00,21.028
73.50,21.028
75.00,21.028
76.50,20.872
78.00,21.106
79.50,21.106
81.00,21.106
82.50,20.950
84.00,20.872
85.50,20.950
87.00,20.950
88.50,21.184
90.00,21.106
91.50,21.184
93.00,20.950
94.50,20.950
96.00,20.950
97.50,20.950
99.00,21.184
100.50,21.184
102.00,21.262
103.50,20.950
105.00,20.950
106.50,20.950
108.00,20.950
109.50,20.950
111.00,21.262
112.50,21.262
114.00,21.028
115.50,20.950
117.00,20.950
118.50,20.950
120.00,20.950
121.50,20.950
