scenario,parameter,estimate,ci_low,ci_high,source
unspecific,a_b,0.182,0.17,0.195,"Results, Blasi et al. (2016)"
site_specific,a_K5,0.225,0.181,0.28,"Results, Blasi et al. (2016)"
site_specific,a_K8,0.126,0.104,0.154,"Results, Blasi et al. (2016)"
site_specific,a_K12,0.417,0.331,0.528,"Results, Blasi et al. (2016)"
site_specific,a_K16,0.107,0.088,0.131,"Results, Blasi et al. (2016)"
motif_specific,a_b,0.067,0.063,0.071,"Table S1, Blasi et al. (2016)"
motif_specific,a_0ac_K8,0.027,0.022,0.033,"Table S1, Blasi et al. (2016)"
motif_specific,a_K5_K5K12,2.062,1.714,2.5,"Table S1, Blasi et al. (2016)"
motif_specific,a_K12_K5K12,0.552,0.419,0.705,"Table S1, Blasi et al. (2016)"
motif_specific,a_K16_K12K16,0.696,0.595,0.813,"Table S1, Blasi et al. (2016)"
motif_specific,a_K5K12_K5K8K12,0.325,0.273,0.387,"Table S1, Blasi et al. (2016)"
motif_specific,a_K12K16_K8K12K16,2.206,1.914,2.542,"Table S1, Blasi et al. (2016)"
motif_specific,a_K8K12K16_4ac,3.592,3.102,4.154,"Table S1, Blasi et al. (2016)"
