substrate_motif,product_motif,site,rate_constant,kind
0ac,k5,k5,0.0668,basal
0ac,k8,k8,0.0273,motif_specific
0ac,k12,k12,0.0668,basal
0ac,k16,k16,0.0668,basal
k16,k5k16,k5,0.0668,basal
k16,k8k16,k8,0.0668,basal
k16,k12k16,k12,0.6959,motif_specific
k12,k5k12,k5,0.5519,motif_specific
k12,k8k12,k8,0.0668,basal
k12,k12k16,k16,0.0668,basal
k12k16,k5k12k16,k5,0.0668,basal
k12k16,k8k12k16,k8,2.2055,motif_specific
k8,k5k8,k5,0.0668,basal
k8,k8k12,k12,0.0668,basal
k8,k8k16,k16,0.0668,basal
k8k16,k5k8k16,k5,0.0668,basal
k8k16,k8k12k16,k12,0.0668,basal
k8k12,k5k8k12,k5,0.0668,basal
k8k12,k8k12k16,k16,0.0668,basal
k8k12k16,4ac,k5,3.5917,motif_specific
k5,k5k8,k8,0.0668,basal
k5,k5k12,k12,2.062,motif_specific
k5,k5k16,k16,0.0668,basal
k5k16,k5k8k16,k8,0.0668,basal
k5k16,k5k12k16,k12,0.0668,basal
k5k12,k5k8k12,k8,0.3253,motif_specific
k5k12,k5k12k16,k16,0.0668,basal
k5k12k16,4ac,k8,0.0668,basal
k5k8,k5k8k12,k12,0.0668,basal
k5k8,k5k8k16,k16,0.0668,basal
k5k8k16,4ac,k12,0.0668,basal
k5k8k12,4ac,k16,0.0668,basal
