motif,replicate,relative_abundance
0ac,1,0.7477507546
0ac,2,0.7488324989
0ac,3,0.7464186187
0ac,4,0.7460197371
0ac,5,0.7346777456
0ac,6,0.7473683449
0ac,7,0.7115299516
0ac,8,0.7041180268
0ac,9,0.687133716
0ac,10,0.7043109811
0ac,11,0.6877183143
0ac,12,0.722193168
0ac,13,0.7346053206
0ac,14,0.7317104869
0ac,15,0.7368055433
0ac,16,0.7353015316
0ac,17,0.7860370077
0ac,18,0.7730402558
k5,1,0.0357434956
k5,2,0.0299751007
k5,3,0.0319485374
k5,4,0.0356067978
k5,5,0.0358038875
k5,6,0.0338619565
k5,7,0.032286999
k5,8,0.0386392741
k5,9,0.0298921207
k5,10,0.0344702628
k5,11,0.035647086
k5,12,0.0416663478
k5,13,0.0364716656
k5,14,0.0357468678
k5,15,0.037757738
k5,16,0.035665225
k5,17,0.0328347091
k5,18,0.0301433562
k8,1,0.0285863714
k8,2,0.0360768167
k8,3,0.032107581
k8,4,0.0299297615
k8,5,0.0331305
k8,6,0.0307525304
k8,7,0.037988979
k8,8,0.0333322401
k8,9,0.0478313941
k8,10,0.0342602774
k8,11,0.0339720718
k8,12,0.0267568853
k8,13,0.0255184446
k8,14,0.0302017929
k8,15,0.0264043215
k8,16,0.0308265468
k8,17,0.0245199861
k8,18,0.0306241172
k12,1,0.0698911177
k12,2,0.0657316077
k12,3,0.0706330493
k12,4,0.0726269828
k12,5,0.0719746032
k12,6,0.0658753768
k12,7,0.0821448646
k12,8,0.0800844078
k12,9,0.0760295558
k12,10,0.0825408662
k12,11,0.0893413419
k12,12,0.0779044736
k12,13,0.0750340555
k12,14,0.0847380136
k12,15,0.0712320521
k12,16,0.074118084
k12,17,0.0572650931
k12,18,0.0623801676
k16,1,0.0340003746
k16,2,0.0369876278
k16,3,0.033021657
k16,4,0.0316938561
k16,5,0.0333103419
k16,6,0.0351303222
k16,7,0.035258857
k16,8,0.0374192315
k16,9,0.0352520559
k16,10,0.0368370926
k16,11,0.0403769705
k16,12,0.0308594544
k16,13,0.0280646579
k16,14,0.0301801107
k16,15,0.0317391594
k16,16,0.0306364098
k16,17,0.0331148093
k16,18,0.0341717472
k5k8,1,0.0056806576
k5k8,2,0.0051190482
k5k8,3,0.0064222373
k5k8,4,0.006415159
k5k8,5,0.0071723039
k5k8,6,0.0053909205
k5k8,7,0.0070625017
k5k8,8,0.0055944146
k5k8,9,0.0062533439
k5k8,10,0.0060135768
k5k8,11,0.0073291191
k5k8,12,0.0063897149
k5k8,13,0.0065985939
k5k8,14,0.0066172451
k5k8,15,0.0063324372
k5k8,16,0.006899493
k5k8,17,0.0038748389
k5k8,18,0.0037448182
k5k12,1,0.0434158865
k5k12,2,0.0443789052
k5k12,3,0.0470881206
k5k12,4,0.0477700658
k5k12,5,0.0600586224
k5k12,6,0.0578341883
k5k12,7,0.0571466513
k5k12,8,0.0540117162
k5k12,9,0.0511675275
k5k12,10,0.0440053677
k5k12,11,0.0307945134
k5k12,12,0.0388013075
k8k12,1,0.0080967193
k8k12,2,0.0065363759
k8k12,3,0.0065426513
k8k12,4,0.0133786749
k8k12,5,0.0121658868
k8k12,6,0.0079245333
k8k12,7,0.0054277999
k8k12,8,0.0053220896
k8k12,9,0.0054696133
k8k12,10,0.0101090455
k8k12,11,0.0094183962
k8k12,12,0.0060419851
k8k16,1,0.0038262075
k8k16,2,0.0067116281
k8k16,3,0.0055278515
k8k16,4,0.0039600068
k8k16,5,0.0013848019
k8k16,6,0.0052229185
k8k16,7,0.0066441942
k8k16,8,0.0067009986
k8k16,9,0.0076181629
k8k16,10,0.0040375288
k8k16,11,0.0012796644
k8k16,12,0.0035808013
k12k16,1,0.0071480679
k12k16,2,0.0067384313
k12k16,3,0.0070938912
k12k16,4,0.0070100966
k12k16,5,0.0079196391
k12k16,6,0.0082749836
k12k16,7,0.0116770005
k12k16,8,0.0083859816
k12k16,9,0.0087131588
k12k16,10,0.008795474
k12k16,11,0.0100321792
k12k16,12,0.0075142106
k12k16,13,0.0085223315
k12k16,14,0.0081841044
k12k16,15,0.0080296142
k12k16,16,0.00870624
k12k16,17,0.0069110704
k12k16,18,0.0061287628
k5k8k12,1,0.0053520976
k5k8k12,2,0.0057590151
k5k8k12,3,0.0060147152
k5k8k12,4,0.0060189639
k5k8k12,5,0.006159812
k5k8k12,6,0.0060299617
k5k8k12,7,0.0063920421
k5k8k12,8,0.0063868816
k5k8k12,9,0.0087433859
k5k8k12,10,0.0084438032
k5k8k12,11,0.0086304264
k5k8k12,12,0.0071407069
k5k8k12,13,0.0075398194
k5k8k12,14,0.0057483973
k5k8k12,15,0.006949499
k5k8k12,16,0.0066482447
k5k8k12,17,0.0045629576
k5k8k12,18,0.0036498681
k5k8k16,1,0.001472112
k5k8k16,2,0.00135098
k5k8k16,3,0.0010207226
k5k8k16,4,0.0016467234
k5k8k16,5,0.0012858873
k5k8k16,6,0.0010164515
k5k8k16,7,0.0021626724
k5k8k16,8,0.0014689669
k5k8k16,9,0.0015825669
k5k8k16,10,0.001479875
k5k8k16,11,0.0013319473
k5k8k16,12,0.0015379107
k5k8k16,13,0.0011180796
k5k8k16,14,0.0011762112
k5k8k16,15,0.0012530127
k5k8k16,16,0.0009777025
k5k8k16,17,0.0007228267
k5k8k16,18,0.0010327739
k5k12k16,1,0.0014459526
k5k12k16,2,0.0028546517
k5k12k16,3,0.0016474004
k5k12k16,4,0.0015634113
k5k12k16,5,0.0021988099
k5k12k16,6,0.0025712943
k5k12k16,7,0.0030239645
k5k12k16,8,0.0051696682
k5k12k16,9,0.0032202149
k5k12k16,10,0.0039142288
k5k12k16,11,0.0035694069
k5k12k16,12,0.0020821695
k5k12k16,13,0.0034115859
k5k12k16,14,0.0020275485
k5k12k16,15,0.0031633495
k5k12k16,16,0.0017505789
k5k12k16,17,0.0011259586
k5k12k16,18,0.002221161
k8k12k16,1,0.0034915637
k8k12k16,2,0.0021823912
k8k12k16,3,0.0034256206
k8k12k16,4,0.003396277
k8k12k16,5,0.0032172172
k8k12k16,6,0.0034887922
k8k12k16,7,0.0043486252
k8k12k16,8,0.0043888815
k8k12k16,9,0.0053253436
k8k12k16,10,0.0038018268
k8k12k16,11,0.004321794
k8k12k16,12,0.0041416352
k8k12k16,13,0.0037099053
k8k12k16,14,0.0027575143
k8k12k16,15,0.0032139497
k8k12k16,16,0.0039214407
k8k12k16,17,0.0023350612
k8k12k16,18,0.0014335656
4ac,1,0.0025586787
4ac,2,0.0025276712
4ac,3,0.0032089475
4ac,4,0.0026968148
4ac,5,0.0035432949
4ac,6,0.0032944225
4ac,7,0.0032371439
4ac,8,0.0038015215
4ac,9,0.0068750527
4ac,10,0.0056489969
4ac,11,0.0049831642
4ac,12,0.0033456395
4ac,13,0.0035895127
4ac,14,0.0027663549
4ac,15,0.0030647938
4ac,16,0.0031698565
4ac,17,0.0017445951
4ac,18,0.0014080101
