day,date,new_cases_reported
0,2020-01-21,0
1,2020-01-22,0
2,2020-01-23,0
3,2020-01-24,0
4,2020-01-25,0
5,2020-01-26,0
6,2020-01-27,0
7,2020-01-28,0
8,2020-01-29,0
9,2020-01-30,0
10,2020-01-31,0
11,2020-02-01,0
12,2020-02-02,0
13,2020-02-03,0
14,2020-02-04,0
15,2020-02-05,0
16,2020-02-06,0
17,2020-02-07,0
18,2020-02-08,0
19,2020-02-09,0
20,2020-02-10,0
21,2020-02-11,0
22,2020-02-12,0
23,2020-02-13,0
24,2020-02-14,0
25,2020-02-15,0
26,2020-02-16,0
27,2020-02-17,0
28,2020-02-18,0
29,2020-02-19,0
30,2020-02-20,0
31,2020-02-21,0
32,2020-02-22,0
33,2020-02-23,0
34,2020-02-24,0
35,2020-02-25,0
36,2020-02-26,0
37,2020-02-27,0
38,2020-02-28,0
39,2020-02-29,0
40,2020-03-01,0
41,2020-03-02,0
42,2020-03-03,0
43,2020-03-04,0
44,2020-03-05,0
45,2020-03-06,0
46,2020-03-07,0
47,2020-03-08,1
48,2020-03-09,5
49,2020-03-10,1
50,2020-03-11,6
51,2020-03-12,3
52,2020-03-13,6
53,2020-03-14,5
54,2020-03-15,1
55,2020-03-16,12
56,2020-03-17,20
57,2020-03-18,46
58,2020-03-19,43
59,2020-03-20,53
60,2020-03-21,52
61,2020-03-22,50
62,2020-03-23,21
63,2020-03-24,64
64,2020-03-25,191
65,2020-03-26,183
66,2020-03-27,97
67,2020-03-28,55
68,2020-03-29,163
69,2020-03-30,135
70,2020-03-31,277
71,2020-04-01,196
72,2020-04-02,198
73,2020-04-03,160
74,2020-04-04,134
75,2020-04-05,170
76,2020-04-06,181
77,2020-04-07,275
78,2020-04-08,228
79,2020-04-09,207
80,2020-04-10,196
81,2020-04-11,206
82,2020-04-12,199
83,2020-04-13,174
84,2020-04-14,193
85,2020-04-15,146
86,2020-04-16,380
87,2020-04-17,203
88,2020-04-18,129
89,2020-04-19,125
90,2020-04-20,243
91,2020-04-21,250
92,2020-04-22,260
93,2020-04-23,264
94,2020-04-24,283
95,2020-04-25,238
96,2020-04-26,204
97,2020-04-27,249
98,2020-04-28,251
99,2020-04-29,316
100,2020-04-30,404
101,2020-05-01,370
102,2020-05-02,325
103,2020-05-03,317
104,2020-05-04,391
105,2020-05-05,419
106,2020-05-06,498
107,2020-05-07,461
108,2020-05-08,377
109,2020-05-09,761
110,2020-05-10,368
111,2020-05-11,374
112,2020-05-12,565
113,2020-05-13,451
114,2020-05-14,323
115,2020-05-15,336
116,2020-05-16,332
117,2020-05-17,390
118,2020-05-18,407
119,2020-05-19,341
120,2020-05-20,353
121,2020-05-21,344
122,2020-05-22,257
123,2020-05-23,231
124,2020-05-24,184
125,2020-05-25,348
126,2020-05-26,409
127,2020-05-27,401
128,2020-05-28,371
129,2020-05-29,373
130,2020-05-30,315
131,2020-05-31,281
132,2020-06-01,388
133,2020-06-02,443
134,2020-06-03,479
135,2020-06-04,551
136,2020-06-05,440
137,2020-06-06,361
138,2020-06-07,565
139,2020-06-08,543
140,2020-06-09,598
141,2020-06-10,626
142,2020-06-11,759
143,2020-06-12,562
144,2020-06-13,420
145,2020-06-14,641
146,2020-06-15,607
147,2020-06-16,834
148,2020-06-17,859
149,2020-06-18,799
150,2020-06-19,778
151,2020-06-20,948
152,2020-06-21,738
153,2020-06-22,958
154,2020-06-23,1487
155,2020-06-24,1045
156,2020-06-25,1006
157,2020-06-26,1365
158,2020-06-27,1118
159,2020-06-28,1088
160,2020-06-29,1677
161,2020-06-30,1551
162,2020-07-01,1515
163,2020-07-02,1597
164,2020-07-03,1482
165,2020-07-04,1818
166,2020-07-05,2342
167,2020-07-06,2363
168,2020-07-07,2325
169,2020-07-08,2229
170,2020-07-09,2239
171,2020-07-10,1949
172,2020-07-11,1787
173,2020-07-12,1735
174,2020-07-13,2307
175,2020-07-14,2502
176,2020-07-15,1957
177,2020-07-16,2268
178,2020-07-17,1648
179,2020-07-18,1657
180,2020-07-19,1634
181,2020-07-20,2082
182,2020-07-21,1823
183,2020-07-22,1616
184,2020-07-23,1442
185,2020-07-24,2236
186,2020-07-25,1269
187,2020-07-26,913
188,2020-07-27,2259
189,2020-07-28,1961
190,2020-07-29,1589
191,2020-07-30,3064
192,2020-07-31,67
193,2020-08-01,2226
194,2020-08-02,863
195,2020-08-03,2437
196,2020-08-04,2867
197,2020-08-05,1424
198,2020-08-06,1492
199,2020-08-07,1840
200,2020-08-08,1737
201,2020-08-09,1274
202,2020-08-10,1582
203,2020-08-11,1332
204,2020-08-12,1579
205,2020-08-13,2871
206,2020-08-14,2866
207,2020-08-15,6072
208,2020-08-16,2399
209,2020-08-17,2379
210,2020-08-18,920
211,2020-08-19,878
212,2020-08-20,1366
213,2020-08-21,1543
214,2020-08-22,640
215,2020-08-23,491
216,2020-08-24,1018
217,2020-08-25,1183
218,2020-08-26,771
219,2020-08-27,812
220,2020-08-28,1271
221,2020-08-29,281
222,2020-08-30,1201
223,2020-08-31,1339
224,2020-09-01,815
225,2020-09-02,439
226,2020-09-03,944
227,2020-09-04,971
228,2020-09-05,416
229,2020-09-06,115
230,2020-09-07,950
231,2020-09-08,1204
232,2020-09-09,494
233,2020-09-10,909
234,2020-09-11,675
235,2020-09-12,329
236,2020-09-13,1389
237,2020-09-14,1189
238,2020-09-15,998
239,2020-09-16,1081
240,2020-09-17,1113
241,2020-09-18,718
242,2020-09-19,1319
243,2020-09-20,812
244,2020-09-21,989
245,2020-09-22,1072
246,2020-09-23,1655
247,2020-09-24,482
248,2020-09-25,721
249,2020-09-26,1996
250,2020-09-27,857
251,2020-09-28,1729
252,2020-09-29,874
253,2020-09-30,629
254,2020-10-01,492
255,2020-10-02,2983
256,2020-10-03,1275
257,2020-10-04,847
258,2020-10-05,883
259,2020-10-06,2449
260,2020-10-07,1099
261,2020-10-08,1062
262,2020-10-09,1163
263,2020-10-10,1294
264,2020-10-11,879
265,2020-10-12,1529
266,2020-10-13,1550
267,2020-10-14,1625
268,2020-10-15,1516
269,2020-10-16,1817
270,2020-10-17,1168
271,2020-10-18,936
272,2020-10-19,1265
273,2020-10-20,1822
274,2020-10-21,1315
275,2020-10-22,1920
276,2020-10-23,2337
277,2020-10-24,1524
278,2020-10-25,1296
279,2020-10-26,1661
280,2020-10-27,1741
281,2020-10-28,1906
282,2020-10-29,1097
283,2020-10-30,2625
284,2020-10-31,1752
285,2020-11-01,2440
286,2020-11-02,2095
287,2020-11-03,2168
288,2020-11-04,1675
289,2020-11-05,3724
290,2020-11-06,1258
291,2020-11-07,2535
292,2020-11-08,3321
293,2020-11-09,3442
294,2020-11-10,2994
295,2020-11-11,2353
296,2020-11-12,3214
297,2020-11-13,3396
298,2020-11-14,3256
299,2020-11-15,3069
300,2020-11-16,2063
301,2020-11-17,4016
302,2020-11-18,5000
303,2020-11-19,4296
304,2020-11-20,4421
305,2020-11-21,4124
306,2020-11-22,2552
307,2020-11-23,6226
308,2020-11-24,3773
309,2020-11-25,897
310,2020-11-26,626
311,2020-11-27,1609
312,2020-11-28,5506
313,2020-11-29,4834
314,2020-11-30,3742
315,2020-12-01,6499
316,2020-12-02,6159
317,2020-12-03,3539
318,2020-12-04,4274
319,2020-12-05,4079
320,2020-12-06,4498
321,2020-12-07,4324
322,2020-12-08,4432
323,2020-12-09,5016
324,2020-12-10,12974
325,2020-12-11,4127
326,2020-12-12,1900
327,2020-12-13,5526
328,2020-12-14,6913
329,2020-12-15,6342
330,2020-12-16,6792
331,2020-12-17,8117
332,2020-12-18,5539
333,2020-12-19,1385
334,2020-12-20,5927
335,2020-12-21,7355
336,2020-12-22,7241
337,2020-12-23,1930
338,2020-12-24,74
339,2020-12-25,2920
340,2020-12-26,7506
341,2020-12-27,10318
342,2020-12-28,6419
343,2020-12-29,6030
344,2020-12-30,7251
345,2020-12-31,1247
346,2021-01-01,4071
347,2021-01-02,8154
348,2021-01-03,9208
349,2021-01-04,10210
350,2021-01-05,8892
351,2021-01-06,7553
352,2021-01-07,7547
353,2021-01-08,5919
354,2021-01-09,6108
355,2021-01-10,8359
356,2021-01-11,9861
357,2021-01-12,8180
358,2021-01-13,7303
359,2021-01-14,6874
360,2021-01-15,4802
361,2021-01-16,5068
362,2021-01-17,5235
363,2021-01-18,5461
364,2021-01-19,10277
365,2021-01-20,5689
366,2021-01-21,6286
367,2021-01-22,3873
368,2021-01-23,3574
369,2021-01-24,6152
370,2021-01-25,4750
371,2021-01-26,6624
372,2021-01-27,6475
373,2021-01-28,5240
374,2021-01-29,2774
375,2021-01-30,3814
376,2021-01-31,6807
377,2021-02-01,5845
378,2021-02-02,4982
379,2021-02-03,4475
380,2021-02-04,4453
381,2021-02-05,2547
382,2021-02-06,2590
383,2021-02-07,3869
384,2021-02-08,4155
385,2021-02-09,4277
386,2021-02-10,3889
387,2021-02-11,3176
388,2021-02-12,1904
389,2021-02-13,1806
390,2021-02-14,890
391,2021-02-15,1735
392,2021-02-16,2429
393,2021-02-17,878
394,2021-02-18,1170
395,2021-02-19,1178
396,2021-02-20,351
397,2021-02-21,1916
398,2021-02-22,2571
399,2021-02-23,2470
400,2021-02-24,2556
401,2021-02-25,2594
402,2021-02-26,2078
403,2021-02-27,189
404,2021-02-28,2557
405,2021-03-01,1925
406,2021-03-02,2251
407,2021-03-03,2766
408,2021-03-04,1564
409,2021-03-05,948
410,2021-03-06,425
411,2021-03-07,1207
412,2021-03-08,2010
413,2021-03-09,1888
414,2021-03-10,1510
415,2021-03-11,1367
416,2021-03-12,488
417,2021-03-13,342
418,2021-03-14,1513
419,2021-03-15,1236
420,2021-03-16,907
421,2021-03-17,1077
422,2021-03-18,883
423,2021-03-19,356
424,2021-03-20,142
425,2021-03-21,1224
426,2021-03-22,994
427,2021-03-23,694
428,2021-03-24,652
429,2021-03-25,1041
430,2021-03-26,506
431,2021-03-27,172
432,2021-03-28,1287
433,2021-03-29,818
434,2021-03-30,1108
435,2021-03-31,919
436,2021-04-01,444
437,2021-04-02,331
438,2021-04-03,139
439,2021-04-04,654
440,2021-04-05,1421
441,2021-04-06,796
442,2021-04-07,636
443,2021-04-08,915
444,2021-04-09,466
445,2021-04-10,278
446,2021-04-11,671
447,2021-04-12,1383
448,2021-04-13,640
449,2021-04-14,752
450,2021-04-15,718
451,2021-04-16,456
452,2021-04-17,353
453,2021-04-18,601
454,2021-04-19,1247
455,2021-04-20,654
456,2021-04-21,740
457,2021-04-22,641
458,2021-04-23,322
459,2021-04-24,631
460,2021-04-25,430
461,2021-04-26,1251
462,2021-04-27,953
463,2021-04-28,879
464,2021-04-29,861
465,2021-04-30,599
466,2021-05-01,506
467,2021-05-02,665
468,2021-05-03,883
469,2021-05-04,569
470,2021-05-05,702
471,2021-05-06,568
472,2021-05-07,337
473,2021-05-08,454
474,2021-05-09,439
475,2021-05-10,715
476,2021-05-11,287
477,2021-05-12,702
478,2021-05-13,663
479,2021-05-14,204
480,2021-05-15,268
481,2021-05-16,402
482,2021-05-17,1216
483,2021-05-18,340
484,2021-05-19,408
485,2021-05-20,290
486,2021-05-21,237
487,2021-05-22,291
488,2021-05-23,336
489,2021-05-24,596
490,2021-05-25,372
491,2021-05-26,243
492,2021-05-27,501
493,2021-05-28,123
494,2021-05-29,51
495,2021-05-30,50
496,2021-05-31,51
497,2021-06-01,521
498,2021-06-02,428
499,2021-06-03,336
500,2021-06-04,110
501,2021-06-05,175
502,2021-06-06,229
503,2021-06-07,208
504,2021-06-08,450
505,2021-06-09,356
506,2021-06-10,254
507,2021-06-11,941
508,2021-06-12,156
509,2021-06-13,254
510,2021-06-14,474
511,2021-06-15,371
512,2021-06-16,525
513,2021-06-17,301
514,2021-06-18,271
515,2021-06-19,286
516,2021-06-20,200
517,2021-06-21,402
518,2021-06-22,283
519,2021-06-23,480
520,2021-06-24,389
521,2021-06-25,91
522,2021-06-26,63
523,2021-06-27,334
524,2021-06-28,371
525,2021-06-29,451
526,2021-06-30,193
527,2021-07-01,559
528,2021-07-02,331
529,2021-07-03,37
530,2021-07-04,27
531,2021-07-05,387
532,2021-07-06,557
533,2021-07-07,600
534,2021-07-08,641
535,2021-07-09,363
536,2021-07-10,142
