day,date,new_cases_reported
0,2020-01-21,0
1,2020-01-22,0
2,2020-01-23,0
3,2020-01-24,0
4,2020-01-25,0
5,2020-01-26,0
6,2020-01-27,0
7,2020-01-28,0
8,2020-01-29,0
9,2020-01-30,0
10,2020-01-31,0
11,2020-02-01,0
12,2020-02-02,0
13,2020-02-03,0
14,2020-02-04,0
15,2020-02-05,0
16,2020-02-06,0
17,2020-02-07,0
18,2020-02-08,0
19,2020-02-09,0
20,2020-02-10,0
21,2020-02-11,0
22,2020-02-12,0
23,2020-02-13,0
24,2020-02-14,0
25,2020-02-15,0
26,2020-02-16,0
27,2020-02-17,0
28,2020-02-18,0
29,2020-02-19,0
30,2020-02-20,0
31,2020-02-21,0
32,2020-02-22,0
33,2020-02-23,0
34,2020-02-24,0
35,2020-02-25,0
36,2020-02-26,0
37,2020-02-27,0
38,2020-02-28,0
39,2020-02-29,0
40,2020-03-01,0
41,2020-03-02,0
42,2020-03-03,1
43,2020-03-04,4
44,2020-03-05,3
45,2020-03-06,0
46,2020-03-07,4
47,2020-03-08,0
48,2020-03-09,2
49,2020-03-10,0
50,2020-03-11,2
51,2020-03-12,5
52,2020-03-13,3
53,2020-03-14,2
54,2020-03-15,2
55,2020-03-16,4
56,2020-03-17,19
57,2020-03-18,14
58,2020-03-19,34
59,2020-03-20,24
60,2020-03-21,18
61,2020-03-22,27
62,2020-03-23,61
63,2020-03-24,78
64,2020-03-25,77
65,2020-03-26,85
66,2020-03-27,242
67,2020-03-28,139
68,2020-03-29,63
69,2020-03-30,202
70,2020-03-31,235
71,2020-04-01,112
72,2020-04-02,270
73,2020-04-03,335
74,2020-04-04,153
75,2020-04-05,514
76,2020-04-06,376
77,2020-04-07,369
78,2020-04-08,772
79,2020-04-09,327
80,2020-04-10,394
81,2020-04-11,97
82,2020-04-12,189
83,2020-04-13,266
84,2020-04-14,292
85,2020-04-15,281
86,2020-04-16,263
87,2020-04-17,277
88,2020-04-18,219
89,2020-04-19,217
90,2020-04-20,224
91,2020-04-21,212
92,2020-04-22,190
93,2020-04-23,238
94,2020-04-24,209
95,2020-04-25,151
96,2020-04-26,149
97,2020-04-27,228
98,2020-04-28,269
99,2020-04-29,300
100,2020-04-30,299
101,2020-05-01,238
102,2020-05-02,198
103,2020-05-03,166
104,2020-05-04,257
105,2020-05-05,203
106,2020-05-06,225
107,2020-05-07,288
108,2020-05-08,254
109,2020-05-09,103
110,2020-05-10,339
111,2020-05-11,296
112,2020-05-12,298
113,2020-05-13,237
114,2020-05-14,310
115,2020-05-15,142
116,2020-05-16,382
117,2020-05-17,214
118,2020-05-18,293
119,2020-05-19,314
120,2020-05-20,270
121,2020-05-21,276
122,2020-05-22,281
123,2020-05-23,170
124,2020-05-24,10
125,2020-05-25,453
126,2020-05-26,337
127,2020-05-27,292
128,2020-05-28,334
129,2020-05-29,269
130,2020-05-30,80
131,2020-05-31,468
132,2020-06-01,466
133,2020-06-02,337
134,2020-06-03,480
135,2020-06-04,466
136,2020-06-05,552
137,2020-06-06,207
138,2020-06-07,402
139,2020-06-08,505
140,2020-06-09,492
141,2020-06-10,427
142,2020-06-11,540
143,2020-06-12,490
144,2020-06-13,277
145,2020-06-14,668
146,2020-06-15,980
147,2020-06-16,857
148,2020-06-17,605
149,2020-06-18,1601
150,2020-06-19,1424
151,2020-06-20,450
152,2020-06-21,2314
153,2020-06-22,1661
154,2020-06-23,1831
155,2020-06-24,1659
156,2020-06-25,1901
157,2020-06-26,1313
158,2020-06-27,343
159,2020-06-28,1748
160,2020-06-29,1189
161,2020-06-30,2028
162,2020-07-01,1867
163,2020-07-02,1657
164,2020-07-03,734
165,2020-07-04,770
166,2020-07-05,2287
167,2020-07-06,2170
168,2020-07-07,1295
169,2020-07-08,1605
170,2020-07-09,1811
171,2020-07-10,2448
172,2020-07-11,1598
173,2020-07-12,2762
174,2020-07-13,2659
175,2020-07-14,2625
176,2020-07-15,2288
177,2020-07-16,2640
178,2020-07-17,1974
179,2020-07-18,1109
180,2020-07-19,2070
181,2020-07-20,1930
182,2020-07-21,2083
183,2020-07-22,2045
184,2020-07-23,1564
185,2020-07-24,1916
186,2020-07-25,1390
187,2020-07-26,1582
188,2020-07-27,2157
189,2020-07-28,1986
190,2020-07-29,2223
191,2020-07-30,2677
192,2020-07-31,2304
193,2020-08-01,1894
194,2020-08-02,1926
195,2020-08-03,2255
196,2020-08-04,2367
197,2020-08-05,1625
198,2020-08-06,1831
199,2020-08-07,2022
200,2020-08-08,1317
201,2020-08-09,1659
202,2020-08-10,1667
203,2020-08-11,1379
204,2020-08-12,1634
205,2020-08-13,2094
206,2020-08-14,2181
207,2020-08-15,694
208,2020-08-16,1471
209,2020-08-17,1703
210,2020-08-18,1827
211,2020-08-19,1473
212,2020-08-20,1487
213,2020-08-21,1511
214,2020-08-22,930
215,2020-08-23,1701
216,2020-08-24,1470
217,2020-08-25,1401
218,2020-08-26,694
219,2020-08-27,1758
220,2020-08-28,1959
221,2020-08-29,1248
222,2020-08-30,1130
223,2020-08-31,1089
224,2020-09-01,972
225,2020-09-02,1035
226,2020-09-03,1301
227,2020-09-04,1020
228,2020-09-05,960
229,2020-09-06,88
230,2020-09-07,1006
231,2020-09-08,1249
232,2020-09-09,1035
233,2020-09-10,1844
234,2020-09-11,708
235,2020-09-12,1233
236,2020-09-13,1700
237,2020-09-14,3202
238,2020-09-15,842
239,2020-09-16,1210
240,2020-09-17,1076
241,2020-09-18,970
242,2020-09-19,640
243,2020-09-20,14300
244,2020-09-21,703
245,2020-09-22,880
246,2020-09-23,818
247,2020-09-24,978
248,2020-09-25,543
249,2020-09-26,491
250,2020-09-27,686
251,2020-09-28,872
252,2020-09-29,610
253,2020-09-30,1085
254,2020-10-01,3098
255,2020-10-02,1153
256,2020-10-03,562
257,2020-10-04,747
258,2020-10-05,908
259,2020-10-06,979
260,2020-10-07,641
261,2020-10-08,624
262,2020-10-09,647
263,2020-10-10,586
264,2020-10-11,668
265,2020-10-12,637
266,2020-10-13,1017
267,2020-10-14,619
268,2020-10-15,793
269,2020-10-16,515
270,2020-10-17,419
271,2020-10-18,745
272,2020-10-19,700
273,2020-10-20,1222
274,2020-10-21,1000
275,2020-10-22,929
276,2020-10-23,1169
277,2020-10-24,452
278,2020-10-25,904
279,2020-10-26,700
280,2020-10-27,1107
281,2020-10-28,766
282,2020-10-29,882
283,2020-10-30,895
284,2020-10-31,516
285,2020-11-01,875
286,2020-11-02,702
287,2020-11-03,794
288,2020-11-04,1130
289,2020-11-05,939
290,2020-11-06,727
291,2020-11-07,873
292,2020-11-08,831
293,2020-11-09,1360
294,2020-11-10,1908
295,2020-11-11,1971
296,2020-11-12,1423
297,2020-11-13,1065
298,2020-11-14,1144
299,2020-11-15,1300
300,2020-11-16,990
301,2020-11-17,2028
302,2020-11-18,2064
303,2020-11-19,1660
304,2020-11-20,1811
305,2020-11-21,947
306,2020-11-22,2159
307,2020-11-23,3091
308,2020-11-24,2552
309,2020-11-25,749
310,2020-11-26,320
311,2020-11-27,733
312,2020-11-28,3001
313,2020-11-29,2454
314,2020-11-30,1279
315,2020-12-01,2305
316,2020-12-02,2871
317,2020-12-03,3241
318,2020-12-04,2486
319,2020-12-05,2471
320,2020-12-06,2461
321,2020-12-07,1764
322,2020-12-08,2798
323,2020-12-09,2137
324,2020-12-10,5426
325,2020-12-11,1705
326,2020-12-12,2036
327,2020-12-13,2420
328,2020-12-14,2673
329,2020-12-15,3891
330,2020-12-16,2880
331,2020-12-17,3006
332,2020-12-18,1913
333,2020-12-19,2804
334,2020-12-20,3524
335,2020-12-21,3662
336,2020-12-22,3565
337,2020-12-23,1563
338,2020-12-24,524
339,2020-12-25,196
340,2020-12-26,7434
341,2020-12-27,2653
342,2020-12-28,4871
343,2020-12-29,3225
344,2020-12-30,1909
345,2020-12-31,2561
346,2021-01-01,3448
347,2021-01-02,3439
348,2021-01-03,3953
349,2021-01-04,4562
350,2021-01-05,4288
351,2021-01-06,4147
352,2021-01-07,3747
353,2021-01-08,4361
354,2021-01-09,3375
355,2021-01-10,5990
356,2021-01-11,4002
357,2021-01-12,2910
358,2021-01-13,8044
359,2021-01-14,6536
360,2021-01-15,3788
361,2021-01-16,4148
362,2021-01-17,2121
363,2021-01-18,4540
364,2021-01-19,4620
365,2021-01-20,4399
366,2021-01-21,2501
367,2021-01-22,3042
368,2021-01-23,1760
369,2021-01-24,4882
370,2021-01-25,6936
371,2021-01-26,3555
372,2021-01-27,3720
373,2021-01-28,4380
374,2021-01-29,3731
375,2021-01-30,3386
376,2021-01-31,3421
377,2021-02-01,3430
378,2021-02-02,3876
379,2021-02-03,3082
380,2021-02-04,2662
381,2021-02-05,1320
382,2021-02-06,1714
383,2021-02-07,1823
384,2021-02-08,1746
385,2021-02-09,1932
386,2021-02-10,2988
387,2021-02-11,2572
388,2021-02-12,2819
389,2021-02-13,1704
390,2021-02-14,1416
391,2021-02-15,165
392,2021-02-16,1115
393,2021-02-17,128
394,2021-02-18,2885
395,2021-02-19,1029
396,2021-02-20,1509
397,2021-02-21,1749
398,2021-02-22,1477
399,2021-02-23,1323
400,2021-02-24,1656
401,2021-02-25,4186
402,2021-02-26,1005
403,2021-02-27,1762
404,2021-02-28,1724
405,2021-03-01,3274
406,2021-03-02,2628
407,2021-03-03,2056
408,2021-03-04,1844
409,2021-03-05,1357
410,2021-03-06,1225
411,2021-03-07,1043
412,2021-03-08,1397
413,2021-03-09,1577
414,2021-03-10,2305
415,2021-03-11,1414
416,2021-03-12,1318
417,2021-03-13,955
418,2021-03-14,753
419,2021-03-15,2124
420,2021-03-16,1263
421,2021-03-17,873
422,2021-03-18,1487
423,2021-03-19,852
424,2021-03-20,864
425,2021-03-21,657
426,2021-03-22,1507
427,2021-03-23,941
428,2021-03-24,972
429,2021-03-25,1309
430,2021-03-26,1475
431,2021-03-27,883
432,2021-03-28,1396
433,2021-03-29,1414
434,2021-03-30,980
435,2021-03-31,913
436,2021-04-01,682
437,2021-04-02,764
438,2021-04-03,679
439,2021-04-04,706
440,2021-04-05,1210
441,2021-04-06,904
442,2021-04-07,973
443,2021-04-08,885
444,2021-04-09,704
445,2021-04-10,668
446,2021-04-11,1165
447,2021-04-12,1146
448,2021-04-13,1164
449,2021-04-14,907
450,2021-04-15,856
451,2021-04-16,514
452,2021-04-17,695
453,2021-04-18,579
454,2021-04-19,1045
455,2021-04-20,1285
456,2021-04-21,1036
457,2021-04-22,629
458,2021-04-23,1137
459,2021-04-24,583
460,2021-04-25,790
461,2021-04-26,806
462,2021-04-27,880
463,2021-04-28,887
464,2021-04-29,858
465,2021-04-30,615
466,2021-05-01,375
467,2021-05-02,885
468,2021-05-03,699
469,2021-05-04,635
470,2021-05-05,621
471,2021-05-06,736
472,2021-05-07,422
473,2021-05-08,487
474,2021-05-09,538
475,2021-05-10,454
476,2021-05-11,660
477,2021-05-12,304
478,2021-05-13,496
479,2021-05-14,383
480,2021-05-15,193
481,2021-05-16,342
482,2021-05-17,768
483,2021-05-18,638
484,2021-05-19,466
485,2021-05-20,296
486,2021-05-21,298
487,2021-05-22,302
488,2021-05-23,585
489,2021-05-24,793
490,2021-05-25,488
491,2021-05-26,611
492,2021-05-27,378
493,2021-05-28,269
494,2021-05-29,71
495,2021-05-30,102
496,2021-05-31,143
497,2021-06-01,606
498,2021-06-02,811
499,2021-06-03,296
500,2021-06-04,346
501,2021-06-05,379
502,2021-06-06,95
503,2021-06-07,637
504,2021-06-08,598
505,2021-06-09,474
506,2021-06-10,222
507,2021-06-11,21
508,2021-06-12,204
509,2021-06-13,233
510,2021-06-14,321
511,2021-06-15,219
512,2021-06-16,-236
513,2021-06-17,-55
514,2021-06-18,273
515,2021-06-19,19
516,2021-06-20,13
517,2021-06-21,401
518,2021-06-22,82
519,2021-06-23,39
520,2021-06-24,127
521,2021-06-25,227
522,2021-06-26,19
523,2021-06-27,-86
524,2021-06-28,-62
525,2021-06-29,397
526,2021-06-30,285
527,2021-07-01,165
528,2021-07-02,452
529,2021-07-03,86
530,2021-07-04,67
531,2021-07-05,40
532,2021-07-06,1211
533,2021-07-07,868
534,2021-07-08,553
535,2021-07-09,509
536,2021-07-10,159
