day,date,new_cases_reported
0,2020-01-21,0
1,2020-01-22,0
2,2020-01-23,0
3,2020-01-24,0
4,2020-01-25,0
5,2020-01-26,0
6,2020-01-27,0
7,2020-01-28,0
8,2020-01-29,0
9,2020-01-30,0
10,2020-01-31,0
11,2020-02-01,0
12,2020-02-02,0
13,2020-02-03,0
14,2020-02-04,0
15,2020-02-05,0
16,2020-02-06,0
17,2020-02-07,0
18,2020-02-08,0
19,2020-02-09,0
20,2020-02-10,0
21,2020-02-11,0
22,2020-02-12,0
23,2020-02-13,0
24,2020-02-14,0
25,2020-02-15,0
26,2020-02-16,0
27,2020-02-17,0
28,2020-02-18,0
29,2020-02-19,0
30,2020-02-20,0
31,2020-02-21,0
32,2020-02-22,0
33,2020-02-23,0
34,2020-02-24,0
35,2020-02-25,0
36,2020-02-26,0
37,2020-02-27,0
38,2020-02-28,0
39,2020-02-29,1
40,2020-03-01,0
41,2020-03-02,1
42,2020-03-03,10
43,2020-03-04,12
44,2020-03-05,23
45,2020-03-06,43
46,2020-03-07,18
47,2020-03-08,41
48,2020-03-09,33
49,2020-03-10,50
50,2020-03-11,106
51,2020-03-12,108
52,2020-03-13,202
53,2020-03-14,128
54,2020-03-15,259
55,2020-03-16,477
56,2020-03-17,1086
57,2020-03-18,1972
58,2020-03-19,3003
59,2020-03-20,3325
60,2020-03-21,5048
61,2020-03-22,6088
62,2020-03-23,5124
63,2020-03-24,7521
64,2020-03-25,7466
65,2020-03-26,6600
66,2020-03-27,9878
67,2020-03-28,7417
68,2020-03-29,9465
69,2020-03-30,10383
70,2020-03-31,9967
71,2020-04-01,10780
72,2020-04-02,13763
73,2020-04-03,15925
74,2020-04-04,10452
75,2020-04-05,12067
76,2020-04-06,12107
77,2020-04-07,12398
78,2020-04-08,13414
79,2020-04-09,13357
80,2020-04-10,12261
81,2020-04-11,10765
82,2020-04-12,8549
83,2020-04-13,9942
84,2020-04-14,13544
85,2020-04-15,12026
86,2020-04-16,10046
87,2020-04-17,9250
88,2020-04-18,9076
89,2020-04-19,7474
90,2020-04-20,7139
91,2020-04-21,7684
92,2020-04-22,9125
93,2020-04-23,9807
94,2020-04-24,11225
95,2020-04-25,8141
96,2020-04-26,4924
97,2020-04-27,4825
98,2020-04-28,6215
99,2020-04-29,5824
100,2020-04-30,5169
101,2020-05-01,5712
102,2020-05-02,5521
103,2020-05-03,3043
104,2020-05-04,3668
105,2020-05-05,3041
106,2020-05-06,4046
107,2020-05-07,3560
108,2020-05-08,3179
109,2020-05-09,2757
110,2020-05-10,2229
111,2020-05-11,1673
112,2020-05-12,2282
113,2020-05-13,2537
114,2020-05-14,3120
115,2020-05-15,2295
116,2020-05-16,2454
117,2020-05-17,2263
118,2020-05-18,1612
119,2020-05-19,1838
120,2020-05-20,2216
121,2020-05-21,1840
122,2020-05-22,1387
123,2020-05-23,1942
124,2020-05-24,1624
125,2020-05-25,1268
126,2020-05-26,1346
127,2020-05-27,2295
128,2020-05-28,1937
129,2020-05-29,1583
130,2020-05-30,1434
131,2020-05-31,1063
132,2020-06-01,1456
133,2020-06-02,1114
134,2020-06-03,1135
135,2020-06-04,1375
136,2020-06-05,1124
137,2020-06-06,804
138,2020-06-07,789
139,2020-06-08,731
140,2020-06-09,931
141,2020-06-10,887
142,2020-06-11,826
143,2020-06-12,1042
144,2020-06-13,688
145,2020-06-14,657
146,2020-06-15,636
147,2020-06-16,666
148,2020-06-17,677
149,2020-06-18,765
150,2020-06-19,698
151,2020-06-20,669
152,2020-06-21,590
153,2020-06-22,610
154,2020-06-23,460
155,2020-06-24,2369
156,2020-06-25,812
157,2020-06-26,695
158,2020-06-27,722
159,2020-06-28,347
160,2020-06-29,531
161,2020-06-30,561
162,2020-07-01,860
163,2020-07-02,918
164,2020-07-03,712
165,2020-07-04,625
166,2020-07-05,485
167,2020-07-06,563
168,2020-07-07,573
169,2020-07-08,632
170,2020-07-09,802
171,2020-07-10,691
172,2020-07-11,708
173,2020-07-12,597
174,2020-07-13,819
175,2020-07-14,810
176,2020-07-15,704
177,2020-07-16,564
178,2020-07-17,655
179,2020-07-18,332
180,2020-07-19,565
181,2020-07-20,689
182,2020-07-21,734
183,2020-07-22,737
184,2020-07-23,810
185,2020-07-24,789
186,2020-07-25,678
187,2020-07-26,733
188,2020-07-27,665
189,2020-07-28,723
190,2020-07-29,649
191,2020-07-30,871
192,2020-07-31,750
193,2020-08-01,590
194,2020-08-02,549
195,2020-08-03,739
196,2020-08-04,658
197,2020-08-05,766
198,2020-08-06,713
199,2020-08-07,763
200,2020-08-08,575
201,2020-08-09,550
202,2020-08-10,680
203,2020-08-11,804
204,2020-08-12,862
205,2020-08-13,901
206,2020-08-14,885
207,2020-08-15,679
208,2020-08-16,539
209,2020-08-17,742
210,2020-08-18,647
211,2020-08-19,468
212,2020-08-20,626
213,2020-08-21,721
214,2020-08-22,597
215,2020-08-23,463
216,2020-08-24,619
217,2020-08-25,586
218,2020-08-26,667
219,2020-08-27,615
220,2020-08-28,682
221,2020-08-29,645
222,2020-08-30,699
223,2020-08-31,789
224,2020-09-01,706
225,2020-09-02,778
226,2020-09-03,895
227,2020-09-04,781
228,2020-09-05,712
229,2020-09-06,562
230,2020-09-07,571
231,2020-09-08,614
232,2020-09-09,811
233,2020-09-10,838
234,2020-09-11,845
235,2020-09-12,653
236,2020-09-13,639
237,2020-09-14,795
238,2020-09-15,718
239,2020-09-16,967
240,2020-09-17,911
241,2020-09-18,1067
242,2020-09-19,897
243,2020-09-20,693
244,2020-09-21,911
245,2020-09-22,752
246,2020-09-23,1014
247,2020-09-24,1026
248,2020-09-25,1259
249,2020-09-26,1179
250,2020-09-27,1116
251,2020-09-28,1097
252,2020-09-29,1270
253,2020-09-30,1375
254,2020-10-01,1665
255,2020-10-02,1894
256,2020-10-03,1268
257,2020-10-04,1077
258,2020-10-05,1469
259,2020-10-06,1307
260,2020-10-07,2190
261,2020-10-08,1641
262,2020-10-09,1660
263,2020-10-10,1258
264,2020-10-11,1076
265,2020-10-12,1612
266,2020-10-13,1512
267,2020-10-14,1618
268,2020-10-15,1708
269,2020-10-16,1969
270,2020-10-17,1891
271,2020-10-18,1573
272,2020-10-19,1479
273,2020-10-20,2187
274,2020-10-21,1774
275,2020-10-22,1770
276,2020-10-23,2733
277,2020-10-24,1933
278,2020-10-25,1637
279,2020-10-26,2561
280,2020-10-27,2673
281,2020-10-28,2883
282,2020-10-29,3040
283,2020-10-30,2193
284,2020-10-31,2607
285,2020-11-01,2086
286,2020-11-02,2968
287,2020-11-03,3091
288,2020-11-04,3208
289,2020-11-05,3547
290,2020-11-06,4440
291,2020-11-07,3728
292,2020-11-08,3452
293,2020-11-09,5143
294,2020-11-10,5258
295,2020-11-11,5459
296,2020-11-12,5623
297,2020-11-13,6578
298,2020-11-14,5712
299,2020-11-15,3798
300,2020-11-16,6313
301,2020-11-17,6199
302,2020-11-18,6196
303,2020-11-19,5944
304,2020-11-20,6724
305,2020-11-21,6150
306,2020-11-22,6031
307,2020-11-23,6186
308,2020-11-24,6384
309,2020-11-25,7666
310,2020-11-26,7761
311,2020-11-27,5351
312,2020-11-28,8066
313,2020-11-29,6863
314,2020-11-30,8009
315,2020-12-01,9123
316,2020-12-02,9600
317,2020-12-03,10827
318,2020-12-04,10043
319,2020-12-05,10323
320,2020-12-06,8457
321,2020-12-07,10067
322,2020-12-08,9899
323,2020-12-09,9947
324,2020-12-10,8685
325,2020-12-11,11351
326,2020-12-12,9204
327,2020-12-13,9181
328,2020-12-14,9298
329,2020-12-15,10060
330,2020-12-16,9167
331,2020-12-17,10515
332,2020-12-18,8785
333,2020-12-19,9165
334,2020-12-20,8537
335,2020-12-21,9931
336,2020-12-22,11006
337,2020-12-23,12090
338,2020-12-24,11826
339,2020-12-25,10083
340,2020-12-26,7520
341,2020-12-27,8300
342,2020-12-28,10852
343,2020-12-29,11582
344,2020-12-30,13406
345,2020-12-31,14790
346,2021-01-01,14473
347,2021-01-02,10502
348,2021-01-03,42774
349,2021-01-04,13515
350,2021-01-05,13996
351,2021-01-06,17302
352,2021-01-07,17032
353,2021-01-08,17188
354,2021-01-09,14730
355,2021-01-10,13976
356,2021-01-11,13162
357,2021-01-12,16083
358,2021-01-13,15118
359,2021-01-14,17614
360,2021-01-15,15227
361,2021-01-16,13397
362,2021-01-17,12712
363,2021-01-18,12369
364,2021-01-19,11756
365,2021-01-20,13021
366,2021-01-21,14002
367,2021-01-22,14894
368,2021-01-23,12617
369,2021-01-24,12523
370,2021-01-25,11580
371,2021-01-26,10920
372,2021-01-27,13926
373,2021-01-28,14070
374,2021-01-29,13568
375,2021-01-30,11560
376,2021-01-31,9789
377,2021-02-01,8723
378,2021-02-02,7026
379,2021-02-03,6742
380,2021-02-04,8452
381,2021-02-05,12313
382,2021-02-06,11241
383,2021-02-07,9144
384,2021-02-08,9836
385,2021-02-09,8004
386,2021-02-10,10679
387,2021-02-11,9826
388,2021-02-12,9941
389,2021-02-13,8000
390,2021-02-14,6338
391,2021-02-15,8358
392,2021-02-16,7879
393,2021-02-17,10449
394,2021-02-18,9397
395,2021-02-19,8639
396,2021-02-20,6154
397,2021-02-21,7206
398,2021-02-22,8153
399,2021-02-23,7348
400,2021-02-24,9656
401,2021-02-25,9313
402,2021-02-26,9571
403,2021-02-27,7888
404,2021-02-28,7921
405,2021-03-01,7970
406,2021-03-02,8021
407,2021-03-03,8464
408,2021-03-04,9334
409,2021-03-05,9559
410,2021-03-06,8356
411,2021-03-07,6194
412,2021-03-08,9157
413,2021-03-09,7868
414,2021-03-10,8802
415,2021-03-11,10123
416,2021-03-12,7970
417,2021-03-13,7998
418,2021-03-14,8296
419,2021-03-15,8547
420,2021-03-16,8549
421,2021-03-17,7373
422,2021-03-18,7066
423,2021-03-19,8754
424,2021-03-20,4540
425,2021-03-21,6291
426,2021-03-22,8953
427,2021-03-23,21879
428,2021-03-24,9749
429,2021-03-25,10767
430,2021-03-26,10385
431,2021-03-27,10632
432,2021-03-28,10029
433,2021-03-29,7924
434,2021-03-30,8799
435,2021-03-31,11309
436,2021-04-01,9671
437,2021-04-02,9111
438,2021-04-03,8718
439,2021-04-04,6933
440,2021-04-05,7877
441,2021-04-06,7904
442,2021-04-07,9998
443,2021-04-08,9384
444,2021-04-09,8018
445,2021-04-10,7199
446,2021-04-11,6063
447,2021-04-12,6440
448,2021-04-13,6712
449,2021-04-14,7621
450,2021-04-15,8022
451,2021-04-16,6979
452,2021-04-17,6131
453,2021-04-18,5530
454,2021-04-19,5520
455,2021-04-20,5543
456,2021-04-21,5904
457,2021-04-22,5260
458,2021-04-23,4843
459,2021-04-24,3904
460,2021-04-25,-5948
461,2021-04-26,3934
462,2021-04-27,3333
463,2021-04-28,3852
464,2021-04-29,3663
465,2021-04-30,3520
466,2021-05-01,2594
467,2021-05-02,2220
468,2021-05-03,1984
469,2021-05-04,3625
470,2021-05-05,2570
471,2021-05-06,2026
472,2021-05-07,2028
473,2021-05-08,1447
474,2021-05-09,1101
475,2021-05-10,1152
476,2021-05-11,1560
477,2021-05-12,1421
478,2021-05-13,1219
479,2021-05-14,1221
480,2021-05-15,1374
481,2021-05-16,996
482,2021-05-17,1537
483,2021-05-18,999
484,2021-05-19,1314
485,2021-05-20,1400
486,2021-05-21,962
487,2021-05-22,781
488,2021-05-23,536
489,2021-05-24,849
490,2021-05-25,697
491,2021-05-26,989
492,2021-05-27,758
493,2021-05-28,644
494,2021-05-29,661
495,2021-05-30,448
496,2021-05-31,448
497,2021-06-01,425
498,2021-06-02,514
499,2021-06-03,652
500,2021-06-04,768
501,2021-06-05,439
502,2021-06-06,481
503,2021-06-07,498
504,2021-06-08,435
505,2021-06-09,675
506,2021-06-10,739
507,2021-06-11,494
508,2021-06-12,411
509,2021-06-13,459
510,2021-06-14,462
511,2021-06-15,412
512,2021-06-16,499
513,2021-06-17,547
514,2021-06-18,444
515,2021-06-19,337
516,2021-06-20,333
517,2021-06-21,380
518,2021-06-22,383
519,2021-06-23,520
520,2021-06-24,531
521,2021-06-25,446
522,2021-06-26,407
523,2021-06-27,363
524,2021-06-28,361
525,2021-06-29,326
526,2021-06-30,474
527,2021-07-01,602
