day,date,new_cases_reported
0,2020-01-21,0
1,2020-01-22,0
2,2020-01-23,0
3,2020-01-24,0
4,2020-01-25,1
5,2020-01-26,0
6,2020-01-27,0
7,2020-01-28,0
8,2020-01-29,0
9,2020-01-30,0
10,2020-01-31,0
11,2020-02-01,0
12,2020-02-02,0
13,2020-02-03,0
14,2020-02-04,0
15,2020-02-05,0
16,2020-02-06,0
17,2020-02-07,0
18,2020-02-08,0
19,2020-02-09,0
20,2020-02-10,0
21,2020-02-11,0
22,2020-02-12,0
23,2020-02-13,0
24,2020-02-14,0
25,2020-02-15,0
26,2020-02-16,0
27,2020-02-17,0
28,2020-02-18,0
29,2020-02-19,0
30,2020-02-20,0
31,2020-02-21,0
32,2020-02-22,0
33,2020-02-23,0
34,2020-02-24,0
35,2020-02-25,0
36,2020-02-26,0
37,2020-02-27,0
38,2020-02-28,0
39,2020-02-29,0
40,2020-03-01,0
41,2020-03-02,1
42,2020-03-03,0
43,2020-03-04,0
44,2020-03-05,1
45,2020-03-06,2
46,2020-03-07,0
47,2020-03-08,0
48,2020-03-09,0
49,2020-03-10,3
50,2020-03-11,0
51,2020-03-12,0
52,2020-03-13,1
53,2020-03-14,0
54,2020-03-15,4
55,2020-03-16,1
56,2020-03-17,5
57,2020-03-18,13
58,2020-03-19,12
59,2020-03-20,19
60,2020-03-21,34
61,2020-03-22,59
62,2020-03-23,65
63,2020-03-24,53
64,2020-03-25,60
65,2020-03-26,101
66,2020-03-27,60
67,2020-03-28,102
68,2020-03-29,157
69,2020-03-30,99
70,2020-03-31,83
71,2020-04-01,94
72,2020-04-02,96
73,2020-04-03,134
74,2020-04-04,169
75,2020-04-05,111
76,2020-04-06,75
77,2020-04-07,68
78,2020-04-08,143
79,2020-04-09,53
80,2020-04-10,158
81,2020-04-11,86
82,2020-04-12,65
83,2020-04-13,43
84,2020-04-14,97
85,2020-04-15,133
86,2020-04-16,155
87,2020-04-17,110
88,2020-04-18,110
89,2020-04-19,56
90,2020-04-20,114
91,2020-04-21,123
92,2020-04-22,144
93,2020-04-23,160
94,2020-04-24,133
95,2020-04-25,135
96,2020-04-26,115
97,2020-04-27,127
98,2020-04-28,167
99,2020-04-29,259
100,2020-04-30,204
101,2020-05-01,283
102,2020-05-02,185
103,2020-05-03,178
104,2020-05-04,188
105,2020-05-05,228
106,2020-05-06,91
107,2020-05-07,365
108,2020-05-08,273
109,2020-05-09,63
110,2020-05-10,181
111,2020-05-11,247
112,2020-05-12,129
113,2020-05-13,265
114,2020-05-14,242
115,2020-05-15,283
116,2020-05-16,159
117,2020-05-17,109
118,2020-05-18,160
119,2020-05-19,166
120,2020-05-20,199
121,2020-05-21,132
122,2020-05-22,229
123,2020-05-23,104
124,2020-05-24,111
125,2020-05-25,71
126,2020-05-26,190
127,2020-05-27,280
128,2020-05-28,242
129,2020-05-29,433
130,2020-05-30,319
131,2020-05-31,124
132,2020-06-01,643
133,2020-06-02,563
134,2020-06-03,169
135,2020-06-04,932
136,2020-06-05,719
137,2020-06-06,782
138,2020-06-07,520
139,2020-06-08,408
140,2020-06-09,953
141,2020-06-10,938
142,2020-06-11,957
143,2020-06-12,905
144,2020-06-13,901
145,2020-06-14,748
146,2020-06-15,1562
147,2020-06-16,1563
148,2020-06-17,1713
149,2020-06-18,2351
150,2020-06-19,2345
151,2020-06-20,2019
152,2020-06-21,1616
153,2020-06-22,2478
154,2020-06-23,1184
155,2020-06-24,2276
156,2020-06-25,2614
157,2020-06-26,2867
158,2020-06-27,2784
159,2020-06-28,248
160,2020-06-29,3724
161,2020-06-30,3759
162,2020-07-01,2622
163,2020-07-02,3403
164,2020-07-03,1998
165,2020-07-04,2621
166,2020-07-05,2828
167,2020-07-06,2820
168,2020-07-07,2752
169,2020-07-08,3234
170,2020-07-09,3339
171,2020-07-10,2334
172,2020-07-11,1766
173,2020-07-12,1083
174,2020-07-13,3335
175,2020-07-14,2423
176,2020-07-15,2596
177,2020-07-16,3086
178,2020-07-17,2123
179,2020-07-18,1719
180,2020-07-19,1237
181,2020-07-20,2500
182,2020-07-21,1591
183,2020-07-22,1768
184,2020-07-23,2606
185,2020-07-24,2842
186,2020-07-25,1476
187,2020-07-26,1404
188,2020-07-27,1552
189,2020-07-28,1767
190,2020-07-29,1859
191,2020-07-30,2556
192,2020-07-31,2165
193,2020-08-01,1058
194,2020-08-02,755
195,2020-08-03,832
196,2020-08-04,1286
197,2020-08-05,966
198,2020-08-06,906
199,2020-08-07,650
200,2020-08-08,530
201,2020-08-09,318
202,2020-08-10,551
203,2020-08-11,443
204,2020-08-12,641
205,2020-08-13,633
206,2020-08-14,532
207,2020-08-15,546
208,2020-08-16,244
209,2020-08-17,554
210,2020-08-18,480
211,2020-08-19,492
212,2020-08-20,408
213,2020-08-21,561
214,2020-08-22,140
215,2020-08-23,199
216,2020-08-24,349
217,2020-08-25,159
218,2020-08-26,458
219,2020-08-27,335
220,2020-08-28,429
221,2020-08-29,262
222,2020-08-30,113
223,2020-08-31,342
224,2020-09-01,416
225,2020-09-02,817
226,2020-09-03,481
227,2020-09-04,461
228,2020-09-05,134
229,2020-09-06,56
230,2020-09-07,38
231,2020-09-08,387
232,2020-09-09,303
233,2020-09-10,330
234,2020-09-11,419
235,2020-09-12,228
236,2020-09-13,86
237,2020-09-14,292
238,2020-09-15,315
239,2020-09-16,931
240,2020-09-17,986
241,2020-09-18,-372
242,2020-09-19,289
243,2020-09-20,164
244,2020-09-21,330
245,2020-09-22,120
246,2020-09-23,215
247,2020-09-24,211
248,2020-09-25,244
249,2020-09-26,257
250,2020-09-27,190
251,2020-09-28,417
252,2020-09-29,133
253,2020-09-30,461
254,2020-10-01,292
255,2020-10-02,434
256,2020-10-03,243
257,2020-10-04,229
258,2020-10-05,570
259,2020-10-06,474
260,2020-10-07,585
261,2020-10-08,485
262,2020-10-09,581
263,2020-10-10,450
264,2020-10-11,348
265,2020-10-12,483
266,2020-10-13,570
267,2020-10-14,652
268,2020-10-15,499
269,2020-10-16,655
270,2020-10-17,545
271,2020-10-18,605
272,2020-10-19,698
273,2020-10-20,708
274,2020-10-21,619
275,2020-10-22,649
276,2020-10-23,638
277,2020-10-24,943
278,2020-10-25,731
279,2020-10-26,645
280,2020-10-27,568
281,2020-10-28,815
282,2020-10-29,1013
283,2020-10-30,1196
284,2020-10-31,1073
285,2020-11-01,519
286,2020-11-02,992
287,2020-11-03,620
288,2020-11-04,1382
289,2020-11-05,1411
290,2020-11-06,1591
291,2020-11-07,1215
292,2020-11-08,1089
293,2020-11-09,1561
294,2020-11-10,1005
295,2020-11-11,676
296,2020-11-12,2976
297,2020-11-13,1871
298,2020-11-14,1052
299,2020-11-15,885
300,2020-11-16,3106
301,2020-11-17,2168
302,2020-11-18,3030
303,2020-11-19,2311
304,2020-11-20,2885
305,2020-11-21,936
306,2020-11-22,2364
307,2020-11-23,3390
308,2020-11-24,2297
309,2020-11-25,1497
310,2020-11-26,2666
311,2020-11-27,2525
312,2020-11-28,2000
313,2020-11-29,382
314,2020-11-30,8755
315,2020-12-01,3371
316,2020-12-02,3618
317,2020-12-03,4869
318,2020-12-04,3517
319,2020-12-05,564
320,2020-12-06,394
321,2020-12-07,10321
322,2020-12-08,2800
323,2020-12-09,3606
324,2020-12-10,5233
325,2020-12-11,5031
326,2020-12-12,536
327,2020-12-13,7777
328,2020-12-14,5250
329,2020-12-15,2584
330,2020-12-16,5275
331,2020-12-17,2497
332,2020-12-18,4764
333,2020-12-19,508
334,2020-12-20,5033
335,2020-12-21,6490
336,2020-12-22,3268
337,2020-12-23,5198
338,2020-12-24,929
339,2020-12-25,4161
340,2020-12-26,395
341,2020-12-27,7024
342,2020-12-28,5038
343,2020-12-29,3296
344,2020-12-30,5639
345,2020-12-31,3443
346,2021-01-01,6174
347,2021-01-02,12372
348,2021-01-03,3450
349,2021-01-04,8583
350,2021-01-05,5105
351,2021-01-06,6338
352,2021-01-07,10012
353,2021-01-08,6597
354,2021-01-09,3391
355,2021-01-10,6593
356,2021-01-11,8644
357,2021-01-12,3061
358,2021-01-13,7915
359,2021-01-14,6049
360,2021-01-15,5207
361,2021-01-16,1542
362,2021-01-17,3865
363,2021-01-18,4540
364,2021-01-19,6274
365,2021-01-20,6716
366,2021-01-21,4901
367,2021-01-22,5248
368,2021-01-23,2795
369,2021-01-24,3854
370,2021-01-25,5321
371,2021-01-26,4677
372,2021-01-27,4073
373,2021-01-28,3304
374,2021-01-29,3828
375,2021-01-30,1112
376,2021-01-31,2635
377,2021-02-01,3310
378,2021-02-02,2102
379,2021-02-03,3076
380,2021-02-04,2233
381,2021-02-05,2267
382,2021-02-06,162
383,2021-02-07,1767
384,2021-02-08,4079
385,2021-02-09,1276
386,2021-02-10,2071
387,2021-02-11,856
388,2021-02-12,1252
389,2021-02-13,849
390,2021-02-14,883
391,2021-02-15,765
392,2021-02-16,1261
393,2021-02-17,983
394,2021-02-18,1370
395,2021-02-19,1538
396,2021-02-20,614
397,2021-02-21,1150
398,2021-02-22,1216
399,2021-02-23,787
400,2021-02-24,797
401,2021-02-25,936
402,2021-02-26,643
403,2021-02-27,549
404,2021-02-28,779
405,2021-03-01,840
406,2021-03-02,947
407,2021-03-03,590
408,2021-03-04,1237
409,2021-03-05,1157
410,2021-03-06,1036
411,2021-03-07,605
412,2021-03-08,453
413,2021-03-09,666
414,2021-03-10,1727
415,2021-03-11,1121
416,2021-03-12,53
417,2021-03-13,445
418,2021-03-14,429
419,2021-03-15,383
420,2021-03-16,337
421,2021-03-17,-62
422,2021-03-18,260
423,2021-03-19,279
424,2021-03-20,281
425,2021-03-21,353
426,2021-03-22,418
427,2021-03-23,484
428,2021-03-24,45
429,2021-03-25,388
430,2021-03-26,575
431,2021-03-27,352
432,2021-03-28,385
433,2021-03-29,413
434,2021-03-30,376
435,2021-03-31,226
436,2021-04-01,566
437,2021-04-02,461
438,2021-04-03,313
439,2021-04-04,446
440,2021-04-05,442
441,2021-04-06,571
442,2021-04-07,393
443,2021-04-08,442
444,2021-04-09,603
445,2021-04-10,329
446,2021-04-11,511
447,2021-04-12,490
448,2021-04-13,234
449,2021-04-14,291
450,2021-04-15,733
451,2021-04-16,268
452,2021-04-17,561
453,2021-04-18,516
454,2021-04-19,573
455,2021-04-20,457
456,2021-04-21,349
457,2021-04-22,638
458,2021-04-23,610
459,2021-04-24,520
460,2021-04-25,597
461,2021-04-26,540
462,2021-04-27,468
463,2021-04-28,706
464,2021-04-29,706
465,2021-04-30,870
466,2021-05-01,230
467,2021-05-02,510
468,2021-05-03,541
469,2021-05-04,621
470,2021-05-05,400
471,2021-05-06,690
472,2021-05-07,723
473,2021-05-08,364
474,2021-05-09,517
475,2021-05-10,533
476,2021-05-11,415
477,2021-05-12,403
478,2021-05-13,777
479,2021-05-14,378
480,2021-05-15,426
481,2021-05-16,375
482,2021-05-17,508
483,2021-05-18,466
484,2021-05-19,502
485,2021-05-20,350
486,2021-05-21,574
487,2021-05-22,273
488,2021-05-23,346
489,2021-05-24,424
490,2021-05-25,531
491,2021-05-26,603
492,2021-05-27,710
493,2021-05-28,436
494,2021-05-29,294
495,2021-05-30,264
496,2021-05-31,4
497,2021-06-01,782
498,2021-06-02,266
499,2021-06-03,273
500,2021-06-04,301
501,2021-06-05,568
502,2021-06-06,287
503,2021-06-07,371
504,2021-06-08,448
505,2021-06-09,262
506,2021-06-10,289
507,2021-06-11,472
508,2021-06-12,272
509,2021-06-13,292
510,2021-06-14,346
511,2021-06-15,339
512,2021-06-16,176
513,2021-06-17,254
514,2021-06-18,585
515,2021-06-19,337
516,2021-06-20,301
517,2021-06-21,334
518,2021-06-22,334
519,2021-06-23,473
520,2021-06-24,457
521,2021-06-25,283
522,2021-06-26,323
523,2021-06-27,301
524,2021-06-28,401
525,2021-06-29,578
526,2021-06-30,303
527,2021-07-01,337
528,2021-07-02,516
529,2021-07-03,388
530,2021-07-04,1
531,2021-07-05,719
532,2021-07-06,283
533,2021-07-07,363
534,2021-07-08,683
535,2021-07-09,577
536,2021-07-10,644
537,2021-07-11,85
538,2021-07-12,192
539,2021-07-13,1489
540,2021-07-14,735
541,2021-07-15,943
542,2021-07-16,845
543,2021-07-17,795
