# Source: McKane and Newman (2005), Fig. 2 main-panel predator spectrum,
# red/noisy curve computed in the paper from 500 individual-level-model runs.
# Method: PDF page 3 rendered at 160 dpi with pdftoppm; red-hue centerline pixels
# extracted after excluding the overlapping inset. Axis calibration: image x=799..1168
# maps to omega=0..0.2; image y=1079..1343 maps to P=0.6..0.
omega,power
0.0010840108,0.022727273
0.0016260163,0.022727273
0.0021680217,0.022727273
0.0027100271,0.022727273
0.0032520325,0.022727273
0.0037940379,0.022727273
0.0048780488,0.022727273
0.0054200542,0.022727273
0.0059620596,0.022727273
0.006504065,0.023863636
0.0070460705,0.023863636
0.0075880759,0.025
0.0081300813,0.023863636
0.0086720867,0.022727273
0.0092140921,0.022727273
0.0097560976,0.023863636
0.010298103,0.026136364
0.010840108,0.025
0.011382114,0.025
0.011924119,0.025
0.012466125,0.025
0.01300813,0.025
0.013550136,0.025
0.014092141,0.025
0.014634146,0.026136364
0.015176152,0.027272727
0.015718157,0.027272727
0.016260163,0.027272727
0.016802168,0.027272727
0.017344173,0.028409091
0.017886179,0.029545455
0.018428184,0.029545455
0.01897019,0.030681818
0.019512195,0.030681818
0.020054201,0.031818182
0.020596206,0.031818182
0.021138211,0.031818182
0.021680217,0.031818182
0.022222222,0.032954545
0.022764228,0.034090909
0.023306233,0.034090909
0.023848238,0.034090909
0.024932249,0.0375
0.025474255,0.039772727
0.02601626,0.040909091
0.026558266,0.038636364
0.027100271,0.039772727
0.027642276,0.040909091
0.028184282,0.043181818
0.028726287,0.044318182
0.029268293,0.046590909
0.029810298,0.046590909
0.030352304,0.047727273
0.030894309,0.048863636
0.031436314,0.051136364
0.03197832,0.051136364
0.032520325,0.052272727
0.033062331,0.055681818
0.033604336,0.056818182
0.034146341,0.057954545
0.034688347,0.060227273
0.035230352,0.063636364
0.035772358,0.067045455
0.036314363,0.069318182
0.036856369,0.069318182
0.037398374,0.071590909
0.037940379,0.073863636
0.038482385,0.078409091
0.03902439,0.081818182
0.039566396,0.0875
0.040108401,0.092045455
0.040650407,0.097727273
0.041192412,0.1
0.041734417,0.10340909
0.042276423,0.10568182
0.042818428,0.10795455
0.043360434,0.1125
0.043902439,0.11704545
0.044444444,0.12386364
0.04498645,0.12954545
0.045528455,0.13522727
0.046070461,0.14431818
0.046612466,0.15568182
0.047154472,0.1625
0.047696477,0.16931818
0.048238482,0.17954545
0.048780488,0.18977273
0.049322493,0.19772727
0.049864499,0.20795455
0.050406504,0.22045455
0.050948509,0.22954545
0.051490515,0.24090909
0.05203252,0.25340909
0.052574526,0.27272727
0.053116531,0.29659091
0.053658537,0.31136364
0.054200542,0.325
0.054742547,0.34431818
0.055284553,0.36818182
0.055826558,0.38863636
0.056368564,0.40568182
0.056910569,0.42159091
0.057452575,0.42840909
0.058536585,0.43181818
0.059078591,0.44659091
0.059620596,0.46818182
0.060162602,0.50227273
0.060704607,0.51136364
0.061246612,0.51704545
0.061788618,0.52159091
0.062330623,0.52386364
0.062872629,0.51136364
0.063414634,0.50909091
0.06395664,0.51477273
0.064498645,0.49772727
0.06504065,0.475
0.065582656,0.46818182
0.066124661,0.45227273
0.066666667,0.43181818
0.067208672,0.41704545
0.068292683,0.38409091
0.068834688,0.36136364
0.069376694,0.33977273
0.069918699,0.32045455
0.070460705,0.3
0.07100271,0.28977273
0.072086721,0.29204545
0.072628726,0.28181818
0.073170732,0.26818182
0.073712737,0.25113636
0.074254743,0.23409091
0.074796748,0.22386364
0.075338753,0.21477273
0.075880759,0.20454545
0.076422764,0.19318182
0.07696477,0.18295455
0.077506775,0.17386364
0.07804878,0.16704545
0.078590786,0.15909091
0.079132791,0.15227273
0.079674797,0.14886364
0.080216802,0.14431818
0.080758808,0.13977273
0.081300813,0.13068182
0.081842818,0.12272727
0.083468835,0.10113636
0.08401084,0.095454545
0.084552846,0.1
