# Fig. 3A -- maximum pERK1/2 vs the kpR2 multiple, Zhang et al. (2023).
# Digitized from page 6 of the article rendered at 600 dpi (pdftoppm -r 600). Each
# panel is a MATLAB axes box whose plotted range fills the box exactly, so the frame
# corners give the calibration directly (this panel: x in [0, 1.0],
# y in [0, 0.2]). The single blue curve is read column by column as the mean
# row of the blue mask, then subsampled every 4th pixel column.
kpr2_multiple,max_pERK12_uM
0.0051,0.00000
0.0119,0.00190
0.0187,0.00190
0.0255,0.00190
0.0323,0.00190
0.0390,0.02589
0.0458,0.06176
0.0526,0.07031
0.0594,0.11229
0.0662,0.11829
0.0730,0.11805
0.0798,0.11805
0.0866,0.11805
0.0934,0.11805
0.1002,0.11805
0.1070,0.11805
0.1138,0.11829
0.1205,0.11829
0.1273,0.11853
0.1341,0.11876
0.1409,0.11924
0.1477,0.11995
0.1545,0.12067
0.1613,0.12162
0.1681,0.12209
0.1749,0.12304
0.1817,0.12423
0.1885,0.12565
0.1952,0.12708
0.2020,0.12874
0.2088,0.13064
0.2156,0.13230
0.2224,0.13468
0.2292,0.13705
0.2360,0.13919
0.2428,0.14181
0.2496,0.14371
0.2564,0.14584
0.2632,0.14846
0.2699,0.15036
0.2767,0.15297
0.2835,0.15487
0.2903,0.15653
0.2971,0.15867
0.3039,0.16033
0.3107,0.16223
0.3175,0.16390
0.3243,0.16556
0.3311,0.16675
0.3379,0.16841
0.3447,0.16936
0.3514,0.17078
0.3582,0.17173
0.3650,0.17292
0.3718,0.17387
0.3786,0.17482
0.3854,0.17577
0.3922,0.17648
0.3990,0.17720
0.4058,0.17815
0.4126,0.17862
0.4194,0.17910
0.4261,0.17981
0.4329,0.18052
0.4397,0.18076
0.4465,0.18147
0.4533,0.18147
0.4601,0.18219
0.4669,0.18242
0.4737,0.18290
0.4805,0.18337
0.4873,0.18385
0.4941,0.18385
0.5008,0.18409
0.5076,0.18456
0.5144,0.18480
0.5212,0.18480
0.5280,0.18527
0.5348,0.18551
0.5416,0.18599
0.5484,0.18622
0.5552,0.18622
0.5620,0.18622
0.5688,0.18646
0.5756,0.18670
0.5823,0.18670
0.5891,0.18717
0.5959,0.18717
0.6027,0.18717
0.6095,0.18717
0.6163,0.18741
0.6231,0.18765
0.6299,0.18765
0.6367,0.18765
0.6435,0.18789
0.6503,0.18812
0.6570,0.18812
0.6638,0.18812
0.6706,0.18812
0.6774,0.18836
0.6842,0.18836
0.6910,0.18860
0.6978,0.18860
0.7046,0.18860
0.7114,0.18860
0.7182,0.18860
0.7250,0.18860
0.7317,0.18884
0.7385,0.18884
0.7453,0.18907
0.7521,0.18907
0.7589,0.18907
0.7657,0.18907
0.7725,0.18907
0.7793,0.18907
0.7861,0.18955
0.7929,0.18955
0.7997,0.18955
0.8065,0.18955
0.8132,0.18955
0.8200,0.18955
0.8268,0.18979
0.8336,0.18979
0.8404,0.18979
0.8472,0.18979
0.8540,0.18979
0.8608,0.18979
0.8676,0.19002
0.8744,0.19002
0.8812,0.19002
0.8879,0.19002
0.8947,0.19002
0.9015,0.19002
0.9083,0.19002
0.9151,0.19026
0.9219,0.19026
0.9287,0.19026
0.9355,0.19026
0.9423,0.19026
0.9491,0.19026
0.9559,0.19050
0.9626,0.19050
0.9694,0.19050
0.9762,0.19026
0.9830,0.19026
0.9898,0.19050
