# Fig. 3B -- maximum pERK1/2 vs maximum pVEGFR2, Zhang et al. (2023).
# Digitized from page 6 of the article rendered at 600 dpi (pdftoppm -r 600). Each
# panel is a MATLAB axes box whose plotted range fills the box exactly, so the frame
# corners give the calibration directly (this panel: x in [0, 0.4],
# y in [0, 0.2]). The single blue curve is read column by column as the mean
# row of the blue mask, then subsampled every 4th pixel column.
max_pVEGFR2_molecules_per_um2,max_pERK12_uM
0.0020,0.00000
0.0048,0.00190
0.0075,0.00190
0.0102,0.00190
0.0129,0.00190
0.0156,0.01496
0.0183,0.06152
0.0211,0.06366
0.0238,0.11164
0.0265,0.11853
0.0292,0.11805
0.0319,0.11805
0.0346,0.11805
0.0374,0.11805
0.0401,0.11805
0.0428,0.11805
0.0455,0.11829
0.0482,0.11829
0.0509,0.11853
0.0537,0.11876
0.0564,0.11924
0.0591,0.11971
0.0618,0.12043
0.0645,0.12114
0.0672,0.12185
0.0699,0.12280
0.0727,0.12399
0.0754,0.12542
0.0781,0.12684
0.0808,0.12874
0.0835,0.13040
0.0862,0.13254
0.0890,0.13444
0.0917,0.13634
0.0944,0.13872
0.0971,0.14109
0.0998,0.14323
0.1025,0.14561
0.1053,0.14751
0.1080,0.15012
0.1107,0.15226
0.1134,0.15416
0.1161,0.15677
0.1188,0.15843
0.1216,0.16010
0.1243,0.16200
0.1270,0.16366
0.1297,0.16508
0.1324,0.16651
0.1351,0.16817
0.1379,0.16936
0.1406,0.17031
0.1433,0.17173
0.1460,0.17268
0.1487,0.17387
0.1514,0.17482
0.1542,0.17577
0.1569,0.17625
0.1596,0.17720
0.1623,0.17767
0.1650,0.17862
0.1677,0.17910
0.1705,0.17957
0.1732,0.18052
0.1759,0.18052
0.1786,0.18147
0.1813,0.18147
0.1840,0.18219
0.1868,0.18242
0.1895,0.18266
0.1922,0.18314
0.1949,0.18385
0.1976,0.18385
0.2003,0.18409
0.2031,0.18456
0.2058,0.18480
0.2085,0.18480
0.2112,0.18527
0.2139,0.18551
0.2166,0.18575
0.2194,0.18622
0.2221,0.18622
0.2248,0.18622
0.2275,0.18646
0.2302,0.18670
0.2329,0.18670
0.2357,0.18717
0.2384,0.18717
0.2411,0.18717
0.2438,0.18717
0.2465,0.18717
0.2492,0.18765
0.2520,0.18765
0.2547,0.18765
0.2574,0.18789
0.2601,0.18812
0.2628,0.18812
0.2655,0.18812
0.2683,0.18812
0.2710,0.18812
0.2737,0.18836
0.2764,0.18860
0.2791,0.18860
0.2818,0.18860
0.2846,0.18860
0.2873,0.18860
0.2900,0.18860
0.2927,0.18860
0.2954,0.18884
0.2981,0.18907
0.3008,0.18907
0.3036,0.18907
0.3063,0.18907
0.3090,0.18907
0.3117,0.18907
0.3144,0.18955
0.3171,0.18955
0.3199,0.18955
0.3226,0.18955
0.3253,0.18955
0.3280,0.18955
0.3307,0.18979
0.3334,0.18979
0.3362,0.18979
0.3389,0.18979
0.3416,0.18979
0.3443,0.18979
0.3470,0.19002
0.3497,0.19002
0.3525,0.19002
0.3552,0.19002
0.3579,0.19002
0.3606,0.19026
0.3633,0.19002
0.3660,0.19026
0.3688,0.19026
0.3715,0.19026
0.3742,0.19026
0.3769,0.19026
0.3796,0.19026
0.3823,0.19026
0.3851,0.19050
0.3878,0.19050
0.3905,0.19050
0.3932,0.19050
0.3959,0.19050
