# Fig. 3G -- maximum pVEGFR2 vs the kpR2 multiple, Zhang et al. (2023).
# Digitized from page 6 of the article rendered at 600 dpi (pdftoppm -r 600). Each
# panel is a MATLAB axes box whose plotted range fills the box exactly, so the frame
# corners give the calibration directly (this panel: x in [0, 1.0],
# y in [0, 0.4]). The single blue curve is read column by column as the mean
# row of the blue mask, then subsampled every 4th pixel column.
kpr2_multiple,max_pVEGFR2_molecules_per_um2
0.0051,0.00531
0.0119,0.00386
0.0186,0.00628
0.0254,0.00870
0.0322,0.01063
0.0390,0.01208
0.0458,0.01546
0.0525,0.01787
0.0593,0.02077
0.0661,0.02464
0.0729,0.02802
0.0797,0.03140
0.0864,0.03527
0.0932,0.03913
0.1000,0.04348
0.1068,0.04734
0.1136,0.05169
0.1203,0.05652
0.1271,0.06087
0.1339,0.06473
0.1407,0.06908
0.1475,0.07343
0.1542,0.07826
0.1610,0.08261
0.1678,0.08696
0.1746,0.09227
0.1814,0.09614
0.1881,0.10097
0.1949,0.10531
0.2017,0.11014
0.2085,0.11449
0.2153,0.11836
0.2220,0.12367
0.2288,0.12802
0.2356,0.13188
0.2424,0.13671
0.2492,0.14058
0.2559,0.14493
0.2627,0.14879
0.2695,0.15362
0.2763,0.15700
0.2831,0.16135
0.2898,0.16522
0.2966,0.17005
0.3034,0.17391
0.3102,0.17778
0.3169,0.18164
0.3237,0.18502
0.3305,0.18937
0.3373,0.19275
0.3441,0.19565
0.3508,0.19952
0.3576,0.20338
0.3644,0.20725
0.3712,0.21111
0.3780,0.21353
0.3847,0.21739
0.3915,0.22077
0.3983,0.22367
0.4051,0.22705
0.4119,0.22995
0.4186,0.23333
0.4254,0.23671
0.4322,0.23961
0.4390,0.24251
0.4458,0.24541
0.4525,0.24831
0.4593,0.25121
0.4661,0.25411
0.4729,0.25652
0.4797,0.25990
0.4864,0.26232
0.4932,0.26522
0.5000,0.26763
0.5068,0.27005
0.5136,0.27295
0.5203,0.27488
0.5271,0.27826
0.5339,0.28019
0.5407,0.28261
0.5475,0.28551
0.5542,0.28744
0.5610,0.28937
0.5678,0.29227
0.5746,0.29420
0.5814,0.29614
0.5881,0.29855
0.5949,0.30097
0.6017,0.30290
0.6085,0.30483
0.6153,0.30676
0.6220,0.30918
0.6288,0.31063
0.6356,0.31304
0.6424,0.31498
0.6492,0.31643
0.6559,0.31884
0.6627,0.32029
0.6695,0.32222
0.6763,0.32415
0.6831,0.32560
0.6898,0.32802
0.6966,0.32947
0.7034,0.33092
0.7102,0.33285
0.7169,0.33478
0.7237,0.33575
0.7305,0.33816
0.7373,0.33961
0.7441,0.34106
0.7508,0.34251
0.7576,0.34444
0.7644,0.34541
0.7712,0.34686
0.7780,0.34879
0.7847,0.34976
0.7915,0.35169
0.7983,0.35362
0.8051,0.35411
0.8119,0.35556
0.8186,0.35700
0.8254,0.35845
0.8322,0.35990
0.8390,0.36135
0.8458,0.36232
0.8525,0.36377
0.8593,0.36522
0.8661,0.36715
0.8729,0.36763
0.8797,0.36908
0.8864,0.37005
0.8932,0.37198
0.9000,0.37246
0.9068,0.37391
0.9136,0.37536
0.9203,0.37633
0.9271,0.37729
0.9339,0.37874
0.9407,0.37923
0.9475,0.38068
0.9542,0.38213
0.9610,0.38261
0.9678,0.38406
0.9746,0.38454
0.9814,0.38599
0.9881,0.38696
