# Solid lines of Fig. 4D in Zhang et al. (2023) -- the authors' tumor growth model
# output for each arm. Same render and axis calibration as the data file; the line is
# read column by column as the mean row of the color mask after the data circles are
# masked out, then subsampled every 4th pixel column.
arm,day,fold
control,1.181,0.9630
control,1.311,0.9630
control,1.440,1.0159
control,1.570,1.0159
control,1.699,1.0317
control,1.828,1.0476
control,1.958,1.0476
control,2.087,1.0159
control,2.217,1.0794
control,2.346,1.0794
control,2.476,1.0952
control,2.605,1.0556
control,2.735,1.1270
control,2.864,1.1429
control,2.994,1.1587
control,3.123,1.1746
control,3.252,1.1905
control,3.382,1.2063
control,3.511,1.2063
control,3.641,1.2381
control,3.770,1.2381
control,3.900,1.1835
control,4.029,1.2579
control,4.159,1.2738
control,4.288,1.2738
control,4.806,1.0960
control,4.935,1.2897
control,5.194,1.2897
control,5.583,0.8571
control,5.841,1.1111
control,5.971,0.9841
control,6.133,1.5556
control,6.262,1.5873
control,6.521,1.6190
control,6.780,1.6667
control,6.909,1.6825
control,7.427,1.0476
control,7.686,1.7778
control,7.816,2.7738
control,8.722,2.0159
control,8.851,2.0317
control,9.110,2.0794
control,9.239,2.1111
control,9.369,2.1429
control,9.498,2.1746
control,9.628,2.1905
control,9.757,2.2222
control,9.887,2.2381
control,10.016,2.2698
control,10.146,2.3016
control,10.275,2.3333
control,10.405,2.3651
control,10.534,2.3968
control,10.663,2.4286
control,10.793,2.4603
control,10.922,2.4921
control,11.181,2.5556
control,11.311,2.5873
control,11.440,2.6190
control,11.570,2.6508
control,11.699,2.6825
control,11.828,2.7143
control,12.087,2.7778
control,12.217,2.8095
control,12.346,2.8571
control,12.476,2.8889
control,12.735,2.9683
control,12.864,3.0000
control,13.123,3.0794
control,13.252,3.1111
control,13.382,3.1587
control,14.029,3.3016
control,14.159,3.3968
control,14.288,3.4444
control,14.547,3.5238
control,14.676,3.5873
control,14.806,3.6190
control,14.935,3.6825
control,15.194,3.7460
control,15.324,3.8095
control,15.583,3.9048
control,15.712,3.9484
control,15.971,3.9960
control,16.359,1.1746
control,16.489,1.6508
control,16.618,1.4603
control,17.265,4.5873
control,17.395,4.6508
control,17.524,4.7143
