series,condition,time,P01
solid,ode,0.000000,0.00000000
solid,ode,0.006383,0.00001278
solid,ode,0.012718,0.00002555
solid,ode,0.019008,0.00003831
solid,ode,0.025252,0.00005109
solid,ode,0.031454,0.00006390
solid,ode,0.037615,0.00007676
solid,ode,0.043737,0.00008969
solid,ode,0.049821,0.00010271
solid,ode,0.055870,0.00011582
solid,ode,0.061885,0.00012906
solid,ode,0.067868,0.00014243
solid,ode,0.073820,0.00015596
solid,ode,0.079744,0.00016965
solid,ode,0.085641,0.00018354
solid,ode,0.091513,0.00019763
solid,ode,0.097361,0.00021193
solid,ode,0.103188,0.00022648
solid,ode,0.108996,0.00024129
solid,ode,0.114785,0.00025637
solid,ode,0.120558,0.00027174
solid,ode,0.126316,0.00028741
solid,ode,0.132062,0.00030341
solid,ode,0.137796,0.00031976
solid,ode,0.143521,0.00033646
solid,ode,0.149239,0.00035354
solid,ode,0.154951,0.00037101
solid,ode,0.160659,0.00038889
solid,ode,0.166365,0.00040720
solid,ode,0.172071,0.00042596
solid,ode,0.177778,0.00044517
solid,ode,0.183488,0.00046487
solid,ode,0.189202,0.00048506
solid,ode,0.194924,0.00050577
solid,ode,0.200653,0.00052700
solid,ode,0.206393,0.00054879
solid,ode,0.212145,0.00057114
solid,ode,0.217910,0.00059407
solid,ode,0.223691,0.00061760
solid,ode,0.229489,0.00064174
solid,ode,0.235305,0.00066652
solid,ode,0.241143,0.00069195
solid,ode,0.247003,0.00071805
solid,ode,0.252887,0.00074483
solid,ode,0.258797,0.00077232
solid,ode,0.264734,0.00080052
solid,ode,0.270702,0.00082946
solid,ode,0.276700,0.00085915
solid,ode,0.282731,0.00088962
solid,ode,0.288798,0.00092087
solid,ode,0.294900,0.00095292
solid,ode,0.301041,0.00098580
solid,ode,0.307222,0.00101952
solid,ode,0.313445,0.00105409
solid,ode,0.319711,0.00108954
solid,ode,0.326023,0.00112588
solid,ode,0.332382,0.00116313
solid,ode,0.338789,0.00120130
solid,ode,0.345248,0.00124041
solid,ode,0.351758,0.00128048
solid,ode,0.358323,0.00132153
solid,ode,0.364943,0.00136357
solid,ode,0.371621,0.00140662
solid,ode,0.378359,0.00145070
solid,ode,0.385158,0.00149583
solid,ode,0.392019,0.00154202
solid,ode,0.398946,0.00158928
solid,ode,0.405938,0.00163765
solid,ode,0.412999,0.00168712
solid,ode,0.420130,0.00173773
solid,ode,0.427333,0.00178949
solid,ode,0.434609,0.00184241
solid,ode,0.441960,0.00189651
solid,ode,0.449388,0.00195181
solid,ode,0.456896,0.00200833
solid,ode,0.464483,0.00206608
solid,ode,0.472153,0.00212508
solid,ode,0.479907,0.00218535
solid,ode,0.487746,0.00224690
solid,ode,0.495674,0.00230976
solid,ode,0.503690,0.00237394
solid,ode,0.511798,0.00243945
solid,ode,0.519998,0.00250632
solid,ode,0.528293,0.00257455
solid,ode,0.536685,0.00264418
solid,ode,0.545174,0.00271521
solid,ode,0.553764,0.00278766
solid,ode,0.562455,0.00286155
solid,ode,0.571249,0.00293690
solid,ode,0.580149,0.00301372
solid,ode,0.589155,0.00309203
solid,ode,0.598270,0.00317185
solid,ode,0.607496,0.00325320
solid,ode,0.616834,0.00333609
solid,ode,0.626285,0.00342053
solid,ode,0.635853,0.00350656
solid,ode,0.645538,0.00359417
solid,ode,0.655342,0.00368340
solid,ode,0.665267,0.00377426
solid,ode,0.675315,0.00386676
solid,ode,0.685488,0.00396092
solid,ode,0.695786,0.00405676
solid,ode,0.706213,0.00415430
solid,ode,0.716769,0.00425356
solid,ode,0.727458,0.00435454
solid,ode,0.738279,0.00445727
solid,ode,0.749235,0.00456177
solid,ode,0.760329,0.00466804
solid,ode,0.771561,0.00477612
solid,ode,0.782933,0.00488602
solid,ode,0.794447,0.00499775
solid,ode,0.806106,0.00511133
solid,ode,0.817909,0.00522677
solid,ode,0.829861,0.00534411
solid,ode,0.841961,0.00546334
solid,ode,0.854213,0.00558449
solid,ode,0.866617,0.00570758
solid,ode,0.879175,0.00583263
solid,ode,0.891890,0.00595964
solid,ode,0.904762,0.00608865
solid,ode,0.917795,0.00621966
solid,ode,0.930988,0.00635269
solid,ode,0.944345,0.00648776
solid,ode,0.957867,0.00662488
solid,ode,0.971556,0.00676408
solid,ode,0.985413,0.00690538
solid,ode,0.999441,0.00704878
solid,ode,1.013641,0.00719430
solid,ode,1.028014,0.00734197
solid,ode,1.042563,0.00749179
solid,ode,1.057289,0.00764380
solid,ode,1.072195,0.00779799
solid,ode,1.087281,0.00795440
solid,ode,1.102550,0.00811304
