# Kiselyov et al. (2009) Fig 5B -- IGF1/IGF1R steady-state competition (used as the
# Erickson et al. (2019) F5B fit target). Labeled IGF1 = 7 pM; unlabeled IGF1 titrated.
# Relative level of bound labeled IGF1 (normalized to no-competitor), mean +/- SD.
# Source: pybnf-jobs/Erickson-2019/igf1r/F5B.exp.
cold_IGF1_M,rel_bound_hot,rel_bound_hot_SD
1.3178e-12,0.9937,0.1319
2.5822e-12,1.0257,0.1255
6.9016e-12,0.9832,0.1298
1.3065e-11,0.9515,0.1064
2.6498e-11,0.9069,0.117
6.6104e-11,0.741,0.1
1.2953e-10,0.5497,0.0936
2.5822e-10,0.4477,0.1041
6.5536e-10,0.2116,0.0298
1.2841e-09,0.1394,0.0362
2.6498e-09,0.0799,0.017
6.7254e-09,0.0311,0.017
1.3178e-08,0.0164,0.0128
2.5822e-08,0.0101,0.0106
6.5536e-08,0.0038356,0.0085053
1.2841e-07,0.0103,0.0106
2.6498e-07,-0.00020453,0.0128
6.6104e-07,0.0020639,0.017
