panel,observable,genotype,time_h,model,model_on_axis_floor,model_above_axis,blot_shown,blot_shown_on_axis_floor,blot_shown_above_axis,blot_replicate,blot_replicate_on_axis_floor,blot_replicate_above_axis
S12A,NF-kB nuclear,WT,0,0.1043,1,0,0.1688,0,0,0.0936,1,0
S12A,NF-kB nuclear,WT,0.25,2.7313,0,0,2.6548,0,0,1.4884,0,0
S12A,NF-kB nuclear,WT,0.5,2.7890,0,0,3.0860,0,0,2.5830,0,0
S12A,NF-kB nuclear,WT,1,2.6747,0,0,2.4599,0,0,1.7170,0,0
S12A,NF-kB nuclear,WT,1.5,2.3590,0,0,2.1695,0,0,,,
S12A,NF-kB nuclear,WT,2,1.5521,0,0,2.1544,0,0,1.4884,0,0
S12A,NF-kB nuclear,WT,3,1.0428,0,0,1.0873,0,0,,,
S12A,NF-kB nuclear,WT,4,0.5226,0,0,0.5226,0,0,0.9480,0,0
S12A,NF-kB nuclear,WT,6,0.2731,0,0,0.1125,1,0,0.4609,0,0
S12B_WT_fine,p-IKK,WT,0,0.0979,1,0,0.3623,0,0,0.2504,0,0
S12B_WT_fine,p-IKK,WT,0.083333,2.5776,0,0,0.6254,0,0,0.4916,0,0
S12B_WT_fine,p-IKK,WT,0.16667,3.1965,0,0,2.2251,0,0,,,
S12B_WT_fine,p-IKK,WT,0.25,3.0618,0,0,3.0618,0,0,,,
S12B_WT_fine,p-IKK,WT,0.5,1.8268,0,0,1.9486,0,0,,,
S12B_WT_fine,p-IKK,WT,0.75,1.0218,0,0,1.0821,0,0,1.5379,0,0
S12B_WT_fine,p-IKK,WT,1,0.7241,0,0,1.1049,0,0,,,
S12B_WT_fine,p-IKK,WT,1.5,0.6229,0,0,0.6074,0,0,1.0681,0,0
S12B_WT_fine,p-IKK,WT,2,0.6503,0,0,0.6763,0,0,0.4642,0,0
S12B_WT_fine,p-IKK,WT,3,0.6644,0,0,0.4740,0,0,0.3994,0,0
S12B_WT_fine,IkBa,WT,0,2.1699,0,0,2.0343,0,0,,,
S12B_WT_fine,IkBa,WT,0.083333,1.1879,0,0,1.7807,0,0,,,
S12B_WT_fine,IkBa,WT,0.16667,0.4320,0,0,,,,,,
S12B_WT_fine,IkBa,WT,0.25,0.2523,0,0,0.1755,0,0,0.2532,0,0
S12B_WT_fine,IkBa,WT,0.5,0.3560,0,0,0.3484,0,0,,,
S12B_WT_fine,IkBa,WT,0.75,0.6936,0,0,0.7610,0,0,,,
S12B_WT_fine,IkBa,WT,1,1.1626,0,0,1.1626,0,0,,,
S12B_WT_fine,IkBa,WT,1.5,1.9910,0,0,1.8665,0,0,,,
S12B_WT_fine,IkBa,WT,2,2.3650,0,0,2.2738,0,0,1.7126,0,0
S12B_WT_fine,IkBa,WT,3,2.5776,0,0,2.4690,0,0,,,
S12B_WT_fine,A20,WT,0,0.5132,0,0,0.5132,0,0,,,
S12B_WT_fine,A20,WT,0.083333,0.5244,0,0,0.5435,0,0,,,
S12B_WT_fine,A20,WT,0.16667,0.5593,0,0,0.5821,0,0,,,
S12B_WT_fine,A20,WT,0.25,0.5839,0,0,0.5944,0,0,,,
S12B_WT_fine,A20,WT,0.5,0.7724,0,0,0.5593,0,0,,,
