panel,observable,lane,ifnb_h,polyic_h,model,model_on_axis_floor,model_above_axis,blot_shown,blot_shown_on_axis_floor,blot_shown_above_axis,blot_replicate,blot_replicate_on_axis_floor,blot_replicate_above_axis
S4A,p-STAT1,1,,,0.1024,1,0,0.1570,0,0,0.1207,0,0
S4A,p-STAT1,2,24,,2.8786,0,0,3.0171,0,0,,,
S4A,p-STAT1,3,26,,2.7465,0,0,3.9686,0,0,,,
S4A,p-STAT1,4,28,,2.6204,0,0,2.5103,0,0,1.6768,0,0
S4A,p-STAT1,5,30,,2.5001,0,0,2.5183,0,0,3.6275,0,0
S4A,p-STAT1,6,34,,2.0717,0,0,1.9232,0,0,1.2068,0,0
S4A,p-STAT1,7,26,2,2.3853,0,0,2.5212,0,0,3.6569,0,0
S4A,p-STAT1,8,28,4,0.7906,0,0,0.5429,0,0,0.8254,0,0
S4A,p-STAT1,9,30,6,0.3017,0,0,0.1894,0,0,0.2812,0,0
S4A,p-STAT1,10,34,10,0.2171,0,0,0.1461,0,0,,,
S4A,STAT1,1,,,0.2879,0,0,0.2959,0,0,0.1450,0,0
S4A,STAT1,2,24,,1.1514,0,0,0.7906,0,0,1.8775,0,0
S4A,STAT1,3,26,,1.2068,0,0,1.7506,0,0,1.2115,0,0
S4A,STAT1,4,28,,1.2355,0,0,1.7575,0,0,1.1788,0,0
S4A,STAT1,5,30,,1.2949,0,0,1.1719,0,0,1.9686,0,0
S4A,STAT1,6,34,,1.3572,0,0,1.9242,0,0,1.2893,0,0
S4A,STAT1,7,26,2,1.1788,0,0,0.8094,0,0,1.2018,0,0
S4A,STAT1,8,28,4,1.0985,0,0,1.1550,0,0,0.7543,0,0
S4A,STAT1,9,30,6,1.0238,0,0,0.6678,0,0,1.5205,0,0
S4A,STAT1,10,34,10,0.8483,0,0,0.8892,0,0,0.4292,0,0
S4A,p-STAT2,1,,,0.1024,1,0,0.1677,0,0,0.1255,0,0
S4A,p-STAT2,2,24,,2.8786,0,0,2.6204,0,0,3.1506,0,0
S4A,p-STAT2,3,26,,2.7465,0,0,3.0888,0,0,2.6204,0,0
S4A,p-STAT2,4,28,,2.6204,0,0,2.6716,0,0,1.5627,0,0
S4A,p-STAT2,5,30,,2.5001,0,0,1.3010,0,0,2.6090,0,0
S4A,p-STAT2,6,34,,2.1210,0,0,1.3572,0,0,0.8611,0,0
S4A,p-STAT2,7,26,2,2.5001,0,0,2.2155,0,0,4.2742,0,0
S4A,p-STAT2,8,28,4,0.8286,0,0,0.8748,0,0,,,
S4A,p-STAT2,9,30,6,0.3017,0,0,0.4498,0,0,0.3162,0,0
S4A,p-STAT2,10,34,10,0.2171,0,0,0.2204,0,0,0.3366,0,0
S4A,STAT2,1,,,0.1638,0,0,0.1683,0,0,0.1068,1,0
S4A,STAT2,2,24,,1.2355,0,0,1.2897,0,0,,,
