# Digitized from Fig. 2C of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
time_min,fraction_active
-0.138728,0
0,0.000705467
0.138728,0.00141093
0.277457,0.0042328
0.416185,0.00846561
0.554913,0.0134039
0.693642,0.0176367
0.83237,0.0253968
0.971098,0.0345679
1.10983,0.0444444
1.24855,0.0529101
1.38728,0.0627866
1.52601,0.0726631
1.66474,0.0825397
1.80347,0.0902998
1.9422,0.096649
2.08092,0.103704
2.21965,0.110053
2.35838,0.114991
2.49711,0.119224
2.63584,0.122046
2.77457,0.124868
2.91329,0.126279
3.05202,0.12769
3.19075,0.129101
3.32948,0.129806
3.46821,0.129806
3.60694,0.129806
3.74566,0.129806
3.88439,0.129806
4.02312,0.129806
4.16185,0.129101
4.30058,0.128395
4.43931,0.128395
4.57803,0.128395
4.71676,0.12769
4.85549,0.126984
4.99422,0.126984
5.13295,0.126984
5.27168,0.126984
5.4104,0.126279
5.54913,0.125573
5.68786,0.125573
5.82659,0.125573
5.96532,0.125573
6.10405,0.125573
6.24277,0.125573
6.3815,0.124868
6.52023,0.124162
6.65896,0.124162
6.79769,0.124162
6.93642,0.124162
7.07514,0.124162
7.21387,0.124162
7.3526,0.124162
7.49133,0.123457
7.63006,0.123457
7.76879,0.123457
7.90751,0.122751
8.04624,0.122751
8.18497,0.122751
8.3237,0.122751
8.46243,0.122751
8.60116,0.122751
8.73988,0.122751
8.87861,0.122751
9.01734,0.122046
9.15607,0.122046
9.2948,0.12134
9.43353,0.12134
9.57225,0.12134
9.71098,0.12134
9.84971,0.12134
9.98844,0.12134
10.1272,0.12134
10.2659,0.12134
10.4046,0.12134
10.5434,0.120635
10.6821,0.120635
10.8208,0.119929
10.9595,0.119929
11.0983,0.119929
11.237,0.119929
11.3757,0.119929
11.5145,0.119929
11.6532,0.119929
11.7919,0.119929
11.9306,0.119929
12.0694,0.119929
12.2081,0.119224
12.3468,0.119224
12.4855,0.119224
12.6243,0.118519
12.763,0.118519
12.9017,0.118519
13.0405,0.118519
13.1792,0.118519
13.3179,0.118519
13.4566,0.118519
13.5954,0.118519
13.7341,0.118519
13.8728,0.118519
14.0116,0.118519
14.1503,0.118519
14.289,0.117813
14.4277,0.117813
14.5665,0.117813
14.7052,0.117108
14.8439,0.117108
14.9827,0.117108
15.1214,0.117108
15.2601,0.117108
15.3988,0.117108
15.5376,0.117108
15.6763,0.117108
15.815,0.117108
15.9538,0.117108
16.0925,0.116402
16.2312,0.115697
16.3699,0.115697
16.5087,0.115697
16.6474,0.114991
16.7861,0.114286
16.9249,0.114286
17.0636,0.11358
17.2023,0.112875
17.341,0.112875
17.4798,0.112169
17.6185,0.111464
17.7572,0.110758
17.896,0.110053
18.0347,0.109347
18.1734,0.108642
18.3121,0.107937
18.4509,0.107231
18.5896,0.106526
18.7283,0.10582
18.8671,0.105115
19.0058,0.104409
19.1445,0.103704
19.2832,0.102293
19.422,0.102293
19.5607,0.100882
19.6994,0.100882
19.8382,0.0994709
19.9769,0.09806
20.1156,0.09806
20.2543,0.096649
20.3931,0.096649
20.5318,0.0952381
20.6705,0.0938272
20.8092,0.0938272
20.948,0.0924162
21.0867,0.0924162
21.2254,0.0910053
21.3642,0.0902998
21.5029,0.0895944
21.6416,0.0881834
21.7803,0.0881834
21.9191,0.0867725
22.0578,0.0867725
22.1965,0.0853616
22.3353,0.0846561
22.474,0.0839506
22.6127,0.0825397
22.7514,0.0825397
22.8902,0.0811287
23.0289,0.0811287
23.1676,0.0797178
23.3064,0.0790123
23.4451,0.0783069
23.5838,0.0768959
23.7225,0.0768959
23.8613,0.075485
24,0.075485
24.1387,0.0740741
24.2775,0.0733686
24.4162,0.0726631
24.5549,0.0719577
24.6936,0.0712522
24.8324,0.0698413
24.9711,0.0698413
25.1098,0.0684303
25.2486,0.0684303
25.3873,0.0670194
25.526,0.0670194
25.6647,0.0656085
25.8035,0.0656085
25.9422,0.0641975
26.0809,0.0641975
26.2197,0.0627866
26.3584,0.0620811
26.4971,0.0613757
26.6358,0.0606702
26.7746,0.0599647
26.9133,0.0592593
27.052,0.0585538
27.1908,0.0578483
27.3295,0.0571429
27.4682,0.0564374
27.6069,0.0557319
27.7457,0.0557319
27.8844,0.054321
28.0231,0.054321
28.1618,0.0529101
28.3006,0.0529101
28.4393,0.0522046
28.578,0.0514991
28.7168,0.0507937
28.8555,0.0500882
28.9942,0.0493827
29.1329,0.0486772
29.2717,0.0479718
29.4104,0.0472663
29.5491,0.0472663
29.6879,0.0465608
29.8266,0.0458554
29.9653,0.0451499
30.104,0.0444444
30.2428,0.043739
30.3815,0.0430335
30.5202,0.0430335
30.659,0.042328
30.7977,0.0416226
30.9364,0.0416226
31.0751,0.0402116
31.2139,0.0402116
31.3526,0.0395062
31.4913,0.0388007
31.6301,0.0380952
31.7688,0.0380952
31.9075,0.0373898
32.0462,0.0366843
32.185,0.0366843
32.3237,0.0359788
32.4624,0.0352734
32.6012,0.0345679
32.7399,0.0338624
32.8786,0.0338624
33.0173,0.033157
33.1561,0.0324515
33.2948,0.0324515
33.4335,0.031746
33.5723,0.0310406
33.711,0.0310406
33.8497,0.0303351
33.9884,0.0296296
34.1272,0.0296296
34.2659,0.0296296
34.4046,0.0289242
34.5434,0.0282187
34.6821,0.0282187
34.8208,0.0275132
34.9595,0.0268078
35.0983,0.0268078
35.237,0.0261023
35.3757,0.0253968
35.5145,0.0253968
35.6532,0.0253968
35.7919,0.0246914
35.9306,0.0239859
36.0694,0.0239859
36.2081,0.0239859
36.3468,0.0232804
36.4855,0.022575
36.6243,0.022575
36.763,0.022575
36.9017,0.0218695
37.0405,0.021164
37.1792,0.021164
37.3179,0.021164
37.4566,0.0204586
37.5954,0.0197531
37.7341,0.0197531
37.8728,0.0197531
38.0116,0.0190476
38.1503,0.0183422
38.289,0.0183422
38.4277,0.0183422
38.5665,0.0183422
38.7052,0.0176367
38.8439,0.0169312
38.9827,0.0169312
39.1214,0.0169312
39.2601,0.0169312
39.3988,0.0162257
39.5376,0.0155203
39.6763,0.0155203
39.815,0.0155203
39.9538,0.0155203
40.0925,0.0148148
40.2312,0.0141093
40.3699,0.0141093
40.5087,0.0141093
40.6474,0.0141093
40.7861,0.0134039
40.9249,0.0134039
41.0636,0.0126984
41.2023,0.0126984
41.341,0.0126984
41.4798,0.0126984
41.6185,0.0119929
41.7572,0.0119929
41.896,0.0112875
42.0347,0.0112875
42.1734,0.0112875
42.3121,0.0112875
42.4509,0.0112875
42.5896,0.010582
42.7283,0.010582
42.8671,0.00987654
43.0058,0.00987654
43.1445,0.00987654
43.2832,0.00987654
43.422,0.00987654
43.5607,0.00917108
43.6994,0.00917108
43.8382,0.00846561
43.9769,0.00846561
44.1156,0.00846561
44.2543,0.00846561
44.3931,0.00846561
44.5318,0.00846561
44.6705,0.00846561
44.8092,0.00776014
44.948,0.00776014
45.0867,0.00705467
45.2254,0.00705467
45.3642,0.00705467
45.5029,0.00705467
45.6416,0.00705467
45.7803,0.00705467
45.9191,0.00705467
46.0578,0.00634921
46.1965,0.00634921
46.3353,0.00634921
46.474,0.00564374
46.6127,0.00564374
46.7514,0.00564374
