# Digitized from Fig. 2D of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
time_min,fraction_of_max
0.744804,0.629075
0.779446,0.636123
0.814088,0.623789
0.84873,0.611454
0.883372,0.597357
0.918014,0.586784
0.952656,0.572687
0.987298,0.570925
1.02194,0.555066
1.05658,0.546256
1.09122,0.537445
1.12587,0.530396
1.16051,0.523348
1.19515,0.5163
1.22979,0.511013
1.26443,0.505727
1.29908,0.498678
1.33372,0.49163
1.36836,0.484581
1.403,0.477533
1.43764,0.472247
1.47229,0.46696
1.50693,0.461674
1.54157,0.456388
1.57621,0.451101
1.61085,0.447577
1.6455,0.445815
1.68014,0.442291
1.71478,0.438767
1.74942,0.437004
1.78406,0.43348
1.81871,0.429956
1.85335,0.426432
1.88799,0.422907
1.92263,0.419383
1.95727,0.415859
1.99192,0.412335
2.02656,0.410573
2.0612,0.408811
2.09584,0.407048
2.13048,0.405286
2.16513,0.403524
2.19977,0.401762
2.23441,0.4
2.26905,0.398238
2.3037,0.396476
2.33834,0.396476
2.37298,0.392952
2.40762,0.392952
2.44226,0.391189
2.47691,0.389427
2.51155,0.387665
2.54619,0.387665
2.58083,0.387665
2.61547,0.385903
2.65012,0.384141
2.68476,0.384141
2.7194,0.384141
2.75404,0.384141
2.78868,0.382379
2.82333,0.380617
2.85797,0.380617
2.89261,0.380617
2.92725,0.380617
2.96189,0.380617
2.99654,0.378855
3.03118,0.377093
3.06582,0.377093
3.10046,0.377093
3.1351,0.377093
3.16975,0.377093
3.20439,0.377093
3.23903,0.377093
3.27367,0.377093
3.30831,0.377093
3.34296,0.377093
3.3776,0.377093
3.41224,0.377093
3.44688,0.377093
3.48152,0.377093
3.51617,0.377093
3.55081,0.377093
3.58545,0.377093
3.62009,0.377093
3.65473,0.377093
3.68938,0.377093
3.72402,0.377093
3.75866,0.377093
3.7933,0.377093
3.82794,0.377093
3.86259,0.377093
3.89723,0.377093
3.93187,0.377093
3.96651,0.377093
4.00115,0.377093
4.0358,0.377093
4.07044,0.378855
4.10508,0.378855
4.13972,0.378855
4.17436,0.378855
4.20901,0.380617
4.24365,0.380617
4.27829,0.380617
4.31293,0.380617
4.34758,0.380617
4.38222,0.380617
4.41686,0.380617
4.4515,0.380617
4.48614,0.380617
4.52079,0.380617
4.55543,0.382379
4.59007,0.382379
4.62471,0.384141
4.65935,0.384141
4.694,0.384141
4.72864,0.384141
4.76328,0.384141
4.79792,0.384141
4.83256,0.384141
4.86721,0.384141
4.90185,0.384141
4.93649,0.385903
4.97113,0.385903
5.00577,0.387665
5.04042,0.387665
5.07506,0.387665
5.1097,0.387665
5.14434,0.387665
5.17898,0.387665
5.21363,0.387665
5.24827,0.387665
5.28291,0.389427
5.31755,0.391189
5.35219,0.391189
5.38684,0.391189
5.42148,0.391189
5.45612,0.391189
5.49076,0.391189
5.5254,0.391189
5.56005,0.391189
5.59469,0.392952
5.62933,0.392952
5.66397,0.394714
5.69861,0.394714
5.73326,0.394714
5.7679,0.394714
5.80254,0.394714
5.83718,0.394714
5.87182,0.394714
5.90647,0.394714
5.94111,0.396476
5.97575,0.396476
6.01039,0.398238
6.04503,0.398238
6.07968,0.398238
6.11432,0.398238
6.14896,0.398238
6.1836,0.398238
6.21824,0.398238
6.25289,0.4
6.28753,0.4
6.32217,0.401762
6.35681,0.401762
6.39145,0.401762
6.4261,0.401762
6.46074,0.401762
6.49538,0.401762
6.53002,0.401762
6.56467,0.401762
6.59931,0.403524
6.63395,0.403524
6.66859,0.403524
6.70323,0.405286
6.73788,0.405286
6.77252,0.405286
6.80716,0.405286
6.8418,0.405286
6.87644,0.405286
6.91109,0.405286
6.94573,0.405286
6.98037,0.407048
7.01501,0.407048
7.04965,0.408811
7.0843,0.408811
7.11894,0.408811
7.15358,0.408811
7.18822,0.408811
7.22286,0.408811
7.25751,0.408811
7.29215,0.408811
7.32679,0.408811
7.36143,0.410573
7.39607,0.410573
7.43072,0.412335
7.46536,0.412335
7.5,0.412335
7.53464,0.412335
7.56928,0.412335
7.60393,0.412335
7.63857,0.412335
7.67321,0.412335
7.70785,0.412335
7.74249,0.414097
7.77714,0.414097
7.81178,0.414097
7.84642,0.415859
7.88106,0.415859
7.9157,0.415859
7.95035,0.415859
7.98499,0.415859
8.01963,0.415859
8.05427,0.415859
8.08891,0.415859
8.12356,0.415859
8.1582,0.417621
8.19284,0.417621
8.22748,0.417621
8.26212,0.419383
8.29677,0.419383
8.33141,0.419383
8.36605,0.419383
8.40069,0.419383
8.43533,0.419383
8.46998,0.419383
8.50462,0.419383
8.53926,0.419383
8.5739,0.419383
8.60855,0.421145
8.64319,0.421145
8.67783,0.421145
8.71247,0.422907
8.74711,0.422907
8.78176,0.422907
8.8164,0.422907
8.85104,0.422907
8.88568,0.422907
8.92032,0.422907
8.95497,0.422907
8.98961,0.422907
9.02425,0.422907
9.05889,0.422907
9.09353,0.42467
9.12818,0.42467
9.16282,0.426432
9.19746,0.426432
9.2321,0.426432
9.26674,0.426432
9.30139,0.426432
9.33603,0.426432
9.37067,0.426432
9.40531,0.426432
9.43995,0.426432
9.4746,0.426432
9.50924,0.426432
9.54388,0.426432
9.57852,0.428194
9.61316,0.428194
9.64781,0.428194
9.68245,0.428194
9.71709,0.429956
9.75173,0.429956
9.78637,0.429956
9.82102,0.429956
9.85566,0.429956
9.8903,0.429956
9.92494,0.429956
9.95958,0.429956
9.99423,0.429956
10.0289,0.429956
10.0635,0.429956
10.0982,0.429956
10.1328,0.429956
10.1674,0.431718
10.2021,0.431718
10.2367,0.431718
10.2714,0.43348
10.306,0.43348
10.3406,0.43348
10.3753,0.43348
10.4099,0.43348
10.4446,0.43348
10.4792,0.43348
10.5139,0.43348
10.5485,0.43348
10.5831,0.43348
10.6178,0.43348
10.6524,0.43348
10.6871,0.43348
10.7217,0.43348
10.7564,0.435242
10.791,0.435242
10.8256,0.435242
10.8603,0.435242
10.8949,0.437004
10.9296,0.437004
10.9642,0.437004
10.9988,0.437004
11.0335,0.437004
11.0681,0.437004
11.1028,0.437004
11.1374,0.437004
11.1721,0.437004
11.2067,0.437004
11.2413,0.437004
11.276,0.437004
11.3106,0.437004
11.3453,0.437004
11.3799,0.437004
11.4145,0.437004
11.4492,0.437004
11.4838,0.438767
11.5185,0.438767
11.5531,0.438767
11.5878,0.438767
11.6224,0.440529
11.657,0.440529
11.6917,0.440529
11.7263,0.440529
11.761,0.440529
11.7956,0.440529
11.8303,0.440529
11.8649,0.440529
11.8995,0.440529
11.9342,0.440529
11.9688,0.440529
