# Digitized from Fig. 2D of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
time_min,fraction_of_max
0.329099,0.787665
0.398383,0.875771
0.536952,0.955066
0.571594,0.988546
0.606236,0.99207
0.640878,0.99207
0.67552,0.988546
0.710162,0.988546
0.744804,0.985022
0.779446,0.981498
0.814088,0.981498
0.84873,0.977974
0.883372,0.976211
0.918014,0.974449
0.952656,0.970925
0.987298,0.970925
1.02194,0.967401
1.05658,0.963877
1.09122,0.963877
1.12587,0.960352
1.16051,0.956828
1.19515,0.956828
1.22979,0.953304
1.26443,0.94978
1.29908,0.94978
1.33372,0.946256
1.36836,0.942731
1.403,0.942731
1.43764,0.939207
1.47229,0.935683
1.50693,0.935683
1.54157,0.932159
1.57621,0.932159
1.61085,0.928634
1.6455,0.92511
1.68014,0.92511
1.71478,0.921586
1.74942,0.921586
1.78406,0.918062
1.81871,0.914537
1.85335,0.914537
1.88799,0.911013
1.92263,0.911013
1.95727,0.907489
1.99192,0.905727
2.02656,0.903965
2.0612,0.902203
2.09584,0.900441
2.13048,0.896916
2.16513,0.896916
2.19977,0.893392
2.23441,0.893392
2.26905,0.889868
2.3037,0.889868
2.33834,0.886344
2.37298,0.884581
2.40762,0.882819
2.44226,0.881057
2.47691,0.879295
2.51155,0.877533
2.54619,0.875771
2.58083,0.874009
2.61547,0.872247
2.65012,0.870485
2.68476,0.868722
2.7194,0.86696
2.75404,0.865198
2.78868,0.863436
2.82333,0.861674
2.85797,0.859912
2.89261,0.85815
2.92725,0.856388
2.96189,0.854626
2.99654,0.852863
3.03118,0.851101
3.06582,0.851101
3.10046,0.847577
3.1351,0.847577
3.16975,0.845815
3.20439,0.844053
3.23903,0.842291
3.27367,0.840529
3.30831,0.838767
3.34296,0.837004
3.3776,0.837004
3.41224,0.835242
3.44688,0.83348
3.48152,0.831718
3.51617,0.829956
3.55081,0.828194
3.58545,0.826432
3.62009,0.826432
3.65473,0.82467
3.68938,0.822907
3.72402,0.821145
3.75866,0.819383
3.7933,0.817621
3.82794,0.817621
3.86259,0.815859
3.89723,0.814097
3.93187,0.812335
3.96651,0.810573
4.00115,0.810573
4.0358,0.808811
4.07044,0.807048
4.10508,0.807048
4.13972,0.805286
4.17436,0.803524
4.20901,0.801762
4.24365,0.8
4.27829,0.8
4.31293,0.798238
4.34758,0.796476
4.38222,0.796476
4.41686,0.794714
4.4515,0.792952
4.48614,0.792952
4.52079,0.791189
4.55543,0.789427
4.59007,0.789427
4.62471,0.787665
4.65935,0.785903
4.694,0.785903
4.72864,0.784141
4.76328,0.782379
4.79792,0.782379
4.83256,0.780617
4.86721,0.778855
4.90185,0.778855
4.93649,0.777093
4.97113,0.77533
5.00577,0.77533
5.04042,0.773568
5.07506,0.771806
5.1097,0.771806
5.14434,0.770044
5.17898,0.768282
5.21363,0.768282
5.24827,0.76652
5.28291,0.764758
5.31755,0.764758
5.35219,0.764758
5.38684,0.762996
5.42148,0.761233
5.45612,0.761233
5.49076,0.759471
5.5254,0.757709
5.56005,0.757709
5.59469,0.757709
5.62933,0.754185
5.66397,0.754185
5.69861,0.754185
5.73326,0.752423
5.7679,0.750661
5.80254,0.750661
5.83718,0.750661
5.87182,0.748899
5.90647,0.747137
5.94111,0.747137
5.97575,0.745374
6.01039,0.743612
6.04503,0.743612
6.07968,0.743612
6.11432,0.74185
6.14896,0.740088
6.1836,0.740088
6.21824,0.740088
6.25289,0.738326
6.28753,0.736564
6.32217,0.736564
6.35681,0.736564
6.39145,0.734802
6.4261,0.73304
6.46074,0.73304
6.49538,0.73304
6.53002,0.731278
6.56467,0.729515
6.59931,0.729515
6.63395,0.729515
6.66859,0.729515
6.70323,0.727753
6.73788,0.725991
6.77252,0.725991
6.80716,0.725991
6.8418,0.724229
6.87644,0.722467
6.91109,0.722467
6.94573,0.722467
6.98037,0.722467
7.01501,0.720705
7.04965,0.718943
7.0843,0.718943
7.11894,0.718943
7.15358,0.717181
7.18822,0.715419
7.22286,0.715419
7.25751,0.715419
7.29215,0.715419
7.32679,0.713656
7.36143,0.711894
7.39607,0.711894
7.43072,0.711894
7.46536,0.711894
7.5,0.710132
7.53464,0.70837
7.56928,0.70837
7.60393,0.70837
7.63857,0.70837
7.67321,0.706608
7.70785,0.704846
7.74249,0.704846
7.77714,0.704846
7.81178,0.704846
7.84642,0.704846
7.88106,0.703084
7.9157,0.701322
7.95035,0.701322
7.98499,0.701322
8.01963,0.701322
8.05427,0.699559
8.08891,0.697797
8.12356,0.697797
8.1582,0.697797
8.19284,0.697797
8.22748,0.697797
8.26212,0.696035
8.29677,0.694273
8.33141,0.694273
8.36605,0.694273
8.40069,0.694273
8.43533,0.694273
8.46998,0.692511
8.50462,0.690749
8.53926,0.690749
8.5739,0.690749
8.60855,0.690749
8.64319,0.690749
8.67783,0.688987
8.71247,0.688987
8.74711,0.687225
8.78176,0.687225
8.8164,0.687225
8.85104,0.687225
8.88568,0.687225
8.92032,0.685463
8.95497,0.6837
8.98961,0.6837
9.02425,0.6837
9.05889,0.6837
9.09353,0.6837
9.12818,0.6837
9.16282,0.681938
9.19746,0.680176
9.2321,0.680176
9.26674,0.680176
9.30139,0.680176
9.33603,0.680176
9.37067,0.680176
9.40531,0.678414
9.43995,0.676652
9.4746,0.676652
9.50924,0.676652
9.54388,0.676652
9.57852,0.676652
9.61316,0.676652
9.64781,0.676652
9.68245,0.67489
9.71709,0.673128
9.75173,0.673128
9.78637,0.673128
9.82102,0.673128
9.85566,0.673128
9.8903,0.673128
9.92494,0.673128
9.95958,0.671366
9.99423,0.669604
10.0289,0.669604
10.0635,0.669604
10.0982,0.669604
10.1328,0.669604
10.1674,0.669604
10.2021,0.669604
10.2367,0.667841
10.2714,0.667841
10.306,0.666079
10.3406,0.666079
10.3753,0.666079
10.4099,0.666079
10.4446,0.666079
10.4792,0.666079
10.5139,0.666079
10.5485,0.664317
10.5831,0.664317
10.6178,0.662555
10.6524,0.662555
10.6871,0.662555
10.7217,0.662555
10.7564,0.662555
10.791,0.662555
10.8256,0.662555
10.8603,0.662555
10.8949,0.660793
10.9296,0.660793
10.9642,0.659031
10.9988,0.659031
11.0335,0.659031
11.0681,0.659031
11.1028,0.659031
11.1374,0.659031
11.1721,0.659031
11.2067,0.659031
11.2413,0.659031
11.276,0.657269
11.3106,0.657269
11.3453,0.655507
11.3799,0.655507
11.4145,0.655507
11.4492,0.655507
11.4838,0.655507
11.5185,0.655507
11.5531,0.655507
11.5878,0.655507
11.6224,0.655507
11.657,0.653744
11.6917,0.653744
11.7263,0.651982
11.761,0.651982
11.7956,0.651982
11.8303,0.651982
11.8649,0.651982
11.8995,0.651982
11.9342,0.651982
11.9688,0.651982
12.0035,0.651982
12.0381,0.651982
12.0727,0.65022
12.1074,0.65022
12.142,0.65022
12.1767,0.648458
12.2113,0.648458
12.246,0.648458
12.2806,0.648458
12.3152,0.648458
12.3499,0.648458
12.3845,0.648458
12.4192,0.648458
12.4538,0.648458
12.4885,0.648458
12.5231,0.646696
12.5577,0.646696
12.5924,0.646696
12.627,0.644934
12.6617,0.644934
12.6963,0.644934
12.7309,0.644934
12.7656,0.644934
12.8002,0.644934
12.8349,0.644934
12.8695,0.644934
12.9042,0.644934
12.9388,0.644934
12.9734,0.644934
13.0081,0.644934
13.0427,0.643172
13.0774,0.643172
13.112,0.643172
13.1467,0.64141
13.1813,0.64141
13.2159,0.64141
13.2506,0.64141
13.2852,0.64141
13.3199,0.64141
13.3545,0.64141
13.3891,0.64141
13.4238,0.64141
13.4584,0.64141
13.4931,0.64141
13.5277,0.64141
13.5624,0.64141
13.597,0.639648
13.6316,0.639648
13.6663,0.639648
13.7009,0.637885
13.7356,0.637885
13.7702,0.637885
13.8048,0.637885
13.8395,0.637885
13.8741,0.637885
13.9088,0.637885
13.9434,0.637885
13.9781,0.637885
14.0127,0.637885
14.0473,0.637885
14.082,0.637885
14.1166,0.637885
14.1513,0.636123
14.1859,0.636123
14.2206,0.636123
14.2552,0.636123
14.2898,0.634361
14.3245,0.634361
14.3591,0.634361
14.3938,0.634361
14.4284,0.634361
14.463,0.634361
14.4977,0.634361
14.5323,0.634361
14.567,0.634361
14.6016,0.634361
14.6363,0.634361
14.6709,0.634361
14.7055,0.634361
14.7402,0.634361
14.7748,0.634361
14.8095,0.634361
14.8441,0.632599
14.8788,0.632599
14.9134,0.632599
14.948,0.632599
14.9827,0.629075
15.0173,0.627313
15.052,0.623789
15.0866,0.620264
15.1212,0.614978
15.1559,0.611454
15.1905,0.60793
15.2252,0.602643
15.2598,0.597357
15.2945,0.593833
15.3291,0.590308
15.3637,0.585022
15.3984,0.579736
15.433,0.576211
15.4677,0.572687
