# Digitized from Fig. 2H of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
# Insulin dose 1 uM; the horizontal axis is calibrated on the decade ticks.
external_ROS_M,fraction_DNA_bound_FOXO
9.60857e-10,0.165041
9.86778e-10,0.165041
1.0134e-09,0.164228
1.04074e-09,0.164228
1.06881e-09,0.164228
1.09765e-09,0.164228
1.12726e-09,0.164228
1.15767e-09,0.164228
1.1889e-09,0.164228
1.22097e-09,0.164228
1.25391e-09,0.164228
1.28774e-09,0.164228
1.32247e-09,0.164228
1.35815e-09,0.164228
1.39479e-09,0.164228
1.43242e-09,0.164228
1.47106e-09,0.164228
1.51074e-09,0.164228
1.5515e-09,0.164228
1.59335e-09,0.164228
1.63634e-09,0.164228
1.68048e-09,0.164228
1.72581e-09,0.164228
1.77237e-09,0.164228
1.82019e-09,0.164228
1.86929e-09,0.164228
1.91972e-09,0.164228
1.9715e-09,0.164228
2.02469e-09,0.164228
2.07931e-09,0.164228
2.1354e-09,0.164228
2.19301e-09,0.164228
2.25217e-09,0.164228
2.31293e-09,0.164228
2.37532e-09,0.164228
2.4394e-09,0.164228
2.50521e-09,0.164228
2.57279e-09,0.164228
2.6422e-09,0.164228
2.71348e-09,0.164228
2.78668e-09,0.164228
2.86185e-09,0.164228
2.93906e-09,0.164228
3.01834e-09,0.164228
3.09977e-09,0.164228
3.18339e-09,0.164228
3.26927e-09,0.164228
3.35747e-09,0.164228
3.44804e-09,0.164228
3.54106e-09,0.164228
3.63658e-09,0.164228
3.73469e-09,0.164228
3.83544e-09,0.164228
3.93891e-09,0.164228
4.04517e-09,0.164228
4.15429e-09,0.164228
4.26636e-09,0.164228
4.38146e-09,0.164228
4.49965e-09,0.164228
4.62104e-09,0.164228
4.7457e-09,0.164228
4.87373e-09,0.164228
5.00521e-09,0.164228
5.14023e-09,0.164228
5.2789e-09,0.164228
5.42131e-09,0.164228
5.56756e-09,0.164228
5.71775e-09,0.164228
5.872e-09,0.164228
6.03041e-09,0.164228
6.19309e-09,0.164228
6.36016e-09,0.164228
6.53174e-09,0.164228
6.70795e-09,0.164228
6.88891e-09,0.164228
7.07475e-09,0.164228
7.2656e-09,0.164228
7.46161e-09,0.164228
7.6629e-09,0.164228
7.86962e-09,0.165041
8.08192e-09,0.165041
8.29994e-09,0.165041
8.52385e-09,0.165041
8.7538e-09,0.165041
8.98995e-09,0.165041
9.23247e-09,0.165041
9.48153e-09,0.165041
9.73732e-09,0.165041
1e-08,0.165041
1.02698e-08,0.165041
1.05468e-08,0.165041
1.08313e-08,0.165041
1.11235e-08,0.165041
1.14236e-08,0.165041
1.17318e-08,0.165041
1.20483e-08,0.165041
1.23733e-08,0.165041
1.27071e-08,0.165041
1.30499e-08,0.165041
1.34019e-08,0.165041
1.37635e-08,0.165041
1.41348e-08,0.165041
1.45161e-08,0.165041
1.49077e-08,0.165041
1.53099e-08,0.165041
1.57229e-08,0.165041
1.6147e-08,0.165854
1.65826e-08,0.165854
