# Digitized from Fig. 2H of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
# Insulin dose 3.2 pM; the horizontal axis is calibrated on the decade ticks.
external_ROS_M,fraction_DNA_bound_FOXO
1.63634e-07,0.610569
1.68048e-07,0.610569
1.72581e-07,0.610569
1.77237e-07,0.610569
1.82019e-07,0.610569
1.86929e-07,0.610569
1.91972e-07,0.610569
1.9715e-07,0.610569
2.02469e-07,0.610569
2.07931e-07,0.611382
2.1354e-07,0.611382
2.19301e-07,0.611382
2.25217e-07,0.611382
2.31293e-07,0.611382
2.37532e-07,0.611382
2.4394e-07,0.611382
2.50521e-07,0.611382
2.57279e-07,0.611382
2.6422e-07,0.611382
2.71348e-07,0.611382
2.78668e-07,0.611382
2.86185e-07,0.611382
2.93906e-07,0.611382
3.01834e-07,0.611382
3.09977e-07,0.611382
3.18339e-07,0.611382
3.26927e-07,0.611382
3.35747e-07,0.610569
3.44804e-07,0.610569
3.54106e-07,0.610569
3.63658e-07,0.610569
3.73469e-07,0.610569
3.83544e-07,0.611382
3.93891e-07,0.611382
4.04517e-07,0.611382
4.15429e-07,0.611382
4.26636e-07,0.611382
4.38146e-07,0.611382
4.49965e-07,0.611382
4.62104e-07,0.611382
4.7457e-07,0.611382
4.87373e-07,0.612195
5.00521e-07,0.612195
5.14023e-07,0.612195
5.2789e-07,0.613008
5.42131e-07,0.613008
5.56756e-07,0.613008
5.71775e-07,0.613008
5.872e-07,0.613008
6.03041e-07,0.613008
6.19309e-07,0.613008
6.36016e-07,0.613008
6.53174e-07,0.613008
6.70795e-07,0.613821
6.88891e-07,0.613821
7.07475e-07,0.613821
7.2656e-07,0.613821
7.46161e-07,0.614634
7.6629e-07,0.614634
7.86962e-07,0.614634
8.08192e-07,0.614634
8.29994e-07,0.614634
8.52385e-07,0.614634
8.7538e-07,0.614634
8.98995e-07,0.614634
9.23247e-07,0.614634
9.48153e-07,0.615447
9.73732e-07,0.615447
1e-06,0.615447
1.02698e-06,0.615447
1.05468e-06,0.614634
1.08313e-06,0.614634
1.11235e-06,0.614634
1.14236e-06,0.614634
1.17318e-06,0.613821
1.20483e-06,0.613008
1.23733e-06,0.613008
1.27071e-06,0.613008
1.30499e-06,0.613008
1.34019e-06,0.612195
1.37635e-06,0.611382
1.41348e-06,0.611382
1.45161e-06,0.611382
1.49077e-06,0.611382
1.53099e-06,0.610569
1.57229e-06,0.609756
1.6147e-06,0.609756
1.65826e-06,0.609756
1.703e-06,0.609756
1.74894e-06,0.609756
1.79612e-06,0.608943
1.84457e-06,0.60813
1.89433e-06,0.60813
1.94544e-06,0.60813
1.99792e-06,0.60813
2.05182e-06,0.607317
2.10717e-06,0.606504
2.16401e-06,0.606504
2.22239e-06,0.606504
2.28235e-06,0.606504
2.34392e-06,0.605691
2.40715e-06,0.604878
2.47209e-06,0.604878
2.53878e-06,0.604878
2.60726e-06,0.604878
2.6776e-06,0.604065
2.74983e-06,0.603252
2.82402e-06,0.603252
2.9002e-06,0.603252
2.97844e-06,0.603252
3.05879e-06,0.602439
3.1413e-06,0.601626
3.22605e-06,0.600813
3.31307e-06,0.600813
3.40245e-06,0.599187
3.49424e-06,0.597561
3.5885e-06,0.595935
3.68531e-06,0.595935
3.78473e-06,0.594309
3.88683e-06,0.592683
3.99168e-06,0.591057
4.09937e-06,0.590244
4.20996e-06,0.589431
4.32353e-06,0.587805
4.44016e-06,0.586179
4.55994e-06,0.585366
4.68296e-06,0.584553
4.80929e-06,0.582927
4.93903e-06,0.581301
5.07227e-06,0.580488
5.2091e-06,0.579675
5.34963e-06,0.578049
5.49395e-06,0.576423
5.64216e-06,0.57561
5.79436e-06,0.574797
5.95068e-06,0.573171
6.11121e-06,0.571545
6.27607e-06,0.570732
6.44538e-06,0.569919
6.61926e-06,0.568293
6.79782e-06,0.566667
6.98121e-06,0.565854
7.16954e-06,0.565041
7.36295e-06,0.563415
7.56158e-06,0.561789
7.76557e-06,0.560976
7.97506e-06,0.560163
8.19021e-06,0.558537
8.41115e-06,0.556911
8.63806e-06,0.556098
8.87109e-06,0.555285
9.1104e-06,0.553659
9.35617e-06,0.552033
9.60857e-06,0.55122
9.86778e-06,0.550407
1.0134e-05,0.54878
1.04074e-05,0.547154
1.06881e-05,0.545528
1.09765e-05,0.543902
1.12726e-05,0.543902
1.15767e-05,0.542276
1.1889e-05,0.54065
1.22097e-05,0.539024
1.25391e-05,0.537398
1.28774e-05,0.535772
1.32247e-05,0.535772
1.35815e-05,0.534146
1.39479e-05,0.53252
1.43242e-05,0.530894
1.47106e-05,0.529268
1.51074e-05,0.527642
1.5515e-05,0.527642
1.59335e-05,0.526016
1.63634e-05,0.52439
1.68048e-05,0.522764
1.72581e-05,0.521138
1.77237e-05,0.519512
1.82019e-05,0.519512
1.86929e-05,0.517886
1.91972e-05,0.51626
1.9715e-05,0.514634
2.02469e-05,0.513008
2.07931e-05,0.511382
2.1354e-05,0.511382
2.19301e-05,0.509756
2.25217e-05,0.50813
2.31293e-05,0.506504
2.37532e-05,0.504878
2.4394e-05,0.503252
2.50521e-05,0.503252
2.57279e-05,0.501626
2.6422e-05,0.5
2.71348e-05,0.498374
2.78668e-05,0.496748
2.86185e-05,0.495122
2.93906e-05,0.495122
3.01834e-05,0.493496
3.09977e-05,0.49187
3.18339e-05,0.489431
3.26927e-05,0.487805
3.35747e-05,0.485366
3.44804e-05,0.48374
3.54106e-05,0.481301
3.63658e-05,0.478862
3.73469e-05,0.476423
3.83544e-05,0.474797
3.93891e-05,0.472358
4.04517e-05,0.469919
4.15429e-05,0.46748
4.26636e-05,0.465854
4.38146e-05,0.463415
4.49965e-05,0.460976
4.62104e-05,0.458537
