time,Obs_pSTAT3,Obs_pSTAT1
0,0.0,0.0
1,0.0066755,8.02e-05
2,0.022505,0.00029316
3,0.041549,0.000602
4,0.059688,0.00097592
5,0.074858,0.0013898
6,0.086499,0.0018232
7,0.094895,0.0022594
8,0.10068,0.0026852
9,0.10452,0.0030899
10,0.10701,0.0034658
11,0.10858,0.0038071
12,0.10953,0.0041105
13,0.11007,0.0043738
14,0.11033,0.0045964
15,0.1104,0.0047787
16,0.11032,0.0049218
17,0.11012,0.0050275
18,0.10981,0.0050977
19,0.10942,0.0051346
20,0.10893,0.0051405
21,0.10834,0.0051177
22,0.10766,0.0050686
23,0.10687,0.0049955
24,0.10598,0.0049006
25,0.10496,0.004786
26,0.10382,0.0046539
27,0.10254,0.0045064
28,0.10112,0.0043458
29,0.099545,0.004174
30,0.097817,0.0039932
31,0.095932,0.0038057
32,0.093892,0.0036134
33,0.091701,0.0034185
34,0.089372,0.0032231
35,0.086917,0.003029
36,0.084357,0.0028382
37,0.081715,0.0026521
38,0.079014,0.0024723
39,0.076281,0.0022999
40,0.073539,0.0021357
41,0.070813,0.0019806
42,0.068121,0.0018348
43,0.065481,0.0016986
44,0.062906,0.001572
45,0.060405,0.0014548
46,0.057986,0.001347
47,0.055652,0.001248
48,0.053407,0.0011574
49,0.051251,0.0010749
50,0.049183,0.00099994
51,0.047202,0.00093202
52,0.045307,0.00087064
53,0.043493,0.00081532
54,0.04176,0.00076559
55,0.040103,0.00072099
56,0.038519,0.00068108
57,0.037006,0.00064545
58,0.03556,0.00061371
59,0.034178,0.00058548
60,0.032856,0.00056044
61,0.031593,0.00053825
62,0.030384,0.00051864
63,0.029228,0.00050132
64,0.028121,0.00048606
65,0.027061,0.00047261
66,0.026046,0.00046078
67,0.025073,0.00045038
68,0.024141,0.00044124
69,0.023246,0.0004332
70,0.022388,0.00042612
71,0.021565,0.00041988
72,0.020774,0.00041436
73,0.020014,0.00040948
74,0.019285,0.00040513
75,0.018583,0.00040125
76,0.017908,0.00039775
77,0.01726,0.00039459
78,0.016635,0.0003917
79,0.016034,0.00038904
80,0.015456,0.00038657
81,0.014899,0.00038426
82,0.014362,0.00038207
83,0.013845,0.00037998
84,0.013347,0.00037797
85,0.012867,0.00037601
86,0.012405,0.0003741
87,0.011959,0.00037221
88,0.011529,0.00037035
89,0.011114,0.0003685
90,0.010714,0.00036665
