# Fig. 3A (model panel), MCF7 cells, type_II_RAFi,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0000 Kd, y 0.0043 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (206, 107, 110)
#     KSR =  15 nM   RGB (255, 187, 61)
#     KSR =  30 nM   RGB (255, 227, 76)
#     KSR =  50 nM   RGB (175, 222, 242)
#     KSR = 100 nM   RGB (101, 134, 187)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
0.0000,,,,,
0.2941,1.5834,,,,0.8137
0.5882,1.6697,1.0967,,,0.6277
0.8824,1.7308,1.0372,0.7885,0.5888,0.4478
1.1765,1.7125,0.9664,0.6527,0.4562,0.3024
1.4706,1.6819,0.9019,0.5672,0.3518,0.2107
1.7647,1.6441,0.8466,0.4990,0.2864,0.1417
2.0588,1.6044,0.7977,0.4493,0.2340,0.1027
2.3529,1.5671,0.7534,0.4050,0.1934,0.0741
2.6471,1.5294,0.7184,0.3678,0.1583,0.0567
2.9412,1.4897,0.6788,0.3326,0.1287,0.0396
3.2353,1.4573,0.6484,0.3034,0.1077,0.0237
3.5294,1.4247,0.6224,0.2857,0.0941,0.0216
3.8235,1.3950,0.6014,0.2627,0.0853,0.0191
4.1176,1.3660,0.5808,0.2458,0.0762,0.0165
4.4118,1.3365,0.5558,0.2289,0.0633,0.0130
4.7059,1.3034,0.5304,0.2039,0.0495,0.0130
5.0000,1.2773,0.5113,0.1929,0.0419,0.0130
5.2941,1.2558,0.4975,0.1810,0.0419,0.0130
5.5882,1.2380,0.4837,0.1767,0.0419,0.0130
5.8824,1.2141,0.4726,0.1648,0.0354,0.0130
6.1765,1.1959,0.4594,0.1565,0.0331,0.0130
6.4706,1.1723,0.4461,0.1488,0.0275,0.0130
6.7647,1.1538,0.4327,0.1383,0.0275,0.0130
7.0588,1.1324,0.4192,0.1334,0.0275,0.0130
7.3529,1.1126,0.4058,0.1229,0.0275,0.0130
7.6471,1.0949,0.3951,0.1159,,0.0130
7.9412,1.0807,0.3848,0.1093,,0.0130
8.2353,1.0671,0.3810,0.1075,,0.0130
8.5294,1.0537,0.3738,0.1055,,0.0130
8.8235,1.0403,0.3682,0.0996,,0.0130
9.1176,1.0271,0.3619,0.0947,,0.0130
9.4118,1.0110,0.3534,0.0922,,0.0130
9.7059,0.9979,0.3469,0.0898,,0.0130
10.0000,0.9869,0.3395,0.0815,,0.0130
10.2941,0.9730,0.3357,0.0796,,0.0130
10.5882,0.9591,0.3255,0.0772,,0.0130
10.8824,0.9452,0.3214,0.0746,,0.0130
11.1765,0.9313,0.3113,0.0668,,0.0130
11.4706,0.9173,0.3071,0.0645,,0.0130
11.7647,0.9062,0.2972,0.0618,,0.0130
12.0588,0.8928,0.2928,0.0564,,0.0130
12.3529,0.8811,0.2844,0.0526,,0.0130
12.6471,0.8725,0.2822,0.0518,,0.0130
12.9412,0.8661,0.2797,0.0508,,0.0130
13.2353,0.8583,0.2770,0.0498,,0.0130
13.5294,0.8474,0.2731,0.0488,,0.0130
13.8235,0.8443,0.2683,0.0477,,0.0130
14.1176,0.8318,0.2651,0.0463,,0.0130
14.4118,0.8279,0.2625,0.0452,,0.0130
14.7059,0.8168,0.2587,0.0419,,0.0130
15.0000,0.8123,0.2538,0.0419,,0.0130
15.2941,0.8014,0.2511,0.0385,,0.0130
15.5882,0.7933,0.2485,0.0376,,0.0130
15.8824,0.7857,0.2442,0.0365,,0.0130
16.1765,0.7748,0.2395,0.0354,,0.0130
16.4706,0.7698,0.2368,0.0343,,0.0130
16.7647,0.7592,0.2342,0.0331,,0.0130
17.0588,0.7539,0.2298,0.0319,,
17.3529,0.7434,0.2252,0.0308,,
17.6471,0.7327,0.2226,0.0275,,
17.9412,0.7277,0.2202,0.0275,,
18.2353,0.7171,0.2182,0.0275,,
18.5294,0.7122,0.2112,0.0275,,
18.8235,0.7003,0.2081,0.0275,,
19.1176,0.6959,0.2058,0.0275,,
19.4118,0.6849,0.2040,0.0275,,
19.7059,0.6815,0.1974,0.0275,,
20.0000,0.6724,0.1961,0.0275,,
20.2941,0.6693,0.1949,0.0275,,
20.5882,0.6670,0.1937,0.0275,,
20.8824,0.6573,0.1926,0.0275,,
21.1765,0.6546,0.1916,0.0275,,
21.4706,0.6488,0.1906,0.0275,,
21.7647,0.6423,0.1898,0.0275,,
22.0588,0.6399,0.1833,0.0275,,
22.3529,0.6379,0.1821,0.0275,,
22.6471,0.6292,0.1809,0.0275,,
22.9412,0.6263,0.1798,,,
23.2353,0.6237,0.1788,,,
23.5294,0.6149,0.1776,,,
23.8235,0.6127,0.1767,,,
24.1176,0.6069,0.1760,,,
24.4118,0.6004,0.1753,,,
24.7059,0.5980,0.1679,,,
25.0000,0.5920,0.1668,,,
25.2941,0.5858,0.1657,,,
25.5882,0.5831,0.1647,,,
25.8824,0.5766,0.1638,,,
26.1765,0.5710,0.1629,,,
26.4706,0.5681,0.1622,,,
26.7647,0.5589,0.1614,,,
27.0588,0.5563,0.1572,,,
27.3529,0.5531,0.1527,,,
27.6471,0.5445,0.1517,,,
27.9412,0.5417,0.1508,,,
28.2353,0.5374,0.1498,,,
28.5294,0.5295,0.1490,,,
28.8235,0.5262,0.1482,,,
29.1176,0.5226,0.1475,,,
29.4118,0.5149,0.1470,,,
29.7059,0.5113,0.1466,,,
30.0000,0.5077,0.1393,,,
30.2941,0.4999,0.1384,,,
30.5882,0.4961,0.1376,,,
30.8824,0.4899,0.1365,,,
31.1765,0.4849,0.1355,,,
31.4706,0.4821,0.1348,,,
31.7647,0.4800,0.1342,,,
32.0588,0.4754,0.1337,,,
32.3529,0.4719,0.1333,,,
32.6471,0.4698,0.1330,,,
32.9412,0.4670,0.1325,,,
33.2353,0.4651,0.1288,,,
33.5294,0.4610,0.1251,,,
33.8235,0.4567,0.1249,,,
34.1176,0.4545,0.1247,,,
34.4118,0.4524,0.1245,,,
34.7059,0.4506,0.1241,,,
35.0000,0.4465,0.1238,,,
35.2941,0.4417,0.1234,,,
35.5882,0.4395,0.1230,,,
35.8824,0.4376,0.1227,,,
36.1765,0.4360,0.1222,,,
36.4706,0.4288,0.1218,,,
36.7647,0.4267,0.1214,,,
37.0588,0.4248,0.1210,,,
37.3529,0.4231,0.1205,,,
37.6471,0.4214,0.1200,,,
37.9412,0.4135,0.1195,,,
38.2353,0.4116,0.1159,,,
38.5294,0.4099,0.1151,,,
38.8235,0.4084,0.1144,,,
39.1176,0.4072,0.1136,,,
39.4118,0.3986,0.1101,,,
39.7059,0.3968,0.1097,,,
40.0000,0.3952,0.1094,,,
40.2941,0.3938,0.1090,,,
40.5882,0.3927,0.1086,,,
40.8824,0.3853,0.1082,,,
41.1765,0.3838,0.1077,,,
41.4706,0.3821,0.1073,,,
41.7647,0.3803,0.1068,,,
42.0588,0.3787,0.1064,,,
42.3529,0.3706,0.1058,,,
42.6471,0.3697,0.1052,,,
42.9412,0.3685,0.1047,,,
43.2353,0.3671,0.1042,,,
43.5294,0.3656,0.1005,,,
43.8235,0.3604,0.0996,,,
44.1176,0.3553,0.0961,,,
44.4118,0.3539,0.0957,,,
44.7059,0.3523,0.0954,,,
45.0000,0.3507,0.0950,,,
45.2941,0.3453,0.0946,,,
45.5882,0.3407,0.0941,,,
45.8824,0.3393,0.0937,,,
46.1765,0.3376,0.0932,,,
46.4706,0.3358,0.0927,,,
46.7647,0.3277,0.0922,,,
47.0588,0.3260,0.0915,,,
47.3529,0.3245,0.0910,,,
47.6471,0.3226,0.0904,,,
47.9412,0.3205,0.0899,,,
48.2353,0.3132,0.0893,,,
48.5294,0.3116,0.0887,,,
48.8235,0.3098,0.0822,,,
49.1176,0.3077,0.0818,,,
49.4118,0.3055,0.0814,,,
49.7059,0.2987,0.0810,,,
50.0000,0.2974,0.0806,,,
