# Fig. 3B (model panel), PSN1 cells, type_II_RAFi,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0850 Kd, y 0.0082 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (206, 107, 110)
#     KSR =  15 nM   RGB (255, 187, 61)
#     KSR =  30 nM   RGB (255, 227, 76)
#     KSR =  50 nM   RGB (175, 222, 242)
#     KSR = 100 nM   RGB (101, 134, 187)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
0.2811,2.0589,1.6649,1.4638,1.2741,1.1096
0.5688,2.2469,1.8043,1.5354,1.3786,1.1610
0.8565,2.2885,1.8300,1.5528,1.3828,1.1519
1.1442,2.2964,1.8345,1.5520,1.3790,1.1336
1.4319,2.2928,1.8272,1.5483,1.3706,1.1146
1.7196,2.2819,1.8188,1.5358,1.3594,1.0989
2.0073,2.2750,1.8093,1.5302,1.3435,1.0694
2.2950,2.2597,1.7985,1.5145,1.3324,1.0458
2.5827,2.2488,1.7846,1.5035,1.3133,1.0223
2.8704,2.2365,1.7777,1.4926,1.3019,0.9920
3.1581,2.2192,1.7622,1.4755,1.2841,0.9678
3.4459,2.2008,1.7444,1.4596,1.2656,0.9363
3.7336,2.1824,1.7310,1.4470,1.2472,0.9117
4.0213,2.1640,1.7145,1.4361,1.2287,0.8794
4.3090,2.1497,1.6982,1.4185,1.2101,0.8552
4.5967,2.1319,1.6844,1.4008,1.1915,0.8321
4.8844,2.1154,1.6666,1.3875,1.1728,0.8026
5.1721,2.0966,1.6486,1.3713,1.1541,0.7809
5.4598,2.0795,1.6342,1.3551,1.1417,0.7593
5.7475,2.0570,1.6105,1.3352,1.1226,0.7264
6.0352,2.0381,1.5965,1.3215,1.1110,0.7048
6.3229,2.0192,1.5796,1.3038,1.0924,0.6832
6.6106,2.0002,1.5626,1.2862,1.0738,0.6613
6.8984,1.9813,1.5454,1.2722,1.0552,0.6362
7.1861,1.9623,1.5310,1.2559,1.0368,0.6120
7.4738,1.9435,1.5128,1.2433,1.0186,0.5909
7.7615,1.9256,1.4951,1.2261,1.0017,0.5765
8.0492,1.9115,1.4818,1.2097,0.9891,0.5601
8.3369,1.8935,1.4718,1.1977,0.9773,0.5437
8.6246,1.8755,1.4553,1.1868,0.9610,0.5335
8.9123,1.8575,1.4394,1.1702,0.9444,0.5210
9.2000,1.8393,1.4277,1.1535,0.9319,0.5063
9.4877,1.8254,1.4123,1.1480,0.9206,0.4994
9.7754,1.8083,1.3992,1.1323,0.9041,0.4847
10.0631,1.7968,1.3822,1.1167,0.8874,0.4730
10.3509,1.7728,1.3636,1.1049,0.8747,0.4560
10.6386,1.7606,1.3520,1.0931,0.8628,0.4445
10.9263,1.7425,1.3399,1.0767,0.8458,0.4283
11.2140,1.7244,1.3231,1.0648,0.8365,0.4166
11.5017,1.7064,1.3064,1.0537,0.8175,0.4054
11.7894,1.6923,1.2942,1.0374,0.8084,0.3894
12.0771,1.6762,1.2820,1.0218,0.7918,0.3743
12.3648,1.6642,1.2674,1.0156,0.7871,0.3700
12.6525,1.6492,1.2611,1.0028,0.7793,0.3654
12.9402,1.6419,1.2471,0.9967,0.7684,0.3555
13.2279,1.6270,1.2377,0.9840,0.7602,0.3514
13.5156,1.6121,1.2271,0.9779,0.7497,0.3469
13.8034,1.6049,1.2174,0.9654,0.7412,0.3406
14.0911,1.5901,1.2074,0.9593,0.7314,0.3332
14.3788,1.5751,1.1972,0.9467,0.7221,0.3288
14.6665,1.5685,1.1879,0.9408,0.7133,0.3216
14.9542,1.5516,1.1721,0.9267,0.7030,0.3140
15.2419,1.5404,1.1674,0.9210,0.6938,0.3097
15.5296,1.5303,1.1524,0.9080,0.6839,0.3025
15.8173,1.5147,1.1480,0.9024,0.6756,0.2958
16.1050,1.5044,1.1348,0.8933,0.6649,0.2916
16.3927,1.4933,1.1290,0.8837,0.6572,0.2878
16.6804,1.4774,1.1160,0.8748,0.6458,0.2774
16.9681,1.4721,1.1111,0.8649,0.6388,0.2731
17.2559,1.4575,1.0963,0.8560,0.6267,0.2695
17.5436,1.4464,1.0910,0.8460,0.6201,0.2587
17.8313,1.4373,1.0766,0.8419,0.6077,0.2545
18.1190,1.4213,1.0671,0.8292,0.6077,0.2511
18.4067,1.4157,1.0568,0.8239,0.5959,0.2401
18.6944,1.4002,1.0468,0.8113,0.5886,0.2362
18.9821,1.3889,1.0371,0.8074,0.5777,0.2330
19.2698,1.3788,1.0269,0.7973,0.5695,0.2259
19.5575,1.3639,1.0172,0.7889,0.5594,0.2181
19.8452,1.3591,1.0127,0.7859,0.5504,0.2165
20.1329,1.3475,1.0030,0.7739,0.5504,0.2151
20.4206,1.3431,0.9988,0.7716,0.5504,0.2139
20.7084,1.3379,0.9943,0.7687,0.5408,0.2127
20.9961,1.3269,0.9845,0.7653,0.5384,0.2072
21.2838,1.3217,0.9801,0.7543,0.5314,0.2008
21.5715,1.3133,0.9756,0.7513,0.5314,0.1992
21.8592,1.3055,0.9658,0.7480,0.5218,0.1978
22.1469,1.3001,0.9613,0.7369,0.5194,0.1964
22.4346,1.2893,0.9568,0.7341,0.5123,0.1952
22.7223,1.2839,0.9470,0.7308,0.5123,0.1941
23.0100,1.2791,0.9426,0.7271,0.5123,0.1931
23.2977,1.2680,0.9384,0.7171,0.5023,0.1881
23.5854,1.2629,0.9319,0.7140,0.4932,0.1826
23.8731,1.2519,0.9242,0.7103,0.4932,0.1814
24.1609,1.2457,0.9193,0.7030,0.4932,0.1795
24.4486,1.2415,0.9090,0.6965,0.4850,0.1779
24.7363,1.2297,0.9048,0.6928,0.4828,0.1764
25.0240,1.2251,0.9010,0.6889,0.4741,0.1750
25.3117,1.2134,0.8980,0.6797,0.4741,0.1738
25.5994,1.2086,0.8862,0.6761,0.4663,0.1640
25.8871,1.2047,0.8825,0.6721,0.4638,0.1633
26.1748,1.1919,0.8796,0.6649,0.4551,0.1622
26.4625,1.1879,0.8673,0.6591,0.4551,0.1611
26.7502,1.1722,0.8638,0.6552,0.4475,0.1598
27.0379,1.1690,0.8610,0.6512,0.4449,0.1585
27.3256,1.1672,0.8484,0.6458,0.4360,0.1570
27.6133,1.1540,0.8452,0.6383,0.4360,0.1510
27.9011,1.1503,0.8425,0.6344,0.4287,0.1447
28.1888,1.1474,0.8319,0.6309,0.4261,0.1436
28.4765,1.1357,0.8288,0.6218,0.4169,0.1425
28.7642,1.1306,0.8243,0.6169,0.4169,0.1409
29.0519,1.1182,0.8128,0.6134,0.4097,0.1395
29.3396,1.1157,0.8108,0.6077,0.4067,0.1380
29.6273,1.1122,0.8081,0.6003,0.3979,0.1363
29.9150,1.1031,0.8010,0.5966,0.3979,0.1260
30.2027,1.0954,0.7922,0.5935,0.3910,0.1250
30.4904,1.0912,0.7894,0.5833,0.3879,0.1237
30.7781,1.0785,0.7861,0.5795,0.3788,0.1222
31.0658,1.0745,0.7737,0.5762,0.3788,0.1207
31.3536,1.0706,0.7715,0.5741,0.3788,0.1194
31.6413,1.0606,0.7697,0.5650,0.3715,0.1187
31.9290,1.0585,0.7677,0.5631,0.3700,0.1179
32.2167,1.0559,0.7655,0.5612,0.3682,0.1171
32.5044,1.0531,0.7555,0.5595,0.3597,0.1163
32.7921,1.0463,0.7541,0.5580,0.3597,0.1118
33.0798,1.0412,0.7523,0.5566,0.3597,0.1072
33.3675,1.0382,0.7498,0.5551,0.3597,0.1067
33.6552,1.0353,0.7477,0.5453,0.3597,0.1062
33.9429,1.0323,0.7454,0.5435,0.3597,0.1056
34.2306,1.0273,0.7364,0.5417,0.3518,0.1050
34.5183,1.0211,0.7346,0.5402,0.3500,0.1044
34.8061,1.0182,0.7326,0.5388,0.3483,0.1037
35.0938,1.0150,0.7303,0.5375,0.3406,0.1030
35.3815,1.0082,0.7279,0.5364,0.3406,0.1023
35.6692,1.0037,0.7221,0.5258,0.3406,0.1016
35.9569,1.0008,0.7171,0.5241,0.3406,0.1008
36.2446,0.9976,0.7151,0.5225,0.3406,0.0999
36.5323,0.9944,0.7129,0.5211,0.3336,0.0991
36.8200,0.9891,0.7104,0.5198,0.3318,0.0983
37.1077,0.9836,0.7079,0.5186,0.3301,0.0975
37.3954,0.9805,0.7030,0.5176,0.3285,0.0927
37.6831,0.9774,0.6980,0.5169,0.3216,0.0927
37.9708,0.9738,0.6953,0.5068,0.3216,0.0883
38.2586,0.9659,0.6929,0.5055,0.3216,0.0878
38.5463,0.9630,0.6903,0.5039,0.3216,0.0872
38.8340,0.9598,0.6879,0.5022,0.3216,0.0867
39.1217,0.9567,0.6839,0.5006,0.3137,0.0860
39.4094,0.9510,0.6783,0.4992,0.3119,0.0853
39.6971,0.9457,0.6758,0.4979,0.3102,0.0845
39.9848,0.9425,0.6732,0.4881,0.3025,0.0838
40.2725,0.9394,0.6706,0.4873,0.3025,0.0830
40.5602,0.9367,0.6649,0.4862,0.3025,0.0822
40.8479,0.9319,0.6608,0.4850,0.3025,0.0813
41.1356,0.9251,0.6585,0.4837,0.3025,0.0805
41.4233,0.9220,0.6559,0.4823,0.2955,0.0796
41.7111,0.9193,0.6534,0.4808,0.2938,0.0788
41.9988,0.9171,0.6509,0.4743,0.2921,0.0779
42.2865,0.9079,0.6458,0.4685,0.2906,0.0736
42.5742,0.9042,0.6409,0.4671,0.2834,0.0736
42.8619,0.9016,0.6384,0.4658,0.2834,0.0695
43.1496,0.8994,0.6359,0.4644,0.2834,0.0689
43.4373,0.8937,0.6334,0.4629,0.2834,0.0683
43.7250,0.8870,0.6312,0.4612,0.2834,0.0676
44.0127,0.8843,0.6267,0.4549,0.2756,0.0669
44.3004,0.8819,0.6213,0.4495,0.2739,0.0661
44.5881,0.8800,0.6187,0.4482,0.2724,0.0653
44.8758,0.8694,0.6162,0.4468,0.2643,0.0645
45.1636,0.8666,0.6138,0.4452,0.2643,0.0636
45.4513,0.8643,0.6117,0.4435,0.2643,0.0627
45.7390,0.8621,0.6038,0.4416,0.2643,0.0618
46.0267,0.8605,0.6013,0.4318,0.2643,0.0610
46.3144,0.8490,0.5989,0.4306,0.2573,0.0601
46.6021,0.8467,0.5966,0.4293,0.2557,0.0593
46.8898,0.8446,0.5946,0.4278,0.2543,0.0545
47.1775,0.8424,0.5924,0.4257,0.2526,0.0545
47.4652,0.8411,0.5837,0.4238,0.2453,0.0545
47.7529,0.8309,0.5813,0.4219,0.2453,0.0545
48.0406,0.8287,0.5790,0.4129,0.2453,0.0545
48.3283,0.8263,0.5769,0.4117,0.2453,0.0500
48.6161,0.8238,0.5751,0.4102,0.2453,0.0492
48.9038,0.8219,0.5736,0.4084,0.2374,0.0483
49.1915,0.8119,0.5638,0.4065,0.2359,0.0475
49.4792,0.8102,0.5615,0.4045,0.2346,0.0466
49.7669,0.8083,0.5594,0.4023,0.2333,0.0456
