# Fig. 3C (model panel), MCF7 cells, type_I_half_RAFi,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0000 Kd, y 0.0029 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (206, 107, 110)
#     KSR =  15 nM   RGB (255, 187, 61)
#     KSR =  30 nM   RGB (255, 227, 76)
#     KSR =  50 nM   RGB (175, 222, 242)
#     KSR = 100 nM   RGB (101, 134, 187)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
-0.0000,,,,,
0.2857,1.0579,,,,0.8748
0.5714,1.0622,0.9235,0.9534,,0.8037
0.8571,1.0305,0.8544,,,0.7499
1.1429,0.9960,0.8045,,,0.7108
1.4286,0.9634,0.7718,0.7351,,0.6627
1.7143,0.9346,0.7382,0.6947,,0.6277
2.0000,0.8986,0.7042,,,0.5974
2.2857,0.8750,0.6803,0.6228,,0.5767
2.5714,0.8506,0.6584,0.5992,,0.5577
2.8571,0.8283,0.6390,0.5782,,0.5355
3.1429,0.8117,0.6218,0.5541,,0.5208
3.4286,0.7945,0.6063,0.5370,,0.5091
3.7143,0.7779,0.5948,0.5270,,0.4984
4.0000,0.7615,0.5795,0.5177,,0.4830
4.2857,0.7468,0.5678,0.5011,,0.4723
4.5714,0.7300,0.5525,0.4910,,0.4618
4.8571,0.7165,0.5419,0.4751,,0.4491
5.1429,0.7049,0.5339,0.4667,0.4531,0.4407
5.4286,0.6951,0.5255,0.4620,0.4442,0.4324
5.7143,0.6860,0.5180,0.4550,0.4352,0.4242
6.0000,0.6762,0.5111,0.4469,0.4263,0.4174
6.2857,0.6673,0.5025,0.4387,,0.4133
6.5714,0.6577,0.4939,0.4305,,0.4049
6.8571,0.6431,0.4844,0.4214,,0.3994
7.1429,0.6336,0.4758,0.4174,0.3995,0.3885
7.4286,0.6245,0.4675,0.4106,0.3906,0.3816
7.7143,0.6176,0.4642,0.4025,,0.3788
8.0000,0.6102,0.4576,0.3995,,0.3773
8.2857,0.6048,0.4514,0.3937,0.3816,0.3702
8.5714,0.5994,0.4483,0.3906,,0.3688
8.8571,0.5921,0.4420,0.3906,0.3727,0.3617
9.1429,0.5865,0.4390,0.3816,,0.3602
9.4286,0.5813,0.4326,0.3816,,0.3587
9.7143,0.5739,0.4297,0.3757,,0.3517
10.0000,0.5664,0.4232,0.3727,,0.3500
10.2857,0.5633,0.4205,0.3670,,0.3432
10.5714,0.5558,0.4139,0.3638,,0.3414
10.8571,0.5500,0.4114,0.3583,,0.3348
11.1429,0.5436,0.4047,0.3548,,0.3330
11.4286,0.5378,0.4024,0.3497,,0.3315
11.7143,0.5330,0.3955,0.3459,,0.3246
12.0000,0.5273,0.3931,0.3406,,0.3227
12.2857,0.5214,0.3875,0.3370,,0.3165
12.5714,0.5197,0.3859,0.3370,,0.3154
12.8571,0.5153,0.3844,0.3324,,0.3144
13.1429,0.5117,0.3793,0.3308,,0.3136
13.4286,0.5097,0.3782,0.3280,,0.3078
13.7143,0.5038,0.3770,0.3280,,0.3066
14.0000,0.5018,0.3736,0.3231,,0.3055
14.2857,0.4957,0.3697,0.3214,,0.3047
