# Fig. 3D (model panel), PSN1 cells, type_I_half_RAFi,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0000 Kd, y 0.0027 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (204, 104, 108)
#     KSR =  15 nM   RGB (255, 201, 104)
#     KSR =  30 nM   RGB (255, 231, 105)
#     KSR =  50 nM   RGB (153, 213, 238)
#     KSR = 100 nM   RGB (170, 188, 218)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
0.0000,,,,,
0.2857,1.2779,1.1064,,,0.9890
0.5714,1.3604,1.1710,1.0577,1.0060,0.9662
0.8571,1.3696,1.1597,1.0397,0.9822,0.9348
1.1429,1.3446,1.1373,1.0165,0.9548,0.9094
1.4286,1.3212,1.1098,0.9884,0.9259,0.8783
1.7143,1.2891,1.0831,0.9637,0.9029,0.8539
2.0000,1.2509,1.0479,0.9296,0.8680,0.8227
2.2857,1.2200,1.0216,0.9062,0.8461,0.8009
2.5714,1.1912,0.9971,0.8811,0.8235,0.7790
2.8571,1.1651,0.9735,0.8588,0.8057,0.7631
3.1429,1.1385,0.9496,0.8402,0.7890,0.7406
3.4286,1.1160,0.9311,0.8228,0.7723,0.7266
3.7143,1.0938,0.9126,0.8059,0.7559,0.7108
4.0000,1.0715,0.8932,0.7875,0.7392,0.6951
4.2857,1.0492,0.8748,0.7734,0.7225,0.6811
4.5714,1.0269,0.8563,0.7566,0.7098,0.6655
4.8571,1.0097,0.8402,0.7415,0.6939,0.6534
5.1429,0.9944,0.8275,0.7302,0.6826,0.6424
5.4286,0.9790,0.8156,0.7213,0.6713,0.6318
5.7143,0.9658,0.8018,0.7102,0.6640,0.6212
6.0000,0.9526,0.7908,0.6991,0.6533,0.6127
6.2857,0.9350,0.7795,0.6881,0.6425,0.6029
6.5714,0.9220,0.7702,0.6769,0.6317,0.5929
6.8571,0.9064,0.7524,0.6646,0.6198,0.5843
7.1429,0.8890,0.7407,0.6536,0.6089,0.5739
7.4286,0.8764,0.7295,0.6425,0.5982,0.5643
7.7143,0.8678,0.7214,0.6325,0.5920,0.5576
8.0000,0.8575,0.7123,0.6292,0.5854,0.5523
8.2857,0.8476,0.7082,0.6203,0.5806,0.5436
8.5714,0.8403,0.6993,0.6145,0.5745,0.5409
8.8571,0.8337,0.6904,0.6083,0.5693,0.5324
9.1429,0.8235,0.6861,0.6018,0.5639,0.5295
9.4286,0.8134,0.6772,0.5964,0.5580,0.5211
9.7143,0.8060,0.6683,0.5873,0.5522,0.5180
10.0000,0.7998,0.6641,0.5845,0.5467,0.5099
10.2857,0.7903,0.6552,0.5765,0.5404,0.5066
10.5714,0.7808,0.6490,0.5729,0.5353,0.4987
10.8571,0.7747,0.6422,0.5651,0.5287,0.4952
11.1429,0.7673,0.6332,0.5622,0.5240,0.4875
11.4286,0.7572,0.6297,0.5533,0.5171,0.4840
11.7143,0.7501,0.6205,0.5477,0.5127,0.4763
12.0000,0.7399,0.6105,0.5409,0.5014,0.4719
12.2857,0.7340,0.6078,0.5357,0.5014,0.4674
12.5714,0.7309,0.6032,0.5315,0.4957,0.4635
12.8571,0.7239,0.5982,0.5295,0.4900,0.4612
13.1429,0.7208,0.5963,0.5272,0.4900,0.4589
13.4286,0.7138,0.5916,0.5208,0.4856,0.4537
13.7143,0.7108,0.5867,0.5187,0.4831,0.4513
14.0000,0.7076,0.5849,0.5163,0.4787,0.4490
14.2857,0.7008,0.5835,0.5100,0.4787,0.4447
14.5714,0.6974,0.5764,0.5079,0.4728,0.4414
14.8571,0.6907,0.5741,0.5054,0.4674,0.4391
15.1429,0.6874,0.5695,0.5014,0.4674,0.4369
15.4286,0.6826,0.5656,0.4972,0.4626,0.4334
15.7143,0.6775,0.5638,0.4947,0.4601,0.4292
16.0000,0.6743,0.5594,0.4923,0.4560,0.4270
16.2857,0.6676,0.5543,0.4866,0.4560,0.4251
16.5714,0.6645,0.5524,0.4842,0.4501,0.4193
16.8571,0.6569,0.5470,0.4811,0.4447,0.4167
17.1429,0.6538,0.5426,0.4755,0.4447,0.4148
17.4286,0.6512,0.5404,0.4731,0.4395,0.4107
17.7143,0.6439,0.5356,0.4705,0.4334,0.4068
18.0000,0.6410,0.5312,0.4650,0.4334,0.4048
18.2857,0.6338,0.5289,0.4625,0.4292,0.4030
18.5714,0.6309,0.5239,0.4599,0.4271,0.3967
18.8571,0.6263,0.5197,0.4560,0.4221,0.3947
19.1429,0.6207,0.5171,0.4517,0.4221,0.3928
19.4286,0.6183,0.5105,0.4493,0.4167,0.3914
19.7143,0.6117,0.5092,0.4477,0.4155,0.3853
20.0000,0.6101,0.5079,0.4447,0.4107,0.3843
20.2857,0.6087,0.5064,0.4420,0.4107,0.3833
20.5714,0.6074,0.5048,0.4406,0.4107,0.3824
20.8571,0.6064,0.5014,0.4392,0.4107,0.3815
21.1429,0.5996,0.4986,0.4379,0.4057,0.3807
21.4286,0.5982,0.4974,0.4368,0.4049,0.3801
21.7143,0.5970,0.4959,0.4358,0.4039,0.3797
22.0000,0.5956,0.4940,0.4306,0.3994,0.3768
22.2857,0.5916,0.4924,0.4293,0.3994,0.3732
22.5714,0.5874,0.4900,0.4280,0.3994,0.3723
22.8571,0.5862,0.4866,0.4267,0.3947,0.3714
23.1429,0.5851,0.4850,0.4257,0.3939,0.3704
23.4286,0.5841,0.4834,0.4247,0.3931,0.3695
23.7143,0.5834,0.4818,0.4195,0.3881,0.3688
24.0000,0.5771,0.4787,0.4181,0.3881,0.3685
24.2857,0.5756,0.4759,0.4168,0.3837,0.3622
24.5714,0.5741,0.4744,0.4157,0.3834,0.3617
24.8571,0.5727,0.4728,0.4146,0.3829,0.3610
25.1429,0.5665,0.4711,0.4137,0.3823,0.3603
25.4286,0.5658,0.4697,0.4082,0.3815,0.3596
25.7143,0.5647,0.4674,0.4069,0.3768,0.3589
26.0000,0.5635,0.4638,0.4057,0.3768,0.3582
26.2857,0.5622,0.4622,0.4046,0.3768,0.3546
26.5714,0.5579,0.4607,0.4037,0.3768,0.3535
26.8571,0.5540,0.4589,0.4026,0.3768,0.3497
27.1429,0.5528,0.4560,0.3994,0.3768,0.3490
27.4286,0.5514,0.4530,0.3956,0.3711,0.3483
27.7143,0.5499,0.4514,0.3945,0.3654,0.3475
28.0000,0.5435,0.4499,0.3934,0.3654,0.3468
28.2857,0.5424,0.4484,0.3925,0.3654,0.3432
28.5714,0.5410,0.4471,0.3917,0.3608,0.3393
28.8571,0.5394,0.4423,0.3884,0.3654,0.3386
29.1429,0.5329,0.4408,0.3844,0.3654,0.3379
29.4286,0.5318,0.4392,0.3833,0.3608,0.3370
29.7143,0.5305,0.4377,0.3823,0.3599,0.3362
30.0000,0.5288,0.4364,0.3814,0.3590,0.3353
30.2857,0.5271,0.4334,0.3806,0.3541,0.3320
30.5714,0.5214,0.4300,0.3799,0.3496,0.3282
30.8571,0.5201,0.4285,0.3795,0.3541,0.3274
31.1429,0.5186,0.4272,0.3736,0.3541,0.3267
31.4286,0.5174,0.4262,0.3729,0.3495,0.3261
31.7143,0.5162,0.4255,0.3723,0.3490,0.3255
32.0000,0.5153,0.4249,0.3718,0.3486,0.3250
32.2857,0.5127,0.4244,0.3712,0.3480,0.3246
32.5714,0.5100,0.4197,0.3706,0.3428,0.3241
32.8571,0.5093,0.4189,0.3701,0.3428,0.3237
33.1429,0.5085,0.4181,0.3695,0.3428,0.3233
33.4286,0.5076,0.4173,0.3690,0.3428,0.3204
