# Fig. 3E (model panel), MCF7 cells, cobimetinib,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0214 Kd, y 0.0039 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (206, 107, 110)
#     KSR =  15 nM   RGB (255, 187, 61)
#     KSR =  30 nM   RGB (255, 227, 76)
#     KSR =  50 nM   RGB (175, 222, 242)
#     KSR = 100 nM   RGB (101, 134, 187)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
0.0494,0.9427,,,,0.9851
0.1070,0.9207,,,,0.9737
0.1646,0.8973,0.9294,,,0.9576
0.2221,0.8708,0.9134,,,0.9434
0.2797,0.8501,0.8958,,,0.9282
0.3372,0.8208,0.8782,,,0.9160
0.3948,0.7997,0.8630,0.8797,,0.9036
0.4524,0.7804,0.8503,0.8714,,0.8942
0.5099,0.7633,0.8372,0.8602,,0.8852
0.5675,0.7465,0.8233,0.8465,,0.8751
0.6251,0.7279,0.8127,0.8382,,0.8666
0.6826,0.7133,0.8006,0.8300,0.8465,0.8580
0.7402,0.6987,0.7896,0.8217,0.8382,0.8498
0.7978,0.6880,0.7814,0.8134,0.8300,0.8418
0.8553,0.6742,0.7723,0.8051,,0.8338
0.9129,0.6635,0.7640,0.8015,,0.8258
0.9705,0.6493,0.7550,0.7933,,0.8178
1.0280,0.6393,0.7460,0.7851,0.8051,0.8153
1.0856,0.6256,0.7371,0.7777,0.7968,0.8075
1.1432,0.6165,0.7274,0.7700,0.7885,0.7997
1.2007,0.6082,0.7218,0.7637,0.7803,0.7923
1.2583,0.6018,0.7169,0.7606,,0.7867
1.3158,0.5907,0.7087,0.7528,0.7720,0.7828
1.3734,0.5829,0.7014,0.7471,0.7637,0.7757
1.4310,0.5765,0.6941,0.7432,0.7602,0.7720
1.4885,0.5683,0.6888,0.7362,0.7554,0.7672
1.5461,0.5601,0.6837,0.7306,0.7471,0.7600
1.6037,0.5520,0.6763,0.7263,0.7433,0.7577
1.6612,0.5439,0.6689,0.7194,0.7388,0.7507
1.7188,0.5357,0.6633,0.7124,0.7306,0.7436
1.7764,0.5275,0.6566,0.7092,0.7223,0.7379
1.8339,0.5200,0.6513,0.7028,0.7186,0.7344
1.8915,0.5158,0.6467,0.6974,0.7140,0.7280
1.9491,0.5108,0.6429,0.6946,0.7140,0.7261
2.0066,0.5060,0.6392,0.6921,0.7057,0.7198
2.0642,0.5020,0.6351,0.6864,0.7057,0.7179
2.1218,0.4961,0.6309,0.6840,0.6974,0.7115
2.1793,0.4935,0.6275,0.6783,0.6974,0.7098
2.2369,0.4875,0.6235,0.6760,0.6929,0.7057
2.2945,0.4854,0.6193,0.6702,0.6891,0.7016
2.3520,0.4782,0.6142,0.6675,0.6809,0.6948
2.4096,0.4735,0.6104,0.6615,0.6809,0.6929
2.4671,0.4693,0.6059,0.6594,0.6767,0.6891
2.5247,0.4628,0.6021,0.6533,0.6726,0.6848
2.5823,0.4602,0.5960,0.6513,0.6685,0.6827
