# Fig. 3F (model panel), PSN1 cells, cobimetinib,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0346 Kd, y 0.0042 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (206, 107, 110)
#     KSR =  15 nM   RGB (255, 187, 61)
#     KSR =  30 nM   RGB (255, 227, 76)
#     KSR =  50 nM   RGB (175, 222, 242)
#     KSR = 100 nM   RGB (101, 134, 187)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
0.0921,0.9166,,,,0.9876
0.2071,0.8776,0.9159,,,0.9636
0.3220,0.8445,0.8909,,,0.9394
0.4369,0.7998,0.8539,0.8704,,0.9101
0.5519,0.7693,0.8210,0.8414,,0.8928
0.6668,0.7395,0.7963,0.8248,,0.8755
0.7818,0.7089,0.7727,0.8052,0.8373,0.8575
0.8967,0.6843,0.7540,0.7888,0.8207,0.8413
1.0116,0.6595,0.7348,0.7724,0.8041,0.8252
1.1266,0.6380,0.7148,0.7561,0.7826,0.8093
1.2415,0.6188,0.6965,0.7404,0.7694,0.7957
1.3565,0.6023,0.6823,0.7261,0.7575,0.7807
1.4714,0.5859,0.6669,0.7138,0.7413,0.7673
1.5863,0.5696,0.6513,0.6983,0.7252,0.7524
1.7013,0.5532,0.6363,0.6825,0.7126,0.7406
1.8162,0.5389,0.6227,0.6719,0.7000,0.7257
1.9312,0.5282,0.6124,0.6593,0.6874,0.7131
2.0461,0.5157,0.6010,0.6480,0.6753,0.7000
2.1610,0.5064,0.5899,0.6390,0.6637,0.6879
2.2760,0.4961,0.5787,0.6259,0.6507,0.6710
2.3909,0.4868,0.5692,0.6147,0.6382,0.6577
2.5059,0.4781,0.5566,0.6019,0.6262,0.6456
2.6208,0.4660,0.5470,0.5929,0.6181,0.6356
2.7357,0.4566,0.5373,0.5823,0.6050,0.6209
2.8507,0.4472,0.5277,0.5693,0.5935,0.6107
2.9656,0.4391,0.5175,0.5607,0.5802,0.5956
3.0806,0.4338,0.5093,0.5523,0.5719,0.5856
3.1955,0.4269,0.5013,0.5439,0.5636,0.5751
3.3105,0.4200,0.4940,0.5355,,0.5617
3.4254,0.4167,0.4862,0.5271,,0.5507
3.5403,0.4098,0.4810,0.5187,,0.5417
3.6553,0.4029,0.4733,0.5055,,0.5279
3.7702,0.3981,0.4658,0.4972,,0.5172
3.8852,0.3929,0.4595,,,0.5083
4.0001,0.3859,0.4516,,,0.4993
4.1150,0.3799,0.4429,,,0.4804
4.2300,0.3738,0.4350,,,0.4694
4.3449,0.3684,0.4271,,0.4724,0.4570
4.4599,0.3639,0.4192,,0.4579,0.4440
4.5748,0.3591,0.4114,,0.4475,0.4351
4.6897,0.3529,0.4038,,0.4392,0.4264
4.8047,0.3510,0.3977,,0.4309,0.4177
4.9196,0.3449,0.3894,,0.4226,0.4091
5.0346,0.3431,0.3811,,0.4143,0.4007
5.1495,0.3371,,,0.4060,0.3923
5.2644,0.3354,,,0.3977,0.3840
5.3794,0.3313,,,0.3894,0.3732
5.4943,0.3277,,,0.3811,0.3659
5.6093,0.3256,,,,0.3544
5.7242,0.3201,,,,0.3480
5.8391,0.3179,,,,0.3397
5.9541,0.3121,,,,0.3291
6.0690,0.3065,,,,0.3231
6.1840,0.3047,,0.3562,,0.3181
6.2989,0.2982,,0.3480,,0.3094
6.4138,,,0.3397,,0.3014
6.5288,,,0.3314,0.3148,0.2938
6.6437,0.2982,,0.3231,0.3065,0.2816
6.7587,0.2899,,0.3166,0.2982,0.2733
6.8736,0.2816,,0.3089,,0.2689
6.9886,0.2733,,0.3012,,0.2606
7.1035,,,0.2934,,0.2568
7.2184,,0.2816,0.2899,0.2733,0.2443
7.3334,,,0.2816,0.2650,0.2361
7.4483,,,0.2754,0.2567,0.2279
7.5633,,0.2650,0.2733,0.2484,0.2212
7.6782,,,0.2650,0.2484,0.2190
7.7931,,,0.2602,0.2401,0.2221
7.9081,,0.2650,0.2567,0.2401,0.2121
8.0230,,,0.2529,0.2358,0.2107
8.1380,,0.2567,0.2484,0.2318,0.2066
8.2529,,0.2567,0.2453,0.2282,0.2034
8.3678,,0.2484,0.2401,0.2236,0.2016
8.4828,,0.2484,0.2401,0.2236,0.1960
8.5977,,0.2401,0.2318,0.2153,0.1943
8.7127,,0.2401,0.2318,0.2153,0.1905
8.8276,,0.2318,0.2236,0.2153,0.1871
8.9425,0.2401,0.2318,0.2236,0.2070,0.1851
9.0575,,0.2236,,0.2070,0.1798
9.1724,0.2318,0.2236,0.2153,0.1987,0.1780
9.2874,0.2318,,0.2153,0.1987,0.1759
9.4023,0.2236,0.2153,0.2070,0.1957,0.1710
9.5172,0.2236,0.2153,0.2070,0.1904,0.1690
9.6322,0.2236,,0.2041,0.1904,0.1635
9.7471,0.2153,0.2070,0.1987,0.1821,0.1615
9.8621,0.2153,0.2070,0.1987,0.1821,0.1593
9.9770,0.2153,0.1987,0.1904,0.1738,0.1546
10.0920,0.2099,0.1987,0.1904,0.1738,0.1523
10.2069,0.2091,0.1987,0.1871,0.1738,0.1489
10.3218,0.2070,0.1904,0.1821,0.1655,0.1454
10.4368,0.2023,0.1904,0.1791,0.1655,0.1430
10.5517,0.2012,0.1855,0.1738,0.1572,0.1384
10.6667,0.1951,0.1821,0.1711,0.1572,0.1360
10.7816,0.1947,0.1774,0.1655,0.1489,0.1323
10.8965,0.1932,0.1768,0.1655,0.1489,0.1290
11.0115,0.1878,0.1738,0.1617,0.1459,0.1267
11.1264,0.1870,0.1689,0.1572,0.1406,0.1220
11.2414,0.1853,0.1676,0.1536,0.1406,0.1198
11.3563,0.1821,0.1614,0.1489,0.1323,0.1179
11.4712,0.1789,0.1595,0.1452,0.1323,0.1123
11.5862,0.1771,0.1536,0.1406,0.1240,0.1104
11.7011,0.1738,0.1524,0.1406,0.1240,0.1073
11.8161,0.1712,0.1489,0.1357,0.1202,0.1032
11.9310,0.1693,0.1452,0.1323,0.1157,0.1018
12.0459,0.1675,0.1432,0.1276,0.1120,0.0961
12.1609,0.1638,0.1406,0.1268,0.1115,0.0950
12.2758,0.1628,0.1378,0.1240,0.1074,0.0945
12.3908,0.1618,0.1372,0.1240,0.1074,0.0941
12.5057,0.1607,0.1364,0.1240,0.1074,0.0938
12.6206,0.1596,0.1355,0.1240,0.1074,0.0937
12.7356,0.1572,0.1346,0.1192,0.1074,0.0937
12.8505,0.1555,0.1323,0.1189,0.1033,0.0884
12.9655,0.1546,0.1323,0.1189,0.1031,0.0878
13.0804,0.1535,0.1290,0.1157,0.0992,0.0873
13.1954,0.1524,0.1284,0.1157,0.0992,0.0868
13.3103,0.1511,0.1275,0.1157,0.0992,0.0864
13.4252,0.1489,0.1267,0.1157,0.0992,0.0861
13.5402,0.1472,0.1259,0.1157,0.0992,0.0860
13.6551,0.1461,0.1240,0.1110,0.0992,0.0859
13.7701,0.1450,0.1240,0.1110,0.0945,0.0826
13.8850,0.1439,0.1202,0.1074,0.0909,0.0826
13.9999,0.1429,0.1195,0.1074,0.0909,0.0805
14.1149,0.1406,0.1188,0.1074,0.0909,0.0801
14.2298,0.1388,0.1180,0.1074,0.0909,0.0798
14.3448,0.1377,0.1157,0.1074,0.0909,0.0794
14.4597,0.1366,0.1157,0.1030,0.0909,0.0791
14.5746,0.1356,0.1157,0.1032,,0.0788
14.6896,0.1346,0.1114,0.0992,0.0826,0.0743
14.8045,0.1323,0.1107,0.0992,0.0826,0.0743
14.9195,0.1304,0.1100,0.0992,0.0826,0.0743
15.0344,0.1294,0.1094,0.0992,0.0826,0.0743
15.1493,0.1281,0.1074,0.0992,0.0826,0.0721
15.2643,0.1271,0.1074,0.0992,0.0826,0.0720
15.3792,0.1263,0.1031,0.0909,,0.0717
15.4942,0.1240,0.1025,0.0909,,0.0714
15.6091,0.1218,0.1019,0.0909,,0.0711
15.7240,0.1209,0.1013,0.0909,,0.0708
15.8390,0.1199,0.0992,0.0948,,0.0705
15.9539,0.1189,0.0992,0.0909,,0.0702
16.0689,0.1181,0.0992,0.0909,,0.0699
16.1838,0.1157,0.0944,,,0.0696
16.2988,0.1132,0.0938,0.0826,,0.0674
16.4137,0.1124,0.0933,0.0826,,0.0636
16.5286,0.1115,0.0929,0.0826,,0.0634
16.6436,0.1107,0.0926,0.0826,,0.0630
16.7585,0.1099,0.0928,0.0826,,0.0627
16.8735,0.1093,0.0909,0.0826,,0.0624
16.9884,0.1045,0.0857,,,0.0620
17.1033,0.1038,0.0852,,,0.0617
17.2183,0.1031,0.0848,,,0.0614
17.3332,0.1023,0.0847,,,0.0559
17.4482,0.1017,0.0848,0.0743,,0.0556
17.5631,0.1011,0.0826,0.0743,,0.0553
17.6780,0.0960,0.0826,0.0743,,0.0549
17.7930,0.0954,0.0826,0.0743,,0.0545
17.9079,0.0947,0.0826,0.0743,,0.0542
18.0229,0.0941,0.0766,,,0.0538
18.1378,0.0935,0.0767,,,0.0534
18.2527,0.0930,0.0743,0.0660,,0.0531
18.3677,0.0874,0.0743,0.0660,,0.0494
18.4826,0.0869,0.0743,0.0660,,0.0475
18.5976,0.0864,0.0743,0.0660,,0.0471
18.7125,0.0859,0.0743,0.0660,,0.0468
18.8274,0.0852,0.0743,0.0660,,0.0463
18.9424,0.0848,0.0690,,,0.0459
19.0573,0.0826,0.0660,,,0.0455
19.1723,0.0826,0.0660,0.0577,,0.0451
19.2872,0.0785,0.0660,0.0577,,0.0411
19.4021,0.0781,0.0660,0.0577,,0.0411
19.5171,0.0778,0.0660,0.0577,,0.0411
19.6320,0.0776,0.0660,0.0577,,0.0411
19.7470,0.0774,0.0660,0.0577,,0.0394
19.8619,0.0772,0.0660,0.0577,,0.0393
19.9769,0.0743,0.0660,0.0577,,0.0411
