"# Steady-state ppERK dose responses of the curated model, computed to"
# reproduce the six model panels of Fig. 3 in Imoto et al. (2026).
"# Written by run_imoto2026.py; integrator BDF, atol=rtol=1e-07,"
"# t_end=5000 s, continuation along the dose ladder."
# Cobimetinib fM = 1.
panel,cell,drug,KSR_nM,dose_over_Kd,dose_nM,ppERK_nM,ppERK_norm
A,MCF7,type_II_RAFi,0,0,0,267.342998,1.000000
A,MCF7,type_II_RAFi,0,0.2,0.2,501.839802,1.877138
A,MCF7,type_II_RAFi,0,0.4,0.4,537.406815,2.010177
A,MCF7,type_II_RAFi,0,0.6,0.6,541.571339,2.025755
A,MCF7,type_II_RAFi,0,0.8,0.8,534.709366,2.000087
A,MCF7,type_II_RAFi,0,1,1,523.608613,1.958565
A,MCF7,type_II_RAFi,0,1.2,1.2,510.997133,1.911391
A,MCF7,type_II_RAFi,0,1.4,1.4,498.084915,1.863093
A,MCF7,type_II_RAFi,0,1.6,1.6,485.425077,1.815739
A,MCF7,type_II_RAFi,0,1.8,1.8,473.265202,1.770255
A,MCF7,type_II_RAFi,0,2,2,461.706134,1.727018
A,MCF7,type_II_RAFi,0,2.5,2.5,435.650315,1.629556
A,MCF7,type_II_RAFi,0,3,3,412.992617,1.544804
A,MCF7,type_II_RAFi,0,4,4,376.125375,1.406902
A,MCF7,type_II_RAFi,0,5,5,346.979859,1.297883
A,MCF7,type_II_RAFi,0,6,6,323.247792,1.209113
A,MCF7,type_II_RAFi,0,8,8,286.451802,1.071477
A,MCF7,type_II_RAFi,0,10,10,258.381012,0.966478
A,MCF7,type_II_RAFi,0,12,12,235.902636,0.882397
A,MCF7,type_II_RAFi,0,15,15,208.957325,0.781608
A,MCF7,type_II_RAFi,0,20,20,175.077599,0.654880
A,MCF7,type_II_RAFi,0,25,25,149.502161,0.559215
A,MCF7,type_II_RAFi,0,30,30,129.049728,0.482712
A,MCF7,type_II_RAFi,0,35,35,112.115169,0.419368
A,MCF7,type_II_RAFi,0,40,40,97.782903,0.365758
A,MCF7,type_II_RAFi,0,45,45,85.478350,0.319733
A,MCF7,type_II_RAFi,0,50,50,74.813116,0.279839
A,MCF7,type_II_RAFi,15,0,0,463.790369,1.000000
A,MCF7,type_II_RAFi,15,0.2,0.2,547.537344,1.180571
A,MCF7,type_II_RAFi,15,0.4,0.4,548.677515,1.183029
A,MCF7,type_II_RAFi,15,0.6,0.6,529.877172,1.142493
A,MCF7,type_II_RAFi,15,0.8,0.8,505.380627,1.089675
A,MCF7,type_II_RAFi,15,1,1,480.019703,1.034993
A,MCF7,type_II_RAFi,15,1.2,1.2,455.616015,0.982375
A,MCF7,type_II_RAFi,15,1.4,1.4,432.832494,0.933250
A,MCF7,type_II_RAFi,15,1.6,1.6,411.847495,0.888004
A,MCF7,type_II_RAFi,15,1.8,1.8,392.629473,0.846567
A,MCF7,type_II_RAFi,15,2,2,375.058042,0.808680
A,MCF7,type_II_RAFi,15,2.5,2.5,337.313467,0.727297
A,MCF7,type_II_RAFi,15,3,3,306.742012,0.661381
A,MCF7,type_II_RAFi,15,4,4,260.293861,0.561232
A,MCF7,type_II_RAFi,15,5,5,226.576152,0.488531
A,MCF7,type_II_RAFi,15,6,6,200.766258,0.432881
A,MCF7,type_II_RAFi,15,8,8,163.337358,0.352179
A,MCF7,type_II_RAFi,15,10,10,136.984905,0.295360
A,MCF7,type_II_RAFi,15,12,12,117.090761,0.252465
A,MCF7,type_II_RAFi,15,15,15,94.637428,0.204052
A,MCF7,type_II_RAFi,15,20,20,68.663686,0.148049
A,MCF7,type_II_RAFi,15,25,25,50.904667,0.109758
A,MCF7,type_II_RAFi,15,30,30,38.111244,0.082173
A,MCF7,type_II_RAFi,15,35,35,28.667124,0.061811
A,MCF7,type_II_RAFi,15,40,40,21.629488,0.046636
A,MCF7,type_II_RAFi,15,45,45,16.374638,0.035306
A,MCF7,type_II_RAFi,15,50,50,12.453489,0.026852
A,MCF7,type_II_RAFi,30,0,0,565.734626,1.000000
A,MCF7,type_II_RAFi,30,0.2,0.2,591.852030,1.046165
A,MCF7,type_II_RAFi,30,0.4,0.4,558.119884,0.986540
A,MCF7,type_II_RAFi,30,0.6,0.6,511.356646,0.903881
A,MCF7,type_II_RAFi,30,0.8,0.8,463.481585,0.819256
A,MCF7,type_II_RAFi,30,1,1,418.661494,0.740032
A,MCF7,type_II_RAFi,30,1.2,1.2,378.279616,0.668652
A,MCF7,type_II_RAFi,30,1.4,1.4,342.529959,0.605460
A,MCF7,type_II_RAFi,30,1.6,1.6,311.108631,0.549920
A,MCF7,type_II_RAFi,30,1.8,1.8,283.537363,0.501184
A,MCF7,type_II_RAFi,30,2,2,259.310435,0.458361
A,MCF7,type_II_RAFi,30,2.5,2.5,210.402340,0.371910
A,MCF7,type_II_RAFi,30,3,3,173.824585,0.307255
A,MCF7,type_II_RAFi,30,4,4,123.573576,0.218430
A,MCF7,type_II_RAFi,30,5,5,91.269655,0.161329
A,MCF7,type_II_RAFi,30,6,6,69.139492,0.122212
A,MCF7,type_II_RAFi,30,8,8,41.616717,0.073562
A,MCF7,type_II_RAFi,30,10,10,26.076537,0.046093
A,MCF7,type_II_RAFi,30,12,12,16.807868,0.029710
A,MCF7,type_II_RAFi,30,15,15,9.120888,0.016122
A,MCF7,type_II_RAFi,30,20,20,3.724366,0.006583
A,MCF7,type_II_RAFi,30,25,25,1.733693,0.003064
A,MCF7,type_II_RAFi,30,30,30,0.901331,0.001593
A,MCF7,type_II_RAFi,30,35,35,0.511257,0.000904
A,MCF7,type_II_RAFi,30,40,40,0.310525,0.000549
A,MCF7,type_II_RAFi,30,45,45,0.199144,0.000352
A,MCF7,type_II_RAFi,30,50,50,0.133456,0.000236
A,MCF7,type_II_RAFi,50,0,0,668.328968,1.000000
A,MCF7,type_II_RAFi,50,0.2,0.2,648.818031,0.970806
A,MCF7,type_II_RAFi,50,0.4,0.4,576.331888,0.862348
A,MCF7,type_II_RAFi,50,0.6,0.6,494.929724,0.740548
A,MCF7,type_II_RAFi,50,0.8,0.8,417.761410,0.625083
A,MCF7,type_II_RAFi,50,1,1,349.957942,0.523631
A,MCF7,type_II_RAFi,50,1.2,1.2,292.438303,0.437566
A,MCF7,type_II_RAFi,50,1.4,1.4,244.437418,0.365744
A,MCF7,type_II_RAFi,50,1.6,1.6,204.667840,0.306238
A,MCF7,type_II_RAFi,50,1.8,1.8,171.788132,0.257041
A,MCF7,type_II_RAFi,50,2,2,144.589663,0.216345
A,MCF7,type_II_RAFi,50,2.5,2.5,95.188706,0.142428
A,MCF7,type_II_RAFi,50,3,3,63.909306,0.095626
A,MCF7,type_II_RAFi,50,4,4,30.718692,0.045963
A,MCF7,type_II_RAFi,50,5,5,16.001637,0.023943
A,MCF7,type_II_RAFi,50,6,6,8.976020,0.013431
A,MCF7,type_II_RAFi,50,8,8,3.427858,0.005129
A,MCF7,type_II_RAFi,50,10,10,1.552677,0.002323
A,MCF7,type_II_RAFi,50,12,12,0.800250,0.001197
A,MCF7,type_II_RAFi,50,15,15,0.352788,0.000528
A,MCF7,type_II_RAFi,50,20,20,0.120668,0.000181
A,MCF7,type_II_RAFi,50,25,25,0.051390,0.000077
A,MCF7,type_II_RAFi,50,30,30,0.025461,0.000038
A,MCF7,type_II_RAFi,50,35,35,0.014019,0.000021
A,MCF7,type_II_RAFi,50,40,40,0.008344,0.000012
A,MCF7,type_II_RAFi,50,45,45,0.005273,0.000008
A,MCF7,type_II_RAFi,50,50,50,0.003493,0.000005
A,MCF7,type_II_RAFi,100,0,0,862.543368,1.000000
A,MCF7,type_II_RAFi,100,0.2,0.2,774.052264,0.897407
A,MCF7,type_II_RAFi,100,0.4,0.4,630.893327,0.731434
A,MCF7,type_II_RAFi,100,0.6,0.6,486.840690,0.564425
A,MCF7,type_II_RAFi,100,0.8,0.8,365.149016,0.423340
A,MCF7,type_II_RAFi,100,1,1,270.169633,0.313224
A,MCF7,type_II_RAFi,100,1.2,1.2,199.151891,0.230889
A,MCF7,type_II_RAFi,100,1.4,1.4,147.136013,0.170584
A,MCF7,type_II_RAFi,100,1.6,1.6,109.305435,0.126725
A,MCF7,type_II_RAFi,100,1.8,1.8,81.812276,0.094850
A,MCF7,type_II_RAFi,100,2,2,61.782209,0.071628
A,MCF7,type_II_RAFi,100,2.5,2.5,32.171397,0.037298
A,MCF7,type_II_RAFi,100,3,3,17.852040,0.020697
A,MCF7,type_II_RAFi,100,4,4,6.666514,0.007729
A,MCF7,type_II_RAFi,100,5,5,2.963239,0.003435
A,MCF7,type_II_RAFi,100,6,6,1.507176,0.001747
A,MCF7,type_II_RAFi,100,8,8,0.518026,0.000601
A,MCF7,type_II_RAFi,100,10,10,0.220670,0.000256
A,MCF7,type_II_RAFi,100,12,12,0.109411,0.000127
A,MCF7,type_II_RAFi,100,15,15,0.046483,0.000054
A,MCF7,type_II_RAFi,100,20,20,0.015323,0.000018
A,MCF7,type_II_RAFi,100,25,25,0.006372,0.000007
A,MCF7,type_II_RAFi,100,30,30,0.003106,0.000004
A,MCF7,type_II_RAFi,100,35,35,0.001691,0.000002
A,MCF7,type_II_RAFi,100,40,40,0.000997,0.000001
A,MCF7,type_II_RAFi,100,45,45,0.000626,0.000001
A,MCF7,type_II_RAFi,100,50,50,0.000412,0.000000
B,PSN1,type_II_RAFi,0,0,0,1180.709069,1.000000
B,PSN1,type_II_RAFi,0,0.2,0.2,2735.446897,2.316783
B,PSN1,type_II_RAFi,0,0.4,0.4,2781.671611,2.355933
B,PSN1,type_II_RAFi,0,0.6,0.6,2790.126898,2.363094
B,PSN1,type_II_RAFi,0,0.8,0.8,2790.997045,2.363831
B,PSN1,type_II_RAFi,0,1,1,2788.867610,2.362028
B,PSN1,type_II_RAFi,0,1.2,1.2,2785.031155,2.358778
B,PSN1,type_II_RAFi,0,1.4,1.4,2779.968926,2.354491
B,PSN1,type_II_RAFi,0,1.6,1.6,2773.887944,2.349341
B,PSN1,type_II_RAFi,0,1.8,1.8,2766.884947,2.343410
B,PSN1,type_II_RAFi,0,2,2,2759.008876,2.336739
B,PSN1,type_II_RAFi,0,2.5,2.5,2735.675445,2.316977
B,PSN1,type_II_RAFi,0,3,3,2707.451820,2.293073
B,PSN1,type_II_RAFi,0,4,4,2638.698909,2.234843
B,PSN1,type_II_RAFi,0,5,5,2558.683596,2.167074
B,PSN1,type_II_RAFi,0,6,6,2473.269975,2.094733
B,PSN1,type_II_RAFi,0,8,8,2301.948587,1.949632
B,PSN1,type_II_RAFi,0,10,10,2142.782636,1.814827
B,PSN1,type_II_RAFi,0,12,12,2000.717016,1.694505
B,PSN1,type_II_RAFi,0,15,15,1818.787767,1.540420
B,PSN1,type_II_RAFi,0,20,20,1582.324568,1.340148
B,PSN1,type_II_RAFi,0,25,25,1404.516909,1.189554
B,PSN1,type_II_RAFi,0,30,30,1265.780343,1.072051
B,PSN1,type_II_RAFi,0,35,35,1154.029967,0.977404
B,PSN1,type_II_RAFi,0,40,40,1061.654161,0.899167
B,PSN1,type_II_RAFi,0,45,45,983.656407,0.833107
B,PSN1,type_II_RAFi,0,50,50,916.628321,0.776337
B,PSN1,type_II_RAFi,15,0,0,1527.762549,1.000000
B,PSN1,type_II_RAFi,15,0.2,0.2,2738.286080,1.792351
B,PSN1,type_II_RAFi,15,0.4,0.4,2780.264384,1.819828
B,PSN1,type_II_RAFi,15,0.6,0.6,2787.600307,1.824629
B,PSN1,type_II_RAFi,15,0.8,0.8,2787.692252,1.824689
B,PSN1,type_II_RAFi,15,1,1,2784.816341,1.822807
B,PSN1,type_II_RAFi,15,1.2,1.2,2780.188921,1.819778
B,PSN1,type_II_RAFi,15,1.4,1.4,2774.262459,1.815899
B,PSN1,type_II_RAFi,15,1.6,1.6,2767.230632,1.811296
B,PSN1,type_II_RAFi,15,1.8,1.8,2759.184320,1.806030
B,PSN1,type_II_RAFi,15,2,2,2750.171465,1.800130
B,PSN1,type_II_RAFi,15,2.5,2.5,2723.612735,1.782746
B,PSN1,type_II_RAFi,15,3,3,2691.718907,1.761870
B,PSN1,type_II_RAFi,15,4,4,2614.934632,1.711611
B,PSN1,type_II_RAFi,15,5,5,2526.818568,1.653934
B,PSN1,type_II_RAFi,15,6,6,2433.776685,1.593033
B,PSN1,type_II_RAFi,15,8,8,2249.193927,1.472214
B,PSN1,type_II_RAFi,15,10,10,2079.315066,1.361020
B,PSN1,type_II_RAFi,15,12,12,1928.637775,1.262394
B,PSN1,type_II_RAFi,15,15,15,1736.791401,1.136820
B,PSN1,type_II_RAFi,15,20,20,1489.195587,0.974756
B,PSN1,type_II_RAFi,15,25,25,1304.737139,0.854018
B,PSN1,type_II_RAFi,15,30,30,1162.211729,0.760728
B,PSN1,type_II_RAFi,15,35,35,1048.489064,0.686291
B,PSN1,type_II_RAFi,15,40,40,955.258053,0.625266
B,PSN1,type_II_RAFi,15,45,45,877.086196,0.574099
B,PSN1,type_II_RAFi,15,50,50,810.307028,0.530388
B,PSN1,type_II_RAFi,30,0,0,1738.638941,1.000000
B,PSN1,type_II_RAFi,30,0.2,0.2,2738.928722,1.575329
B,PSN1,type_II_RAFi,30,0.4,0.4,2777.322768,1.597412
B,PSN1,type_II_RAFi,30,0.6,0.6,2783.438630,1.600930
B,PSN1,type_II_RAFi,30,0.8,0.8,2782.469294,1.600372
B,PSN1,type_II_RAFi,30,1,1,2778.453595,1.598062
B,PSN1,type_II_RAFi,30,1.2,1.2,2772.546296,1.594665
B,PSN1,type_II_RAFi,30,1.4,1.4,2765.174070,1.590425
B,PSN1,type_II_RAFi,30,1.6,1.6,2756.518043,1.585446
B,PSN1,type_II_RAFi,30,1.8,1.8,2746.664697,1.579779
B,PSN1,type_II_RAFi,30,2,2,2735.664414,1.573452
B,PSN1,type_II_RAFi,30,2.5,2.5,2703.413547,1.554902
B,PSN1,type_II_RAFi,30,3,3,2664.999203,1.532808
B,PSN1,type_II_RAFi,30,4,4,2573.852086,1.480383
B,PSN1,type_II_RAFi,30,5,5,2471.095519,1.421282
B,PSN1,type_II_RAFi,30,6,6,2364.127399,1.359758
B,PSN1,type_II_RAFi,30,8,8,2155.216750,1.239600
B,PSN1,type_II_RAFi,30,10,10,1965.992805,1.130765
B,PSN1,type_II_RAFi,30,12,12,1800.382949,1.035513
B,PSN1,type_II_RAFi,30,15,15,1592.647995,0.916031
B,PSN1,type_II_RAFi,30,20,20,1330.517569,0.765264
B,PSN1,type_II_RAFi,30,25,25,1140.716924,0.656098
B,PSN1,type_II_RAFi,30,30,30,997.376547,0.573654
B,PSN1,type_II_RAFi,30,35,35,884.950547,0.508990
B,PSN1,type_II_RAFi,30,40,40,793.967218,0.456660
B,PSN1,type_II_RAFi,30,45,45,718.438292,0.413219
B,PSN1,type_II_RAFi,30,50,50,654.431027,0.376404
B,PSN1,type_II_RAFi,50,0,0,1940.442059,1.000000
B,PSN1,type_II_RAFi,50,0.2,0.2,2738.691474,1.411375
B,PSN1,type_II_RAFi,50,0.4,0.4,2772.367459,1.428730
B,PSN1,type_II_RAFi,50,0.6,0.6,2776.486751,1.430853
B,PSN1,type_II_RAFi,50,0.8,0.8,2773.596562,1.429363
B,PSN1,type_II_RAFi,50,1,1,2767.430403,1.426186
B,PSN1,type_II_RAFi,50,1.2,1.2,2759.055836,1.421870
B,PSN1,type_II_RAFi,50,1.4,1.4,2748.861499,1.416616
B,PSN1,type_II_RAFi,50,1.6,1.6,2737.012786,1.410510
B,PSN1,type_II_RAFi,50,1.8,1.8,2723.596797,1.403596
B,PSN1,type_II_RAFi,50,2,2,2708.678266,1.395908
B,PSN1,type_II_RAFi,50,2.5,2.5,2665.261073,1.373533
B,PSN1,type_II_RAFi,50,3,3,2614.185849,1.347211
B,PSN1,type_II_RAFi,50,4,4,2495.491013,1.286043
B,PSN1,type_II_RAFi,50,5,5,2364.862888,1.218724
B,PSN1,type_II_RAFi,50,6,6,2231.469423,1.149980
B,PSN1,type_II_RAFi,50,8,8,1976.784990,1.018729
B,PSN1,type_II_RAFi,50,10,10,1752.170416,0.902975
B,PSN1,type_II_RAFi,50,12,12,1560.740581,0.804322
B,PSN1,type_II_RAFi,50,15,15,1328.733438,0.684758
B,PSN1,type_II_RAFi,50,20,20,1051.123309,0.541693
B,PSN1,type_II_RAFi,50,25,25,860.357671,0.443382
B,PSN1,type_II_RAFi,50,30,30,722.207372,0.372187
B,PSN1,type_II_RAFi,50,35,35,617.535939,0.318245
B,PSN1,type_II_RAFi,50,40,40,535.315723,0.275873
B,PSN1,type_II_RAFi,50,45,45,468.873937,0.241633
B,PSN1,type_II_RAFi,50,50,50,413.970239,0.213338
B,PSN1,type_II_RAFi,100,0,0,2264.846778,1.000000
B,PSN1,type_II_RAFi,100,0.2,0.2,2737.888998,1.208863
B,PSN1,type_II_RAFi,100,0.4,0.4,2758.554943,1.217987
B,PSN1,type_II_RAFi,100,0.6,0.6,2755.409249,1.216599
