"# Steady-state ppERK dose responses of the curated model, computed to"
# reproduce the six model panels of Fig. 3 in Imoto et al. (2026).
"# Written by run_imoto2026.py; integrator BDF, atol=rtol=1e-07,"
"# t_end=5000 s, continuation along the dose ladder."
# Cobimetinib fM = 0.1.
panel,cell,drug,KSR_nM,dose_over_Kd,dose_nM,ppERK_nM,ppERK_norm
E,MCF7,cobimetinib,0,0,0,267.342997,1.000000
E,MCF7,cobimetinib,0,0.2,2,237.339594,0.887772
E,MCF7,cobimetinib,0,0.4,4,214.957905,0.804053
E,MCF7,cobimetinib,0,0.6,6,197.571607,0.739019
E,MCF7,cobimetinib,0,0.8,8,183.603827,0.686773
E,MCF7,cobimetinib,0,1,10,172.085133,0.643687
E,MCF7,cobimetinib,0,1.5,15,150.348068,0.562379
E,MCF7,cobimetinib,0,2,20,134.869627,0.504482
E,MCF7,cobimetinib,0,2.5,25,123.121474,0.460537
E,MCF7,cobimetinib,0,3,30,113.794586,0.425650
E,MCF7,cobimetinib,0,4,40,99.695735,0.372913
E,MCF7,cobimetinib,0,5,50,89.325522,0.334123
E,MCF7,cobimetinib,0,6,60,81.219930,0.303804
E,MCF7,cobimetinib,0,7,70,74.611620,0.279086
E,MCF7,cobimetinib,0,8,80,69.055490,0.258303
E,MCF7,cobimetinib,0,9,90,64.274050,0.240418
E,MCF7,cobimetinib,0,10,100,60.084051,0.224745
E,MCF7,cobimetinib,15,0,0,463.790356,1.000000
E,MCF7,cobimetinib,15,0.2,2,475.833645,1.025967
E,MCF7,cobimetinib,15,0.4,4,462.151371,0.996466
E,MCF7,cobimetinib,15,0.6,6,446.494791,0.962708
E,MCF7,cobimetinib,15,0.8,8,431.759748,0.930937
E,MCF7,cobimetinib,15,1,10,418.371459,0.902070
E,MCF7,cobimetinib,15,1.5,15,390.195477,0.841319
E,MCF7,cobimetinib,15,2,20,367.616644,0.792635
E,MCF7,cobimetinib,15,2.5,25,348.848622,0.752169
E,MCF7,cobimetinib,15,3,30,332.740827,0.717438
E,MCF7,cobimetinib,15,4,40,305.800937,0.659352
E,MCF7,cobimetinib,15,5,50,283.239665,0.610706
E,MCF7,cobimetinib,15,6,60,263.275132,0.567660
E,MCF7,cobimetinib,15,7,70,244.881746,0.528001
E,MCF7,cobimetinib,15,8,80,227.452300,0.490421
E,MCF7,cobimetinib,15,9,90,210.651211,0.454195
E,MCF7,cobimetinib,15,10,100,194.347801,0.419042
E,MCF7,cobimetinib,30,0,0,565.734627,1.000000
E,MCF7,cobimetinib,30,0.2,2,593.527140,1.049126
E,MCF7,cobimetinib,30,0.4,4,581.386240,1.027666
E,MCF7,cobimetinib,30,0.6,6,564.806417,0.998359
E,MCF7,cobimetinib,30,0.8,8,548.435341,0.969422
E,MCF7,cobimetinib,30,1,10,533.188219,0.942471
E,MCF7,cobimetinib,30,1.5,15,500.271537,0.884287
E,MCF7,cobimetinib,30,2,20,473.268273,0.836555
E,MCF7,cobimetinib,30,2.5,25,450.384685,0.796106
E,MCF7,cobimetinib,30,3,30,430.391945,0.760766
E,MCF7,cobimetinib,30,4,40,396.065004,0.700090
E,MCF7,cobimetinib,30,5,50,366.205128,0.647309
E,MCF7,cobimetinib,30,6,60,338.692440,0.598677
E,MCF7,cobimetinib,30,7,70,312.307328,0.552039
E,MCF7,cobimetinib,30,8,80,286.423649,0.506286
E,MCF7,cobimetinib,30,9,90,260.900008,0.461170
E,MCF7,cobimetinib,30,10,100,236.000911,0.417158
E,MCF7,cobimetinib,50,0,0,668.328986,1.000000
E,MCF7,cobimetinib,50,0.2,2,711.738801,1.064953
E,MCF7,cobimetinib,50,0.4,4,700.937068,1.048790
E,MCF7,cobimetinib,50,0.6,6,683.235458,1.022304
E,MCF7,cobimetinib,50,0.8,8,665.026369,0.995058
E,MCF7,cobimetinib,50,1,10,647.715705,0.969157
E,MCF7,cobimetinib,50,1.5,15,609.534831,0.912028
E,MCF7,cobimetinib,50,2,20,577.555463,0.864178
E,MCF7,cobimetinib,50,2.5,25,549.961314,0.822890
E,MCF7,cobimetinib,50,3,30,525.432585,0.786189
E,MCF7,cobimetinib,50,4,40,482.198924,0.721499
E,MCF7,cobimetinib,50,5,50,443.169020,0.663100
E,MCF7,cobimetinib,50,6,60,405.869500,0.607290
E,MCF7,cobimetinib,50,7,70,369.017410,0.552149
E,MCF7,cobimetinib,50,8,80,332.328503,0.497253
