time_s,erk_pp_fraction
0,0.000000
600,0.000000
1200,0.657322
1800,0.663863
2400,0.456337
3000,0.375807
3600,0.322630
4200,0.227064
4800,0.019708
5400,0.013205
6000,0.021221
6600,0.761043
7200,0.583078
7800,0.422528
8400,0.360516
9000,0.301223
9600,0.174992
10200,0.006147
10800,0.027523
11400,0.048899
12000,0.750255
12600,0.514271
13200,0.398743
13800,0.343782
14400,0.274210
15000,0.105505
15600,0.003058
16200,0.003058
16800,0.490996
17400,0.679324
18000,0.463303
18600,0.379545
19200,0.326877
19800,0.237768
20400,0.032790
21000,0.003058
21600,0.003058
22200,0.757815
22800,0.596330
23400,0.428389
24000,0.361876
24600,0.305386
25200,0.186544
25800,0.009530
26400,0.012202
27000,0.014874
27600,0.756881
28200,0.526249
28800,0.402650
29400,0.347350
30000,0.279307
30600,0.117992
31200,0.017144
31800,0.045200
32400,0.386850
33000,0.703959
33600,0.474346
34200,0.383282
34800,0.330615
35400,0.245413
36000,0.044852
36600,0.043200
37200,0.104655
37800,0.753823
38400,0.622154
39000,0.438753
39600,0.367992
40200,0.309293
40800,0.197757
41400,0.006881
42000,0.003058
42600,0.003058
43200,0.758410
43800,0.547740
44400,0.409616
45000,0.352701
45600,0.287122
46200,0.136340
46800,0.010703
47400,0.014711
48000,0.216786
48600,0.720183
49200,0.487598
49800,0.387445
50400,0.336391
51000,0.255946
51600,0.059293
52200,0.014688
52800,0.028048
53400,0.734115
54000,0.639144
54600,0.445124
55200,0.371730
55800,0.319062
56400,0.216446
57000,0.011723
57600,0.058475
58200,0.119930
58800,0.764356
59400,0.560398
60000,0.414883
60600,0.356439
61200,0.293578
61800,0.157153
62400,0.003058
63000,0.003058
63600,0.099388
64200,0.733605
64800,0.498471
65400,0.391352
66000,0.339959
66600,0.265036
67200,0.083248
67800,0.003058
68400,0.003058
69000,0.644920
69600,0.660211
70200,0.452599
70800,0.375467
71400,0.322800
72000,0.224261
72600,0.020642
73200,0.016820
73800,0.028843
74400,0.761128
75000,0.581889
75600,0.422018
76200,0.358053
76800,0.300714
77400,0.171509
78000,0.008680
78600,0.046088
79200,0.083496
79800,0.749830
80400,0.515800
81000,0.397554
81600,0.343527
82200,0.272511
82800,0.097859
83400,0.003058
84000,0.003058
84600,0.535933
85200,0.683826
85800,0.465596
86400,0.379205
