# Source: crimson cell-8 trace in Fig. 8A of Kochanczyk et al. (2017), Sci Rep 7:38244
# Cell 8 is the cell whose EGFR expression burst schedule is hard-coded in
# Supplementary Data S3 and reproduced by
# mapk_relaxation_oscillations_kochanczyk2017_noisy_egfr.bngl
# Render: open-access article PDF page 9 at 400 dpi
# Axis calibration: panel A plot box, x=0..72 h and y=0..2e6 EGFR molecules,
#   both labelled at the frame corners
# Extraction: crimson pixels (R>120, R-G>45, B-G>15, R-B>25) inside the plot box,
#   legend block excluded, one sample per pixel column (about 2.4 min apart),
#   value taken as the column centroid of the trace
# Occlusion: 143 of 1823 columns carry no crimson pixel because the cell-12 or
#   cell-15 trace is drawn over cell 8 there; those columns are omitted rather
#   than interpolated
# Calibration check: the first digitized sample reads 170029 molecules against the
#   model's exact seed value of 168950 (0.6% high)
time_h,time_s,EGFR_total_molecules
0.0395,142.3,170028.8
0.0790,284.5,170028.8
0.1186,426.8,170028.8
0.1581,569.0,167147.0
0.1976,711.3,164265.1
0.2371,853.6,164265.1
0.2766,995.8,164265.1
0.3161,1138.1,164265.1
0.3557,1280.4,164265.1
0.3952,1422.6,164265.1
0.4347,1564.9,161383.3
0.4742,1707.1,161383.3
0.5137,1849.4,158501.4
0.5532,1991.7,158501.4
0.5928,2133.9,158501.4
0.6323,2276.2,158501.4
0.6718,2418.4,158501.4
0.7113,2560.7,158501.4
0.7508,2703.0,155619.6
0.7903,2845.2,155619.6
0.8299,2987.5,152737.8
0.8694,3129.7,152737.8
0.9089,3272.0,152737.8
0.9484,3414.3,152737.8
0.9879,3556.5,152737.8
1.0274,3698.8,152737.8
1.0670,3841.1,149855.9
1.1065,3983.3,149855.9
1.1460,4125.6,149855.9
1.1855,4267.8,149855.9
1.2250,4410.1,146974.1
1.2645,4552.4,146974.1
1.3041,4694.6,146974.1
1.3436,4836.9,146974.1
1.3831,4979.1,146974.1
1.4226,5121.4,144092.2
1.4621,5263.7,144092.2
1.5016,5405.9,144092.2
1.5412,5548.2,144092.2
1.5807,5690.5,146974.1
1.6202,5832.7,149855.9
1.6597,5975.0,152737.8
1.6992,6117.2,158501.4
1.7387,6259.5,161383.3
