# Fig. 2A - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# reaction-limited regime, without enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
1,-2,0.471482
1,-1.93397,0.47541
1,-1.79851,0.481969
1,-1.73076,0.484599
1,-1.52755,0.4905
1,-1.39209,0.493122
1,-1.32434,0.493779
1,-1.2566,0.495086
1,-0.98564,0.497707
1,-0.919662,0.497707
1,-0.851917,0.498365
1,-0.784171,0.498365
1,-0.716451,0.499023
1,-0.580961,0.499023
1,-0.513216,0.49968
1,-0.24226,0.49968
1,-0.17454,0.500338
1,0.162419,0.500338
1,0.230164,0.500986
1,0.501095,0.500986
1,0.56884,0.501644
1,0.70433,0.501644
1,0.772075,0.502302
1,0.83982,0.502302
1,0.907541,0.50295
1,0.975286,0.50295
1,1.1785,0.504923
1,1.24447,0.505581
1,1.31222,0.506887
1,1.37994,0.507545
1,1.51541,0.510176
1,1.71862,0.516067
1,1.78636,0.518698
1,1.92183,0.525257
1,1.98957,0.529184
2,-2,0.2518
2,-1.93397,0.253773
2,-1.86625,0.255737
2,-1.79851,0.257052
2,-1.73076,0.259025
2,-1.66302,0.261637
2,-1.5953,0.26361
2,-1.39209,0.271475
2,-1.32434,0.275412
2,-1.2566,0.278691
2,-1.12113,0.287871
2,-0.98564,0.299673
2,-0.919662,0.306889
2,-0.851917,0.314754
2,-0.784171,0.323934
2,-0.716451,0.333772
2,-0.648706,0.344925
2,-0.580961,0.357384
2,-0.513216,0.370501
2,-0.445495,0.384925
2,-0.37775,0.400663
2,-0.310005,0.41705
2,-0.24226,0.434762
2,-0.17454,0.453122
2,-0.106795,0.471483
2,-0.0390744,0.4905
2,0.0286711,0.510176
2,0.0964158,0.529185
2,0.162419,0.547545
2,0.230164,0.565905
2,0.297909,0.583608
2,0.36563,0.600004
2,0.433374,0.615742
2,0.501095,0.630166
2,0.56884,0.643283
2,0.636585,0.655742
2,0.70433,0.666895
2,0.772075,0.676724
2,0.83982,0.685904
2,0.907541,0.693769
2,0.975286,0.700994
2,1.11078,0.712796
2,1.1785,0.717381
2,1.24447,0.721967
2,1.31222,0.725246
2,1.37994,0.729183
2,1.58315,0.737047
2,1.6509,0.739021
2,1.71862,0.741642
2,1.78636,0.743606
2,1.85411,0.744921
2,1.98957,0.748858
3,-2,0.175746
3,-1.93397,0.177052
3,-1.86625,0.179016
3,-1.79851,0.180332
3,-1.73076,0.182296
3,-1.52755,0.19017
3,-1.45981,0.193449
3,-1.32434,0.201323
3,-1.2566,0.206557
3,-1.18888,0.211809
3,-1.12113,0.218358
3,-1.05339,0.225574
3,-0.98564,0.234097
3,-0.919662,0.243277
3,-0.851917,0.253772
3,-0.784171,0.265574
3,-0.716451,0.278691
3,-0.648706,0.293772
3,-0.580961,0.30952
