# Fig. 2B - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# diffusion-limited regime, without enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
1,-2,0.471482
1,-1.934,0.47541
1,-1.79851,0.481969
1,-1.73076,0.484599
1,-1.52755,0.4905
1,-1.39209,0.493122
1,-1.32434,0.493779
1,-1.2566,0.495086
1,-0.985641,0.497707
1,-0.919662,0.497707
1,-0.851918,0.498365
1,-0.784172,0.498365
1,-0.716428,0.499023
1,-0.580937,0.499023
1,-0.513217,0.49968
1,-0.242261,0.49968
1,-0.17454,0.500338
1,0.162442,0.500338
1,0.230188,0.500986
1,0.501119,0.500986
1,0.568839,0.501644
1,0.704329,0.501644
1,0.772074,0.502302
1,0.83977,0.502302
1,0.907516,0.50295
1,0.97526,0.50295
1,1.17847,0.504923
1,1.24445,0.505581
1,1.31219,0.506887
1,1.37994,0.507545
1,1.5154,0.510176
1,1.71864,0.516067
1,1.78636,0.518698
1,1.92185,0.525257
1,1.9896,0.529184
2,-2,0.472788
2,-1.934,0.47541
2,-1.86625,0.476725
2,-1.79851,0.478689
2,-1.66304,0.481311
2,-1.5953,0.481968
2,-1.52755,0.483275
2,-0.985641,0.488527
2,-0.919662,0.488527
2,-0.648707,0.491148
2,-0.580937,0.492464
2,-0.377751,0.494428
2,-0.310007,0.495743
2,-0.242261,0.496392
2,-0.106796,0.499013
2,-0.0390502,0.499671
2,0.0286945,0.500986
2,0.0964152,0.501644
2,0.162442,0.50295
2,0.230188,0.504265
2,0.297884,0.504914
2,0.365653,0.506229
2,0.568839,0.508202
2,0.636584,0.509509
2,0.907516,0.51213
2,0.97526,0.51213
2,1.17847,0.514094
2,1.24445,0.514752
2,1.5154,0.517373
2,1.58315,0.518689
2,1.6509,0.519346
2,1.78636,0.521968
2,1.85411,0.523932
2,1.92185,0.525247
2,1.9896,0.527869
3,-2,0.473446
3,-1.934,0.474761
3,-1.79851,0.477374
3,-1.73076,0.478041
3,-1.66304,0.479347
3,-1.39209,0.481968
3,-1.32434,0.481968
3,-0.985641,0.485248
3,-0.919662,0.485905
3,-0.648707,0.488527
3,-0.580937,0.489833
3,-0.513217,0.490491
3,0.0964152,0.502302
3,0.162442,0.503608
3,0.501119,0.510166
3,0.568839,0.510824
3,0.636584,0.51213
3,1.17847,0.517382
3,1.24445,0.518031
3,1.31219,0.518689
3,1.37994,0.518689
3,1.6509,0.52131
3,1.71864,0.522626
3,1.78636,0.523283
3,1.9896,0.52722
4,-2,0.473446
4,-1.934,0.474761
4,-1.86625,0.47541
4,-1.79851,0.476725
4,-1.45981,0.480004
4,-1.39209,0.480004
4,-1.12113,0.482626
4,-1.05339,0.482626
4,-0.985641,0.483274
4,-0.919662,0.483932
4,-0.851918,0.484599
4,-0.784172,0.485905
4,-0.648707,0.487211
4,-0.106796,0.497707
4,-0.0390502,0.49968
4,0.0286945,0.500986
4,0.0964152,0.50295
4,0.162442,0.504265
4,0.636584,0.513445
4,0.772074,0.514752
4,0.83977,0.516067
4,1.043,0.518031
