# Fig. 2C - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# reaction-limited regime, with enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
1,-2,0.471473
1,-1.93397,0.47541
1,-1.79851,0.481959
1,-1.73076,0.48459
1,-1.52755,0.490491
1,-1.39209,0.493113
1,-1.32434,0.493761
1,-1.2566,0.495077
1,-0.98564,0.497698
1,-0.919662,0.497698
1,-0.851917,0.498356
1,-0.784171,0.498356
1,-0.716451,0.499013
1,-0.580961,0.499013
1,-0.513216,0.499671
1,-0.24226,0.499671
1,-0.17454,0.500329
1,0.162419,0.500329
1,0.230164,0.500987
1,0.501095,0.500987
1,0.56884,0.501635
1,0.70433,0.501635
1,0.772075,0.502293
1,0.83982,0.502293
1,0.907541,0.502941
1,0.975286,0.502941
1,1.1785,0.504914
1,1.24447,0.505572
1,1.31222,0.506878
1,1.37994,0.507536
1,1.51541,0.510167
1,1.6509,0.514104
1,1.71862,0.516058
1,1.78636,0.518689
1,1.92183,0.525238
1,1.98957,0.529166
2,-2,0.247872
2,-1.93397,0.249836
2,-1.5953,0.259683
2,-1.45981,0.264926
2,-1.32434,0.271475
2,-1.2566,0.275412
2,-1.12113,0.284592
2,-0.98564,0.296403
2,-0.919662,0.303619
2,-0.851917,0.312142
2,-0.784171,0.321322
2,-0.716451,0.331159
2,-0.648706,0.342303
2,-0.580961,0.354763
2,-0.513216,0.368538
2,-0.445495,0.382952
2,-0.37775,0.3987
2,-0.310005,0.415744
2,-0.24226,0.433456
2,-0.17454,0.451807
2,-0.106795,0.471483
2,-0.0390744,0.4905
2,0.0286711,0.510176
2,0.0964158,0.529175
2,0.162419,0.54886
2,0.230164,0.56722
2,0.297909,0.584923
2,0.36563,0.601968
2,0.433374,0.617706
2,0.501095,0.632139
2,0.56884,0.645904
2,0.636585,0.658363
2,0.70433,0.669517
2,0.772075,0.679345
2,0.83982,0.688535
2,0.907541,0.697057
2,0.975286,0.704264
2,1.04303,0.710174
2,1.11078,0.716066
2,1.1785,0.72066
2,1.24447,0.725255
2,1.31222,0.729183
2,1.37994,0.732471
2,1.44769,0.735732
2,1.51541,0.738372
2,1.58315,0.740994
2,1.71862,0.744931
2,1.78636,0.746885
2,1.98957,0.752786
3,-2,0.169836
3,-1.93397,0.1718
3,-1.86625,0.173106
3,-1.73076,0.177044
3,-1.66302,0.179674
3,-1.52755,0.184908
3,-1.45981,0.188197
3,-1.32434,0.196071
3,-1.2566,0.201314
3,-1.12113,0.213125
3,-1.05339,0.22098
3,-0.98564,0.228863
3,-0.919662,0.238701
3,-0.851917,0.249187
3,-0.784171,0.260989
3,-0.716451,0.274764
3,-0.648706,0.289854
3,-0.580961,0.306232
3,-0.513216,0.323943
3,-0.445495,0.34361
3,-0.37775,0.364601
3,-0.310005,0.387537
3,-0.24226,0.41115
3,-0.17454,0.436078
3,-0.106795,0.460987
3,-0.0390744,0.487221
3,0.0964158,0.53968
3,0.162419,0.564599
3,0.230164,0.589508
3,0.297909,0.613121
3,0.36563,0.636076
3,0.433374,0.657048
3,0.501095,0.676724
3,0.56884,0.694426
3,0.636585,0.710832
3,0.70433,0.725904
3,0.772075,0.739669
3,0.83982,0.75148
3,0.907541,0.761976
3,0.975286,0.771813
3,1.11078,0.787543
3,1.1785,0.793453
3,1.24447,0.799354
3,1.31222,0.804597
3,1.44769,0.812462
3,1.51541,0.815741
3,1.71862,0.823615
3,1.85411,0.827542
3,1.92183,0.828858
3,1.98957,0.830831
4,-2,0.130485
4,-1.93397,0.132458
4,-1.86625,0.133764
4,-1.73076,0.137701
4,-1.66302,0.140332
4,-1.5953,0.142944
4,-1.52755,0.146233
4,-1.45981,0.149503
4,-1.39209,0.15344
4,-1.2566,0.163935
4,-1.12113,0.177043
4,-1.05339,0.185575
4,-0.98564,0.194746
4,-0.919662,0.20526
4,-0.851917,0.217701
4,-0.784171,0.230827
4,-0.716451,0.245898
4,-0.648706,0.262953
4,-0.580961,0.281322
4,-0.513216,0.301646
4,-0.445495,0.323285
4,-0.37775,0.347547
4,-0.310005,0.372474
4,-0.24226,0.399348
4,-0.17454,0.427555
4,-0.106795,0.456392
4,-0.0390744,0.485248
4,0.0286711,0.51541
4,0.0964158,0.544265
4,0.162419,0.57313
4,0.230164,0.601319
4,0.297909,0.628202
4,0.36563,0.653111
4,0.433374,0.677391
4,0.501095,0.699021
4,0.56884,0.719354
4,0.636585,0.737705
4,0.70433,0.754759
4,0.772075,0.76984
4,0.83982,0.782957
4,0.907541,0.795416
4,0.975286,0.805912
4,1.04303,0.815092
4,1.11078,0.823615
4,1.1785,0.830173
4,1.24447,0.836731
4,1.31222,0.841965
4,1.37994,0.847218
4,1.44769,0.851145
4,1.51541,0.854434
4,1.58315,0.857704
4,1.71862,0.862956
4,1.85411,0.866893
4,1.92183,0.868199
4,1.98957,0.870173
5,-2,0.106891
5,-1.93397,0.108188
5,-1.73076,0.114098
5,-1.5953,0.119341
5,-1.52755,0.12263
5,-1.39209,0.130485
5,-1.32434,0.135738
5,-1.2566,0.141638
5,-1.18888,0.148206
5,-1.12113,0.155404
5,-1.05339,0.163935
5,-0.98564,0.173764
5,-0.919662,0.185575
5,-0.851917,0.198034
5,-0.784171,0.212458
5,-0.716451,0.228196
5,-0.648706,0.245899
5,-0.580961,0.266241
5,-0.513216,0.287881
5,-0.445495,0.311484
5,-0.37775,0.336393
5,-0.310005,0.363943
5,-0.24226,0.392141
5,-0.17454,0.422294
5,-0.106795,0.453132
5,0.0286711,0.516067
5,0.0964158,0.547554
5,0.162419,0.578364
5,0.230164,0.608536
5,0.297909,0.636724
5,0.36563,0.664274
5,0.433374,0.689192
5,0.501095,0.712796
5,0.56884,0.734435
5,0.636585,0.754759
5,0.70433,0.772462
5,0.772075,0.7882
5,0.83982,0.802624
5,0.907541,0.815092
5,0.975286,0.826894
5,1.04303,0.836732
5,1.11078,0.845254
5,1.1785,0.85247
5,1.24447,0.859019
5,1.31222,0.86493
5,1.37994,0.870173
5,1.51541,0.878047
5,1.58315,0.881307
5,1.71862,0.886569
5,1.78636,0.888524
5,1.92183,0.892461
5,1.98957,0.893776
6,-2,0.0904856
6,-1.93397,0.0924588
6,-1.86625,0.0937742
6,-1.79851,0.0957288
6,-1.73076,0.0977017
6,-1.66302,0.100323
6,-1.52755,0.106891
6,-1.39209,0.114756
6,-1.32434,0.119999
6,-1.2566,0.12589
6,-1.18888,0.133116
6,-1.12113,0.140981
6,-1.05339,0.149503
6,-0.98564,0.159999
6,-0.919662,0.1718
6,-0.851917,0.184908
6,-0.784171,0.200007
6,-0.716451,0.216404
6,-0.648706,0.234764
6,-0.580961,0.255746
6,-0.513216,0.278043
6,-0.445495,0.302962
6,-0.37775,0.329196
6,-0.310005,0.357385
6,-0.24226,0.387537
6,-0.17454,0.418375
6,0.0964158,0.549518
6,0.162419,0.582301
