# Fig. 2D - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# diffusion-limited regime, with enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
1,-2,0.471473
1,-1.93402,0.47541
1,-1.79853,0.481959
1,-1.73081,0.48459
1,-1.5276,0.490491
1,-1.39213,0.493113
1,-1.32439,0.493761
1,-1.25664,0.495077
1,-0.985683,0.497698
1,-0.91968,0.497698
1,-0.851934,0.498356
1,-0.784189,0.498356
1,-0.716443,0.499013
1,-0.580953,0.499013
1,-0.513232,0.499671
1,-0.242274,0.499671
1,-0.174553,0.500329
1,0.162408,0.500329
1,0.230177,0.500987
1,0.50111,0.500987
1,0.568831,0.501635
1,0.704322,0.501635
1,0.772067,0.502293
1,0.839764,0.502293
1,0.90751,0.502941
1,0.975255,0.502941
1,1.17847,0.504914
1,1.24445,0.505572
1,1.31219,0.506878
1,1.37994,0.507536
1,1.5154,0.510167
1,1.65089,0.514104
1,1.71864,0.516058
1,1.78636,0.518689
1,1.92185,0.525238
1,1.9896,0.529166
2,-2,0.241971
2,-1.93402,0.244602
2,-1.79853,0.249836
2,-1.5276,0.26034
2,-1.39213,0.26689
2,-1.32439,0.270178
2,-1.25664,0.274106
2,-1.18889,0.278691
2,-1.12117,0.283944
2,-1.05343,0.289854
2,-0.985683,0.296403
2,-0.91968,0.303619
2,-0.851934,0.311484
2,-0.784189,0.320664
2,-0.716443,0.331159
2,-0.648723,0.342303
2,-0.580953,0.354763
2,-0.513232,0.368538
2,-0.44551,0.382952
2,-0.377765,0.3987
2,-0.310019,0.415744
2,-0.242274,0.433456
2,-0.174553,0.451807
2,-0.106808,0.471483
2,-0.0390621,0.4905
2,0.028683,0.510176
2,0.0964042,0.529175
2,0.162408,0.54886
2,0.230177,0.56722
2,0.297874,0.584923
2,0.365644,0.601968
2,0.433365,0.617706
2,0.50111,0.632139
2,0.568831,0.645904
2,0.636577,0.658364
2,0.704322,0.669517
2,0.772067,0.680003
2,0.839764,0.689192
2,0.90751,0.697057
2,0.975255,0.704264
2,1.043,0.710832
2,1.11072,0.716733
2,1.17847,0.721967
2,1.24445,0.726561
2,1.31219,0.730498
2,1.37994,0.733768
2,1.44768,0.737057
2,1.5154,0.740327
2,1.9896,0.758696
3,-2,0.161972
3,-1.93402,0.163936
3,-1.86628,0.165242
3,-1.73081,0.16917
3,-1.66309,0.170494
3,-1.59534,0.172458
3,-1.5276,0.17508
3,-1.45985,0.177044
3,-1.39213,0.179674
3,-1.32439,0.182287
3,-1.25664,0.185575
3,-1.18889,0.189512
3,-1.12117,0.194097
3,-1.05343,0.199341
3,-0.985683,0.20526
3,-0.91968,0.212458
3,-0.851934,0.22098
3,-0.784189,0.230169
3,-0.716443,0.241971
3,-0.648723,0.255088
3,-0.580953,0.270827
3,-0.513232,0.288529
3,-0.44551,0.308853
3,-0.377765,0.331808
3,-0.310019,0.358033
3,-0.242274,0.38624
3,-0.174553,0.417051
3,-0.106808,0.449843
3,-0.0390621,0.483284
3,0.028683,0.517383
3,0.0964042,0.550815
3,0.162408,0.583608
3,0.230177,0.614436
3,0.297874,0.642634
3,0.365644,0.668859
3,0.433365,0.691805
3,0.50111,0.712129
3,0.568831,0.729841
3,0.636577,0.745579
3,0.704322,0.758696
3,0.772067,0.770498
3,0.839764,0.779678
3,0.90751,0.7882
3,0.975255,0.795417
3,1.043,0.801318
3,1.11072,0.806561
3,1.17847,0.811155
3,1.24445,0.815092
3,1.31219,0.818362
3,1.44768,0.823615
3,1.5154,0.825578
3,1.58315,0.8282
3,1.65089,0.830173
3,1.71864,0.831479
3,1.85411,0.835416
3,1.92185,0.836732
3,1.9896,0.838696
4,-2,0.121305
4,-1.93402,0.12263
4,-1.86628,0.123927
4,-1.79853,0.12589
4,-1.66309,0.128531
4,-1.59534,0.129828
4,-1.5276,0.131152
4,-1.39213,0.135089
4,-1.32439,0.137701
4,-1.25664,0.139675
4,-1.18889,0.142944
4,-1.12117,0.146233
4,-0.985683,0.155404
4,-0.91968,0.161314
4,-0.851934,0.168521
4,-0.784189,0.177043
4,-0.716443,0.186881
4,-0.648723,0.199341
4,-0.580953,0.214431
4,-0.513232,0.232791
4,-0.44551,0.25443
4,-0.377765,0.280007
4,-0.310019,0.310826
4,-0.242274,0.346231
4,-0.174553,0.38624
4,-0.106808,0.430168
4,-0.0390621,0.476726
4,0.028683,0.523941
4,0.0964042,0.57049
4,0.162408,0.614436
4,0.230177,0.654436
4,0.297874,0.689841
4,0.365644,0.72066
4,0.433365,0.746237
4,0.50111,0.767876
4,0.568831,0.786236
4,0.636577,0.801317
4,0.704322,0.813777
4,0.772067,0.823615
4,0.839764,0.832137
4,0.90751,0.839353
4,0.975255,0.845254
4,1.11072,0.854434
4,1.17847,0.857704
4,1.24445,0.860993
4,1.31219,0.862956
4,1.37994,0.865578
4,1.5154,0.869515
4,1.78636,0.874758
4,1.85411,0.876722
4,1.92185,0.878047
4,1.9896,0.879343
5,-2,0.0970532
5,-1.93402,0.0983593
5,-1.86628,0.0996656
5,-1.79853,0.100323
5,-1.66309,0.102954
5,-1.59534,0.104251
5,-1.45985,0.106891
5,-1.39213,0.108188
5,-1.25664,0.112125
5,-1.18889,0.114756
5,-1.12117,0.117368
5,-1.05343,0.120657
5,-0.985683,0.124593
5,-0.91968,0.129827
5,-0.851934,0.135737
5,-0.784189,0.142944
5,-0.716443,0.151467
5,-0.648723,0.161972
5,-0.580953,0.175737
5,-0.513232,0.192133
5,-0.44551,0.213124
5,-0.377765,0.239349
5,-0.310019,0.271475
5,-0.242274,0.311484
5,-0.174553,0.358033
5,-0.106808,0.411816
5,-0.0390621,0.470167
5,0.028683,0.5305
5,0.0964042,0.58886
5,0.162408,0.642634
5,0.230177,0.689192
5,0.297874,0.729183
5,0.365644,0.761308
5,0.433365,0.787542
5,0.50111,0.808524
5,0.568831,0.824921
5,0.636577,0.838695
5,0.704322,0.849182
5,0.772067,0.857704
5,0.839764,0.86493
5,0.90751,0.870821
5,0.975255,0.876073
5,1.043,0.88001
5,1.11072,0.88328
5,1.17847,0.885902
5,1.24445,0.888524
5,1.37994,0.89246
5,1.78636,0.900334
5,1.85411,0.900983
5,1.9896,0.903614
6,-2,0.0813148
6,-1.93402,0.0819633
6,-1.86628,0.0832787
6,-1.73081,0.0845848
6,-1.66309,0.0859002
6,-1.59534,0.0865487
6,-1.32439,0.091801
6,-1.25664,0.0937742
6,-1.18889,0.0957288
6,-1.05343,0.100981
6,-0.985683,0.104251
6,-0.91968,0.108188
6,-0.851934,0.11344
6,-0.784189,0.119341
6,-0.716443,0.126558
6,-0.648723,0.135738
6,-0.580953,0.14753
6,-0.513232,0.16262
6,-0.44551,0.181638
6,-0.377765,0.206557
6,-0.310019,0.239349
6,-0.242274,0.280655
6,-0.174553,0.332466
6,-0.106808,0.394105
6,-0.0390621,0.464266
6,0.028683,0.536401
6,0.0964042,0.606562
6,0.162408,0.668202
6,0.230177,0.720003
6,0.297874,0.761309
6,0.365644,0.794101
6,0.433365,0.819029
6,0.50111,0.838029
6,0.568831,0.853119
6,0.636577,0.86493
6,0.704322,0.87411
6,0.772067,0.881307
6,0.839764,0.887218
6,0.90751,0.892461
6,0.975255,0.896398
6,1.043,0.899686
6,1.17847,0.90492
6,1.24445,0.906884
6,1.31219,0.908857
6,1.58315,0.9141
6,1.65089,0.914758
6,1.71864,0.916064
6,1.85411,0.917389
6,1.92185,0.918685
6,1.9896,0.919353
7,-2,0.0695037
7,-1.93402,0.0701615
7,-1.86628,0.0714769
7,-1.59534,0.0740984
7,-1.5276,0.0754138
7,-1.45985,0.0760623
7,-1.32439,0.0786837
7,-1.25664,0.080657
7,-1.18889,0.081963
7,-1.12117,0.0839363
7,-1.05343,0.0865484
7,-0.985683,0.089837
7,-0.91968,0.0931163
7,-0.851934,0.0970532
7,-0.784189,0.102287
7,-0.716443,0.108846
7,-0.648723,0.116719
7,-0.580953,0.127215
7,-0.513232,0.140332
7,-0.44551,0.158035
7,-0.377765,0.18098
7,-0.310019,0.211809
7,-0.242274,0.253772
7,-0.174553,0.308853
7,-0.106808,0.377708
7,-0.0390621,0.457717
7,0.028683,0.542959
7,0.0964042,0.622959
7,0.162408,0.691805
7,0.230177,0.746885
7,0.297874,0.788858
7,0.365644,0.819677
7,0.433365,0.842623
7,0.50111,0.860335
7,0.568831,0.873452
7,0.636577,0.883938
7,0.704322,0.891812
7,0.772067,0.898361
7,0.839764,0.903614
7,0.90751,0.907541
7,1.043,0.9141
7,1.11072,0.916722
7,1.17847,0.918685
7,1.24445,0.920001
7,1.31219,0.921974
7,1.44768,0.924586
7,1.5154,0.925253
7,1.58315,0.926559
7,1.85411,0.929172
7,1.92185,0.930496
7,1.9896,0.931154
8,-2,0.0609814
8,-1.93402,0.0616393
8,-1.79853,0.0629454
8,-1.73081,0.0636122
8,-1.59534,0.0649093
8,-1.5276,0.0662247
8,-1.45985,0.0668822
8,-1.39213,0.0681976
8,-1.32439,0.0688461
8,-1.25664,0.0701615
8,-1.18889,0.0721348
8,-1.12117,0.0734408
8,-0.985683,0.078684
8,-0.91968,0.0813148
8,-0.851934,0.0852517
8,-0.784189,0.089837
8,-0.716443,0.0957288
8,-0.648723,0.102954
8,-0.580953,0.111476
8,-0.513232,0.123278
8,-0.44551,0.139008
8,-0.377765,0.159999
8,-0.310019,0.189512
8,-0.242274,0.230169
8,-0.174553,0.286565
8,-0.106808,0.361312
8,-0.0390621,0.451807
8,0.028683,0.54886
8,0.0964042,0.639346
8,0.162408,0.714093
8,0.230177,0.770498
8,0.297874,0.811155
8,0.365644,0.840659
