figure,agonist,compartment,time_min,camp_percent_of_max
Fig. 4H,melatonin,PM,0.316,82.57
Fig. 4H,melatonin,PM,0.43,88.58
Fig. 4H,melatonin,PM,0.788,93.61
Fig. 4H,melatonin,PM,0.918,83.99
Fig. 4H,melatonin,PM,1.293,84.54
Fig. 4H,melatonin,PM,1.815,73.06
Fig. 4H,melatonin,PM,2.271,73.39
Fig. 4H,melatonin,PM,2.385,70.87
Fig. 4H,melatonin,PM,2.809,69.78
Fig. 4H,melatonin,PM,3.183,65.52
Fig. 4H,melatonin,PM,3.363,60.49
Fig. 4H,melatonin,PM,3.411,63.01
Fig. 4H,melatonin,PM,3.802,57.65
Fig. 4H,melatonin,PM,3.998,60.16
Fig. 4H,melatonin,PM,4.308,54.48
Fig. 4H,melatonin,PM,4.829,57.65
Fig. 4H,melatonin,PM,5.367,55.03
Fig. 4H,melatonin,PM,5.741,53.93
Fig. 4H,melatonin,PM,5.839,51.42
Fig. 4H,melatonin,PM,6.214,53.39
Fig. 4H,melatonin,PM,6.344,55.9
Fig. 4H,melatonin,PM,6.866,58.96
Fig. 4H,melatonin,PM,7.354,51.2
Fig. 4H,melatonin,PM,7.843,52.4
Fig. 4H,melatonin,PM,8.218,51.2
Fig. 4H,melatonin,PM,8.381,54.7
Fig. 4H,melatonin,PM,8.87,42.57
Fig. 4H,melatonin,PM,9.391,48.58
Fig. 4H,melatonin,PM,9.88,53.61
Fig. 4H,melatonin,OMM,1.016,87.27
Fig. 4H,melatonin,OMM,1.521,57.32
Fig. 4H,melatonin,OMM,2.01,41.15
Fig. 4H,melatonin,OMM,2.499,43.88
Fig. 4H,melatonin,OMM,2.988,39.73
Fig. 4H,melatonin,OMM,3.493,30.22
Fig. 4H,melatonin,OMM,3.965,32.08
Fig. 4H,melatonin,OMM,4.34,31.31
Fig. 4H,melatonin,OMM,4.959,29.89
Fig. 4H,melatonin,OMM,5.513,19.84
Fig. 4H,melatonin,OMM,5.969,22.79
Fig. 4H,melatonin,OMM,6.491,23.77
Fig. 4H,melatonin,OMM,6.996,16.45
Fig. 4H,melatonin,OMM,7.485,17.65
Fig. 4H,melatonin,OMM,7.99,24.1
Fig. 4H,melatonin,OMM,8.495,21.8
Fig. 4H,melatonin,OMM,8.919,21.58
Fig. 4H,melatonin,OMM,9.391,21.69
Fig. 4H,melatonin,OMM,9.978,22.9
Fig. 4I,DAMGO,PM,0.491,83.14
Fig. 4I,DAMGO,PM,0.606,78.13
Fig. 4I,DAMGO,PM,0.852,71.71
Fig. 4I,DAMGO,PM,0.983,78.46
Fig. 4I,DAMGO,PM,1.491,67.36
Fig. 4I,DAMGO,PM,2.032,39.82
Fig. 4I,DAMGO,PM,2.491,29.7
Fig. 4I,DAMGO,PM,2.868,29.81
Fig. 4I,DAMGO,PM,2.983,23.83
Fig. 4I,DAMGO,PM,3.36,23.94
Fig. 4I,DAMGO,PM,3.508,14.79
Fig. 4I,DAMGO,PM,3.606,12.29
Fig. 4I,DAMGO,PM,3.983,12.18
Fig. 4I,DAMGO,PM,4.443,15.45
Fig. 4I,DAMGO,PM,4.984,14.36
Fig. 4I,DAMGO,PM,6.525,15.99
Fig. 4I,DAMGO,PM,7.017,6.2
Fig. 4I,DAMGO,PM,7.394,5.0
Fig. 4I,DAMGO,PM,7.509,7.5
Fig. 4I,DAMGO,OMM,0.491,66.49
Fig. 4I,DAMGO,OMM,1.983,61.81
Fig. 4I,DAMGO,OMM,2.459,50.05
Fig. 4I,DAMGO,OMM,3.065,47.33
Fig. 4I,DAMGO,OMM,3.475,48.2
Fig. 4I,DAMGO,OMM,4.0,42.11
Fig. 4I,DAMGO,OMM,4.475,41.02
Fig. 4I,DAMGO,OMM,5.033,40.37
Fig. 4I,DAMGO,OMM,5.476,39.61
Fig. 4I,DAMGO,OMM,5.951,40.37
