time_s,MT1_PM,MT1_OMM,uOR_PM,uOR_OMM
0.0,1.0,1.0,1.0,1.0
10.0,0.9465,0.9268,0.9475,0.9704
20.0,0.9071,0.8907,0.8918,0.9278
30.0,0.8882,0.8513,0.846,0.8558
40.0,0.8646,0.8092,0.8203,0.8322
50.0,0.8411,0.7698,0.7739,0.8132
60.0,0.8176,0.7238,0.7314,0.8165
70.0,0.8053,0.6923,0.703,0.7968
80.0,0.7791,0.6581,0.6626,0.7674
90.0,0.7528,0.651,0.6168,0.7412
100.0,0.7364,0.6231,0.585,0.7215
110.0,0.72,0.5952,0.5775,0.7052
120.0,0.7003,0.5624,0.5349,0.679
130.0,0.6806,0.5295,0.4924,0.6528
140.0,0.6707,0.5164,0.4891,0.6462
150.0,0.6543,0.4902,0.4498,0.62
160.0,0.6412,0.4639,0.4302,0.6004
170.0,0.6346,0.4508,0.4105,0.5939
180.0,0.6215,0.4278,0.3843,0.5709
190.0,0.6051,0.4081,0.3581,0.5546
200.0,0.5952,0.3933,0.3401,0.5415
210.0,0.5886,0.3785,0.3254,0.5316
220.0,0.5755,0.3621,0.3025,0.512
230.0,0.5657,0.3457,0.2795,0.4989
240.0,0.5591,0.3391,0.2697,0.4924
250.0,0.5525,0.326,0.2534,0.4793
260.0,0.5427,0.3129,0.237,0.4563
270.0,0.5394,0.3063,0.2272,0.4498
280.0,0.5295,0.2932,0.2141,0.4465
290.0,0.5197,0.2866,0.1977,0.4269
300.0,0.5164,0.2784,0.1879,0.4171
310.0,0.5131,0.2603,0.1781,0.4105
320.0,0.5066,0.2538,0.1682,0.4007
330.0,0.5,0.2472,0.1551,0.4007
340.0,0.4967,0.2406,0.1519,0.3974
350.0,0.4934,0.2341,0.142,0.3909
360.0,0.4902,0.2373,0.1289,0.381
370.0,0.4869,0.2242,0.1257,0.3778
380.0,0.4836,0.2176,0.1158,0.3712
390.0,0.4803,0.2242,0.1093,0.3647
400.0,0.477,0.2176,0.1027,0.3598
410.0,0.4737,0.2176,0.0995,0.3549
420.0,0.4705,0.2111,0.0962,0.3483
430.0,0.4672,0.2078,0.0831,0.3418
440.0,0.4639,0.2045,0.0831,0.3418
450.0,0.4639,0.2045,0.0766,0.3352
460.0,0.4606,0.1979,0.0733,0.3319
470.0,0.4573,0.1979,0.07,0.3287
480.0,0.4573,0.1947,0.0667,0.3287
490.0,0.4573,0.1914,0.0602,0.3221
500.0,0.4524,0.1914,0.0602,0.3221
510.0,0.4508,0.1881,0.0536,0.3188
520.0,0.4508,0.1881,0.0536,0.3156
530.0,0.4475,0.1848,0.0471,0.3123
540.0,0.4442,0.1848,0.0471,0.309
550.0,0.4442,0.1815,0.0438,0.309
560.0,0.4442,0.1815,0.0405,0.3057
570.0,0.4442,0.1782,0.0405,0.3057
580.0,0.4442,0.1782,0.0405,0.3025
590.0,0.4376,0.1782,0.034,0.2992
600.0,0.4409,0.1766,0.034,0.2992
