# Fig. 2b - simulated time courses, amino acids + insulin
# Dalle Pezze P et al. (2016) Nature Communications 7:13254. doi:10.1038/ncomms13254
# Digitized by digitize_dallepezze2016.py from a 600 dpi render of page 5.
# Both axes calibrated on their tick marks; the per-panel residuals printed by the script bound the accuracy of these values.
# value_au is the centre of the red ink in that pixel column; ink_lo_au and ink_hi_au are its extent, which is wide wherever the curve is steep and the centre is therefore not a value the figure claims.
# Values are the paper's arbitrary relative units and are not comparable between readouts.
readout,time_min,value_au,ink_lo_au,ink_hi_au
IR_pY1146,0,1.23569,0.815897,1.65548
IR_pY1146,0.0147115,1.33675,0.971375,1.70212
IR_pY1146,0.274166,1.39894,1.08021,1.71767
IR_pY1146,0.533621,1.43781,1.1424,1.73322
IR_pY1146,0.793076,1.47668,1.22014,1.73322
IR_pY1146,1.05253,1.5311,1.31343,1.74876
IR_pY1146,1.31199,1.68657,1.60883,1.76431
IR_pY1146,1.57144,1.72544,1.63993,1.81096
IR_pY1146,1.8309,1.76431,1.65548,1.87315
IR_pY1146,2.09035,1.79541,1.68657,1.90424
IR_pY1146,2.3498,1.81096,1.70212,1.91979
IR_pY1146,2.60926,1.8265,1.71767,1.93534
IR_pY1146,2.86871,1.84983,1.73322,1.96643
IR_pY1146,3.12817,1.88092,1.77986,1.98198
IR_pY1146,3.38762,1.89647,1.79541,1.99753
IR_pY1146,3.64708,1.92756,1.84205,2.01308
IR_pY1146,3.90653,1.94311,1.87315,2.01308
IR_pY1146,4.16599,1.95089,1.8887,2.01308
IR_pY1146,4.42544,1.95866,1.8887,2.02863
IR_pY1146,4.6849,1.96643,1.90424,2.02863
IR_pY1146,4.94435,1.98198,1.91979,2.04417
IR_pY1146,5.20381,1.98198,1.91979,2.04417
IR_pY1146,5.46326,1.98198,1.91979,2.04417
IR_pY1146,5.72272,1.99753,1.93534,2.05972
IR_pY1146,5.98217,2.0053,1.95089,2.05972
IR_pY1146,6.24163,2.0053,1.95089,2.05972
IR_pY1146,6.50108,2.0053,1.95089,2.05972
IR_pY1146,6.76054,2.02085,1.96643,2.07527
IR_pY1146,7.01999,2.02863,1.98198,2.07527
IR_pY1146,7.27945,2.0364,1.99753,2.07527
IR_pY1146,7.5389,2.0364,1.99753,2.07527
IR_pY1146,7.79836,2.0364,1.99753,2.07527
IR_pY1146,8.05781,2.0364,1.99753,2.07527
IR_pY1146,8.31727,2.0364,1.99753,2.07527
IR_pY1146,8.57672,2.0364,1.99753,2.07527
IR_pY1146,8.83618,2.02863,1.98198,2.07527
IR_pY1146,9.09563,2.0364,1.98198,2.09082
IR_pY1146,9.35509,2.0364,1.98198,2.09082
IR_pY1146,9.61454,2.0364,1.98198,2.09082
IR_pY1146,9.87399,2.02863,1.96643,2.09082
IR_pY1146,10.1334,2.02863,1.96643,2.09082
IR_pY1146,10.3929,2.02863,1.96643,2.09082
IR_pY1146,10.6524,2.02863,1.96643,2.09082
